Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YJL164C,YDR466W,1,-1.6580968,1.0,0.0010000000474974513,0.0
YKL085W,YIR005W,0,-1.7813737,0.5,0.0010000000474974513,9.999999747378752e-05
YKL112W,YOR155C,0,-1.7887104,0.3333333432674408,0.0010000000474974513,0.00019999999494757503
YKL103C,YOL109W,0,-1.8222106,0.25,0.0010000000474974513,0.0003000000142492354
YBL034C,YMR169C,0,-1.8553643,0.20000000298023224,0.0010000000474974513,0.00039999998989515007
YMR297W,YDR104C,0,-1.8652761,0.1666666716337204,0.0010000000474974513,0.0005000000237487257
YDR001C,YPL148C,0,-1.9042628,0.1428571492433548,0.0010000000474974513,0.0006000000284984708
YGL184C,YMR233W,0,-1.9162822,0.125,0.0010000000474974513,0.000699999975040555
YBR164C,YLR251W,0,-1.9254284,0.1111111119389534,0.0010000000474974513,0.0007999999797903001
YBR214W,YOR346W,0,-1.9312768,0.10000000149011612,0.0010000000474974513,0.0008999999845400453
YOR373W,YDL142C,0,-1.933218,0.09090909361839294,0.0010000000474974513,0.0010000000474974513
YDR466W,YLR240W,1,-1.9380183,0.1666666716337204,0.0020000000949949026,0.0010000000474974513
YMR199W,YDR162C,1,-1.9466586,0.23076923191547394,0.003000000026077032,0.0010000000474974513
YDL110C,YLR265C,0,-1.9581068,0.2142857164144516,0.003000000026077032,0.0010999999940395355
YKL213C,YBR192W,0,-1.9776475,0.20000000298023224,0.003000000026077032,0.0012000000569969416
YDR403W,YCR011C,0,-1.97786,0.1875,0.003000000026077032,0.0013000000035390258
YKL085W,YMR198W,0,-1.9888742,0.1764705926179886,0.003000000026077032,0.00139999995008111
YER150W,YKL173W,0,-1.9978504,0.1666666716337204,0.003000000026077032,0.001500000013038516
YHR152W,YMR173W,0,-2.0019336,0.15789473056793213,0.003000000026077032,0.0015999999595806003
YCL034W,YLR174W,0,-2.0027266,0.15000000596046448,0.003000000026077032,0.0017000000225380063
YDL020C,YPR021C,0,-2.0440648,0.1428571492433548,0.003000000026077032,0.0017999999690800905
YBR120C,YDR011W,0,-2.0610077,0.13636364042758942,0.003000000026077032,0.0019000000320374966
YMR139W,YGR188C,1,-2.0871186,0.17391304671764374,0.004000000189989805,0.0019000000320374966
YHL007C,YMR139W,1,-2.087681,0.2083333283662796,0.004999999888241291,0.0019000000320374966
YER147C,YDL107W,0,-2.0987763,0.20000000298023224,0.004999999888241291,0.0020000000949949026
YDR022C,YDR404C,0,-2.1018093,0.19230769574642181,0.004999999888241291,0.002099999925121665
YOL019W,YFR003C,0,-2.1032856,0.18518517911434174,0.004999999888241291,0.002199999988079071
YML109W,YBR161W,0,-2.1038806,0.1785714328289032,0.004999999888241291,0.002300000051036477
YJR086W,YCR011C,0,-2.111686,0.17241379618644714,0.004999999888241291,0.002400000113993883
YMR139W,YJL106W,1,-2.1126966,0.20000000298023224,0.006000000052154064,0.002400000113993883
YGR109C,YKL198C,1,-2.1182306,0.22580644488334656,0.007000000216066837,0.002400000113993883
YMR184W,YNL210W,0,-2.1236682,0.21875,0.007000000216066837,0.0024999999441206455
YMR197C,YHR050W,0,-2.124683,0.21212121844291687,0.007000000216066837,0.0026000000070780516
YML052W,YDL161W,0,-2.1274297,0.20588235557079315,0.007000000216066837,0.0027000000700354576
YHR115C,YJR095W,0,-2.1317723,0.20000000298023224,0.007000000216066837,0.00279999990016222
YMR139W,YAR018C,1,-2.1455903,0.2222222238779068,0.00800000037997961,0.00279999990016222
YPL242C,YMR173W,0,-2.1566722,0.21621622145175934,0.00800000037997961,0.002899999963119626
YPL249C,YLR389C,0,-2.157475,0.21052631735801697,0.00800000037997961,0.003000000026077032
YLR205C,YDR207C,0,-2.159756,0.20512820780277252,0.00800000037997961,0.003100000089034438
YPL230W,YJR005W,0,-2.160347,0.20000000298023224,0.00800000037997961,0.0031999999191612005
YFR015C,YGL211W,0,-2.1633599,0.19512194395065308,0.00800000037997961,0.0032999999821186066
YDL179W,YBR274W,1,-2.1864722,0.2142857164144516,0.008999999612569809,0.0032999999821186066
YPR026W,YKR022C,0,-2.1902833,0.20930232107639313,0.008999999612569809,0.0034000000450760126
YDL239C,YCR011C,0,-2.1963103,0.20454545319080353,0.008999999612569809,0.0035000001080334187
YLR210W,YIL042C,1,-2.2041633,0.2222222238779068,0.009999999776482582,0.0035000001080334187
YJR140C,YGL156W,0,-2.2057648,0.21739129722118378,0.009999999776482582,0.003599999938160181
YDR443C,YHR209W,0,-2.2067842,0.21276596188545227,0.009999999776482582,0.003700000001117587
YMR304W,YIL159W,0,-2.2069068,0.2083333283662796,0.009999999776482582,0.003800000064074993
YKL020C,YOR275C,0,-2.2119892,0.20408163964748383,0.009999999776482582,0.0038999998942017555
YDR334W,YLR251W,0,-2.2121825,0.20000000298023224,0.009999999776482582,0.004000000189989805
YLR034C,YDR363W,0,-2.2319489,0.19607843458652496,0.009999999776482582,0.004100000020116568
YDR298C,YKR104W,0,-2.2340958,0.19230769574642181,0.009999999776482582,0.00419999985024333
YDL115C,YIL099W,0,-2.2363513,0.18867924809455872,0.009999999776482582,0.00430000014603138
YBR156C,YGL180W,1,-2.2365987,0.20370370149612427,0.010999999940395355,0.00430000014603138
YGL059W,YMR139W,1,-2.2391276,0.2181818187236786,0.012000000104308128,0.00430000014603138
YIL159W,YFR003C,0,-2.2402017,0.2142857164144516,0.012000000104308128,0.004399999976158142
YBR008C,YGL216W,0,-2.2478092,0.21052631735801697,0.012000000104308128,0.0044999998062849045
YNL124W,YLR142W,0,-2.248063,0.2068965584039688,0.012000000104308128,0.004600000102072954
YPL065W,YMR030W,0,-2.2524192,0.20338982343673706,0.012000000104308128,0.004699999932199717
YDL044C,YDR251W,0,-2.254558,0.20000000298023224,0.012000000104308128,0.004800000227987766
YIL051C,YKL108W,0,-2.256543,0.19672131538391113,0.012000000104308128,0.004900000058114529
YJL164C,YGR274C,1,-2.2611926,0.20967741310596466,0.013000000268220901,0.004900000058114529
YBR001C,YNL152W,0,-2.2644813,0.2063492089509964,0.013000000268220901,0.004999999888241291
YMR169C,YCR066W,0,-2.2663238,0.203125,0.013000000268220901,0.005100000184029341
YGL179C,YAR018C,1,-2.2668521,0.2153846174478531,0.014000000432133675,0.005100000184029341
