Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YFL009W,YML026C,1,67.390305,1.0,0.0009900990407913923,0.0
YOR167C,YFL009W,1,57.779488,1.0,0.0019801980815827847,0.0
YFL009W,YML093W,1,51.01587,1.0,0.002970297122374177,0.0
YDL083C,YDR159W,1,49.68219,1.0,0.003960396163165569,0.0
YFL009W,YGL120C,1,47.91633,1.0,0.004950494971126318,0.0
YPL217C,YNL306W,1,46.211273,1.0,0.005940594244748354,0.0
YLR051C,YOL040C,1,45.22351,1.0,0.006930693052709103,0.0
YDR457W,YBR247C,1,44.679264,1.0,0.007920792326331139,0.0
YPL204W,YHR021C,1,44.600555,1.0,0.0089108906686306,0.0
YNL308C,YFL009W,1,43.82826,1.0,0.009900989942252636,0.0
YPL204W,YER074W,1,42.609215,1.0,0.010891089215874672,0.0
YDR378C,YLR068W,1,42.38462,1.0,0.011881188489496708,0.0
YDR457W,YDL082W,0,42.24621,0.9230769276618958,0.011881188489496708,0.00010010010009864345
YDL083C,YGR271C-A,1,41.90236,0.9285714030265808,0.01287128683179617,0.00010010010009864345
YJR113C,YLR435W,1,41.415455,0.9333333373069763,0.013861386105418205,0.00010010010009864345
YPL090C,YOR205C,1,41.237206,0.9375,0.014851485379040241,0.00010010010009864345
YKL143W,YMR143W,1,40.489624,0.9411764740943909,0.015841584652662277,0.00010010010009864345
YBR189W,YDR159W,1,40.109146,0.9444444179534912,0.01683168299496174,0.00010010010009864345
YKL143W,YLR048W,1,40.041092,0.9473684430122375,0.0178217813372612,0.00010010010009864345
YDR159W,YDR064W,1,39.82215,0.949999988079071,0.01881188154220581,0.00010010010009864345
YFR001W,YFL009W,1,38.828945,0.9523809552192688,0.019801979884505272,0.00010010010009864345
YOR205C,YGR214W,1,38.40612,0.9545454382896423,0.020792080089449883,0.00010010010009864345
YJL069C,YFL009W,1,38.22005,0.95652174949646,0.021782178431749344,0.00010010010009864345
YNL224C,YLR441C,1,37.36672,0.9583333134651184,0.022772276774048805,0.00010010010009864345
YER082C,YHR021C,1,37.15351,0.9599999785423279,0.023762376978993416,0.00010010010009864345
YJR113C,YDR021W,1,36.697548,0.9615384340286255,0.024752475321292877,0.00010010010009864345
YOL040C,YDR449C,1,36.52005,0.9629629850387573,0.02574257366359234,0.00010010010009864345
YKL143W,YML026C,1,36.169193,0.9642857313156128,0.02673267386853695,0.00010010010009864345
YDL083C,YPR112C,1,36.168022,0.9655172228813171,0.02772277221083641,0.00010010010009864345
YKR048C,YKL078W,1,35.902924,0.9666666388511658,0.028712870553135872,0.00010010010009864345
YKR048C,YOR167C,1,35.687813,0.9677419066429138,0.029702970758080482,0.00010010010009864345
YJR002W,YOR167C,1,35.59124,0.96875,0.030693069100379944,0.00010010010009864345
YNL147W,YBL072C,1,35.35811,0.9696969985961914,0.031683169305324554,0.00010010010009864345
YNL224C,YLR264W,1,35.352215,0.970588207244873,0.03267326578497887,0.00010010010009864345
YDR457W,YDR064W,1,35.337425,0.9714285731315613,0.03366336598992348,0.00010010010009864345
YJR113C,YOL010W,1,34.91072,0.9722222089767456,0.03465346619486809,0.00010010010009864345
YOR205C,YER074W,1,34.32206,0.9729729890823364,0.0356435626745224,0.00010010010009864345
YER127W,YDR457W,1,34.29712,0.9736841917037964,0.03663366287946701,0.00010010010009864345
YOR205C,YMR143W,1,34.04461,0.9743589758872986,0.03762376308441162,0.00010010010009864345
YJR113C,YJL069C,1,34.015045,0.9750000238418579,0.03861385956406593,0.00010010010009864345
YOR056C,YDR378C,1,33.973938,0.9756097793579102,0.039603959769010544,0.00010010010009864345
YMR014W,YJL191W,1,33.837696,0.976190447807312,0.040594059973955154,0.00010010010009864345
YER127W,YNL306W,1,33.748077,0.9767441749572754,0.041584160178899765,0.00010010010009864345
YDR457W,YCL059C,1,33.73432,0.9772727489471436,0.04257425665855408,0.00010010010009864345
YJL010C,YPR132W,1,33.700165,0.9777777791023254,0.04356435686349869,0.00010010010009864345
YJR123W,YGR271C-A,1,33.57923,0.97826087474823,0.0445544570684433,0.00010010010009864345
YNL224C,YOL010W,1,33.078285,0.978723406791687,0.04554455354809761,0.00010010010009864345
YMR128W,YNL302C,1,32.749054,0.9791666865348816,0.04653465375304222,0.00010010010009864345
YDR064W,YFL009W,1,32.69363,0.9795918464660645,0.04752475395798683,0.00010010010009864345
YJR113C,YDL213C,1,32.66188,0.9800000190734863,0.048514850437641144,0.00010010010009864345
YML024W,YPL226W,1,32.647957,0.9803921580314636,0.049504950642585754,0.00010010010009864345
YDR450W,YDR457W,1,32.343674,0.9807692170143127,0.050495050847530365,0.00010010010009864345
YDR159W,YEL026W,1,31.964521,0.9811320900917053,0.05148514732718468,0.00010010010009864345
YKL156W,YCR055C,1,31.958931,0.9814814925193787,0.05247524753212929,0.00010010010009864345
YJL136C,YMR014W,1,31.940174,0.9818181991577148,0.0534653477370739,0.00010010010009864345
YMR128W,YPL081W,1,31.92065,0.9821428656578064,0.05445544421672821,0.00010010010009864345
YOL040C,YHR065C,1,31.900301,0.9824561476707458,0.05544554442167282,0.00010010010009864345
YNL147W,YPL226W,1,31.77393,0.982758641242981,0.05643564462661743,0.00010010010009864345
YPL204W,YJL191W,1,31.71959,0.9830508232116699,0.057425741106271744,0.00010010010009864345
YJL136C,YOR205C,1,31.643227,0.9833333492279053,0.058415841311216354,0.00010010010009864345
YLR336C,YJL191W,1,31.123772,0.9836065769195557,0.059405941516160965,0.00010010010009864345
YDL083C,YPL217C,1,31.028345,0.9838709831237793,0.06039603799581528,0.00010010010009864345
YDL083C,YJL010C,1,30.88987,0.9841269850730896,0.06138613820075989,0.00010010010009864345
YKR048C,YDR064W,1,30.85566,0.984375,0.0623762384057045,0.00010010010009864345
YOR167C,YCR057C,1,30.818375,0.9846153855323792,0.06336633861064911,0.00010010010009864345
YHR021C,YMR014W,1,30.799301,0.9848484992980957,0.06435643881559372,0.00010010010009864345
YDL060W,YNL306W,1,30.601517,0.9850746393203735,0.06534653156995773,0.00010010010009864345
YJR113C,YGR159C,1,30.48702,0.9852941036224365,0.06633663177490234,0.00010010010009864345
YKL143W,YLR441C,1,30.31287,0.9855072498321533,0.06732673197984695,0.00010010010009864345
YMR269W,YGR118W,1,30.27909,0.9857142567634583,0.06831683218479156,0.00010010010009864345
YPL217C,YOR167C,1,30.12805,0.98591548204422,0.06930693238973618,0.00010010010009864345
YDL060W,YNL224C,1,30.055351,0.9861111044883728,0.07029703259468079,0.00010010010009864345
YPR132W,YML093W,1,30.054783,0.9863013625144958,0.0712871253490448,0.00010010010009864345
YLR336C,YML063W,1,30.023212,0.9864864945411682,0.07227722555398941,0.00010010010009864345
YOR205C,YBR048W,1,29.938427,0.9866666793823242,0.07326732575893402,0.00010010010009864345
YLR435W,YDR159W,1,29.689419,0.9868420958518982,0.07425742596387863,0.00010010010009864345
YJL136C,YGR145W,1,29.411419,0.9870129823684692,0.07524752616882324,0.00010010010009864345
YMR093W,YCR055C,1,29.27961,0.9871794581413269,0.07623762637376785,0.00010010010009864345
YNL224C,YPR144C,1,29.27512,0.9873417615890503,0.07722771912813187,0.00010010010009864345
YDR457W,YDR449C,1,29.179401,0.987500011920929,0.07821781933307648,0.00010010010009864345
YOR205C,YBL072C,1,29.091122,0.9876543283462524,0.07920791953802109,0.00010010010009864345
YDR457W,YML063W,1,29.042982,0.9878048896789551,0.0801980197429657,0.00010010010009864345
YDL083C,YLR129W,1,29.012993,0.9879518151283264,0.08118811994791031,0.00010010010009864345
YNL306W,YBR247C,1,28.94921,0.988095223903656,0.08217822015285492,0.00010010010009864345
YLR441C,YLR068W,1,28.551277,0.9882352948188782,0.08316832035779953,0.00010010010009864345
YPL204W,YER102W,1,28.535202,0.9883720874786377,0.08415841311216354,0.00010010010009864345
YNL147W,YML063W,1,28.489513,0.9885057210922241,0.08514851331710815,0.00010010010009864345
YNL207W,YJL136C,1,28.453312,0.9886363744735718,0.08613861352205276,0.00010010010009864345
YOR078W,YDR457W,1,28.385658,0.9887640476226807,0.08712871372699738,0.00010010010009864345
YDR378C,YKL078W,1,28.366287,0.9888888597488403,0.08811881393194199,0.00010010010009864345
YCL031C,YOL040C,1,28.30255,0.9890109896659851,0.0891089141368866,0.00010010010009864345
YDR299W,YHR021C,1,28.283901,0.989130437374115,0.09009900689125061,0.00010010010009864345
YOL121C,YPL226W,1,28.196648,0.9892473220825195,0.09108910709619522,0.00010010010009864345
YDR449C,YDR378C,1,28.103842,0.9893617033958435,0.09207920730113983,0.00010010010009864345
YOR167C,YPL226W,1,28.099579,0.9894737005233765,0.09306930750608444,0.00010010010009864345
YNL147W,YHR065C,1,27.899254,0.9895833134651184,0.09405940771102905,0.00010010010009864345
YER082C,YOR167C,1,27.888052,0.9896907210350037,0.09504950791597366,0.00010010010009864345
YBL004W,YPR132W,1,27.744114,0.9897959232330322,0.09603960067033768,0.00010010010009864345
YDL213C,YMR143W,1,27.527697,0.9898989796638489,0.09702970087528229,0.00010010010009864345
YLR336C,YLR048W,1,27.51992,0.9900000095367432,0.0980198010802269,0.00010010010009864345
YGR103W,YCR058C,1,27.430471,0.9900990128517151,0.09900990128517151,0.00010010010009864345
YML026C,YPR144C,1,27.322607,0.9901960492134094,0.10000000149011612,0.00010010010009864345
YBL072C,YKL143W,1,27.31041,0.9902912378311157,0.10099010169506073,0.00010010010009864345
YDL083C,YMR229C,1,27.25736,0.9903846383094788,0.10198019444942474,0.00010010010009864345
YKL099C,YCR055C,1,27.21935,0.9904761910438538,0.10297029465436935,0.00010010010009864345
YPL079W,YJL133W,0,27.040592,0.9811320900917053,0.10297029465436935,0.0002002002001972869
YOL040C,YML093W,1,27.001163,0.9813084006309509,0.10396039485931396,0.0002002002001972869
YGL029W,YJL133W,0,26.971918,0.9722222089767456,0.10396039485931396,0.00030030030757188797
YPL126W,YML063W,1,26.919548,0.9724770784378052,0.10495049506425858,0.00030030030757188797
YER082C,YGR214W,1,26.89258,0.9727272987365723,0.10594059526920319,0.00030030030757188797
YKL101W,YGR214W,0,26.826832,0.9639639854431152,0.10594059526920319,0.0004004004003945738
YGR251W,YMR143W,1,26.594845,0.9642857313156128,0.1069306954741478,0.0004004004003945738
YGR271C-A,YCR031C,1,26.507229,0.9646017551422119,0.10792079567909241,0.0004004004003945738
YDR450W,YOR098C,0,26.48769,0.9561403393745422,0.10792079567909241,0.0005005004932172596
YGR251W,YJL136C,1,26.415533,0.95652174949646,0.10891088843345642,0.0005005004932172596
YGR251W,YBR048W,1,26.410414,0.9568965435028076,0.10990098863840103,0.0005005004932172596
YDR299W,YPR132W,1,26.407661,0.9572649598121643,0.11089108884334564,0.0005005004932172596
YNL096C,YJL010C,1,26.381294,0.9576271176338196,0.11188118904829025,0.0005005004932172596
YIL069C,YCR058C,1,26.372162,0.9579831957817078,0.11287128925323486,0.0005005004932172596
YGR272C,YGR214W,1,26.164795,0.9583333134651184,0.11386138945817947,0.0005005004932172596
YCR058C,YHR148W,1,26.148083,0.9586777091026306,0.11485148221254349,0.0005005004932172596
YDR398W,YGR118W,1,26.078667,0.9590163826942444,0.1158415824174881,0.0005005004932172596
YGR251W,YER074W,1,26.005505,0.9593495726585388,0.11683168262243271,0.0005005004932172596
YKL143W,YCR031C,1,25.92398,0.9596773982048035,0.11782178282737732,0.0005005004932172596
YJL136C,YML093W,1,25.919863,0.9599999785423279,0.11881188303232193,0.0005005004932172596
YGR090W,YML024W,1,25.919638,0.9603174328804016,0.11980198323726654,0.0005005004932172596
YDL083C,YKR060W,1,25.80215,0.960629940032959,0.12079207599163055,0.0005005004932172596
YML024W,YJR002W,1,25.792927,0.9609375,0.12178217619657516,0.0005005004932172596
