Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YFL035C,YFL035C-A,1,134.34583,1.0,0.0009823183063417673,0.0
YOL039W,YJL141C,1,44.527603,1.0,0.0019646366126835346,0.0
YGR085C,YOR173W,0,36.977585,0.6666666865348816,0.0019646366126835346,0.00010018032480729744
YOL039W,YAL017W,1,35.430237,0.75,0.002946954919025302,0.00010018032480729744
YKL103C,YMR242C,0,34.628513,0.6000000238418579,0.002946954919025302,0.00020036064961459488
YDL130W,YCR091W,1,32.28405,0.6666666865348816,0.003929273225367069,0.00020036064961459488
YOR231W,YCL040W,0,32.21059,0.5714285969734192,0.003929273225367069,0.0003005409671459347
YAL017W,YDR382W,1,31.675396,0.625,0.004911591298878193,0.0003005409671459347
YMR116C,YHR082C,1,31.234898,0.6666666865348816,0.005893909838050604,0.0003005409671459347
YBR031W,YNL160W,0,30.601444,0.6000000238418579,0.005893909838050604,0.00040072129922918975
YPL131W,YDL020C,0,30.439373,0.5454545617103577,0.005893909838050604,0.0005009016022086143
YDL081C,YOL016C,1,29.852444,0.5833333134651184,0.0068762279115617275,0.0005009016022086143
YIL042C,YDR382W,1,29.720142,0.6153846383094788,0.007858546450734138,0.0005009016022086143
YLR226W,YGR052W,1,29.613476,0.6428571343421936,0.008840864524245262,0.0005009016022086143
YNL278W,YBR214W,1,29.558125,0.6666666865348816,0.009823182597756386,0.0005009016022086143
YAL059W,YBR072W,0,29.087547,0.625,0.009823182597756386,0.0006010819342918694
YML056C,YLR080W,0,28.898788,0.5882353186607361,0.009823182597756386,0.0007012622663751245
YPL236C,YKL189W,1,28.511377,0.6111111044883728,0.01080550067126751,0.0007012622663751245
YCL040W,YFR001W,0,28.511307,0.5789473652839661,0.01080550067126751,0.0008014425984583795
YNL173C,YHR030C,0,28.51055,0.550000011920929,0.01080550067126751,0.0009016229305416346
YFL035C,YOL016C,1,28.47818,0.5714285969734192,0.011787819676101208,0.0009016229305416346
YGL016W,YMR173W,0,28.336708,0.5454545617103577,0.011787819676101208,0.0010018032044172287
