Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YPR016C,YDR361C,1,-1.6709877,1.0,0.002016128972172737,0.0
YOR145C,YGR245C,1,-2.0643315,1.0,0.004032257944345474,0.0
YFR001W,YKL009W,1,-2.1768615,1.0,0.006048386916518211,0.0
YGL097W,YAL059W,1,-2.2019224,1.0,0.008064515888690948,0.0
YPR016C,YFR001W,1,-2.2713711,1.0,0.010080644860863686,0.0
YOR145C,YKL009W,1,-2.3331747,1.0,0.012096773833036423,0.0
YER006W,YOR145C,1,-2.3833427,1.0,0.01411290280520916,0.0
YER006W,YFR001W,1,-2.4148223,1.0,0.016129031777381897,0.0
YDR091C,YPR016C,1,-2.5182054,1.0,0.018145160749554634,0.0
YER006W,YJL010C,1,-2.5325363,1.0,0.02016128972172737,0.0
YGL097W,YPL146C,1,-2.5577154,1.0,0.02217741869390011,0.0
YDR361C,YPL146C,1,-2.5585487,1.0,0.024193547666072845,0.0
YFR001W,YPL093W,1,-2.5658631,1.0,0.026209676638245583,0.0
YPR016C,YIR026C,1,-2.5723968,1.0,0.02822580561041832,0.0
YPR016C,YER006W,1,-2.5821278,1.0,0.030241934582591057,0.0
YDR091C,YLR106C,1,-2.6066473,1.0,0.032258063554763794,0.0
YPR016C,YKL009W,1,-2.6121476,1.0,0.03427419438958168,0.0
YIL115C,YGR245C,1,-2.6190405,1.0,0.03629032149910927,0.0
YGR245C,YKL009W,1,-2.6226685,1.0,0.038306452333927155,0.0
YLL034C,YJL010C,1,-2.6363661,1.0,0.04032257944345474,0.0
YPR016C,YPL146C,1,-2.6390123,1.0,0.04233871027827263,0.0
YPL093W,YNL227C,1,-2.657607,1.0,0.04435483738780022,0.0
YDR101C,YOR145C,1,-2.6632378,1.0,0.0463709682226181,0.0
YLR106C,YKL009W,1,-2.671048,1.0,0.04838709533214569,0.0
YOR145C,YPL146C,1,-2.7078247,1.0,0.05040322616696358,0.0
YFR001W,YDR361C,1,-2.7093518,1.0,0.052419353276491165,0.0
YPR016C,YGR245C,1,-2.7215972,1.0,0.05443548411130905,0.0
YEL026W,YOL125W,0,-2.731058,0.9642857313156128,0.05443548411130905,0.00020161290012765676
YPL093W,YDR361C,1,-2.7452075,0.9655172228813171,0.05645161122083664,0.00020161290012765676
YLR106C,YGR245C,1,-2.7602117,0.9666666388511658,0.058467742055654526,0.00020161290012765676
YDR091C,YJL010C,1,-2.7623823,0.9677419066429138,0.060483869165182114,0.00020161290012765676
YER036C,YHR088W,1,-2.7655659,0.96875,0.0625,0.00020161290012765676
YLR106C,YOR145C,1,-2.7699544,0.9696969985961914,0.06451612710952759,0.00020161290012765676
YER036C,YJL010C,1,-2.7773964,0.970588207244873,0.06653226166963577,0.00020161290012765676
YER006W,YNL227C,1,-2.7773976,0.9714285731315613,0.06854838877916336,0.00020161290012765676
YAL059W,YMR235C,1,-2.7785904,0.9722222089767456,0.07056451588869095,0.00020161290012765676
YPR016C,YKL143W,1,-2.7997577,0.9729729890823364,0.07258064299821854,0.00020161290012765676
YER006W,YKL009W,1,-2.8006375,0.9736841917037964,0.07459677755832672,0.00020161290012765676
YDR101C,YGR245C,1,-2.8068368,0.9743589758872986,0.07661290466785431,0.00020161290012765676
YER006W,YHR088W,1,-2.8107693,0.9750000238418579,0.0786290317773819,0.00020161290012765676
YPL093W,YHR088W,1,-2.813686,0.9756097793579102,0.08064515888690948,0.00020161290012765676
YDR211W,YGR094W,0,-2.8221257,0.9523809552192688,0.08064515888690948,0.0004032258002553135
YIL115C,YER006W,1,-2.8330076,0.9534883499145508,0.08266129344701767,0.0004032258002553135
YGR245C,YNL227C,1,-2.835356,0.9545454382896423,0.08467742055654526,0.0004032258002553135
