Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YNL110C,YNL002C,1,20.023273,1.0,0.0009970089886337519,0.0
YNL110C,YHR052W,1,19.506664,1.0,0.0019940179772675037,0.0
YKL009W,YHR066W,1,18.428888,1.0,0.0029910269659012556,0.0
YNL110C,YPL146C,1,18.236317,1.0,0.0039880359545350075,0.0
YNL110C,YCL054W,1,17.951174,1.0,0.004985044710338116,0.0
YNL110C,YLL008W,1,17.791647,1.0,0.005982053931802511,0.0
YNL110C,YNL227C,1,17.535679,1.0,0.006979062687605619,0.0
YGL078C,YOL077C,1,17.222992,1.0,0.007976071909070015,0.0
YNL110C,YOL077C,1,17.111416,1.0,0.008973080664873123,0.0
YNL110C,YAL025C,1,17.084305,1.0,0.009970089420676231,0.0
YHR052W,YNL182C,1,16.928284,1.0,0.010967099107801914,0.0
YNL096C,YGL076C,0,16.89791,0.9166666865348816,0.010967099107801914,0.00010003001079894602
YNL110C,YHR088W,1,16.851002,0.9230769276618958,0.011964107863605022,0.00010003001079894602
YNL110C,YKR081C,1,16.666298,0.9285714030265808,0.01296111661940813,0.00010003001079894602
YHR052W,YPL131W,1,16.656384,0.9333333373069763,0.013958125375211239,0.00010003001079894602
YLL008W,YGR245C,1,16.62864,0.9375,0.014955134131014347,0.00010003001079894602
YKL009W,YOL144W,1,16.540535,0.9411764740943909,0.01595214381814003,0.00010003001079894602
YOR272W,YPL146C,1,16.475407,0.9444444179534912,0.016949152573943138,0.00010003001079894602
YGL078C,YNL182C,1,16.423504,0.9473684430122375,0.017946161329746246,0.00010003001079894602
YNL110C,YKL021C,1,16.406397,0.949999988079071,0.018943170085549355,0.00010003001079894602
YGL078C,YAL025C,1,16.363047,0.9523809552192688,0.019940178841352463,0.00010003001079894602
YOL080C,YHR066W,1,16.221886,0.9545454382896423,0.02093718759715557,0.00010003001079894602
YER126C,YNL110C,1,16.130981,0.95652174949646,0.02193419821560383,0.00010003001079894602
