Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YPR028W,YDR329C,1,0.40090573,1.0,0.0009990009712055326,0.0
YKL080W,YHL027W,0,0.39496064,0.5,0.0009990009712055326,0.00010001000191550702
YGR004W,YDR329C,1,0.36229882,0.6666666865348816,0.001998001942411065,0.00010001000191550702
YJL210W,YIR004W,1,0.35293296,0.75,0.0029970030300319195,0.00010001000191550702
YGL003C,YAL003W,0,0.34906566,0.6000000238418579,0.0029970030300319195,0.00020002000383101404
YGR027C,YMR313C,0,0.34807682,0.5,0.0029970030300319195,0.00030002999119460583
YIL036W,YDR400W,0,0.34456372,0.4285714328289032,0.0029970030300319195,0.0004000400076620281
YLR284C,YFL037W,0,0.3436752,0.375,0.0029970030300319195,0.0005000500241294503
YHR044C,YNL032W,0,0.3357768,0.3333333432674408,0.0029970030300319195,0.0006000599823892117
YPL138C,YDR371W,0,0.31680208,0.30000001192092896,0.0029970030300319195,0.0007000699988566339
YKR095W,YNR016C,0,0.28829202,0.27272728085517883,0.0029970030300319195,0.0008000800153240561
YNL081C,YBR260C,0,0.2679584,0.25,0.0029970030300319195,0.0009000900317914784
YDR276C,YDR261C,0,0.26194447,0.23076923191547394,0.0029970030300319195,0.0010001000482589006
YCR038C,YGR204W,0,0.2573998,0.2142857164144516,0.0029970030300319195,0.001100110006518662
YKL032C,YGL137W,0,0.2503004,0.20000000298023224,0.0029970030300319195,0.0012001199647784233
YIL065C,YOL126C,1,0.24944931,0.25,0.00399600388482213,0.0012001199647784233
YJL108C,YDR516C,0,0.248552,0.23529411852359772,0.00399600388482213,0.0013001300394535065
YGR217W,YBR153W,0,0.24807006,0.2222222238779068,0.00399600388482213,0.0014001399977132678
YGL115W,YDR479C,1,0.23937453,0.2631579041481018,0.004995005205273628,0.0014001399977132678
YBL023C,YDR228C,0,0.23793715,0.25,0.004995005205273628,0.001500150072388351
YGR238C,YDR100W,0,0.23744982,0.2380952388048172,0.004995005205273628,0.0016001600306481123
YLR105C,YGL014W,0,0.2371426,0.22727273404598236,0.004995005205273628,0.0017001699889078736
YBR243C,YDL035C,0,0.23665011,0.21739129722118378,0.004995005205273628,0.0018001800635829568
YGR004W,YJL210W,1,0.23287798,0.25,0.005994006060063839,0.0018001800635829568
YLL022C,YDR064W,0,0.23160803,0.23999999463558197,0.005994006060063839,0.0019001900218427181
YCL025C,YPR161C,0,0.23013167,0.23076923191547394,0.005994006060063839,0.0020002000965178013
