Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGL030W,YLR185W,0,2.4865806,0.0,0.0,0.0001005126177915372
YMR169C,YAL017W,0,2.3426895,0.0,0.0,0.0002010252355830744
YLR333C,YML026C,0,2.2189317,0.0,0.0,0.00030153783154673874
YGL156W,YOR234C,0,2.0909624,0.0,0.0,0.0004020504711661488
YNL300W,YPL256C,0,1.9943604,0.0,0.0,0.0005025630816817284
YMR267W,YNL284C,0,1.9687941,0.0,0.0,0.0006030756630934775
YDR200C,YJL134W,0,1.9655501,0.0,0.0,0.0007035883027128875
YEL018W,YLR399C,0,1.9543561,0.0,0.0,0.0008041009423322976
YNL307C,YPL224C,0,1.950872,0.0,0.0,0.0009046135237440467
YKL065C,YGR083C,0,1.9247184,0.0,0.0,0.0010051261633634567
YLR324W,YER115C,0,1.9200044,0.0,0.0,0.0011056388029828668
YOR086C,YER008C,0,1.9155228,0.0,0.0,0.001206151326186955
YBR155W,YGL099W,0,1.9122978,0.0,0.0,0.001306663965806365
YOR234C,YBR272C,0,1.9036471,0.0,0.0,0.001407176605425775
YDL040C,YIL099W,0,1.8974199,0.0,0.0,0.001507689245045185
YLR421C,YER050C,0,1.8578645,0.0,0.0,0.0016082018846645951
YBR067C,YHR179W,0,1.8536522,0.0,0.0,0.0017087144078686833
YJL006C,YJL203W,0,1.8468568,0.0,0.0,0.0018092270474880934
YDR471W,YIL107C,0,1.8455455,0.0,0.0,0.0019097396871075034
YGL145W,YNL107W,0,1.8396435,0.0,0.0,0.0020102523267269135
YIL094C,YGR161C,0,1.8360708,0.0,0.0,0.0021107648499310017
YML098W,YDR287W,0,1.830179,0.0,0.0,0.0022112776059657335
YNL246W,YKL157W,0,1.8227898,0.0,0.0,0.0023117901291698217
YGR128C,YPL183C,0,1.8219221,0.0,0.0,0.00241230265237391
YNL298W,YBL084C,1,1.8218858,0.03999999910593033,0.0009514747653156519,0.00241230265237391
YPL012W,YGR128C,0,1.8205527,0.03846153989434242,0.0009514747653156519,0.002512815408408642
YNL006W,YNL081C,0,1.8102133,0.03703703731298447,0.0009514747653156519,0.00261332793161273
YKL141W,YPL061W,0,1.8030331,0.0357142873108387,0.0009514747653156519,0.002713840687647462
YJL191W,YBL101C,0,1.7907922,0.03448275849223137,0.0009514747653156519,0.00281435321085155
YDL100C,YLR056W,0,1.7905822,0.03333333507180214,0.0009514747653156519,0.0029148657340556383
YOL068C,YIL046W,0,1.7851638,0.032258063554763794,0.0009514747653156519,0.00301537849009037
YLR330W,YOR026W,1,1.7817184,0.0625,0.0019029495306313038,0.00301537849009037
YBR169C,YOR293W,0,1.7795596,0.06060606241226196,0.0019029495306313038,0.0031158910132944584
YLR110C,YBR189W,0,1.7753623,0.05882352963089943,0.0019029495306313038,0.0032164037693291903
YHR061C,YBR072W,0,1.7746618,0.05714285746216774,0.0019029495306313038,0.0033169162925332785
YKL194C,YDR082W,0,1.7735276,0.0555555559694767,0.0019029495306313038,0.0034174288157373667
YGL148W,YOL084W,0,1.7732893,0.054054055362939835,0.0019029495306313038,0.0035179415717720985
YMR110C,YJL134W,0,1.7702599,0.05263157933950424,0.0019029495306313038,0.0036184540949761868
YMR294W,YLR103C,1,1.7698975,0.07692307978868484,0.0028544242959469557,0.0036184540949761868
YHR006W,YKR069W,0,1.7646822,0.07500000298023224,0.0028544242959469557,0.003718966618180275
YPR025C,YNL163C,0,1.7645004,0.0731707289814949,0.0028544242959469557,0.003819479374215007
YNL223W,YDR267C,0,1.7631595,0.0714285746216774,0.0028544242959469557,0.003919992130249739
YDL226C,YML118W,0,1.7631478,0.06976744532585144,0.0028544242959469557,0.004020504653453827
YER145C,YOR273C,0,1.7605207,0.06818182021379471,0.0028544242959469557,0.004121017176657915
YDR059C,YBR187W,0,1.7558556,0.06666667014360428,0.0028544242959469557,0.004221529699862003
YLR330W,YGL018C,0,1.7500105,0.06521739065647125,0.0028544242959469557,0.0043220422230660915
YGR048W,YLR291C,0,1.7489543,0.06382978707551956,0.0028544242959469557,0.004422555211931467
YIR021W,YDR202C,0,1.748148,0.0625,0.0028544242959469557,0.004523067735135555
