Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDR342C,YDR343C,1,29.665997,1.0,0.0009990009712055326,0.0
YMR011W,YHR094C,1,26.972456,1.0,0.001998001942411065,0.0
YHR094C,YFR053C,1,25.864489,1.0,0.0029970030300319195,0.0
YCL040W,YHR092C,1,25.565626,1.0,0.00399600388482213,0.0
YBR298C,YHR094C,1,25.088047,1.0,0.004995005205273628,0.0
YDL194W,YHR094C,1,22.186237,1.0,0.005994006060063839,0.0
YDR345C,YFR053C,1,21.950592,1.0,0.00699300691485405,0.0
YHR096C,YGL253W,1,21.794884,1.0,0.00799200776964426,0.0
YFR053C,YHR092C,1,21.469429,1.0,0.008991008624434471,0.0
YPR026W,YHR092C,1,21.297573,1.0,0.009990010410547256,0.0
YMR011W,YPR026W,1,20.974129,1.0,0.010989011265337467,0.0
YMR011W,YBR298C,1,20.348984,1.0,0.011988012120127678,0.0
YCL040W,YHR094C,1,20.273605,1.0,0.012987012974917889,0.0
YPR026W,YHR094C,1,20.179985,1.0,0.0139860138297081,0.0
YMR011W,YCL040W,1,19.96624,1.0,0.01498501468449831,0.0
YGR289C,YHR092C,1,19.941402,1.0,0.01598401553928852,0.0
YBR298C,YHR092C,1,18.759674,1.0,0.016983017325401306,0.0
YDR345C,YJL214W,1,18.600655,1.0,0.017982017248868942,0.0
YGR289C,YHR094C,1,17.902617,1.0,0.018981019034981728,0.0
YHR094C,YDR277C,1,17.626308,1.0,0.019980020821094513,0.0
YMR011W,YFL011W,1,17.386032,1.0,0.02097902074456215,0.0
YDR345C,YCL040W,1,17.054037,1.0,0.021978022530674934,0.0
YJR158W,YDL245C,1,16.877617,1.0,0.02297702245414257,0.0
YMR011W,YIL170W,1,16.770897,1.0,0.023976024240255356,0.0
YDR343C,YHR092C,1,16.710484,1.0,0.024975024163722992,0.0
YHR096C,YPL244C,1,16.427273,1.0,0.025974025949835777,0.0
YNR072W,YCL040W,1,16.41081,1.0,0.026973027735948563,0.0
YJR158W,YGL225W,1,16.358936,1.0,0.0279720276594162,0.0
YLL043W,YHR092C,1,16.332993,1.0,0.028971029445528984,0.0
YGL104C,YHR092C,1,16.295593,1.0,0.02997002936899662,0.0
YFL011W,YFR053C,1,16.249569,1.0,0.030969031155109406,0.0
YDR345C,YDR536W,1,16.058403,1.0,0.03196803107857704,0.0
YJR158W,YMR011W,1,15.9608135,1.0,0.032967034727334976,0.0
YHR096C,YMR011W,1,15.901845,1.0,0.03396603465080261,0.0
YPL026C,YCL040W,1,15.872551,1.0,0.03496503457427025,0.0
YDL138W,YCL040W,1,15.847559,1.0,0.035964034497737885,0.0
YPR026W,YPL244C,1,15.847225,1.0,0.03696303814649582,0.0
YMR011W,YGR289C,1,15.755072,1.0,0.037962038069963455,0.0
YPR026W,YGL225W,1,15.672418,1.0,0.03896103799343109,0.0
YDR342C,YJL214W,1,15.489218,1.0,0.039960041642189026,0.0
YJL219W,YCL040W,1,15.476255,1.0,0.04095904156565666,0.0
YJL219W,YFR053C,1,15.349403,1.0,0.0419580414891243,0.0
YER039C,YHR094C,1,15.265545,1.0,0.042957041412591934,0.0
YPR026W,YGL253W,1,15.263691,1.0,0.04395604506134987,0.0
YHR096C,YHR092C,1,15.234292,1.0,0.044955044984817505,0.0
YGL225W,YJL214W,1,15.152965,1.0,0.04595404490828514,0.0
YBR298C,YDR345C,1,15.109037,1.0,0.046953048557043076,0.0
YMR011W,YJL214W,1,15.102878,1.0,0.04795204848051071,0.0
YDL138W,YFR053C,1,14.945087,1.0,0.04895104840397835,0.0
YFL011W,YGL253W,1,14.802736,1.0,0.049950048327445984,0.0
YDR343C,YJL214W,1,14.795879,1.0,0.05094905197620392,0.0
YFL011W,YCL040W,1,14.789112,1.0,0.051948051899671555,0.0
YMR011W,YEL069C,1,14.779337,1.0,0.05294705182313919,0.0
YHR096C,YDR345C,1,14.691042,1.0,0.053946055471897125,0.0
YHR096C,YGL225W,1,14.659237,1.0,0.05494505539536476,0.0
YDR342C,YJL219W,1,14.56889,1.0,0.0559440553188324,0.0
YMR011W,YDL194W,1,14.530569,1.0,0.056943055242300034,0.0
YDL138W,YGR289C,1,14.528761,1.0,0.05794205889105797,0.0
YGR289C,YGL225W,1,14.457996,1.0,0.058941058814525604,0.0
YBR298C,YGL225W,1,14.436836,1.0,0.05994005873799324,0.0
YDR342C,YHR094C,1,14.411726,1.0,0.060939062386751175,0.0
YDR342C,YLR081W,1,14.274281,1.0,0.06193806231021881,0.0
YER039C,YHR092C,1,14.243853,1.0,0.06293706595897675,0.0
YEL069C,YFR053C,1,14.099323,1.0,0.06393606215715408,0.0
YPR026W,YML038C,1,14.082995,1.0,0.06493506580591202,0.0
YDR342C,YER039C,1,14.072569,1.0,0.06593406945466995,0.0
YDL085W,YMR319C,0,14.017946,0.9850746393203735,0.06593406945466995,0.00010001000191550702
YPL026C,YBR298C,1,14.017528,0.9852941036224365,0.06693306565284729,0.00010001000191550702
YCL040W,YJL214W,1,14.003677,0.9855072498321533,0.06793206930160522,0.00010001000191550702
YDR342C,YFL011W,1,13.966549,0.9857142567634583,0.06893106549978256,0.00010001000191550702
YJR158W,YHR092C,1,13.798107,0.98591548204422,0.0699300691485405,0.00010001000191550702
YEL069C,YHR092C,1,13.796322,0.9861111044883728,0.07092907279729843,0.00010001000191550702
YJR160C,YCL040W,1,13.660824,0.9863013625144958,0.07192806899547577,0.00010001000191550702
YER039C,YFR053C,1,13.641354,0.9864864945411682,0.0729270726442337,0.00010001000191550702
YDR345C,YDR277C,1,13.639818,0.9866666793823242,0.07392607629299164,0.00010001000191550702
YDR342C,YEL069C,1,13.629072,0.9868420958518982,0.07492507249116898,0.00010001000191550702
YDR342C,YDR277C,1,13.61811,0.9870129823684692,0.07592407613992691,0.00010001000191550702
YJL219W,YHR092C,1,13.579261,0.9871794581413269,0.07692307978868484,0.00010001000191550702
YMR011W,YDR277C,1,13.5381365,0.9873417615890503,0.07792207598686218,0.00010001000191550702
YJL219W,YIL170W,1,13.4754925,0.987500011920929,0.07892107963562012,0.00010001000191550702
YMR011W,YOL156W,1,13.392278,0.9876543283462524,0.07992008328437805,0.00010001000191550702
YLR081W,YFR053C,1,13.381894,0.9878048896789551,0.08091907948255539,0.00010001000191550702
YGL084C,YHR092C,1,13.286741,0.9879518151283264,0.08191808313131332,0.00010001000191550702
YLL043W,YCL040W,1,13.274147,0.988095223903656,0.08291707932949066,0.00010001000191550702
YDR342C,YDR345C,1,13.269482,0.9882352948188782,0.0839160829782486,0.00010001000191550702
YJL219W,YPR026W,1,13.255554,0.9883720874786377,0.08491508662700653,0.00010001000191550702
YMR011W,YIL171W,1,13.25259,0.9885057210922241,0.08591408282518387,0.00010001000191550702
YLR081W,YDR345C,1,13.218526,0.9886363744735718,0.0869130864739418,0.00010001000191550702
YGL084C,YFR053C,1,13.158404,0.9887640476226807,0.08791209012269974,0.00010001000191550702
YJL219W,YGL253W,1,13.105639,0.9888888597488403,0.08891108632087708,0.00010001000191550702
YGL253W,YBR298C,1,13.105383,0.9890109896659851,0.08991008996963501,0.00010001000191550702
YDR342C,YMR011W,1,13.096694,0.989130437374115,0.09090909361839294,0.00010001000191550702
YJR158W,YEL069C,1,13.09633,0.9892473220825195,0.09190808981657028,0.00010001000191550702
YBR298C,YJR160C,1,13.086798,0.9893617033958435,0.09290709346532822,0.00010001000191550702
YLR081W,YMR011W,1,13.066412,0.9894737005233765,0.09390609711408615,0.00010001000191550702
YLR081W,YHR092C,1,13.04339,0.9895833134651184,0.09490509331226349,0.00010001000191550702
YHR094C,YOL156W,1,13.029412,0.9896907210350037,0.09590409696102142,0.00010001000191550702
YMR083W,YMR303C,0,13.024111,0.9795918464660645,0.09590409696102142,0.00020002000383101404
YFR053C,YJL214W,1,13.016612,0.9797979593276978,0.09690310060977936,0.00020002000383101404
YJR158W,YHR096C,1,12.991497,0.9800000190734863,0.0979020968079567,0.00020002000383101404
YFL011W,YHR094C,1,12.988559,0.9801980257034302,0.09890110045671463,0.00020002000383101404
YDR343C,YGR289C,1,12.956048,0.9803921580314636,0.09990009665489197,0.00020002000383101404
YBR298C,YCL040W,1,12.913414,0.9805825352668762,0.1008991003036499,0.00020002000383101404
YDR342C,YPL026C,1,12.881397,0.9807692170143127,0.10189810395240784,0.00020002000383101404
YCL040W,YEL004W,1,12.876385,0.9809523820877075,0.10289710015058517,0.00020002000383101404
YJL219W,YDR343C,1,12.876191,0.9811320900917053,0.10389610379934311,0.00020002000383101404
YHR092C,YOL156W,1,12.753252,0.9813084006309509,0.10489510744810104,0.00020002000383101404
YDR343C,YMR011W,1,12.723951,0.9814814925193787,0.10589410364627838,0.00020002000383101404
YHR096C,YGR289C,1,12.683924,0.9816513657569885,0.10689310729503632,0.00020002000383101404
