Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBR072W,YNR031C,0,-1.0956159,0.0,0.0,9.999999747378752e-05
YER062C,YKL178C,0,-1.1883013,0.0,0.0,0.00019999999494757503
YBR072W,YER003C,0,-1.2327886,0.0,0.0,0.0003000000142492354
YER054C,YLR092W,0,-1.5064632,0.0,0.0,0.00039999998989515007
YGL017W,YBR072W,0,-1.5487988,0.0,0.0,0.0005000000237487257
YER054C,YOR351C,0,-1.6511108,0.0,0.0,0.0006000000284984708
YNL118C,YBR072W,0,-1.659348,0.0,0.0,0.000699999975040555
YKL185W,YGR008C,0,-1.7025975,0.0,0.0,0.0007999999797903001
YER054C,YGR192C,0,-1.7121841,0.0,0.0,0.0008999999845400453
YNR075W,YDR429C,0,-1.7462952,0.0,0.0,0.0010000000474974513
YBR072W,YKL062W,0,-1.805421,0.0,0.0,0.0010999999940395355
YJL091C,YBR072W,0,-1.8848788,0.0,0.0,0.0012000000569969416
YHR075C,YPR140W,0,-1.8951445,0.0,0.0,0.0013000000035390258
YAL053W,YFL014W,0,-1.9442816,0.0,0.0,0.00139999995008111
YER014C-A,YDR516C,0,-1.9510721,0.0,0.0,0.001500000013038516
YHR142W,YER103W,0,-1.9551965,0.0,0.0,0.0015999999595806003
YBR244W,YOL080C,0,-1.9572463,0.0,0.0,0.0017000000225380063
YBR072W,YDR386W,0,-1.96466,0.0,0.0,0.0017999999690800905
YHR124W,YKR059W,0,-1.9706059,0.0,0.0,0.0019000000320374966
YDL083C,YLL012W,0,-1.9816211,0.0,0.0,0.0020000000949949026
YLR205C,YGR192C,0,-2.0083175,0.0,0.0,0.002099999925121665
YGR161C,YNL304W,0,-2.0193944,0.0,0.0,0.002199999988079071
YIL155C,YNL209W,0,-2.019992,0.0,0.0,0.002300000051036477
YDR524C,YBR072W,0,-2.024224,0.0,0.0,0.002400000113993883
YPR049C,YER062C,0,-2.035063,0.0,0.0,0.0024999999441206455
YBL075C,YDL244W,0,-2.058768,0.0,0.0,0.0026000000070780516
YFR055W,YDL014W,0,-2.0823452,0.0,0.0,0.0027000000700354576
YDR492W,YPR083W,0,-2.0937254,0.0,0.0,0.00279999990016222
YLR347C,YBL075C,0,-2.1005895,0.0,0.0,0.002899999963119626
YFR030W,YLR014C,0,-2.1043842,0.0,0.0,0.003000000026077032
YJR137C,YBR240C,0,-2.115042,0.0,0.0,0.003100000089034438
YKL008C,YGR161C,0,-2.1202152,0.0,0.0,0.0031999999191612005
YGL089C,YJR063W,0,-2.1213624,0.0,0.0,0.0032999999821186066
YOR109W,YBL075C,0,-2.1230693,0.0,0.0,0.0034000000450760126
YHR143W,YHR096C,0,-2.128561,0.0,0.0,0.0035000001080334187
YGR088W,YEL020W-A,0,-2.13755,0.0,0.0,0.003599999938160181
YOL101C,YOR297C,0,-2.1386127,0.0,0.0,0.003700000001117587
YBR072W,YOR208W,0,-2.1394951,0.0,0.0,0.003800000064074993
YBR085W,YFR055W,0,-2.140632,0.0,0.0,0.0038999998942017555
YER044C-A,YGR214W,0,-2.1421654,0.0,0.0,0.004000000189989805
YIL155C,YDL130W,0,-2.1424546,0.0,0.0,0.004100000020116568
YJR013W,YFL014W,0,-2.1438668,0.0,0.0,0.00419999985024333
YMR015C,YML091C,0,-2.1560946,0.0,0.0,0.00430000014603138
YOR120W,YGR082W,0,-2.161023,0.0,0.0,0.004399999976158142
YKR024C,YHR123W,0,-2.1768725,0.0,0.0,0.0044999998062849045
YFL011W,YAL005C,0,-2.1885026,0.0,0.0,0.004600000102072954
YGR088W,YHR050W,0,-2.188985,0.0,0.0,0.004699999932199717
YFL014W,YOR310C,0,-2.18914,0.0,0.0,0.004800000227987766
YMR246W,YER070W,0,-2.1917677,0.0,0.0,0.004900000058114529
YNL210W,YBR083W,0,-2.1925094,0.0,0.0,0.004999999888241291
YER062C,YOR068C,0,-2.1958113,0.0,0.0,0.005100000184029341
YLR286C,YHR094C,0,-2.207579,0.0,0.0,0.005200000014156103
YHR094C,YKR053C,0,-2.209894,0.0,0.0,0.0052999998442828655
YOL034W,YBL075C,0,-2.2099843,0.0,0.0,0.005400000140070915
YER044C-A,YNL209W,0,-2.2160575,0.0,0.0,0.005499999970197678
YCL025C,YOR298W,0,-2.2266018,0.0,0.0,0.00559999980032444
YML128C,YLR234W,0,-2.2306604,0.0,0.0,0.00570000009611249
YGR088W,YGR213C,0,-2.2328389,0.0,0.0,0.005799999926239252
YOR237W,YLR205C,0,-2.233396,0.0,0.0,0.005900000222027302
YDR147W,YJR028W,0,-2.259047,0.0,0.0,0.006000000052154064
YAL054C,YBR294W,0,-2.2642586,0.0,0.0,0.006099999882280827
YLR056W,YBR240C,0,-2.2672307,0.0,0.0,0.006200000178068876
YMR305C,YBR240C,0,-2.2714312,0.0,0.0,0.006300000008195639
YFL010W-A,YOR348C,0,-2.2746854,0.0,0.0,0.006399999838322401
YGR008C,YER160C,0,-2.276468,0.0,0.0,0.006500000134110451
YPL265W,YMR165C,0,-2.2792637,0.0,0.0,0.006599999964237213
YHR092C,YDR306C,0,-2.2841897,0.0,0.0,0.0066999997943639755
YNL023C,YER103W,0,-2.2855089,0.0,0.0,0.006800000090152025
YKL011C,YHR175W,0,-2.2871392,0.0,0.0,0.006899999920278788
YCL044C,YKR095W-A,0,-2.2878344,0.0,0.0,0.007000000216066837
YHR176W,YMR104C,0,-2.290394,0.0,0.0,0.0071000000461936
YOR037W,YFR053C,0,-2.29617,0.0,0.0,0.007199999876320362
YIL119C,YDR011W,0,-2.299629,0.0,0.0,0.007300000172108412
YJL102W,YPL171C,0,-2.3008053,0.0,0.0,0.007400000002235174
YDL083C,YHR167W,0,-2.3091152,0.0,0.0,0.007499999832361937
YGL253W,YLR132C,0,-2.310817,0.0,0.0,0.007600000128149986
YKR020W,YJL113W,0,-2.3125293,0.0,0.0,0.007699999958276749
YMR042W,YHR092C,0,-2.3156848,0.0,0.0,0.007799999788403511
YLL008W,YGL209W,0,-2.328009,0.0,0.0,0.007899999618530273
YLR098C,YOL101C,0,-2.3281882,0.0,0.0,0.00800000037997961
YCL044C,YPL131W,0,-2.3368897,0.0,0.0,0.008100000210106373
YCR047C,YLR136C,0,-2.338273,0.0,0.0,0.008200000040233135
YDR170W-A,YML040W,0,-2.3403573,0.0,0.0,0.008299999870359898
YGL124C,YAR009C,0,-2.3440566,0.0,0.0,0.00839999970048666
YBR072W,YJL104W,0,-2.345808,0.0,0.0,0.008500000461935997
YLR451W,YBL106C,0,-2.3471859,0.0,0.0,0.00860000029206276
YDR270W,YDR146C,0,-2.353892,0.0,0.0,0.008700000122189522
YPR049C,YOR185C,0,-2.3579786,0.0,0.0,0.008799999952316284
YMR068W,YFL026W,0,-2.3589633,0.0,0.0,0.008899999782443047
YML130C,YJR035W,0,-2.3677323,0.0,0.0,0.008999999612569809
YDR283C,YHR170W,0,-2.3689995,0.0,0.0,0.009100000374019146
YFL023W,YLR136C,0,-2.3716457,0.0,0.0,0.009200000204145908
YFR030W,YIL119C,0,-2.3750248,0.0,0.0,0.00930000003427267
YAL012W,YGL104C,0,-2.3795629,0.0,0.0,0.009399999864399433
YGL095C,YML131W,0,-2.380685,0.0,0.0,0.009499999694526196
YFL010W-A,YNR049C,0,-2.385599,0.0,0.0,0.009600000455975533
YDR492W,YGR089W,0,-2.387751,0.0,0.0,0.009700000286102295
YGL178W,YKL203C,1,-2.3879254,0.010204081423580647,0.0010000000474974513,0.009700000286102295
YFR055W,YLR150W,0,-2.3881166,0.010101010091602802,0.0010000000474974513,0.009800000116229057
YER073W,YER062C,0,-2.3912463,0.009999999776482582,0.0010000000474974513,0.00989999994635582
YJR127C,YCR102C,0,-2.394719,0.009900989942252636,0.0010000000474974513,0.009999999776482582
YML128C,YPR054W,0,-2.3964357,0.009803921915590763,0.0010000000474974513,0.010099999606609344
YBL006C,YCR102C,0,-2.397056,0.009708737954497337,0.0010000000474974513,0.010200000368058681
YHR094C,YMR067C,0,-2.4011037,0.009615384973585606,0.0010000000474974513,0.010300000198185444
YNR011C,YMR260C,0,-2.4091754,0.009523809887468815,0.0010000000474974513,0.010400000028312206
YLL019C,YKL070W,0,-2.410042,0.009433962404727936,0.0010000000474974513,0.010499999858438969
YCR107W,YDR516C,0,-2.411702,0.009345794096589088,0.0010000000474974513,0.010599999688565731
YMR055C,YBR160W,1,-2.4136217,0.018518518656492233,0.0020000000949949026,0.010599999688565731
YFL014W,YKL008C,0,-2.4140897,0.01834862306714058,0.0020000000949949026,0.010700000450015068
YLR234W,YPR078C,0,-2.4142034,0.0181818176060915,0.0020000000949949026,0.01080000028014183
YNR054C,YOR237W,0,-2.4155061,0.018018018454313278,0.0020000000949949026,0.010900000110268593
YBR118W,YMR087W,0,-2.4169815,0.01785714365541935,0.0020000000949949026,0.010999999940395355
YBL057C,YML131W,0,-2.4178126,0.017699114978313446,0.0020000000949949026,0.011099999770522118
YNL210W,YFR033C,0,-2.417968,0.017543859779834747,0.0020000000949949026,0.01119999960064888
YJR073C,YNL304W,0,-2.4183204,0.017391303554177284,0.0020000000949949026,0.011300000362098217
YGL253W,YBL075C,0,-2.4264274,0.017241379246115685,0.0020000000949949026,0.01140000019222498
YPL131W,YBR012W-B,0,-2.4277956,0.017094017937779427,0.0020000000949949026,0.011500000022351742
YHR039C,YIL121W,0,-2.4283285,0.016949152573943138,0.0020000000949949026,0.011599999852478504
YGL256W,YNL250W,0,-2.4284942,0.016806723549962044,0.0020000000949949026,0.011699999682605267
YNL065W,YGL225W,0,-2.4295018,0.01666666753590107,0.0020000000949949026,0.011800000444054604
YNL112W,YJL025W,0,-2.434061,0.01652892492711544,0.0020000000949949026,0.011900000274181366
YLR056W,YDR306C,0,-2.4341705,0.016393441706895828,0.0020000000949949026,0.012000000104308128
YER117W,YMR117C,0,-2.435197,0.016260161995887756,0.0020000000949949026,0.01209999993443489
YDR492W,YCL075W,0,-2.43627,0.016129031777381897,0.0020000000949949026,0.012199999764561653
YJR035W,YNL007C,0,-2.4376562,0.01600000075995922,0.0020000000949949026,0.012299999594688416
YHR157W,YAR007C,0,-2.438988,0.01587301678955555,0.0020000000949949026,0.012400000356137753
YIL046W,YDL039C,0,-2.4423578,0.015748031437397003,0.0020000000949949026,0.012500000186264515
YDR077W,YDR018C,0,-2.4521315,0.015625,0.0020000000949949026,0.012600000016391277
YNL199C,YCR102C,0,-2.4526155,0.01550387591123581,0.0020000000949949026,0.01269999984651804
YNL327W,YOL129W,0,-2.4534206,0.015384615398943424,0.0020000000949949026,0.012799999676644802
YGL183C,YKR056W,0,-2.4596903,0.015267175622284412,0.0020000000949949026,0.012900000438094139
YGR193C,YGR251W,0,-2.4599795,0.01515151560306549,0.0020000000949949026,0.013000000268220901
YPL209C,YDR425W,0,-2.4605327,0.015037594363093376,0.0020000000949949026,0.013100000098347664
YFR053C,YGL067W,0,-2.4607155,0.014925372786819935,0.0020000000949949026,0.013199999928474426
YIL019W,YMR058W,0,-2.4607298,0.014814814552664757,0.0020000000949949026,0.013299999758601189
YBR159W,YPL146C,0,-2.4610054,0.014705882407724857,0.0020000000949949026,0.013399999588727951
YLR205C,YBR087W,0,-2.4635384,0.014598540030419827,0.0020000000949949026,0.013500000350177288
YDR492W,YNL126W,0,-2.4654949,0.014492753893136978,0.0020000000949949026,0.01360000018030405
YML104C,YER070W,0,-2.4663804,0.014388489536941051,0.0020000000949949026,0.013700000010430813
YLR265C,YAR009C,0,-2.4673128,0.014285714365541935,0.0020000000949949026,0.013799999840557575
YLL018C-A,YPR081C,0,-2.4689772,0.014184396713972092,0.0020000000949949026,0.013899999670684338
YGR256W,YER053C,0,-2.4690812,0.014084506779909134,0.0020000000949949026,0.014000000432133675
YBR049C,YKL075C,0,-2.4705608,0.0139860138297081,0.0020000000949949026,0.014100000262260437
YIL119C,YER041W,0,-2.471117,0.013888888992369175,0.0020000000949949026,0.0142000000923872
YOR185C,YGR004W,0,-2.4719598,0.013793103396892548,0.0020000000949949026,0.014299999922513962
YNL192W,YOR003W,0,-2.472554,0.013698630034923553,0.0020000000949949026,0.014399999752640724
YDR395W,YCR102C,0,-2.4770818,0.013605441898107529,0.0020000000949949026,0.014499999582767487
YJR127C,YAR010C,0,-2.4777453,0.013513513840734959,0.0020000000949949026,0.014600000344216824
YKL001C,YDL247W,0,-2.477855,0.01342281885445118,0.0020000000949949026,0.014700000174343586
YBL025W,YLR197W,0,-2.4795578,0.013333333656191826,0.0020000000949949026,0.014800000004470348
YPR030W,YMR015C,0,-2.483097,0.013245033100247383,0.0020000000949949026,0.01489999983459711
YDR393W,YCR102C,0,-2.483791,0.01315789483487606,0.0020000000949949026,0.014999999664723873
YPR049C,YOR317W,0,-2.4838328,0.013071895577013493,0.0020000000949949026,0.01510000042617321
YBR072W,YBL005W-B,0,-2.486166,0.012987012974917889,0.0020000000949949026,0.015200000256299973
YOL086C,YGL047W,0,-2.4863517,0.012903225608170033,0.0020000000949949026,0.015300000086426735
YAL003W,YOR237W,0,-2.4864748,0.012820512987673283,0.0020000000949949026,0.015399999916553497
YIR005W,YAL068C,0,-2.4922395,0.012738853693008423,0.0020000000949949026,0.01549999974668026
YPR200C,YLR467W,0,-2.4939904,0.012658228166401386,0.0020000000949949026,0.015599999576807022
YPR102C,YER087C-A,0,-2.4964507,0.012578615918755531,0.0020000000949949026,0.015699999406933784
YBR243C,YER054C,0,-2.498133,0.012500000186264515,0.0020000000949949026,0.015799999237060547
YDR460W,YIL082W-A,0,-2.5020845,0.012422360479831696,0.0020000000949949026,0.01590000092983246
YFR030W,YHR066W,0,-2.5026157,0.012345679104328156,0.0020000000949949026,0.01600000075995922
YNR075W,YLL022C,0,-2.5034058,0.012269938364624977,0.0020000000949949026,0.016100000590085983
YDR308C,YOR287C,0,-2.5041215,0.012195121496915817,0.0020000000949949026,0.016200000420212746
YKL172W,YNL053W,0,-2.5079534,0.012121211737394333,0.0020000000949949026,0.016300000250339508
YMR186W,YER106W,0,-2.508607,0.012048192322254181,0.0020000000949949026,0.01640000008046627
YDR055W,YOR132W,0,-2.5089397,0.011976048350334167,0.0020000000949949026,0.016499999910593033
YHR053C,YLR126C,0,-2.51,0.011904762126505375,0.0020000000949949026,0.016599999740719795
YMR309C,YGL039W,0,-2.510564,0.011834319680929184,0.0020000000949949026,0.016699999570846558
YMR250W,YNL186W,0,-2.511038,0.0117647061124444,0.0020000000949949026,0.01679999940097332
YJR105W,YBL005W-B,0,-2.5114923,0.011695906519889832,0.0020000000949949026,0.016899999231100082
YOR281C,YMR087W,0,-2.5124636,0.011627906933426857,0.0020000000949949026,0.017000000923871994
YKL004W,YML131W,0,-2.5126045,0.011560693383216858,0.0020000000949949026,0.017100000753998756
YBR233W-A,YHR016C,0,-2.5144045,0.01149425283074379,0.0020000000949949026,0.01720000058412552
YML126C,YPL275W,0,-2.514588,0.011428571306169033,0.0020000000949949026,0.01730000041425228
YHR142W,YHR096C,0,-2.5161312,0.011363636702299118,0.0020000000949949026,0.017400000244379044
