Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YKL201C,YKL200C,1,-4.016303,1.0,0.0010000000474974513,0.0
YOR036W,YDR055W,0,-4.4090347,0.5,0.0010000000474974513,9.999999747378752e-05
YDR191W,YDR235W,0,-4.454639,0.3333333432674408,0.0010000000474974513,0.00019999999494757503
YOL080C,YNL002C,0,-4.4912767,0.25,0.0010000000474974513,0.0003000000142492354
YGL120C,YLR009W,0,-4.495566,0.20000000298023224,0.0010000000474974513,0.00039999998989515007
YPL217C,YGL078C,0,-4.495615,0.1666666716337204,0.0010000000474974513,0.0005000000237487257
YDL153C,YIR012W,0,-4.5279026,0.1428571492433548,0.0010000000474974513,0.0006000000284984708
YMR207C,YOR328W,0,-4.5635986,0.125,0.0010000000474974513,0.000699999975040555
YPR144C,YOL124C,0,-4.569585,0.1111111119389534,0.0010000000474974513,0.0007999999797903001
YGL027C,YGR199W,1,-4.6083117,0.20000000298023224,0.0020000000949949026,0.0007999999797903001
YML080W,YGR195W,0,-4.6092377,0.1818181872367859,0.0020000000949949026,0.0008999999845400453
YJR097W,YDR449C,0,-4.6225367,0.1666666716337204,0.0020000000949949026,0.0010000000474974513
YDL150W,YDR165W,0,-4.624647,0.1538461595773697,0.0020000000949949026,0.0010999999940395355
YGL029W,YIR012W,0,-4.640205,0.1428571492433548,0.0020000000949949026,0.0012000000569969416
YLR175W,YLR009W,0,-4.6556187,0.13333334028720856,0.0020000000949949026,0.0013000000035390258
YHR154W,YNL126W,0,-4.663264,0.125,0.0020000000949949026,0.00139999995008111
YLR048W,YML024W,0,-4.667789,0.11764705926179886,0.0020000000949949026,0.001500000013038516
YJL063C,YGR082W,0,-4.6750407,0.1111111119389534,0.0020000000949949026,0.0015999999595806003
YPL078C,YEL050C,0,-4.6936407,0.10526315867900848,0.0020000000949949026,0.0017000000225380063
YMR239C,YDR324C,0,-4.6938896,0.10000000149011612,0.0020000000949949026,0.0017999999690800905
YLR048W,YKL212W,0,-4.6965494,0.095238097012043,0.0020000000949949026,0.0019000000320374966
YBR110W,YGL027C,1,-4.697069,0.13636364042758942,0.003000000026077032,0.0019000000320374966
YML080W,YER082C,0,-4.699296,0.1304347813129425,0.003000000026077032,0.0020000000949949026
YJL125C,YGL016W,0,-4.703039,0.125,0.003000000026077032,0.002099999925121665
YDR294C,YHL024W,0,-4.7120905,0.11999999731779099,0.003000000026077032,0.002199999988079071
YGL029W,YGR103W,0,-4.713956,0.11538461595773697,0.003000000026077032,0.002300000051036477
YOR099W,YDL093W,1,-4.7204356,0.14814814925193787,0.004000000189989805,0.002300000051036477
YBR154C,YER082C,0,-4.7266793,0.1428571492433548,0.004000000189989805,0.002400000113993883
YFL014W,YNL055C,0,-4.7317457,0.13793103396892548,0.004000000189989805,0.0024999999441206455
YBR243C,YER003C,1,-4.743765,0.1666666716337204,0.004999999888241291,0.0024999999441206455
YMR165C,YNL138W,0,-4.7456264,0.16129031777381897,0.004999999888241291,0.0026000000070780516
YJR145C,YKL212W,0,-4.7487946,0.15625,0.004999999888241291,0.0027000000700354576
YJL208C,YDR324C,0,-4.750594,0.1515151560306549,0.004999999888241291,0.00279999990016222
YEL027W,YLR459W,0,-4.7522554,0.14705882966518402,0.004999999888241291,0.002899999963119626
YJR031C,YPL155C,0,-4.752405,0.1428571492433548,0.004999999888241291,0.003000000026077032
YBR132C,YDR077W,0,-4.765152,0.1388888955116272,0.004999999888241291,0.003100000089034438
YER001W,YER003C,1,-4.7726016,0.1621621549129486,0.006000000052154064,0.003100000089034438
YKL191W,YGR103W,0,-4.7732515,0.15789473056793213,0.006000000052154064,0.0031999999191612005
YLR002C,YOR095C,0,-4.774138,0.1538461595773697,0.006000000052154064,0.0032999999821186066
YER003C,YGL225W,1,-4.7802444,0.17499999701976776,0.007000000216066837,0.0032999999821186066
YMR260C,YMR146C,0,-4.7846065,0.17073170840740204,0.007000000216066837,0.0034000000450760126
YPR135W,YDR440W,0,-4.7847385,0.1666666716337204,0.007000000216066837,0.0035000001080334187
YDL126C,YGR080W,0,-4.78555,0.1627907007932663,0.007000000216066837,0.003599999938160181
YER127W,YPR110C,0,-4.785862,0.15909090638160706,0.007000000216066837,0.003700000001117587
YDL093W,YGL022W,1,-4.7909055,0.17777778208255768,0.00800000037997961,0.003700000001117587
YGL027C,YMR013C,1,-4.7912893,0.19565217196941376,0.008999999612569809,0.003700000001117587
YKL022C,YDR310C,0,-4.793154,0.19148936867713928,0.008999999612569809,0.003800000064074993
YDR060W,YDR465C,0,-4.7939434,0.1875,0.008999999612569809,0.0038999998942017555
YPR183W,YGL225W,1,-4.7993374,0.20408163964748383,0.009999999776482582,0.0038999998942017555
YNL023C,YHR088W,0,-4.799624,0.20000000298023224,0.009999999776482582,0.004000000189989805
YBR110W,YDR221W,1,-4.802122,0.21568627655506134,0.010999999940395355,0.004000000189989805
YBL041W,YHR012W,0,-4.8043,0.21153846383094788,0.010999999940395355,0.004100000020116568
YDL095W,YEL031W,1,-4.8066263,0.22641509771347046,0.012000000104308128,0.004100000020116568
YGL065C,YGL027C,1,-4.8066683,0.24074074625968933,0.013000000268220901,0.004100000020116568
YDR481C,YCR061W,0,-4.806816,0.23636363446712494,0.013000000268220901,0.00419999985024333
YGL029W,YPR163C,0,-4.80771,0.2321428507566452,0.013000000268220901,0.00430000014603138
YCL044C,YPR181C,0,-4.8079348,0.22807016968727112,0.013000000268220901,0.004399999976158142
YOL115W,YPL151C,0,-4.8102665,0.22413793206214905,0.013000000268220901,0.0044999998062849045
YJR160C,YAR035W,0,-4.8110523,0.22033898532390594,0.013000000268220901,0.004600000102072954
YLL035W,YCR072C,0,-4.812365,0.21666666865348816,0.013000000268220901,0.004699999932199717
YBR110W,YJL139C,1,-4.8153477,0.2295081913471222,0.014000000432133675,0.004699999932199717
YBR081C,YGL145W,0,-4.8157206,0.22580644488334656,0.014000000432133675,0.004800000227987766
YKL213C,YPL249C,0,-4.8170786,0.2222222238779068,0.014000000432133675,0.004900000058114529
YDR280W,YPL239W,0,-4.8255033,0.21875,0.014000000432133675,0.004999999888241291
YGL027C,YJR131W,1,-4.829152,0.23076923191547394,0.014999999664723873,0.004999999888241291
YJL092W,YER070W,0,-4.8326373,0.22727273404598236,0.014999999664723873,0.005100000184029341
YHL019C,YPR185W,0,-4.8328543,0.2238806039094925,0.014999999664723873,0.005200000014156103
YIR019C,YLR466W,0,-4.8335295,0.22058823704719543,0.014999999664723873,0.0052999998442828655
YBR164C,YMR235C,0,-4.838769,0.21739129722118378,0.014999999664723873,0.005400000140070915
YLR276C,YIR012W,0,-4.8389435,0.2142857164144516,0.014999999664723873,0.005499999970197678
YLR129W,YDR060W,0,-4.8391247,0.2112676054239273,0.014999999664723873,0.00559999980032444
YNL333W,YAR035W,0,-4.840889,0.2083333283662796,0.014999999664723873,0.00570000009611249
YDL095W,YMR013C,1,-4.841095,0.21917808055877686,0.01600000075995922,0.00570000009611249
YGL226C-A,YER003C,1,-4.841149,0.22972972691059113,0.017000000923871994,0.00570000009611249
YOR267C,YER142C,0,-4.842286,0.2266666740179062,0.017000000923871994,0.005799999926239252
YJL005W,YDR293C,0,-4.8424525,0.22368420660495758,0.017000000923871994,0.005900000222027302
YNL116W,YER103W,0,-4.8443956,0.22077922523021698,0.017000000923871994,0.006000000052154064
YLR074C,YKR060W,0,-4.8449144,0.21794871985912323,0.017000000923871994,0.006099999882280827
YCR020C,YHL027W,0,-4.84774,0.2151898741722107,0.017000000923871994,0.006200000178068876
YDR414C,YMR013C,1,-4.850086,0.22499999403953552,0.017999999225139618,0.006200000178068876
YKL129C,YMR104C,0,-4.8505316,0.2222222238779068,0.017999999225139618,0.006300000008195639
YKR066C,YIL155C,0,-4.850945,0.2195121943950653,0.017999999225139618,0.006399999838322401
YOR078W,YOL125W,0,-4.852658,0.21686747670173645,0.017999999225139618,0.006500000134110451
YHR158C,YFR040W,0,-4.8533435,0.2142857164144516,0.017999999225139618,0.006599999964237213
YDR345C,YGL096W,0,-4.854087,0.21176470816135406,0.017999999225139618,0.0066999997943639755
YIL098C,YGR220C,0,-4.856825,0.20930232107639313,0.017999999225139618,0.006800000090152025
YPR178W,YOL148C,0,-4.857231,0.2068965584039688,0.017999999225139618,0.006899999920278788
YGR158C,YPL012W,0,-4.8577375,0.20454545319080353,0.017999999225139618,0.007000000216066837
YBR243C,YJL002C,1,-4.858871,0.21348313987255096,0.01899999938905239,0.007000000216066837
YDR085C,YGR070W,0,-4.85944,0.21111111342906952,0.01899999938905239,0.0071000000461936
YMR207C,YAL051W,0,-4.859734,0.20879121124744415,0.01899999938905239,0.007199999876320362
YDR191W,YAR002W,0,-4.8613944,0.20652173459529877,0.01899999938905239,0.007300000172108412
YDL155W,YPR046W,0,-4.8622956,0.20430107414722443,0.01899999938905239,0.007400000002235174
YIR023W,YMR277W,0,-4.8624887,0.20212766528129578,0.01899999938905239,0.007499999832361937
YCR048W,YDR213W,0,-4.8674564,0.20000000298023224,0.01899999938905239,0.007600000128149986
YPL086C,YDR083W,0,-4.8694363,0.1979166716337204,0.01899999938905239,0.007699999958276749
YKL108W,YML109W,0,-4.8722806,0.19587628543376923,0.01899999938905239,0.007799999788403511
