Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBL078C,YFL011W,0,-2.45464,0.0,0.0,9.999999747378752e-05
YNL112W,YMR059W,0,-2.661415,0.0,0.0,0.00019999999494757503
YDL142C,YBR066C,0,-2.6686237,0.0,0.0,0.0003000000142492354
YLR390W-A,YML128C,0,-2.7157688,0.0,0.0,0.00039999998989515007
YML058W-A,YHL022C,0,-2.7579825,0.0,0.0,0.0005000000237487257
YPL091W,YOR348C,0,-2.7969303,0.0,0.0,0.0006000000284984708
YHR075C,YPL138C,0,-2.8015149,0.0,0.0,0.000699999975040555
YGR014W,YOR348C,0,-2.8062122,0.0,0.0,0.0007999999797903001
YNR057C,YPL093W,0,-2.8587766,0.0,0.0,0.0008999999845400453
YBR072W,YBL007C,0,-2.860097,0.0,0.0,0.0010000000474974513
YHR094C,YDR243C,0,-2.8676317,0.0,0.0,0.0010999999940395355
YHL022C,YBR183W,0,-2.8898835,0.0,0.0,0.0012000000569969416
YBR072W,YER041W,0,-2.8959026,0.0,0.0,0.0013000000035390258
YER054C,YPL130W,0,-2.900136,0.0,0.0,0.00139999995008111
YCR020C,YHL024W,0,-2.9007373,0.0,0.0,0.001500000013038516
YNR057C,YER062C,0,-2.9171743,0.0,0.0,0.0015999999595806003
YGR060W,YIL119C,0,-2.9222903,0.0,0.0,0.0017000000225380063
YLR131C,YDR501W,0,-2.9244108,0.0,0.0,0.0017999999690800905
YJR073C,YDR425W,0,-2.9331226,0.0,0.0,0.0019000000320374966
YBR072W,YBL034C,0,-2.9617748,0.0,0.0,0.0020000000949949026
YBR170C,YBR183W,0,-2.978149,0.0,0.0,0.002099999925121665
YGR161C,YEL057C,0,-2.9985292,0.0,0.0,0.002199999988079071
YPL132W,YPR046W,0,-3.002677,0.0,0.0,0.002300000051036477
YBR072W,YLR126C,0,-3.0036254,0.0,0.0,0.002400000113993883
YIR033W,YER070W,0,-3.0065389,0.0,0.0,0.0024999999441206455
YMR055C,YHR197W,0,-3.0089288,0.0,0.0,0.0026000000070780516
YGR088W,YPR111W,0,-3.0220466,0.0,0.0,0.0027000000700354576
YNR075W,YJR139C,0,-3.0243177,0.0,0.0,0.00279999990016222
YOR133W,YBL013W,0,-3.02712,0.0,0.0,0.002899999963119626
YKL042W,YCR102C,0,-3.0281332,0.0,0.0,0.003000000026077032
YNR019W,YHR164C,0,-3.028912,0.0,0.0,0.003100000089034438
YBL030C,YOR356W,0,-3.0310655,0.0,0.0,0.0031999999191612005
YGL254W,YHR094C,0,-3.0330815,0.0,0.0,0.0032999999821186066
YER070W,YLR277C,0,-3.0346723,0.0,0.0,0.0034000000450760126
YJR047C,YNR075W,0,-3.0347085,0.0,0.0,0.0035000001080334187
YHR176W,YBR126C,0,-3.044684,0.0,0.0,0.003599999938160181
YBR021W,YBR072W,0,-3.0478642,0.0,0.0,0.003700000001117587
YGL021W,YOL069W,0,-3.050039,0.0,0.0,0.003800000064074993
YLR286C,YGR258C,0,-3.0570853,0.0,0.0,0.0038999998942017555
YBR179C,YOR338W,0,-3.0574508,0.0,0.0,0.004000000189989805
YNL111C,YGL086W,0,-3.060769,0.0,0.0,0.004100000020116568
YDR085C,YJR035W,0,-3.0609984,0.0,0.0,0.00419999985024333
YBR214W,YKL178C,0,-3.063218,0.0,0.0,0.00430000014603138
YML058W-A,YJL011C,0,-3.064003,0.0,0.0,0.004399999976158142
YOL077C,YBR213W,0,-3.0701241,0.0,0.0,0.0044999998062849045
YPR121W,YPL283C,0,-3.076114,0.0,0.0,0.004600000102072954
YOR341W,YBL014C,0,-3.081056,0.0,0.0,0.004699999932199717
YHR096C,YJR035W,0,-3.0812998,0.0,0.0,0.004800000227987766
YML051W,YKL178C,0,-3.083096,0.0,0.0,0.004900000058114529
YNR075W,YOL112W,0,-3.0836587,0.0,0.0,0.004999999888241291
YDL105W,YKL081W,0,-3.0840325,0.0,0.0,0.005100000184029341
YBR066C,YGL006W,0,-3.087699,0.0,0.0,0.005200000014156103
YLR014C,YNL248C,0,-3.0894542,0.0,0.0,0.0052999998442828655
YOR237W,YEL041W,0,-3.0921302,0.0,0.0,0.005400000140070915
YNR056C,YHR096C,0,-3.0989227,0.0,0.0,0.005499999970197678
YHR023W,YFL026W,0,-3.109497,0.0,0.0,0.00559999980032444
YIL135C,YHR090C,0,-3.109508,0.0,0.0,0.00570000009611249
YER062C,YBR084W,0,-3.1130786,0.0,0.0,0.005799999926239252
