Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBR072W,YHR026W,0,-1.4713349,0.0,0.0,9.999999747378752e-05
YPR138C,YGR248W,0,-1.5034069,0.0,0.0,0.00019999999494757503
YGR288W,YER103W,0,-1.5069222,0.0,0.0,0.0003000000142492354
YPR119W,YMR015C,0,-1.6100346,0.0,0.0,0.00039999998989515007
YDR085C,YMR069W,0,-1.7766783,0.0,0.0,0.0005000000237487257
YCL034W,YHR157W,0,-1.7902493,0.0,0.0,0.0006000000284984708
YBR072W,YCL061C,0,-1.8230284,0.0,0.0,0.000699999975040555
YBR072W,YPR094W,0,-1.8727531,0.0,0.0,0.0007999999797903001
YGL183C,YLL040C,0,-1.8846519,0.0,0.0,0.0008999999845400453
YOR185C,YER106W,0,-1.9421482,0.0,0.0,0.0010000000474974513
YKR095W-A,YMR104C,0,-1.9576464,0.0,0.0,0.0010999999940395355
YNL042W,YFR053C,0,-1.9794137,0.0,0.0,0.0012000000569969416
YLR286C,YGL209W,0,-1.9851993,0.0,0.0,0.0013000000035390258
YMR303C,YMR053C,0,-2.0390127,0.0,0.0,0.00139999995008111
YGR254W,YCR061W,0,-2.0409236,0.0,0.0,0.001500000013038516
YLR154C,YER103W,0,-2.051011,0.0,0.0,0.0015999999595806003
YKL011C,YLR075W,0,-2.0759578,0.0,0.0,0.0017000000225380063
YOR348C,YJL168C,0,-2.0841498,0.0,0.0,0.0017999999690800905
YGR249W,YJR073C,0,-2.0896297,0.0,0.0,0.0019000000320374966
YOR173W,YOR187W,0,-2.1211083,0.0,0.0,0.0020000000949949026
YMR173W,YDR432W,0,-2.1373892,0.0,0.0,0.002099999925121665
YDR055W,YGL096W,0,-2.15383,0.0,0.0,0.002199999988079071
YGR108W,YLR084C,0,-2.157758,0.0,0.0,0.002300000051036477
YDR076W,YML131W,0,-2.170624,0.0,0.0,0.002400000113993883
YLR131C,YFR053C,0,-2.1766915,0.0,0.0,0.0024999999441206455
YOR341W,YNL309W,0,-2.1996996,0.0,0.0,0.0026000000070780516
YER014C-A,YHR056C,0,-2.2024646,0.0,0.0,0.0027000000700354576
YGR246C,YGL096W,0,-2.2069304,0.0,0.0,0.00279999990016222
YLR175W,YOL104C,0,-2.214065,0.0,0.0,0.002899999963119626
YGL021W,YMR015C,0,-2.2185957,0.0,0.0,0.003000000026077032
YPR119W,YGL093W,0,-2.2218018,0.0,0.0,0.003100000089034438
YHR193C,YOR348C,0,-2.227536,0.0,0.0,0.0031999999191612005
YER190W,YJR026W,0,-2.2310123,0.0,0.0,0.0032999999821186066
YBR072W,YPL243W,0,-2.2312331,0.0,0.0,0.0034000000450760126
YPL096C-A,YDR258C,0,-2.2352183,0.0,0.0,0.0035000001080334187
YER061C,YOR338W,0,-2.2577777,0.0,0.0,0.003599999938160181
YDR138W,YGR248W,0,-2.258994,0.0,0.0,0.003700000001117587
YER065C,YPL082C,0,-2.263588,0.0,0.0,0.003800000064074993
YCL040W,YHR014W,0,-2.265899,0.0,0.0,0.0038999998942017555
YDR343C,YPL130W,0,-2.269246,0.0,0.0,0.004000000189989805
YIL155C,YDR138W,0,-2.2712135,0.0,0.0,0.004100000020116568
YLR303W,YDR055W,0,-2.2741876,0.0,0.0,0.00419999985024333
YIR019C,YOR338W,0,-2.2745802,0.0,0.0,0.00430000014603138
YDR039C,YHL022C,0,-2.2771053,0.0,0.0,0.004399999976158142
YGR078C,YOR338W,0,-2.283253,0.0,0.0,0.0044999998062849045
YBR072W,YOR087W,0,-2.287952,0.0,0.0,0.004600000102072954
YJL194W,YFL014W,0,-2.300069,0.0,0.0,0.004699999932199717
YML058W-A,YNL248C,0,-2.3009102,0.0,0.0,0.004800000227987766
YNL274C,YLR139C,0,-2.3028445,0.0,0.0,0.004900000058114529
YHR075C,YER093C,0,-2.3088546,0.0,0.0,0.004999999888241291
YLR115W,YBR159W,0,-2.3097131,0.0,0.0,0.005100000184029341
YGR268C,YAL068C,0,-2.3103814,0.0,0.0,0.005200000014156103
YBR072W,YGR010W,0,-2.3224669,0.0,0.0,0.0052999998442828655
YER053C,YLR329W,0,-2.3301675,0.0,0.0,0.005400000140070915
YBR085W,YDR060W,0,-2.333553,0.0,0.0,0.005499999970197678
YMR015C,YMR087W,0,-2.3400927,0.0,0.0,0.00559999980032444
YPR046W,YGR159C,0,-2.344673,0.0,0.0,0.00570000009611249
YDR046C,YPL187W,0,-2.3452945,0.0,0.0,0.005799999926239252
YMR142C,YDR213W,0,-2.347521,0.0,0.0,0.005900000222027302
YLR286C,YMR087W,0,-2.3477554,0.0,0.0,0.006000000052154064
YAR015W,YFL014W,0,-2.3480177,0.0,0.0,0.006099999882280827
YDR122W,YHR138C,0,-2.354688,0.0,0.0,0.006200000178068876
YDR106W,YDL227C,0,-2.3549776,0.0,0.0,0.006300000008195639
YPL121C,YDL130W,0,-2.3629186,0.0,0.0,0.006399999838322401
YAL012W,YER179W,0,-2.3634229,0.0,0.0,0.006500000134110451
YLR189C,YPL096C-A,0,-2.3662317,0.0,0.0,0.006599999964237213
YPL130W,YBR117C,0,-2.3711123,0.0,0.0,0.0066999997943639755
YJR073C,YHR157W,0,-2.3730369,0.0,0.0,0.006800000090152025
YLR136C,YPL283C,0,-2.382791,0.0,0.0,0.006899999920278788
YBR243C,YKL201C,1,-2.3877182,0.014285714365541935,0.0010000000474974513,0.006899999920278788
