Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YCR005C,YBL026W,0,-0.065780126,0.0,0.0,0.00043290044413879514
YDR385W,YKR097W,0,-0.065780126,0.0,0.0,0.0008658008882775903
YML058W-A,YHR027C,0,-0.065780126,0.0,0.0,0.0012987012742087245
YLR175W,YGR244C,0,-0.065780126,0.0,0.0,0.0017316017765551805
YLR362W,YOL097C,0,-0.065780126,0.0,0.0,0.0021645021624863148
YOL078W,YBR072W,0,-0.065780126,0.0,0.0,0.002597402548417449
YGL194C,YER165W,0,-0.065780126,0.0,0.0,0.0030303029343485832
YGL194C,YGR159C,0,-0.065780126,0.0,0.0,0.003463203553110361
YGL047W,YHR169W,0,-0.065780126,0.0,0.0,0.0038961039390414953
YER054C,YGR063C,0,-0.065780126,0.0,0.0,0.0043290043249726295
YDL164C,YPL240C,0,-0.065780126,0.0,0.0,0.004761904943734407
YOR001W,YNL160W,0,-0.065780126,0.0,0.0,0.005194805096834898
YDR492W,YGR099W,0,-0.065780126,0.0,0.0,0.005627705715596676
YHR139C,YCR084C,0,-0.065780126,0.0,0.0,0.0060606058686971664
YDL051W,YKL150W,0,-0.065780126,0.0,0.0,0.006493506487458944
YDR331W,YIL155C,0,-0.065780126,0.0,0.0,0.006926407106220722
YOR191W,YER103W,0,-0.065780126,0.0,0.0,0.007359307259321213
YMR142C,YCL008C,0,-0.065780126,0.0,0.0,0.007792207878082991
YLR384C,YDL130W-A,0,-0.065780126,0.0,0.0,0.008225108496844769
YNL166C,YFL014W,0,-0.065780126,0.0,0.0,0.008658008649945259
YHR092C,YLR032W,0,-0.065780126,0.0,0.0,0.00909090880304575
YLR109W,YFL023W,0,-0.065780126,0.0,0.0,0.009523809887468815
YDR358W,YKL021C,0,-0.065780126,0.0,0.0,0.009956710040569305
YBR247C,YFR003C,0,-0.065780126,0.0,0.0,0.010389610193669796
YOL021C,YDR342C,0,-0.065780126,0.0,0.0,0.010822511278092861
YCL026C-A,YDR342C,0,-0.065780126,0.0,0.0,0.011255411431193352
YER103W,YNL304W,0,-0.065780126,0.0,0.0,0.011688311584293842
YFL014W,YDL055C,0,-0.065780126,0.0,0.0,0.012121211737394333
YLR286C,YIR017C,0,-0.065780126,0.0,0.0,0.012554112821817398
YDR258C,YGR094W,0,-0.065780126,0.0,0.0,0.012987012974917889
YGR161C,YHR172W,0,-0.065780126,0.0,0.0,0.01341991312801838
YMR137C,YGR214W,0,-0.065780126,0.0,0.0,0.013852814212441444
YLR313C,YER103W,0,-0.065780126,0.0,0.0,0.014285714365541935
YPL121C,YNR053C,0,-0.065780126,0.0,0.0,0.014718614518642426
YOR120W,YJR097W,0,-0.065780126,0.0,0.0,0.01515151560306549
YDR479C,YDR450W,0,-0.065780126,0.0,0.0,0.015584415756165981
YFL056C,YHR193C,0,-0.065780126,0.0,0.0,0.016017315909266472
YGL097W,YML131W,0,-0.065780126,0.0,0.0,0.016450216993689537
YLR136C,YGL255W,0,-0.065780126,0.0,0.0,0.016883116215467453
YKL188C,YMR142C,0,-0.065780126,0.0,0.0,0.017316017299890518
YGR169C,YNL160W,0,-0.065780126,0.0,0.0,0.017748918384313583
YPL240C,YMR308C,0,-0.065780126,0.0,0.0,0.0181818176060915
YOR095C,YJR110W,0,-0.065780126,0.0,0.0,0.018614718690514565
YBL003C,YFL058W,0,-0.065780126,0.0,0.0,0.01904761977493763
YMR092C,YBR247C,0,-0.065780126,0.0,0.0,0.019480518996715546
YLR324W,YKL014C,0,-0.065780126,0.0,0.0,0.01991342008113861
YBL013W,YCR020C,0,-0.065780126,0.0,0.0,0.020346321165561676
YHR089C,YJR052W,0,-0.065780126,0.0,0.0,0.020779220387339592
YFL014W,YBR186W,0,-0.065780126,0.0,0.0,0.021212121471762657
YGR258C,YCR072C,0,-0.065780126,0.0,0.0,0.021645022556185722
YOR120W,YER074W-A,0,-0.065780126,0.0,0.0,0.02207792177796364
YCL040W,YDL051W,0,-0.065780126,0.0,0.0,0.022510822862386703
YJL012C,YDR306C,0,-0.065780126,0.0,0.0,0.02294372208416462
YGR003W,YCR031C,0,-0.065780126,0.0,0.0,0.023376623168587685
YGR118W,YBR105C,0,-0.065780126,0.0,0.0,0.02380952425301075
YOL086C,YCL069W,0,-0.065780126,0.0,0.0,0.024242423474788666
YLR318W,YJR073C,0,-0.065780126,0.0,0.0,0.02467532455921173
YNL142W,YDR165W,0,-0.07106473,0.0,0.0,0.025108225643634796
YER020W,YEL054C,0,-0.071887225,0.0,0.0,0.025541124865412712
YJL050W,YDR178W,0,-0.07372473,0.0,0.0,0.025974025949835777
YGL194C,YDR343C,0,-0.08427057,0.0,0.0,0.026406927034258842
YJL191W,YDL194W,0,-0.08438908,0.0,0.0,0.02683982625603676
YDL223C,YNR013C,0,-0.0912924,0.0,0.0,0.027272727340459824
YLR405W,YOL151W,0,-0.093828745,0.0,0.0,0.02770562842488289
YDR513W,YER006W,0,-0.09732356,0.0,0.0,0.028138527646660805
YBR132C,YKL014C,0,-0.107051164,0.0,0.0,0.02857142873108387
YGR254W,YER162C,0,-0.11156042,0.0,0.0,0.029004329815506935
YNR075W,YJL141C,0,-0.11186361,0.0,0.0,0.02943722903728485
YPR144C,YDR018C,0,-0.11275089,0.0,0.0,0.029870130121707916
YMR116C,YDR055W,0,-0.11463228,0.0,0.0,0.03030303120613098
YKR076W,YGR145W,0,-0.11873859,0.0,0.0,0.030735930427908897
YPL119C,YLR196W,0,-0.122041255,0.0,0.0,0.031168831512331963
YNR019W,YFR005C,0,-0.12598175,0.0,0.0,0.03160173073410988
