Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YOL127W,YGR038C-A,0,-5.61331,0.0,0.0,0.0035714285913854837
YMR190C,YGR038C-B,0,-5.6225033,0.0,0.0,0.0071428571827709675
YMR168C,YPL257W-A,0,-5.625987,0.0,0.0,0.010714286006987095
YER007W,YPL257W-A,0,-5.6383004,0.0,0.0,0.014285714365541935
YBR211C,YER108C,0,-5.638346,0.0,0.0,0.01785714365541935
YGL130W,YDR141C,0,-5.6495075,0.0,0.0,0.02142857201397419
YPL169C,YFL035C-A,0,-5.6552377,0.0,0.0,0.02500000037252903
YDR411C,YDL109C,0,-5.671412,0.0,0.0,0.02857142873108387
YIL103W,YCR072C,0,-5.671979,0.0,0.0,0.03214285895228386
YOL026C,YDR261C-C,0,-5.677884,0.0,0.0,0.0357142873108387
YNL290W,YPR036W-A,0,-5.678885,0.0,0.0,0.03928571566939354
YDR343C,YPR036W-A,0,-5.678885,0.0,0.0,0.04285714402794838
YHR079C-B,YGR054W,0,-5.678885,0.0,0.0,0.04642857238650322
YLR129W,YCL063W,0,-5.6879153,0.0,0.0,0.05000000074505806
YNR019W,YGR027W-B,0,-5.6879315,0.0,0.0,0.0535714291036129
YPR182W,YJL012C-A,0,-5.6945887,0.0,0.0,0.05714285746216774
YDR412W,YPR158C-D,0,-5.717983,0.0,0.0,0.06071428582072258
YKR054C,YCL008C,0,-5.7205443,0.0,0.0,0.06428571790456772
YGL241W,YFL002W-A,0,-5.733546,0.0,0.0,0.06785714626312256
YER100W,YPL060C-A,0,-5.736447,0.0,0.0,0.0714285746216774
YJL165C,YLR227W-A,0,-5.7370305,0.0,0.0,0.07500000298023224
YIR017C,YBR012W-B,0,-5.7424026,0.0,0.0,0.07857143133878708
YKL134C,YBL100W-B,0,-5.7483125,0.0,0.0,0.08214285969734192
YFR053C,YLR313C,0,-5.768144,0.0,0.0,0.08571428805589676
YLR391W,YIR023W,0,-5.784264,0.0,0.0,0.0892857164144516
YDR055W,YHR079C-B,0,-5.7928314,0.0,0.0,0.09285714477300644
YPL063W,YJL114W,0,-5.8099685,0.0,0.0,0.09642857313156128
YMR280C,YCR058C,0,-5.841972,0.0,0.0,0.10000000149011612
YER119C,YDL220C,0,-5.844167,0.0,0.0,0.10357142984867096
YIL167W,YDR425W,0,-5.8715997,0.0,0.0,0.1071428582072258
YNL245C,YPL041C,0,-5.8748884,0.0,0.0,0.11071428656578064
YOR074C,YDR469W,0,-5.8902583,0.0,0.0,0.11428571492433548
YCL029C,YDL109C,0,-5.9068933,0.0,0.0,0.11785714328289032
YHR188C,YDR503C,0,-5.9366107,0.0,0.0,0.12142857164144516
YML042W,YJL141C,0,-5.9663243,0.0,0.0,0.125
YPR178W,YDR240C,0,-5.9696975,0.0,0.0,0.12857143580913544
YPL121C,YDL084W,0,-5.971121,0.0,0.0,0.13214285671710968
YBR159W,YJL203W,0,-5.9791646,0.0,0.0,0.13571429252624512
YLR105C,YNL247W,0,-5.993304,0.0,0.0,0.13928571343421936
YMR136W,YKL075C,0,-6.005546,0.0,0.0,0.1428571492433548
YPR189W,YMR005W,0,-6.0198493,0.0,0.0,0.14642857015132904
YHR187W,YOR148C,0,-6.0243692,0.0,0.0,0.15000000596046448
YER007W,YAL047C,0,-6.0336175,0.0,0.0,0.15357142686843872
YER179W,YCR012W,0,-6.038159,0.0,0.0,0.15714286267757416
YNL101W,YDR018C,0,-6.040342,0.0,0.0,0.1607142835855484
YKL179C,YGR013W,0,-6.051025,0.0,0.0,0.16428571939468384
YOL076W,YDR400W,0,-6.0592346,0.0,0.0,0.16785714030265808
YHL002W,YOL028C,0,-6.0699987,0.0,0.0,0.17142857611179352
YDR245W,YDR120C,0,-6.071497,0.0,0.0,0.17499999701976776
YLL041C,YFL058W,0,-6.080628,0.0,0.0,0.1785714328289032
YGR109C,YNR067C,0,-6.0925536,0.0,0.0,0.18214285373687744
YPR200C,YAR008W,0,-6.097468,0.0,0.0,0.18571428954601288
YOL076W,YDR002W,0,-6.1013956,0.0,0.0,0.18928571045398712
YHR042W,YJR141W,0,-6.1015143,0.0,0.0,0.19285714626312256
YNL110C,YDR292C,0,-6.106402,0.0,0.0,0.1964285671710968
YDL005C,YNL222W,0,-6.130129,0.0,0.0,0.20000000298023224
YDL132W,YGR157W,0,-6.1333594,0.0,0.0,0.20357142388820648
YLR370C,YJL166W,0,-6.133549,0.0,0.0,0.20714285969734192
YDR054C,YBR169C,0,-6.1372895,0.0,0.0,0.21071428060531616
YDR385W,YDR082W,0,-6.1382766,0.0,0.0,0.2142857164144516
YOR188W,YDR280W,0,-6.1552243,0.0,0.0,0.21785713732242584
YGL206C,YBR065C,0,-6.169187,0.0,0.0,0.22142857313156128
YGL062W,YNL138W,0,-6.169493,0.0,0.0,0.22499999403953552
YJL201W,YKL086W,0,-6.1722417,0.0,0.0,0.22857142984867096
YHL028W,YOR230W,0,-6.184546,0.0,0.0,0.2321428507566452
YML099C,YMR216C,1,-6.185365,0.01515151560306549,0.0357142873108387,0.2321428507566452
YKL212W,YNL229C,1,-6.190721,0.02985074557363987,0.0714285746216774,0.2321428507566452
YPR119W,YDR495C,0,-6.202098,0.029411764815449715,0.0714285746216774,0.23571428656578064
YDL105W,YDR469W,0,-6.2078323,0.028985507786273956,0.0714285746216774,0.23928570747375488
YML091C,YDR485C,0,-6.240381,0.02857142873108387,0.0714285746216774,0.24285714328289032
YAR018C,YER126C,0,-6.241521,0.028169013559818268,0.0714285746216774,0.24642856419086456
