Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGL045W,YOL113W,0,-3.9218726,0.0,0.0,9.999999747378752e-05
YKL160W,YPR182W,0,-3.9851937,0.0,0.0,0.00019999999494757503
YLR155C,YDR320C-A,0,-4.1194196,0.0,0.0,0.0003000000142492354
YPL159C,YER100W,0,-4.143608,0.0,0.0,0.00039999998989515007
YDR219C,YMR302C,0,-4.177648,0.0,0.0,0.0005000000237487257
YBR060C,YNL197C,0,-4.2476196,0.0,0.0,0.0006000000284984708
YOL116W,YAL043C,0,-4.2636065,0.0,0.0,0.000699999975040555
YLR418C,YPL096C-A,0,-4.264176,0.0,0.0,0.0007999999797903001
YGR113W,YBR081C,0,-4.3017592,0.0,0.0,0.0008999999845400453
YNL041C,YKL041W,0,-4.32272,0.0,0.0,0.0010000000474974513
YJR140C,YFR031C,0,-4.3341055,0.0,0.0,0.0010999999940395355
YOR269W,YOL072W,0,-4.339165,0.0,0.0,0.0012000000569969416
YOR067C,YEL017C-A,0,-4.342627,0.0,0.0,0.0013000000035390258
YOL077W-A,YOR020C,0,-4.3539453,0.0,0.0,0.00139999995008111
YJL191W,YBR058C-A,0,-4.356413,0.0,0.0,0.001500000013038516
YLR138W,YDR079C-A,0,-4.3631577,0.0,0.0,0.0015999999595806003
YMR029C,YER021W,0,-4.370147,0.0,0.0,0.0017000000225380063
YDR142C,YCR083W,0,-4.374582,0.0,0.0,0.0017999999690800905
YKR082W,YNL272C,0,-4.3855934,0.0,0.0,0.0019000000320374966
YJR060W,YGL112C,0,-4.3879647,0.0,0.0,0.0020000000949949026
YDR512C,YJR135W-A,0,-4.400744,0.0,0.0,0.002099999925121665
YLR309C,YML021C,0,-4.4012823,0.0,0.0,0.002199999988079071
YAL022C,YER005W,0,-4.402944,0.0,0.0,0.002300000051036477
YOR334W,YML031W,0,-4.409442,0.0,0.0,0.002400000113993883
YGR133W,YPL002C,0,-4.4155216,0.0,0.0,0.0024999999441206455
YHR115C,YDR389W,0,-4.4201045,0.0,0.0,0.0026000000070780516
YEL003W,YBR058C-A,0,-4.423613,0.0,0.0,0.0027000000700354576
YLR015W,YGR275W,0,-4.423721,0.0,0.0,0.00279999990016222
YMR255W,YGL013C,0,-4.4264245,0.0,0.0,0.002899999963119626
YIL016W,YOR332W,0,-4.4306207,0.0,0.0,0.003000000026077032
YDR054C,YIL038C,0,-4.4306483,0.0,0.0,0.003100000089034438
YBR081C,YPR088C,0,-4.437884,0.0,0.0,0.0031999999191612005
YBR217W,YPL242C,0,-4.438756,0.0,0.0,0.0032999999821186066
YJL104W,YDR473C,0,-4.438847,0.0,0.0,0.0034000000450760126
YOR073W,YER180C-A,0,-4.444947,0.0,0.0,0.0035000001080334187
YDR320C-A,YJR103W,0,-4.4501452,0.0,0.0,0.003599999938160181
YNL051W,YDR532C,0,-4.450683,0.0,0.0,0.003700000001117587
YPL096C-A,YBR106W,0,-4.4514675,0.0,0.0,0.003800000064074993
YDR507C,YGL018C,0,-4.4521494,0.0,0.0,0.0038999998942017555
YBR233W-A,YHR042W,0,-4.4540915,0.0,0.0,0.004000000189989805
YOL034W,YBL034C,0,-4.461653,0.0,0.0,0.004100000020116568
YBR233W-A,YDR512C,0,-4.4637322,0.0,0.0,0.00419999985024333
YPL262W,YDL181W,0,-4.46673,0.0,0.0,0.00430000014603138
YEL018W,YKR008W,0,-4.472424,0.0,0.0,0.004399999976158142
YFR024C-A,YDR328C,0,-4.4799848,0.0,0.0,0.0044999998062849045
YLR361C,YJR140C,0,-4.480054,0.0,0.0,0.004600000102072954
YOR020C,YER180C-A,0,-4.482099,0.0,0.0,0.004699999932199717
YDR219C,YDR082W,0,-4.4854417,0.0,0.0,0.004800000227987766
YNL307C,YBR058C-A,0,-4.4901557,0.0,0.0,0.004900000058114529
YKR035W-A,YER123W,0,-4.494818,0.0,0.0,0.004999999888241291
YPL140C,YIL143C,0,-4.501031,0.0,0.0,0.005100000184029341
YER122C,YPL011C,0,-4.501089,0.0,0.0,0.005200000014156103
YMR156C,YCL005W-A,0,-4.5119724,0.0,0.0,0.0052999998442828655
YOR368W,YHR090C,0,-4.515474,0.0,0.0,0.005400000140070915
YBL014C,YDR207C,0,-4.516105,0.0,0.0,0.005499999970197678
YBR160W,YMR314W,0,-4.518271,0.0,0.0,0.00559999980032444
YNL201C,YCL031C,0,-4.52239,0.0,0.0,0.00570000009611249
YJL091C,YDR079C-A,0,-4.52461,0.0,0.0,0.005799999926239252
YLR438C-A,YJL208C,0,-4.5248156,0.0,0.0,0.005900000222027302
YLR265C,YKL068W,0,-4.526241,0.0,0.0,0.006000000052154064
YDR142C,YDR292C,0,-4.5282984,0.0,0.0,0.006099999882280827
YMR299C,YBL090W,0,-4.5283303,0.0,0.0,0.006200000178068876
YKL135C,YFR048W,0,-4.535647,0.0,0.0,0.006300000008195639
YBR086C,YIL126W,0,-4.5375047,0.0,0.0,0.006399999838322401
YDR320C-A,YER051W,0,-4.540075,0.0,0.0,0.006500000134110451
YBL079W,YLR277C,0,-4.5431585,0.0,0.0,0.006599999964237213
YDR013W,YAR008W,0,-4.5460744,0.0,0.0,0.0066999997943639755
YOL034W,YPL129W,0,-4.546438,0.0,0.0,0.006800000090152025
YDL005C,YDR292C,0,-4.546833,0.0,0.0,0.006899999920278788
YMR070W,YGR220C,0,-4.5593204,0.0,0.0,0.007000000216066837
YDR077W,YER180C-A,0,-4.5621305,0.0,0.0,0.0071000000461936
YGR261C,YDR135C,0,-4.565752,0.0,0.0,0.007199999876320362
YGR261C,YPR086W,0,-4.5671635,0.0,0.0,0.007300000172108412
YOL004W,YPR173C,0,-4.5683303,0.0,0.0,0.007400000002235174
