Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YNL082W,YOR075W,0,-5.719672,0.0,0.0,0.00033333332976326346
YGR118W,YDR079C-A,0,-5.8440766,0.0,0.0,0.0006666666595265269
YNL118C,YDR081C,0,-5.8498096,0.0,0.0,0.0010000000474974513
YDR320C-A,YDR498C,0,-5.8502665,0.0,0.0,0.0013333333190530539
YDR320C-A,YDL154W,0,-5.8619604,0.0,0.0,0.0016666667070239782
YML099C,YPL242C,0,-5.935238,0.0,0.0,0.0020000000949949026
YPL096C-A,YLR043C,0,-5.9556465,0.0,0.0,0.0023333332501351833
YDR320C-A,YDL093W,0,-5.9758577,0.0,0.0,0.0026666666381061077
YJL128C,YOR083W,0,-5.995334,0.0,0.0,0.003000000026077032
YOR195W,YML109W,0,-5.9953747,0.0,0.0,0.0033333334140479565
YLR310C,YDL077C,0,-5.9967585,0.0,0.0,0.003666666569188237
YPL096C-A,YNL199C,0,-6.0045576,0.0,0.0,0.004000000189989805
YMR202W,YPL096C-A,0,-6.0146728,0.0,0.0,0.004333333112299442
YKL138C-A,YKL145W,0,-6.0204315,0.0,0.0,0.004666666500270367
YDR389W,YDR079C-A,0,-6.0246115,0.0,0.0,0.004999999888241291
YOL068C,YIL106W,0,-6.0313697,0.0,0.0,0.005333333276212215
YLR380W,YMR079W,1,-6.055671,0.05882352963089943,0.0033333334140479565,0.005333333276212215
YER019W,YOR290C,0,-6.075177,0.0555555559694767,0.0033333334140479565,0.00566666666418314
YNL118C,YJR126C,0,-6.091728,0.05263157933950424,0.0033333334140479565,0.006000000052154064
YDR320C-A,YIR009W,0,-6.1108255,0.05000000074505806,0.0033333334140479565,0.0063333334401249886
YFR004W,YMR060C,0,-6.1287575,0.0476190485060215,0.0033333334140479565,0.006666666828095913
YNL172W,YCL005W-A,0,-6.1404495,0.04545454680919647,0.0033333334140479565,0.007000000216066837
YNL281W,YJL041W,0,-6.1430206,0.043478261679410934,0.0033333334140479565,0.007333333138376474
YBR102C,YIL030C,0,-6.143824,0.0416666679084301,0.0033333334140479565,0.007666666526347399
YBR090C-A,YPR108W,0,-6.1632433,0.03999999910593033,0.0033333334140479565,0.00800000037997961
YPR155C,YMR302C,0,-6.170785,0.03846153989434242,0.0033333334140479565,0.008333333767950535
YDR079C-A,YNR046W,0,-6.1814175,0.03703703731298447,0.0033333334140479565,0.008666666224598885
YHR193C,YMR142C,0,-6.1836367,0.0357142873108387,0.0033333334140479565,0.008999999612569809
YPL242C,YDR207C,0,-6.192877,0.03448275849223137,0.0033333334140479565,0.009333333000540733
YNL091W,YFR031C,0,-6.197315,0.03333333507180214,0.0033333334140479565,0.009666666388511658
YPL096C-A,YCR024C-A,0,-6.200135,0.032258063554763794,0.0033333334140479565,0.009999999776482582
YGR116W,YNL154C,0,-6.200659,0.03125,0.0033333334140479565,0.010333333164453506
YEL053C,YCR039C,0,-6.2016306,0.03030303120613098,0.0033333334140479565,0.01066666655242443
YDR424C,YDL244W,0,-6.210737,0.029411764815449715,0.0033333334140479565,0.010999999940395355
YIL048W,YDR292C,0,-6.218762,0.02857142873108387,0.0033333334140479565,0.01133333332836628
YDR036C,YMR314W,0,-6.2251043,0.02777777798473835,0.0033333334140479565,0.011666666716337204
YHR001W,YJR120W,1,-6.225294,0.054054055362939835,0.006666666828095913,0.011666666716337204
YLR008C,YDR489W,0,-6.226037,0.05263157933950424,0.006666666828095913,0.012000000104308128
YKL138C-A,YJL106W,0,-6.2369514,0.05128205195069313,0.006666666828095913,0.012333333492279053
YBR161W,YDR079C-A,0,-6.2404165,0.05000000074505806,0.006666666828095913,0.012666666880249977
YFR024C,YAL010C,0,-6.241209,0.04878048598766327,0.006666666828095913,0.013000000268220901
YNL199C,YOR290C,0,-6.245488,0.0476190485060215,0.006666666828095913,0.013333333656191826
YDR386W,YDR416W,0,-6.246561,0.04651162773370743,0.006666666828095913,0.01366666704416275
YJR091C,YLR337W,0,-6.250201,0.04545454680919647,0.006666666828095913,0.014000000432133675
YML071C,YJR126C,0,-6.2530556,0.04444444552063942,0.006666666828095913,0.014333332888782024
YPL140C,YCR080W,0,-6.2551126,0.043478261679410934,0.006666666828095913,0.014666666276752949
YKL086W,YPR158C-D,0,-6.2617397,0.042553190141916275,0.006666666828095913,0.014999999664723873
YFL009W,YER180C-A,0,-6.2620606,0.0416666679084301,0.006666666828095913,0.015333333052694798
YDR021W,YGR027W-A,0,-6.262474,0.040816325694322586,0.006666666828095913,0.015666667371988297
YPL060W,YGR161W-B,0,-6.264428,0.03999999910593033,0.006666666828095913,0.01600000075995922
YPR029C,YDR365W-A,0,-6.264845,0.03921568766236305,0.006666666828095913,0.016333334147930145
YGR134W,YOR343W-B,0,-6.265263,0.03846153989434242,0.006666666828095913,0.01666666753590107
YJR068W,YKR025W,0,-6.2685137,0.03773584961891174,0.006666666828095913,0.017000000923871994
YDL102W,YOL103W-A,0,-6.2688637,0.03703703731298447,0.006666666828095913,0.01733333244919777
YPL268W,YDR034C-D,0,-6.275922,0.036363635212183,0.006666666828095913,0.017666665837168694
YPL149W,YNL280C,0,-6.2782955,0.0357142873108387,0.006666666828095913,0.017999999225139618
YNL123W,YLR035C-A,0,-6.280584,0.035087719559669495,0.006666666828095913,0.018333332613110542
YNR049C,YFL002W-B,0,-6.286334,0.03448275849223137,0.006666666828095913,0.018666666001081467
YOR257W,YOR232W,0,-6.29105,0.033898305147886276,0.006666666828095913,0.01899999938905239
YNL036W,YDR034C-C,0,-6.29169,0.03333333507180214,0.006666666828095913,0.019333332777023315
YBR087W,YML115C,0,-6.2948694,0.032786883413791656,0.006666666828095913,0.01966666616499424
YOL045W,YDR545W,0,-6.295103,0.032258063554763794,0.006666666828095913,0.019999999552965164
YMR250W,YDR316W-A,0,-6.297671,0.0317460335791111,0.006666666828095913,0.02033333294093609
YGL124C,YBR280C,0,-6.29822,0.03125,0.006666666828095913,0.020666666328907013
YER147C,YNL284C-B,0,-6.300018,0.03076923079788685,0.006666666828095913,0.020999999716877937
YOR023C,YCR080W,0,-6.3011217,0.03030303120613098,0.006666666828095913,0.02133333310484886
YMR079W,YAR044W,1,-6.3012543,0.04477611929178238,0.009999999776482582,0.02133333310484886
YDR513W,YDR034C-D,0,-6.301779,0.04411764815449715,0.009999999776482582,0.021666666492819786
YOR171C,YDR098C-A,0,-6.303594,0.043478261679410934,0.009999999776482582,0.02199999988079071
YDL028C,YOR307C,0,-6.3036695,0.04285714402794838,0.009999999776482582,0.022333333268761635
YJL052W,YGR109W-B,0,-6.3052335,0.0422535203397274,0.009999999776482582,0.02266666665673256
YFR024C,YJL011C,0,-6.305397,0.0416666679084301,0.009999999776482582,0.023000000044703484
YOR194C,YLR410W-B,0,-6.3086987,0.04109589010477066,0.009999999776482582,0.023333333432674408
YDR238C,YGR109W-B,0,-6.3100257,0.04054053872823715,0.009999999776482582,0.023666666820645332
YDR358W,YFL002W-B,0,-6.3102283,0.03999999910593033,0.009999999776482582,0.024000000208616257
YFR050C,YDR034C-C,0,-6.312257,0.03947368264198303,0.009999999776482582,0.02433333359658718
YOR172W,YMR045C,0,-6.3127294,0.03896103799343109,0.009999999776482582,0.024666666984558105
YLR391W,YPL031C,0,-6.3156204,0.03846153989434242,0.009999999776482582,0.02500000037252903
YAR035W,YBL005W-B,0,-6.3158836,0.037974681705236435,0.009999999776482582,0.025333333760499954
YMR234W,YGR027W-A,0,-6.3164253,0.03750000149011612,0.009999999776482582,0.02566666714847088
YJL104W,YDR261W-A,0,-6.3188534,0.03703703731298447,0.009999999776482582,0.026000000536441803
YGL225W,YLR035C-A,0,-6.3197374,0.03658536449074745,0.009999999776482582,0.026333333924412727
YDR490C,YER180C-A,0,-6.3241706,0.03614457696676254,0.009999999776482582,0.02666666731238365
YML010W,YDR365W-A,0,-6.3248196,0.0357142873108387,0.009999999776482582,0.027000000700354576
YGL244W,YLR020C,0,-6.3261657,0.03529411926865578,0.009999999776482582,0.0273333340883255
YMR203W,YPR158C-C,0,-6.3311796,0.03488372266292572,0.009999999776482582,0.027666667476296425
YOR064C,YGR161W-A,0,-6.337034,0.03448275849223137,0.009999999776482582,0.02800000086426735
YBR284W,YCL020W,0,-6.3370733,0.034090910106897354,0.009999999776482582,0.028333334252238274
YDL035C,YEL004W,0,-6.33728,0.033707864582538605,0.009999999776482582,0.02866666577756405
YDL140C,YLR410W,0,-6.3383293,0.03333333507180214,0.009999999776482582,0.028999999165534973
YPR155C,YIL042C,0,-6.339246,0.032967034727334976,0.009999999776482582,0.029333332553505898
YDR194C,YGL210W-A,0,-6.3435783,0.032608695328235626,0.009999999776482582,0.029666665941476822
YMR039C,YDL038C,0,-6.3437777,0.032258063554763794,0.009999999776482582,0.029999999329447746
YGR029W,YDR092W,0,-6.3451023,0.03191489353775978,0.009999999776482582,0.03033333271741867
YBL011W,YKL018W,0,-6.345865,0.031578946858644485,0.009999999776482582,0.030666666105389595
YFR024C,YNL102W,0,-6.346818,0.03125,0.009999999776482582,0.03099999949336052
YDR167W,YDL038C,0,-6.347788,0.030927835032343864,0.009999999776482582,0.03133333474397659
YOR182C,YHR079C-B,0,-6.3500605,0.030612245202064514,0.009999999776482582,0.03166666626930237
YBR286W,YDR034C-D,0,-6.353097,0.03030303120613098,0.009999999776482582,0.03200000151991844
YMR059W,YBR198C,0,-6.3555145,0.029999999329447746,0.009999999776482582,0.03233333304524422
YHR001W,YAR044W,1,-6.3570666,0.039603959769010544,0.013333333656191826,0.03233333304524422
YPL161C,YGR109W-B,0,-6.359502,0.03921568766236305,0.013333333656191826,0.03266666829586029
YBR087W,YLR227W-B,0,-6.3596253,0.03883495181798935,0.013333333656191826,0.032999999821186066
YGL243W,YER137C-A,0,-6.3600163,0.03846153989434242,0.013333333656191826,0.03333333507180214
YDL033C,YPR137C-A,0,-6.3635774,0.03809523954987526,0.013333333656191826,0.033666666597127914
YGR216C,YER005W,0,-6.3636355,0.03773584961891174,0.013333333656191826,0.03400000184774399
YDL230W,YLR227W-B,0,-6.364175,0.037383176386356354,0.013333333656191826,0.03433333337306976
YDR175C,YJL012C-A,0,-6.365363,0.03703703731298447,0.013333333656191826,0.03466666489839554
YFR024C,YLR182W,0,-6.3664045,0.03669724613428116,0.013333333656191826,0.03500000014901161
YLR216C,YFL002W-B,0,-6.3666706,0.036363635212183,0.013333333656191826,0.03533333167433739
YLR459W,YOR343W-B,0,-6.3668118,0.036036036908626556,0.013333333656191826,0.03566666692495346
YKL188C,YAR044W,1,-6.3674374,0.0446428582072258,0.01666666753590107,0.03566666692495346
YGL013C,YOL103W-B,0,-6.3674917,0.044247787445783615,0.01666666753590107,0.035999998450279236
YFR024C,YGL210W-A,0,-6.3675604,0.04385964944958687,0.01666666753590107,0.03633333370089531
YER083C,YPR158C-C,0,-6.3679886,0.043478261679410934,0.01666666753590107,0.036666665226221085
YJL198W,YLR337W,0,-6.368911,0.043103449046611786,0.01666666753590107,0.03700000047683716
YIL114C,YLR256W-A,0,-6.370479,0.04273504391312599,0.01666666753590107,0.03733333200216293
YFR021W,YLR133W,0,-6.370856,0.04237288236618042,0.01666666753590107,0.03766666725277901
YNL038W,YNL054W-B,0,-6.373158,0.042016807943582535,0.01666666753590107,0.03799999877810478
YLR208W,YPL060C-A,0,-6.373158,0.0416666679084301,0.01666666753590107,0.038333334028720856
YGL151W,YDR365W-A,0,-6.3745947,0.041322313249111176,0.01666666753590107,0.03866666555404663
YLR229C,YGR098C,0,-6.3763294,0.04098360612988472,0.01666666753590107,0.039000000804662704
YGL127C,YOL129W,0,-6.3769197,0.04065040498971939,0.01666666753590107,0.03933333232998848
YGL163C,YDR034C-C,0,-6.380335,0.04032257944345474,0.01666666753590107,0.03966666758060455
YDR025W,YNL054W-A,0,-6.38043,0.03999999910593033,0.01666666753590107,0.03999999910593033
YFR024C,YPL016W,0,-6.382118,0.0396825410425663,0.01666666753590107,0.0403333343565464
YMR227C,YLR410W-B,0,-6.3827085,0.03937007859349251,0.01666666753590107,0.04066666588187218
YPR016C,YFL002W-A,0,-6.383394,0.0390625,0.01666666753590107,0.04100000113248825
YOR208W,YDR034C-C,0,-6.384824,0.03875968977808952,0.01666666753590107,0.041333332657814026
YIL142W,YCL003W,0,-6.3858137,0.03846153989434242,0.01666666753590107,0.0416666679084301
YOR348C,YLR312C-B,0,-6.3859243,0.038167938590049744,0.01666666753590107,0.041999999433755875
YIL063C,YHL009W-B,0,-6.3861194,0.03787878900766373,0.01666666753590107,0.04233333468437195
YNL020C,YJR089W,0,-6.3869295,0.03759398311376572,0.01666666753590107,0.04266666620969772
YBL018C,YPR158C-C,0,-6.3869963,0.03731343150138855,0.01666666753590107,0.0430000014603138
YGR218W,YLR256W-A,0,-6.3873916,0.03703703731298447,0.01666666753590107,0.04333333298563957
