Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDR343C,YEL024W,0,-4.5194783,0.0,0.0,0.00021505376207642257
YPL265W,YDR508C,1,-4.544028,0.5,0.0021505376789718866,0.00021505376207642257
YDR046C,YPL265W,1,-4.6210623,0.6666666865348816,0.004301075357943773,0.00021505376207642257
YER119C,YPL274W,1,-4.797157,0.75,0.006451612804085016,0.00021505376207642257
YOR348C,YDL212W,1,-4.810603,0.800000011920929,0.008602150715887547,0.00021505376207642257
YJR001W,YDR046C,1,-4.8314767,0.8333333134651184,0.01075268816202879,0.00021505376207642257
YBR132C,YPL274W,1,-4.8905187,0.8571428656578064,0.012903225608170033,0.00021505376207642257
YER119C,YDR046C,1,-4.890713,0.875,0.015053763054311275,0.00021505376207642257
YCL025C,YBR132C,1,-4.9214425,0.8888888955116272,0.017204301431775093,0.00021505376207642257
YCL025C,YKR039W,1,-4.9328704,0.8999999761581421,0.019354838877916336,0.00021505376207642257
YBR132C,YMR088C,1,-4.947737,0.9090909361839294,0.02150537632405758,0.00021505376207642257
YCL025C,YER119C,1,-4.9808636,0.9166666865348816,0.023655913770198822,0.00021505376207642257
YPR021C,YOR348C,1,-4.98114,0.9230769276618958,0.025806451216340065,0.00021505376207642257
YPL265W,YPL274W,1,-5.021399,0.9285714030265808,0.027956988662481308,0.00021505376207642257
YDR508C,YMR088C,1,-5.0463305,0.9333333373069763,0.03010752610862255,0.00021505376207642257
YCR075C,YOR348C,1,-5.051246,0.9375,0.032258063554763794,0.00021505376207642257
YDR492W,YEL024W,0,-5.0604258,0.8823529481887817,0.032258063554763794,0.00043010752415284514
YOR130C,YPL274W,1,-5.0819864,0.8888888955116272,0.034408602863550186,0.00043010752415284514
YBL015W,YER088C,0,-5.117,0.8421052694320679,0.034408602863550186,0.0006451613153330982
YPL075W,YGL055W,0,-5.123936,0.800000011920929,0.034408602863550186,0.0008602150483056903
YMR006C,YDL128W,0,-5.1885586,0.761904776096344,0.034408602863550186,0.0010752688394859433
YCL025C,YOR348C,1,-5.1956663,0.7727272510528564,0.03655913844704628,0.0010752688394859433
YCL025C,YMR088C,1,-5.2260604,0.782608687877655,0.03870967775583267,0.0010752688394859433
YBR132C,YPL265W,1,-5.2320046,0.7916666865348816,0.040860213339328766,0.0010752688394859433
YPR021C,YCL025C,1,-5.2380295,0.800000011920929,0.04301075264811516,0.0010752688394859433
YDR148C,YGR279C,0,-5.2388344,0.7692307829856873,0.04301075264811516,0.0012903226306661963
YOR348C,YPL274W,1,-5.241966,0.7777777910232544,0.04516129195690155,0.0012903226306661963
YBR068C,YKR039W,1,-5.244995,0.7857142686843872,0.047311827540397644,0.0012903226306661963
YDR091C,YMR216C,0,-5.2630234,0.7586206793785095,0.047311827540397644,0.0015053763054311275
YPL265W,YCR075C,1,-5.2650304,0.7666666507720947,0.049462366849184036,0.0015053763054311275
YLL031C,YFR053C,0,-5.269862,0.7419354915618896,0.049462366849184036,0.0017204300966113806
YDR384C,YGR020C,0,-5.2748194,0.71875,0.049462366849184036,0.0019354838877916336
YEL063C,YDR508C,1,-5.278525,0.7272727489471436,0.05161290243268013,0.0019354838877916336
YNR002C,YLR100W,0,-5.302086,0.7058823704719543,0.05161290243268013,0.0021505376789718866
YBR132C,YCR075C,1,-5.306056,0.7142857313156128,0.05376344174146652,0.0021505376789718866
YCL025C,YCR075C,1,-5.310265,0.7222222089767456,0.055913977324962616,0.0021505376789718866
