Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YHR062C,YNR015W,1,-2.2110958,1.0,0.0028490028344094753,0.0
YHR062C,YMR059W,1,-2.5700698,1.0,0.005698005668818951,0.0
YKL205W,YBR257W,1,-2.6993215,1.0,0.008547008968889713,0.0
YBR257W,YNR015W,1,-2.8070185,1.0,0.011396011337637901,0.0
YBL018C,YHR062C,1,-2.8497095,1.0,0.014245014637708664,0.0
YKL205W,YHR062C,1,-2.9295192,1.0,0.017094017937779427,0.0
YHR062C,YJL087C,1,-2.9362853,1.0,0.01994301937520504,0.0
YBR167C,YHR062C,1,-3.0515034,1.0,0.022792022675275803,0.0
YGR030C,YNR015W,1,-3.1046765,1.0,0.025641025975346565,0.0
YMR059W,YJL087C,1,-3.21255,1.0,0.028490029275417328,0.0
YNL221C,YHR062C,1,-3.2154086,1.0,0.03133903071284294,0.0
YNL282W,YAR008W,1,-3.2175815,1.0,0.03418803587555885,0.0
YMR059W,YNR015W,1,-3.3382769,1.0,0.03703703731298447,0.0
YNL221C,YNL282W,1,-3.360257,1.0,0.03988603875041008,0.0
YAL033W,YMR059W,1,-3.4918306,1.0,0.04273504391312599,0.0
YBR257W,YMR059W,1,-3.5014045,1.0,0.045584045350551605,0.0
YHR062C,YAR008W,1,-3.5026753,1.0,0.04843304678797722,0.0
YKL205W,YNR015W,1,-3.5041382,1.0,0.05128205195069313,0.0
YBR022W,YBR167C,1,-3.5641236,1.0,0.054131053388118744,0.0
YKL205W,YNL221C,1,-3.5919335,1.0,0.056980058550834656,0.0
YBR257W,YKR079C,1,-3.6507583,1.0,0.05982905998826027,0.0
YNL282W,YNR015W,1,-3.6820538,1.0,0.06267806142568588,0.0
YBL018C,YNR015W,1,-3.6894066,1.0,0.0655270665884018,0.0
YBR257W,YHR062C,1,-3.7306035,1.0,0.0683760717511177,0.0
YKL205W,YBR167C,1,-3.7401276,1.0,0.07122506946325302,0.0
YAL033W,YAR008W,1,-3.7446163,1.0,0.07407407462596893,0.0
YNL221C,YNR015W,1,-3.7785707,1.0,0.07692307978868484,0.0
YJL179W,YKR056W,0,-3.7872345,0.9642857313156128,0.07692307978868484,0.00028490027762018144
YNL221C,YMR059W,1,-3.7881067,0.9655172228813171,0.07977207750082016,0.00028490027762018144
YAR008W,YNR015W,1,-3.7964764,0.9666666388511658,0.08262108266353607,0.00028490027762018144
YBR167C,YNR015W,1,-3.8476539,0.9677419066429138,0.08547008782625198,0.00028490027762018144
YKL205W,YJL087C,1,-3.8506792,0.96875,0.0883190855383873,0.00028490027762018144
YBR257W,YAR008W,1,-3.8659668,0.9696969985961914,0.09116809070110321,0.00028490027762018144
YGL092W,YNL282W,1,-3.883673,0.970588207244873,0.09401709586381912,0.00028490027762018144
YAL033W,YNR015W,1,-3.9306843,0.9714285731315613,0.09686609357595444,0.00028490027762018144
YAL033W,YBR167C,1,-3.9336991,0.9722222089767456,0.09971509873867035,0.00028490027762018144
YNL221C,YKR079C,1,-3.9377725,0.9729729890823364,0.10256410390138626,0.00028490027762018144
YNL282W,YPL083C,1,-3.9634721,0.9736841917037964,0.10541310906410217,0.00028490027762018144
YLR052W,YGR095C,0,-3.9990199,0.9487179517745972,0.10541310906410217,0.0005698005552403629
YBR167C,YMR059W,1,-4.0330925,0.949999988079071,0.10826210677623749,0.0005698005552403629
YBR257W,YJL087C,1,-4.049533,0.9512194991111755,0.1111111119389534,0.0005698005552403629
YKL205W,YNL282W,1,-4.050501,0.9523809552192688,0.11396011710166931,0.0005698005552403629
YNL282W,YMR059W,1,-4.05077,0.9534883499145508,0.11680911481380463,0.0005698005552403629
YBR257W,YPL083C,1,-4.062112,0.9545454382896423,0.11965811997652054,0.0005698005552403629
YMR138W,YDR121W,0,-4.065112,0.9333333373069763,0.11965811997652054,0.0008547008619643748
