Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YKR085C,YGR275W,0,-2.638411,0.0,0.0,9.999999747378752e-05
YDR459C,YBR198C,1,-2.6473274,0.5,0.0010000000474974513,9.999999747378752e-05
YCL010C,YOR064C,1,-2.9847612,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YLR015W,YNL107W,0,-3.041563,0.5,0.0020000000949949026,0.00019999999494757503
YPL254W,YBL052C,1,-3.087265,0.6000000238418579,0.003000000026077032,0.00019999999494757503
YDR145W,YPL129W,1,-3.1682272,0.6666666865348816,0.004000000189989805,0.00019999999494757503
YFL039C,YDR145W,1,-3.2671177,0.7142857313156128,0.004999999888241291,0.00019999999494757503
YIL009W,YDL040C,1,-3.2758794,0.75,0.006000000052154064,0.00019999999494757503
YNL136W,YCL010C,1,-3.3137593,0.7777777910232544,0.007000000216066837,0.00019999999494757503
YDR176W,YDR145W,1,-3.33896,0.800000011920929,0.00800000037997961,0.00019999999494757503
YDL040C,YBL052C,1,-3.4569986,0.8181818127632141,0.008999999612569809,0.00019999999494757503
YDR176W,YCL010C,1,-3.464214,0.8333333134651184,0.009999999776482582,0.00019999999494757503
YOR028C,YMR039C,0,-3.4706955,0.7692307829856873,0.009999999776482582,0.0003000000142492354
YLR195C,YOL110W,1,-3.4725444,0.7857142686843872,0.010999999940395355,0.0003000000142492354
YDR176W,YOL148C,1,-3.4905412,0.800000011920929,0.012000000104308128,0.0003000000142492354
YGR254W,YDR272W,0,-3.4930282,0.75,0.012000000104308128,0.00039999998989515007
YFL039C,YBR081C,1,-3.5036545,0.7647058963775635,0.013000000268220901,0.00039999998989515007
YLL022C,YDR145W,1,-3.5112228,0.7777777910232544,0.014000000432133675,0.00039999998989515007
YDR176W,YBL052C,1,-3.527284,0.7894737124443054,0.014999999664723873,0.00039999998989515007
YOR260W,YMR006C,0,-3.5470202,0.75,0.014999999664723873,0.0005000000237487257
YGL066W,YBR081C,1,-3.54744,0.761904776096344,0.01600000075995922,0.0005000000237487257
YNL166C,YBR010W,0,-3.574748,0.7272727489471436,0.01600000075995922,0.0006000000284984708
YGR252W,YPL254W,1,-3.5984793,0.739130437374115,0.017000000923871994,0.0006000000284984708
YGR252W,YDR145W,1,-3.6007638,0.75,0.017999999225139618,0.0006000000284984708
YGR252W,YBL052C,1,-3.6211329,0.7599999904632568,0.01899999938905239,0.0006000000284984708
YGR252W,YHR090C,1,-3.624632,0.7692307829856873,0.019999999552965164,0.0006000000284984708
YCL010C,YOL148C,1,-3.634241,0.7777777910232544,0.020999999716877937,0.0006000000284984708
YPL001W,YDR167W,1,-3.6552205,0.7857142686843872,0.02199999988079071,0.0006000000284984708
YBR081C,YDR167W,1,-3.6719093,0.7931034564971924,0.023000000044703484,0.0006000000284984708
YOL002C,YBR129C,0,-3.6801257,0.7666666507720947,0.023000000044703484,0.000699999975040555
YER161C,YER093C,0,-3.699383,0.7419354915618896,0.023000000044703484,0.0007999999797903001
YNL136W,YDR176W,1,-3.7164078,0.75,0.024000000208616257,0.0007999999797903001
YGR252W,YDR176W,1,-3.7276096,0.7575757503509521,0.02500000037252903,0.0007999999797903001
YHR172W,YAR003W,0,-3.74895,0.7352941036224365,0.02500000037252903,0.0008999999845400453
YGR252W,YDR459C,1,-3.766666,0.7428571581840515,0.026000000536441803,0.0008999999845400453
YGR278W,YJL085W,0,-3.7845066,0.7222222089767456,0.026000000536441803,0.0010000000474974513
YBR081C,YBR198C,1,-3.7857623,0.7297297120094299,0.027000000700354576,0.0010000000474974513
YOL076W,YCL010C,1,-3.7929006,0.7368420958518982,0.02800000086426735,0.0010000000474974513
YNL136W,YBR081C,1,-3.7962413,0.7435897588729858,0.028999999165534973,0.0010000000474974513
YPL001W,YPL129W,1,-3.7977462,0.75,0.029999999329447746,0.0010000000474974513
YMR246W,YBR081C,1,-3.8004994,0.7560975551605225,0.03099999949336052,0.0010000000474974513
YDR448W,YBR198C,1,-3.819277,0.761904776096344,0.03200000151991844,0.0010000000474974513
YFL039C,YNL136W,1,-3.8329525,0.7674418687820435,0.032999999821186066,0.0010000000474974513
YOL076W,YDL040C,1,-3.8333094,0.7727272510528564,0.03400000184774399,0.0010000000474974513
YLR117C,YPL125W,0,-3.8668168,0.7555555701255798,0.03400000184774399,0.0010999999940395355
YJL081C,YPL001W,1,-3.8748538,0.760869562625885,0.03500000014901161,0.0010999999940395355
YML069W,YJL074C,0,-3.8769145,0.7446808218955994,0.03500000014901161,0.0012000000569969416
YJL081C,YBL052C,1,-3.8805547,0.75,0.035999998450279236,0.0012000000569969416
YBR258C,YOR148C,0,-3.886158,0.7346938848495483,0.035999998450279236,0.0013000000035390258
YJR144W,YNL206C,0,-3.9002206,0.7200000286102295,0.035999998450279236,0.00139999995008111
YJL081C,YDR176W,1,-3.9005527,0.7254902124404907,0.03700000047683716,0.00139999995008111
YDL040C,YMR069W,1,-3.902011,0.7307692170143127,0.03799999877810478,0.00139999995008111
YKL148C,YGR270W,0,-3.9139934,0.7169811129570007,0.03799999877810478,0.001500000013038516
YBL052C,YOL148C,1,-3.9172263,0.7222222089767456,0.039000000804662704,0.001500000013038516
YPR073C,YBR057C,0,-3.9181535,0.7090908885002136,0.039000000804662704,0.0015999999595806003
YOL148C,YDR392W,1,-3.9355888,0.7142857313156128,0.03999999910593033,0.0015999999595806003
YDR459C,YCL010C,1,-3.9739695,0.719298243522644,0.04100000113248825,0.0015999999595806003
YOL005C,YPL128C,0,-3.9753897,0.7068965435028076,0.04100000113248825,0.0017000000225380063
YPR051W,YBR198C,1,-3.9931395,0.7118644118309021,0.041999999433755875,0.0017000000225380063
YPR031W,YBL052C,1,-4.002172,0.7166666388511658,0.0430000014603138,0.0017000000225380063
YPR051W,YBL052C,1,-4.006781,0.7213114500045776,0.04399999976158142,0.0017000000225380063
YGR252W,YPR031W,1,-4.008453,0.725806474685669,0.04500000178813934,0.0017000000225380063
YIL009W,YOR064C,1,-4.010579,0.7301587462425232,0.04600000008940697,0.0017000000225380063
YOL017W,YBR010W,0,-4.0272813,0.71875,0.04600000008940697,0.0017999999690800905
YPL254W,YOL076W,1,-4.029069,0.7230769395828247,0.04699999839067459,0.0017999999690800905
YPR031W,YDR145W,1,-4.037959,0.7272727489471436,0.04800000041723251,0.0017999999690800905
YDR448W,YPR051W,1,-4.044824,0.7313432693481445,0.04899999871850014,0.0017999999690800905
YDL040C,YPL129W,1,-4.0449758,0.7352941036224365,0.05000000074505806,0.0017999999690800905
YOL076W,YBL052C,1,-4.058124,0.739130437374115,0.050999999046325684,0.0017999999690800905
YIL009W,YMR069W,1,-4.065167,0.7428571581840515,0.052000001072883606,0.0017999999690800905
YBL052C,YCL010C,1,-4.06634,0.7464788556098938,0.05299999937415123,0.0017999999690800905
YDR176W,YDR167W,1,-4.085597,0.75,0.05400000140070915,0.0017999999690800905
YHR013C,YGR252W,1,-4.096438,0.7534246444702148,0.054999999701976776,0.0017999999690800905
YNL136W,YOL148C,1,-4.0972486,0.7567567825317383,0.0560000017285347,0.0017999999690800905
YER015W,YLL022C,1,-4.109327,0.7599999904632568,0.05700000002980232,0.0017999999690800905
YJL081C,YGL066W,1,-4.1177855,0.7631579041481018,0.057999998331069946,0.0017999999690800905
YDR392W,YDR167W,1,-4.1217194,0.7662337422370911,0.05900000035762787,0.0017999999690800905
YFL039C,YGL066W,1,-4.125292,0.7692307829856873,0.05999999865889549,0.0017999999690800905
YDL207W,YOR063W,0,-4.1255455,0.7594936490058899,0.05999999865889549,0.0019000000320374966
YER040W,YGL055W,0,-4.130037,0.75,0.05999999865889549,0.0020000000949949026
YMR276W,YBL017C,0,-4.1335335,0.7407407164573669,0.05999999865889549,0.002099999925121665
YGR252W,YGR147C,1,-4.135246,0.7439024448394775,0.061000000685453415,0.002099999925121665
YCR092C,YDR288W,0,-4.1414585,0.7349397540092468,0.061000000685453415,0.002199999988079071
YPR193C,YDR145W,1,-4.1517606,0.738095223903656,0.06199999898672104,0.002199999988079071
YKL206C,YMR276W,0,-4.1534686,0.729411780834198,0.06199999898672104,0.002300000051036477
YJL081C,YDR392W,1,-4.1580076,0.7325581312179565,0.06300000101327896,0.002300000051036477
YLR153C,YOR064C,1,-4.1643057,0.7356321811676025,0.06400000303983688,0.002300000051036477
YJL081C,YDR145W,1,-4.1662683,0.7386363744735718,0.06499999761581421,0.002300000051036477
YHR013C,YMR069W,1,-4.1671815,0.7415730357170105,0.06599999964237213,0.002300000051036477
YGR252W,YLL002W,1,-4.170172,0.7444444298744202,0.06700000166893005,0.002300000051036477
YGL247W,YPR072W,0,-4.1705394,0.7362637519836426,0.06700000166893005,0.002400000113993883
YOL148C,YOR064C,1,-4.176428,0.739130437374115,0.06800000369548798,0.002400000113993883
YPR187W,YER161C,0,-4.177796,0.7311828136444092,0.06800000369548798,0.0024999999441206455
YDR448W,YGR252W,1,-4.1780972,0.7340425252914429,0.0689999982714653,0.0024999999441206455
YBL032W,YNL216W,0,-4.182641,0.7263157963752747,0.0689999982714653,0.0026000000070780516
YGL066W,YOL148C,1,-4.1853933,0.7291666865348816,0.07000000029802322,0.0026000000070780516
YDR167W,YPL129W,1,-4.185839,0.7319587469100952,0.07100000232458115,0.0026000000070780516
YFL039C,YOL110W,1,-4.2057204,0.7346938848495483,0.07199999690055847,0.0026000000070780516
