Batch,Training Loss,Validation Loss
0,69.29914951324463,69.16334450244904
100,46.71260403096676,10.083460509777069
200,6.075396355241537,5.743916630744934
300,5.190938003361225,5.265681184828281
400,4.927671853452921,4.691109769046307
500,4.859032746404409,4.760272316634655
600,4.6178420670330524,5.238220989704132
700,4.565026842057705,4.838007763028145
800,4.587857220321894,4.742674566805363
900,4.556318925693631,4.277127347886562
1000,4.431134093552828,4.6585700288414955
1100,4.417635831981897,3.991173915565014
1200,4.280716300010681,5.03038052469492
1300,4.234312102198601,4.460621885955334
1400,4.234058044850826,4.133705385029316
1500,4.199188293889165,5.063554458320141
1600,4.2410938292741776,4.3137118592858315
1700,4.156151324510574,3.7894226610660553
1800,4.0969989858567715,4.3438854813575745
1900,4.106064707040787,3.3861623890697956
2000,4.075577154755592,4.032524935901165
2100,4.026012621819973,3.908643163740635
2200,3.995218575000763,3.831103965640068
2300,4.033453844487667,4.121062159538269
2400,4.0149658434093,4.070877693593502
2500,3.9914680011570454,4.332132562994957
2600,4.042482918128371,3.983372300863266
2700,4.01854095980525,4.299833215773106
2800,3.981585942208767,3.8500333204865456
2900,3.937454139813781,4.232134744524956
3000,3.899174030870199,3.3910909295082092
3100,3.9064424745738506,4.255523756146431
3200,3.9937280267477036,4.148621745407581
3300,3.9822900630533695,3.754626177251339
3400,3.9278459679335356,3.9610234647989273
3500,3.9749771431088448,3.9154769852757454
3600,3.9242104552686214,3.8068757578730583
3700,3.920535061508417,3.999519608914852
3800,3.8684902153909206,4.0582530945539474
3900,3.873222405090928,4.253956489264965
4000,3.8831781558692455,3.936110995709896
4100,3.874227760359645,3.3588085882365704
4200,3.8435629177838564,3.974623791873455
4300,3.882441282272339,3.6677611619234085
4400,3.8117417246103287,3.9055510610342026
4500,3.762164782732725,3.8077787682414055
4600,3.840026557445526,4.443977996706963
4700,3.815273232758045,4.100204631686211
4800,3.859057988971472,4.627164639532566
4900,3.8168270140886307,4.409109055995941
5000,3.853539824485779,4.496993646025658
5100,3.795868068933487,4.088760316371918
5200,3.8370873983949423,4.141809232532978
5300,3.7925864793360233,3.766646534204483
5400,3.776622664183378,3.85200422257185
5500,3.8413311801850796,4.11127720028162
5600,3.792840464040637,3.4610307961702347
5700,3.7517335638403893,3.752223812043667
5800,3.8031309749931097,3.8671157881617546
5900,3.7691773138940334,3.8784678280353546
6000,3.8055585995316505,4.106595404446125
6100,3.7807946857064962,3.640620782971382
6200,3.799658792093396,3.8423284888267517
6300,3.8071720972657204,3.73576071113348
6400,3.751593016088009,3.851260542869568
6500,3.775713585317135,3.9289556816220284
6600,3.705213565379381,3.8734646886587143
