Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDR446W,YHR157W,1,-0.17080033,1.0,0.0010000000474974513,0.0
YDR446W,YER044C-A,1,-1.1831046,1.0,0.0020000000949949026,0.0
YLR288C,YJR021C,1,-1.4741212,1.0,0.003000000026077032,0.0
YDR446W,YBR136W,1,-1.5678123,1.0,0.004000000189989805,0.0
YGL033W,YLR234W,1,-1.5745183,1.0,0.004999999888241291,0.0
YDR113C,YHL022C,1,-1.6313871,1.0,0.006000000052154064,0.0
YDL154W,YLL002W,1,-1.6668208,1.0,0.007000000216066837,0.0
YKL011C,YGL183C,1,-1.7422425,1.0,0.00800000037997961,0.0
YKL011C,YBR098W,1,-1.7491118,1.0,0.008999999612569809,0.0
YDR545W,YLR467W,1,-1.7513207,1.0,0.009999999776482582,0.0
YDR440W,YGL175C,1,-1.7627467,1.0,0.010999999940395355,0.0
YLR466W,YLR467W,1,-1.8110249,1.0,0.012000000104308128,0.0
YGL183C,YJR021C,1,-1.8799468,1.0,0.013000000268220901,0.0
YGL183C,YLL002W,1,-1.8930348,1.0,0.014000000432133675,0.0
YDR440W,YHR157W,1,-1.9278493,1.0,0.014999999664723873,0.0
YHR157W,YLL002W,1,-1.9630758,1.0,0.01600000075995922,0.0
YFL003C,YML061C,1,-2.035092,1.0,0.017000000923871994,0.0
YDR113C,YGL175C,1,-2.0506573,1.0,0.017999999225139618,0.0
YNL250W,YLL002W,1,-2.0914843,1.0,0.01899999938905239,0.0
YBR136W,YGL183C,1,-2.1448064,1.0,0.019999999552965164,0.0
YBR098W,YGL175C,1,-2.1610298,1.0,0.020999999716877937,0.0
YLR329W,YHR157W,1,-2.182386,1.0,0.02199999988079071,0.0
YGR179C,YIL084C,0,-2.1987486,0.95652174949646,0.02199999988079071,9.999999747378752e-05
YPR111W,YPL233W,0,-2.2244387,0.9166666865348816,0.02199999988079071,0.00019999999494757503
YBR136W,YML061C,1,-2.28862,0.9200000166893005,0.023000000044703484,0.00019999999494757503
YML061C,YNL312W,1,-2.2947707,0.9230769276618958,0.024000000208616257,0.00019999999494757503
YMR078C,YAR008W,0,-2.3066115,0.8888888955116272,0.024000000208616257,0.0003000000142492354
YGL033W,YDR076W,1,-2.3193803,0.8928571343421936,0.02500000037252903,0.0003000000142492354
YBR136W,YNL250W,1,-2.3226583,0.8965517282485962,0.026000000536441803,0.0003000000142492354
YDL059C,YLR466W,1,-2.327598,0.8999999761581421,0.027000000700354576,0.0003000000142492354
YOR368W,YGL175C,1,-2.335465,0.9032257795333862,0.02800000086426735,0.0003000000142492354
YDL069C,YOR349W,0,-2.3412886,0.875,0.02800000086426735,0.00039999998989515007
YHR157W,YLR234W,1,-2.3522604,0.8787878751754761,0.028999999165534973,0.00039999998989515007
YJR053W,YBR040W,0,-2.3612616,0.8529411554336548,0.028999999165534973,0.0005000000237487257
YER104W,YHL022C,1,-2.362266,0.8571428656578064,0.029999999329447746,0.0005000000237487257
YDR437W,YDL115C,0,-2.3726313,0.8333333134651184,0.029999999329447746,0.0006000000284984708
YBR088C,YCR061W,0,-2.3792088,0.8108108043670654,0.029999999329447746,0.000699999975040555
YDL102W,YHR150W,0,-2.3936672,0.7894737124443054,0.029999999329447746,0.0007999999797903001
YDR446W,YML061C,1,-2.3967276,0.7948718070983887,0.03099999949336052,0.0007999999797903001
YDL154W,YER147C,1,-2.4028773,0.800000011920929,0.03200000151991844,0.0007999999797903001
YLL002W,YHL022C,1,-2.4087005,0.8048780560493469,0.032999999821186066,0.0007999999797903001
YDR030C,YGL104C,0,-2.415419,0.7857142686843872,0.032999999821186066,0.0008999999845400453
YER044C-A,YLL002W,1,-2.4204154,0.7906976938247681,0.03400000184774399,0.0008999999845400453
YGL033W,YLL002W,1,-2.4312873,0.7954545617103577,0.03500000014901161,0.0008999999845400453
YBR098W,YLL002W,1,-2.4338455,0.800000011920929,0.035999998450279236,0.0008999999845400453
YBR098W,YDL154W,1,-2.435627,0.804347813129425,0.03700000047683716,0.0008999999845400453
YBR136W,YHR157W,1,-2.4483202,0.8085106611251831,0.03799999877810478,0.0008999999845400453
YER190W,YLR467W,1,-2.4678154,0.8125,0.039000000804662704,0.0008999999845400453
YER044C-A,YDL154W,1,-2.4734094,0.8163265585899353,0.03999999910593033,0.0008999999845400453
YDR113C,YHR157W,1,-2.48518,0.8199999928474426,0.04100000113248825,0.0008999999845400453
YBR060C,YLR316C,0,-2.4853692,0.8039215803146362,0.04100000113248825,0.0010000000474974513
YPL015C,YJR021C,1,-2.487133,0.807692289352417,0.041999999433755875,0.0010000000474974513
YML032C,YER147C,1,-2.5019462,0.8113207817077637,0.0430000014603138,0.0010000000474974513
YKL011C,YLL002W,1,-2.5070624,0.8148148059844971,0.04399999976158142,0.0010000000474974513
YAL034W-A,YCR014C,0,-2.5076566,0.800000011920929,0.04399999976158142,0.0010999999940395355
YIL002C,YNL128W,0,-2.510697,0.7857142686843872,0.04399999976158142,0.0012000000569969416
YML032C,YGL175C,1,-2.5152278,0.7894737124443054,0.04500000178813934,0.0012000000569969416
YHR157W,YER147C,1,-2.5239954,0.7931034564971924,0.04600000008940697,0.0012000000569969416
YGL183C,YML032C,1,-2.5396104,0.7966101765632629,0.04699999839067459,0.0012000000569969416
YDL080C,YOL105C,0,-2.5396852,0.7833333611488342,0.04699999839067459,0.0013000000035390258
YGL075C,YLR119W,0,-2.5533485,0.7704917788505554,0.04699999839067459,0.00139999995008111
YDR446W,YBR098W,1,-2.5689344,0.774193525314331,0.04800000041723251,0.00139999995008111
YNL082W,YJR021C,1,-2.5777578,0.7777777910232544,0.04899999871850014,0.00139999995008111
YGL033W,YML032C,1,-2.5966306,0.78125,0.05000000074505806,0.00139999995008111
YOL090W,YGL175C,1,-2.609724,0.7846153974533081,0.050999999046325684,0.00139999995008111
