Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDL029W,YOL111C,0,-6.102787,0.0,0.0,0.0008333333535119891
YBR093C,YDR477W,1,-6.3056116,0.5,0.008333333767950535,0.0008333333535119891
YLR160C,YPL154C,1,-6.3394365,0.6666666865348816,0.01666666753590107,0.0008333333535119891
YPL036W,YLL021W,0,-6.4384565,0.5,0.01666666753590107,0.0016666667070239782
YDR040C,YCR026C,1,-6.477951,0.6000000238418579,0.02500000037252903,0.0016666667070239782
YGR086C,YMR200W,0,-6.485567,0.5,0.02500000037252903,0.0024999999441206455
YKL120W,YNL055C,0,-6.500127,0.4285714328289032,0.02500000037252903,0.0033333334140479565
YNR032C-A,YEL012W,0,-6.5056133,0.375,0.02500000037252903,0.004166666883975267
YLR370C,YJL164C,0,-6.588515,0.3333333432674408,0.02500000037252903,0.004999999888241291
YMR037C,YMR140W,1,-6.5938196,0.4000000059604645,0.03333333507180214,0.004999999888241291
YLR370C,YPL059W,0,-6.602664,0.3636363744735718,0.03333333507180214,0.005833333358168602
YLR157C,YMR140W,1,-6.617976,0.4166666567325592,0.0416666679084301,0.005833333358168602
YMR296C,YKL175W,0,-6.640298,0.38461539149284363,0.0416666679084301,0.006666666828095913
YDR294C,YMR140W,1,-6.642223,0.4285714328289032,0.05000000074505806,0.006666666828095913
YDR294C,YPL154C,1,-6.709267,0.46666666865348816,0.05833333358168602,0.006666666828095913
YLR102C,YMR190C,0,-6.7723966,0.4375,0.05833333358168602,0.007499999832361937
YLR158C,YPL154C,1,-6.7979994,0.47058823704719543,0.06666667014360428,0.007499999832361937
YAL026C,YPL019C,0,-6.804865,0.4444444477558136,0.06666667014360428,0.008333333767950535
YHR079C,YML091C,0,-6.828565,0.42105263471603394,0.06666667014360428,0.009166666306555271
YER017C,YDR116C,0,-6.840213,0.4000000059604645,0.06666667014360428,0.009999999776482582
YLR158C,YMR140W,1,-6.858063,0.4285714328289032,0.07500000298023224,0.009999999776482582
YBL022C,YDR325W,0,-6.8858943,0.40909090638160706,0.07500000298023224,0.010833333246409893
YIL120W,YBR097W,0,-6.902131,0.3913043439388275,0.07500000298023224,0.011666666716337204
YLR157C,YPL154C,1,-6.904265,0.4166666567325592,0.0833333358168602,0.011666666716337204
YNL268W,YER012W,0,-6.929966,0.4000000059604645,0.0833333358168602,0.012500000186264515
YJL039C,YPL058C,0,-6.9432755,0.38461539149284363,0.0833333358168602,0.013333333656191826
