Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGL014W,YOL142W,1,-0.44019687,1.0,0.0010000000474974513,0.0
YPL101W,YDR395W,0,-1.2009387,0.5,0.0010000000474974513,9.999999747378752e-05
YIL038C,YHR069C,1,-1.2484362,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YHR077C,YOR001W,1,-1.424922,0.75,0.003000000026077032,9.999999747378752e-05
YHR081W,YJL140W,1,-1.435122,0.800000011920929,0.004000000189989805,9.999999747378752e-05
YCR035C,YER049W,1,-1.5471766,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YHR081W,YER112W,1,-1.5496893,0.8571428656578064,0.006000000052154064,9.999999747378752e-05
YGL014W,YMR125W,1,-1.5905361,0.875,0.007000000216066837,9.999999747378752e-05
YDR280W,YDR172W,1,-1.6115735,0.8888888955116272,0.00800000037997961,9.999999747378752e-05
YKL144C,YKR079C,0,-1.6177495,0.800000011920929,0.00800000037997961,0.00019999999494757503
YOL021C,YNL147W,1,-1.6234224,0.8181818127632141,0.008999999612569809,0.00019999999494757503
YDL175C,YOL142W,1,-1.6487565,0.8333333134651184,0.009999999776482582,0.00019999999494757503
YHR069C,YOR001W,1,-1.6775057,0.8461538553237915,0.010999999940395355,0.00019999999494757503
YDL175C,YDR280W,1,-1.6918793,0.8571428656578064,0.012000000104308128,0.00019999999494757503
YOL021C,YOL142W,1,-1.7858315,0.8666666746139526,0.013000000268220901,0.00019999999494757503
YHR069C,YCR035C,1,-1.7903278,0.875,0.014000000432133675,0.00019999999494757503
YOR001W,YDR172W,1,-1.8169317,0.8823529481887817,0.014999999664723873,0.00019999999494757503
YCR035C,YOR001W,1,-1.8356535,0.8888888955116272,0.01600000075995922,0.00019999999494757503
YER112W,YDR172W,1,-1.8683274,0.8947368264198303,0.017000000923871994,0.00019999999494757503
YDL111C,YDR172W,1,-1.8931978,0.8999999761581421,0.017999999225139618,0.00019999999494757503
YCR035C,YDR172W,1,-1.9054449,0.9047619104385376,0.01899999938905239,0.00019999999494757503
YOL139C,YHR069C,1,-1.9068327,0.9090909361839294,0.019999999552965164,0.00019999999494757503
YCR035C,YDR280W,1,-1.9132621,0.9130434989929199,0.020999999716877937,0.00019999999494757503
YNL147W,YOL115W,1,-1.950378,0.9166666865348816,0.02199999988079071,0.00019999999494757503
YOL139C,YDL111C,1,-1.972569,0.9200000166893005,0.023000000044703484,0.00019999999494757503
YDL175C,YHR069C,1,-1.9892347,0.9230769276618958,0.024000000208616257,0.00019999999494757503
YHR081W,YNL299W,1,-2.1459007,0.9259259104728699,0.02500000037252903,0.00019999999494757503
YGR120C,YDR449C,0,-2.1467273,0.8928571343421936,0.02500000037252903,0.0003000000142492354
YHR081W,YDR172W,1,-2.1618617,0.8965517282485962,0.026000000536441803,0.0003000000142492354
YHR069C,YDR280W,1,-2.1853948,0.8999999761581421,0.027000000700354576,0.0003000000142492354
YCR035C,YGR095C,1,-2.202893,0.9032257795333862,0.02800000086426735,0.0003000000142492354
YIL038C,YGL014W,1,-2.2056217,0.90625,0.028999999165534973,0.0003000000142492354
YJL050W,YDR172W,1,-2.2067974,0.9090909361839294,0.029999999329447746,0.0003000000142492354
YDL175C,YCR035C,1,-2.2186944,0.9117646813392639,0.03099999949336052,0.0003000000142492354
YDL175C,YOR001W,1,-2.2344258,0.9142857193946838,0.03200000151991844,0.0003000000142492354
YNL147W,YHR069C,1,-2.2473583,0.9166666865348816,0.032999999821186066,0.0003000000142492354
YDL111C,YOR001W,1,-2.255045,0.9189189076423645,0.03400000184774399,0.0003000000142492354
YOL115W,YDR172W,1,-2.2574482,0.9210526347160339,0.03500000014901161,0.0003000000142492354
YOL115W,YDL111C,1,-2.2769103,0.9230769276618958,0.035999998450279236,0.0003000000142492354
YDR172W,YER049W,1,-2.3207757,0.925000011920929,0.03700000047683716,0.0003000000142492354
YIL079C,YDL175C,1,-2.327614,0.9268292784690857,0.03799999877810478,0.0003000000142492354
YIL038C,YDR172W,1,-2.331949,0.9285714030265808,0.039000000804662704,0.0003000000142492354
YOR123C,YCL054W,0,-2.3579848,0.9069767594337463,0.039000000804662704,0.00039999998989515007
YDR172W,YNL299W,1,-2.3663347,0.9090909361839294,0.03999999910593033,0.00039999998989515007
YHR069C,YER049W,1,-2.3665063,0.9111111164093018,0.04100000113248825,0.00039999998989515007
YNL112W,YNL016W,1,-2.369939,0.9130434989929199,0.041999999433755875,0.00039999998989515007
YHR081W,YCR035C,1,-2.3733008,0.914893627166748,0.0430000014603138,0.00039999998989515007
YOL021C,YGL014W,1,-2.391768,0.9166666865348816,0.04399999976158142,0.00039999998989515007
YHR069C,YDR172W,1,-2.3961294,0.918367326259613,0.04500000178813934,0.00039999998989515007
YGL014W,YOR001W,1,-2.3965137,0.9200000166893005,0.04600000008940697,0.00039999998989515007
YGL019W,YER127W,0,-2.4007373,0.9019607901573181,0.04600000008940697,0.0005000000237487257
YNL147W,YGL014W,1,-2.4028041,0.9038461446762085,0.04699999839067459,0.0005000000237487257
YOL115W,YHR069C,1,-2.4213216,0.9056603908538818,0.04800000041723251,0.0005000000237487257
YER112W,YGL014W,1,-2.4419613,0.9074074029922485,0.04899999871850014,0.0005000000237487257
YKL172W,YKL143W,0,-2.4497411,0.8909090757369995,0.04899999871850014,0.0006000000284984708
YHR081W,YOL115W,1,-2.4663568,0.8928571343421936,0.05000000074505806,0.0006000000284984708
YDL175C,YDR172W,1,-2.4953167,0.8947368264198303,0.050999999046325684,0.0006000000284984708
YHR081W,YPR072W,1,-2.4966054,0.8965517282485962,0.052000001072883606,0.0006000000284984708
YNL112W,YHR081W,1,-2.5066142,0.8983050584793091,0.05299999937415123,0.0006000000284984708
YDR206W,YHR085W,0,-2.5304637,0.8833333253860474,0.05299999937415123,0.000699999975040555
YJL060W,YNL239W,0,-2.5314143,0.868852436542511,0.05299999937415123,0.0007999999797903001
YOL139C,YNL299W,1,-2.5384974,0.8709677457809448,0.05400000140070915,0.0007999999797903001
YJL209W,YHR069C,1,-2.5462756,0.8730158805847168,0.054999999701976776,0.0007999999797903001
YJL050W,YMR125W,1,-2.5471883,0.875,0.0560000017285347,0.0007999999797903001
YIL038C,YCR035C,1,-2.548335,0.8769230842590332,0.05700000002980232,0.0007999999797903001
YIL079C,YDR172W,1,-2.5644453,0.8787878751754761,0.057999998331069946,0.0007999999797903001
YOL139C,YDR172W,1,-2.5646784,0.8805969953536987,0.05900000035762787,0.0007999999797903001
YLR438C-A,YHR077C,1,-2.564986,0.8823529481887817,0.05999999865889549,0.0007999999797903001
YLR270W,YNL299W,1,-2.5714562,0.8840579986572266,0.061000000685453415,0.0007999999797903001
YGL014W,YGR072W,1,-2.5737922,0.8857142925262451,0.06199999898672104,0.0007999999797903001
YIL038C,YPR072W,1,-2.589234,0.8873239159584045,0.06300000101327896,0.0007999999797903001
YGL014W,YHR069C,1,-2.6177237,0.8888888955116272,0.06400000303983688,0.0007999999797903001
YGR095C,YDR172W,1,-2.618767,0.8904109597206116,0.06499999761581421,0.0007999999797903001
