Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLL060C,YIR041W,1,0.54087234,1.0,0.0010000000474974513,0.0
YLL060C,YOR208W,1,0.33849418,1.0,0.0020000000949949026,0.0
YGR088W,YBL033C,1,0.22911346,1.0,0.003000000026077032,0.0
YNL279W,YJR104C,1,0.024030566,1.0,0.004000000189989805,0.0
YEL012W,YKR042W,0,-0.09218609,0.800000011920929,0.004000000189989805,9.999999747378752e-05
YGR209C,YML007W,1,-0.16253686,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YER061C,YMR136W,0,-0.16474771,0.7142857313156128,0.004999999888241291,0.00019999999494757503
YKL026C,YBL005W,1,-0.18814325,0.75,0.006000000052154064,0.00019999999494757503
YHR008C,YHR106W,1,-0.23217082,0.7777777910232544,0.007000000216066837,0.00019999999494757503
YDR256C,YFR030W,1,-0.2575388,0.800000011920929,0.00800000037997961,0.00019999999494757503
YLR216C,YPR006C,0,-0.27248645,0.7272727489471436,0.00800000037997961,0.0003000000142492354
YLR270W,YLL027W,0,-0.29459834,0.6666666865348816,0.00800000037997961,0.00039999998989515007
YGL127C,YER103W,0,-0.30982304,0.6153846383094788,0.00800000037997961,0.0005000000237487257
YLR303W,YOR162C,1,-0.31947482,0.6428571343421936,0.008999999612569809,0.0005000000237487257
YFR030W,YLR362W,1,-0.3264649,0.6666666865348816,0.009999999776482582,0.0005000000237487257
YLL027W,YGR008C,0,-0.33389437,0.625,0.009999999776482582,0.0006000000284984708
YPR167C,YBL064C,1,-0.34880888,0.6470588445663452,0.010999999940395355,0.0006000000284984708
YLR304C,YGR213C,1,-0.39780807,0.6666666865348816,0.012000000104308128,0.0006000000284984708
YLR092W,YEL012W,0,-0.398445,0.6315789222717285,0.012000000104308128,0.000699999975040555
YBR244W,YML007W,1,-0.40666592,0.6499999761581421,0.013000000268220901,0.000699999975040555
YNL325C,YGR209C,1,-0.41611743,0.6666666865348816,0.014000000432133675,0.000699999975040555
YDR085C,YML131W,1,-0.42209995,0.6818181872367859,0.014999999664723873,0.000699999975040555
YPL179W,YBL075C,0,-0.42729485,0.6521739363670349,0.014999999664723873,0.0007999999797903001
YAL054C,YOR100C,0,-0.4407357,0.625,0.014999999664723873,0.0008999999845400453
YMR250W,YBL064C,1,-0.44772112,0.6399999856948853,0.01600000075995922,0.0008999999845400453
YBR214W,YHR006W,0,-0.44848692,0.6153846383094788,0.01600000075995922,0.0010000000474974513
YBL078C,YNL116W,0,-0.45978808,0.5925925970077515,0.01600000075995922,0.0010999999940395355
YOR120W,YEL065W,0,-0.47207534,0.5714285969734192,0.01600000075995922,0.0012000000569969416
YIL105C,YGL096W,0,-0.5085044,0.5517241358757019,0.01600000075995922,0.0013000000035390258
YGL096W,YBR105C,0,-0.5091728,0.5333333611488342,0.01600000075995922,0.00139999995008111
YCR028C,YER103W,0,-0.5131278,0.5161290168762207,0.01600000075995922,0.001500000013038516
YBR035C,YBR105C,0,-0.5165241,0.5,0.01600000075995922,0.0015999999595806003
YLR157C,YOR147W,0,-0.51761556,0.4848484992980957,0.01600000075995922,0.0017000000225380063
YDR492W,YML028W,1,-0.5318278,0.5,0.017000000923871994,0.0017000000225380063
YDL243C,YIL017C,1,-0.537683,0.5142857432365417,0.017999999225139618,0.0017000000225380063
YNL331C,YDL243C,1,-0.5412315,0.5277777910232544,0.01899999938905239,0.0017000000225380063
YLR189C,YOL067C,0,-0.54436636,0.5135135054588318,0.01899999938905239,0.0017999999690800905
YNR035C,YOR173W,0,-0.5452647,0.5,0.01899999938905239,0.0019000000320374966
YLR109W,YHR106W,1,-0.54549,0.5128205418586731,0.019999999552965164,0.0019000000320374966
YOL064C,YOR380W,1,-0.5457355,0.5249999761581421,0.020999999716877937,0.0019000000320374966
YER145C,YOR027W,0,-0.5533792,0.5121951103210449,0.020999999716877937,0.0020000000949949026
YJR155W,YOL151W,1,-0.5536405,0.523809552192688,0.02199999988079071,0.0020000000949949026
YMR136W,YIL135C,0,-0.5589583,0.5116279125213623,0.02199999988079071,0.002099999925121665
YCR005C,YER035W,0,-0.56020045,0.5,0.02199999988079071,0.002199999988079071
YLR109W,YKL178C,1,-0.57751656,0.5111111402511597,0.023000000044703484,0.002199999988079071
YJL094C,YBL075C,0,-0.5898032,0.5,0.023000000044703484,0.002300000051036477
YDL243C,YHR079C,1,-0.59666073,0.5106382966041565,0.024000000208616257,0.002300000051036477
YPL240C,YNL244C,0,-0.60515165,0.5,0.024000000208616257,0.002400000113993883
YPR075C,YML131W,1,-0.6137805,0.5102040767669678,0.02500000037252903,0.002400000113993883
YLR304C,YGR197C,1,-0.62085676,0.5199999809265137,0.026000000536441803,0.002400000113993883
YDL243C,YOL151W,1,-0.62327933,0.529411792755127,0.027000000700354576,0.002400000113993883
YPR030W,YBR214W,0,-0.6556177,0.5192307829856873,0.027000000700354576,0.0024999999441206455
YJR155W,YBR077C,1,-0.6567439,0.5283018946647644,0.02800000086426735,0.0024999999441206455
YHR053C,YJL101C,1,-0.6617794,0.5370370149612427,0.028999999165534973,0.0024999999441206455
YPR030W,YIL135C,0,-0.66417646,0.5272727012634277,0.028999999165534973,0.0026000000070780516
YKL043W,YOR027W,0,-0.66505647,0.5178571343421936,0.028999999165534973,0.0027000000700354576
YDR256C,YCL026C-A,1,-0.66741145,0.5263158082962036,0.029999999329447746,0.0027000000700354576
YNL325C,YHR008C,1,-0.6693299,0.5344827771186829,0.03099999949336052,0.0027000000700354576
YGL205W,YPL087W,0,-0.6733767,0.5254237055778503,0.03099999949336052,0.00279999990016222
YMR036C,YPR154W,0,-0.67394495,0.5166666507720947,0.03099999949336052,0.002899999963119626
YKL152C,YHR034C,0,-0.6747192,0.5081967115402222,0.03099999949336052,0.003000000026077032
YJL116C,YOR329C,0,-0.67852354,0.5,0.03099999949336052,0.003100000089034438
YGL055W,YBR183W,0,-0.68113905,0.4920634925365448,0.03099999949336052,0.0031999999191612005
YPL028W,YDR043C,0,-0.68154323,0.484375,0.03099999949336052,0.0032999999821186066
YHR043C,YER015W,0,-0.68448806,0.4769230782985687,0.03099999949336052,0.0034000000450760126
YPL249C,YBR295W,0,-0.6941161,0.469696968793869,0.03099999949336052,0.0035000001080334187
YOL111C,YPL156C,1,-0.7016541,0.4776119291782379,0.03200000151991844,0.0035000001080334187
YNL051W,YOL060C,0,-0.7065203,0.47058823704719543,0.03200000151991844,0.003599999938160181
YPR093C,YPL156C,1,-0.7148199,0.47826087474823,0.032999999821186066,0.003599999938160181
YDL160C,YLL008W,0,-0.71606696,0.4714285731315613,0.032999999821186066,0.003700000001117587
YOL151W,YPR198W,1,-0.7212988,0.47887325286865234,0.03400000184774399,0.003700000001117587
YFR008W,YOL064C,1,-0.7223896,0.4861111044883728,0.03500000014901161,0.003700000001117587
YLR304C,YOR328W,1,-0.72310686,0.4931506812572479,0.035999998450279236,0.003700000001117587
YPR134W,YDR436W,0,-0.72823286,0.4864864945411682,0.035999998450279236,0.003800000064074993
YNL037C,YDR300C,0,-0.7335812,0.47999998927116394,0.035999998450279236,0.0038999998942017555
YNL209W,YHR016C,0,-0.73588073,0.4736842215061188,0.035999998450279236,0.004000000189989805
YJR035W,YCL008C,0,-0.7397243,0.4675324559211731,0.035999998450279236,0.004100000020116568
YNL274C,YEL054C,0,-0.74338096,0.4615384638309479,0.035999998450279236,0.00419999985024333
YKR076W,YIL037C,1,-0.7453444,0.4683544337749481,0.03700000047683716,0.00419999985024333
YOL165C,YKL150W,1,-0.757602,0.4749999940395355,0.03799999877810478,0.00419999985024333
YMR280C,YER053C,0,-0.7577269,0.4691357910633087,0.03799999877810478,0.00430000014603138
YOR080W,YDR259C,0,-0.7646376,0.46341463923454285,0.03799999877810478,0.004399999976158142
YIL053W,YCR083W,1,-0.7667582,0.46987950801849365,0.039000000804662704,0.004399999976158142
YPL171C,YPR189W,1,-0.7729976,0.4761904776096344,0.03999999910593033,0.004399999976158142
YHL047C,YNL117W,0,-0.7739161,0.47058823704719543,0.03999999910593033,0.0044999998062849045
YOL064C,YOR208W,1,-0.7739997,0.4767441749572754,0.04100000113248825,0.0044999998062849045
YCL044C,YPR007C,0,-0.77832246,0.4712643623352051,0.04100000113248825,0.004600000102072954
YOR173W,YDR503C,0,-0.7795957,0.46590909361839294,0.04100000113248825,0.004699999932199717
YHR116W,YOR027W,0,-0.7856277,0.4606741666793823,0.04100000113248825,0.004800000227987766
