Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGR005C,YGR024C,0,-6.733573,0.0,0.0,0.0006535947904922068
YGL105W,YBR069C,0,-6.763906,0.0,0.0,0.0013071895809844136
YOR243C,YHR039C-A,0,-6.79539,0.0,0.0,0.0019607844296842813
YML071C,YLR309C,0,-6.8189573,0.0,0.0,0.0026143791619688272
YLR144C,YPR055W,0,-6.8663054,0.0,0.0,0.003267973894253373
YOR067C,YPL076W,0,-6.89783,0.0,0.0,0.003921568859368563
YML073C,YFR005C,0,-6.9319625,0.0,0.0,0.004575163591653109
YNL326C,YPR016C,0,-6.991823,0.0,0.0,0.0052287583239376545
YML043C,YNL229C,0,-7.0080013,0.0,0.0,0.0058823530562222
YJL073W,YBR088C,0,-7.042465,0.0,0.0,0.006535947788506746
YKL186C,YHR133C,0,-7.049915,0.0,0.0,0.007189542520791292
YBL022C,YKR028W,0,-7.0512238,0.0,0.0,0.007843137718737125
YGR157W,YJR066W,0,-7.0852346,0.0,0.0,0.008496732451021671
YBR158W,YOR160W,0,-7.092658,0.0,0.0,0.009150327183306217
YGR178C,YIL052C,0,-7.102858,0.0,0.0,0.009803921915590763
YOR048C,YKL018W,1,-7.106578,0.0625,0.006535947788506746,0.009803921915590763
YGR169C,YGR094W,0,-7.108826,0.05882352963089943,0.006535947788506746,0.010457516647875309
YIL009W,YGR178C,0,-7.1178713,0.0555555559694767,0.006535947788506746,0.011111111380159855
YLL038C,YJL138C,0,-7.1213846,0.05263157933950424,0.006535947788506746,0.0117647061124444
YCL038C,YJL178C,0,-7.13039,0.05000000074505806,0.006535947788506746,0.012418300844728947
YOR048C,YLR430W,1,-7.1408997,0.095238097012043,0.013071895577013493,0.012418300844728947
YDL207W,YBR061C,0,-7.1454163,0.09090909361839294,0.013071895577013493,0.013071895577013493
YNL139C,YGL137W,0,-7.155143,0.08695652335882187,0.013071895577013493,0.013725490309298038
YOR048C,YBR049C,1,-7.1608505,0.125,0.019607843831181526,0.013725490309298038
YBR080C,YDL225W,0,-7.16257,0.11999999731779099,0.019607843831181526,0.014379085041582584
YNL147W,YER049W,0,-7.1680803,0.11538461595773697,0.019607843831181526,0.01503267977386713
YNL242W,YPL119C,0,-7.194026,0.1111111119389534,0.019607843831181526,0.01568627543747425
YER133W,YDR195W,1,-7.1979623,0.1428571492433548,0.026143791154026985,0.01568627543747425
YDL229W,YOL125W,0,-7.1988287,0.13793103396892548,0.026143791154026985,0.016339870169758797
YPR188C,YLR020C,0,-7.200058,0.13333334028720856,0.026143791154026985,0.016993464902043343
YER172C,YOL145C,0,-7.207382,0.12903225421905518,0.026143791154026985,0.01764705963432789
YLR085C,YHR188C,0,-7.2100334,0.125,0.026143791154026985,0.018300654366612434
YLR390W-A,YGR063C,0,-7.2101283,0.12121212482452393,0.026143791154026985,0.01895424909889698
YLR088W,YGL092W,0,-7.212005,0.11764705926179886,0.026143791154026985,0.019607843831181526
YDR195W,YLR430W,1,-7.2442107,0.1428571492433548,0.03267974033951759,0.019607843831181526
YJR137C,YIL109C,0,-7.263524,0.1388888955116272,0.03267974033951759,0.020261438563466072
YOR209C,YOR367W,0,-7.2773824,0.13513512909412384,0.03267974033951759,0.020915033295750618
YOR269W,YLR008C,0,-7.2866254,0.1315789520740509,0.03267974033951759,0.021568628028035164
YIL040W,YBR202W,0,-7.2897396,0.12820513546466827,0.03267974033951759,0.02222222276031971
YDL040C,YDR346C,0,-7.2983465,0.125,0.03267974033951759,0.022875817492604256
YKL068W,YLL040C,0,-7.3038692,0.12195122241973877,0.03267974033951759,0.0235294122248888
YLR430W,YMR039C,1,-7.3101835,0.1428571492433548,0.03921568766236305,0.0235294122248888
YAL025C,YOR064C,0,-7.3243833,0.13953489065170288,0.03921568766236305,0.024183006957173347
YGL206C,YHR068W,0,-7.325022,0.13636364042758942,0.03921568766236305,0.024836601689457893
YJL081C,YLR268W,0,-7.3275256,0.13333334028720856,0.03921568766236305,0.02549019642174244
