Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLR206W,YDR356W,1,-0.42616984,1.0,0.0010000000474974513,0.0
YPL127C,YOR372C,0,-0.44869682,0.5,0.0010000000474974513,9.999999747378752e-05
YDR118W,YOR249C,1,-0.5956707,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YOR329C,YLR045C,1,-0.67547166,0.75,0.003000000026077032,9.999999747378752e-05
YIR006C,YDR129C,1,-0.91177726,0.800000011920929,0.004000000189989805,9.999999747378752e-05
YOR373W,YDR356W,1,-0.935786,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YDR356W,YBL034C,1,-0.9779018,0.8571428656578064,0.006000000052154064,9.999999747378752e-05
YLR127C,YIL159W,1,-0.98878336,0.875,0.007000000216066837,9.999999747378752e-05
YPR171W,YCL024W,1,-1.0309765,0.8888888955116272,0.00800000037997961,9.999999747378752e-05
YPL124W,YLR045C,1,-1.1274467,0.8999999761581421,0.008999999612569809,9.999999747378752e-05
YJL030W,YDL212W,0,-1.1636839,0.8181818127632141,0.008999999612569809,0.00019999999494757503
YJL065C,YKL032C,0,-1.1805108,0.75,0.008999999612569809,0.0003000000142492354
YCL024W,YLL021W,1,-1.2518711,0.7692307829856873,0.009999999776482582,0.0003000000142492354
YOL063C,YNL167C,0,-1.2582353,0.7142857313156128,0.009999999776482582,0.00039999998989515007
YKL022C,YNL138W,1,-1.2895056,0.7333333492279053,0.010999999940395355,0.00039999998989515007
YKL032C,YBR205W,0,-1.290426,0.6875,0.010999999940395355,0.0005000000237487257
YKL092C,YLR229C,0,-1.2981703,0.6470588445663452,0.010999999940395355,0.0006000000284984708
YGR009C,YOR110W,0,-1.3027384,0.6111111044883728,0.010999999940395355,0.000699999975040555
YPL209C,YCL024W,1,-1.3091993,0.6315789222717285,0.012000000104308128,0.000699999975040555
YJL128C,YLR305C,1,-1.3200169,0.6499999761581421,0.013000000268220901,0.000699999975040555
YDL226C,YAL016W,1,-1.3228514,0.6666666865348816,0.014000000432133675,0.000699999975040555
YMR047C,YLR386W,0,-1.3523955,0.6363636255264282,0.014000000432133675,0.0007999999797903001
