Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YMR004W,YDR145W,0,-4.663161,0.0,0.0,0.00021505376207642257
YLR102C,YNL032W,0,-4.878556,0.0,0.0,0.00043010752415284514
YLR025W,YJR044C,1,-4.907396,0.3333333432674408,0.0021505376789718866,0.00043010752415284514
YLR025W,YPR173C,1,-4.944632,0.5,0.004301075357943773,0.00043010752415284514
YFR019W,YBL102W,1,-4.9969273,0.6000000238418579,0.006451612804085016,0.00043010752415284514
YDR182W,YJL036W,0,-5.011479,0.5,0.006451612804085016,0.0006451613153330982
YBL102W,YLR025W,1,-5.0293183,0.5714285969734192,0.008602150715887547,0.0006451613153330982
YBL102W,YLR396C,1,-5.0768185,0.625,0.01075268816202879,0.0006451613153330982
YKL213C,YIL112W,0,-5.09661,0.5555555820465088,0.01075268816202879,0.0008602150483056903
YFR019W,YLR025W,1,-5.098637,0.6000000238418579,0.012903225608170033,0.0008602150483056903
YHR012W,YPR173C,1,-5.10154,0.6363636255264282,0.015053763054311275,0.0008602150483056903
YHR001W,YNR006W,1,-5.1156783,0.6666666865348816,0.017204301431775093,0.0008602150483056903
YBL102W,YOR069W,1,-5.1221895,0.692307710647583,0.019354838877916336,0.0008602150483056903
YBL102W,YDR027C,1,-5.134953,0.7142857313156128,0.02150537632405758,0.0008602150483056903
YLR396C,YOR069W,1,-5.13714,0.7333333492279053,0.023655913770198822,0.0008602150483056903
YCL044C,YKL129C,0,-5.1461926,0.6875,0.023655913770198822,0.0010752688394859433
YER012W,YDR388W,0,-5.1689115,0.6470588445663452,0.023655913770198822,0.0012903226306661963
YBL105C,YNL243W,0,-5.1722264,0.6111111044883728,0.023655913770198822,0.0015053763054311275
YNR006W,YHR012W,1,-5.1831264,0.6315789222717285,0.025806451216340065,0.0015053763054311275
YBL102W,YJR044C,1,-5.209329,0.6499999761581421,0.027956988662481308,0.0015053763054311275
YHR001W,YLR025W,1,-5.2113357,0.6666666865348816,0.03010752610862255,0.0015053763054311275
YDL126C,YNL084C,0,-5.2426867,0.6363636255264282,0.03010752610862255,0.0017204300966113806
YDR456W,YJL029C,1,-5.253974,0.6521739363670349,0.032258063554763794,0.0017204300966113806
YDR456W,YLR396C,1,-5.2659454,0.6666666865348816,0.034408602863550186,0.0017204300966113806
YHR001W,YPL045W,1,-5.2667685,0.6800000071525574,0.03655913844704628,0.0017204300966113806
YOR069W,YLR181C,1,-5.2708077,0.692307710647583,0.03870967775583267,0.0017204300966113806
YLR396C,YJL029C,1,-5.2793946,0.7037037014961243,0.040860213339328766,0.0017204300966113806
YLR025W,YJL029C,1,-5.28398,0.7142857313156128,0.04301075264811516,0.0017204300966113806
YHR001W,YMR077C,1,-5.2926292,0.7241379022598267,0.04516129195690155,0.0017204300966113806
YLR396C,YDR027C,1,-5.311423,0.7333333492279053,0.047311827540397644,0.0017204300966113806
YBL102W,YNR006W,1,-5.335229,0.7419354915618896,0.049462366849184036,0.0017204300966113806
YJR033C,YOR069W,1,-5.3464966,0.75,0.05161290243268013,0.0017204300966113806
YAL016W,YJL141C,0,-5.357473,0.7272727489471436,0.05161290243268013,0.0019354838877916336
YIL034C,YDR182W,0,-5.360789,0.7058823704719543,0.05161290243268013,0.0021505376789718866
YPR173C,YOR069W,1,-5.3649864,0.7142857313156128,0.05376344174146652,0.0021505376789718866
YLR039C,YLR396C,1,-5.399986,0.7222222089767456,0.055913977324962616,0.0021505376789718866
YLR025W,YLR181C,1,-5.4027586,0.7297297120094299,0.05806451663374901,0.0021505376789718866
YBL102W,YJL004C,1,-5.413443,0.7368420958518982,0.0602150522172451,0.0021505376789718866
YLR220W,YER166W,0,-5.413776,0.7179487347602844,0.0602150522172451,0.0023655914701521397
YMR284W,YML038C,0,-5.4269333,0.699999988079071,0.0602150522172451,0.0025806452613323927
YIL036W,YHR200W,0,-5.4281363,0.6829268336296082,0.0602150522172451,0.002795698819682002
YDL045C,YGL127C,0,-5.4297023,0.6666666865348816,0.0602150522172451,0.003010752610862255
YBL102W,YLL040C,1,-5.430713,0.6744186282157898,0.062365591526031494,0.003010752610862255
YJR125C,YFR019W,1,-5.4331813,0.6818181872367859,0.06451612710952759,0.003010752610862255
YJR125C,YLL040C,1,-5.442739,0.6888889074325562,0.06666667014360428,0.003010752610862255
YBR273C,YDR080W,0,-5.445061,0.6739130616188049,0.06666667014360428,0.003225806402042508
YJR125C,YHR001W,1,-5.4481163,0.6808510422706604,0.06881720572710037,0.003225806402042508
YLR025W,YKL041W,1,-5.451429,0.6875,0.07096774131059647,0.003225806402042508
YDR456W,YHR012W,1,-5.461558,0.6938775777816772,0.07311827689409256,0.003225806402042508
YBR077C,YOR075W,0,-5.4725294,0.6800000071525574,0.07311827689409256,0.003440860193222761
YLR025W,YDR027C,1,-5.472859,0.686274528503418,0.07526881992816925,0.003440860193222761
YPR176C,YBR035C,0,-5.4736104,0.6730769276618958,0.07526881992816925,0.003655913984403014
YJR033C,YNR006W,1,-5.475366,0.6792452931404114,0.07741935551166534,0.003655913984403014
YJR125C,YBL102W,1,-5.4781756,0.6851851940155029,0.07956989109516144,0.003655913984403014
YJR125C,YOR069W,1,-5.4794707,0.6909090876579285,0.08172042667865753,0.003655913984403014
YLR148W,YLR039C,1,-5.4806485,0.6964285969734192,0.08387096971273422,0.003655913984403014
YLR025W,YOR069W,1,-5.482302,0.7017543911933899,0.08602150529623032,0.003655913984403014
YHR001W,YJL004C,1,-5.4843373,0.7068965435028076,0.08817204087972641,0.003655913984403014
YMR077C,YKL041W,1,-5.485411,0.7118644118309021,0.0903225839138031,0.003655913984403014
YLR028C,YNL229C,0,-5.48649,0.699999988079071,0.0903225839138031,0.003870967775583267
YBR073W,YNL032W,0,-5.488248,0.688524603843689,0.0903225839138031,0.004086021333932877
YJR125C,YJL004C,1,-5.488595,0.6935483813285828,0.0924731194972992,0.004086021333932877
YOR069W,YJL029C,1,-5.490211,0.6984127163887024,0.09462365508079529,0.004086021333932877
YLR039C,YLR262C,1,-5.4962754,0.703125,0.09677419066429138,0.004086021333932877
YDR027C,YAL002W,1,-5.4987345,0.7076923251152039,0.09892473369836807,0.004086021333932877
YOR069W,YAL002W,1,-5.5088077,0.7121211886405945,0.10107526928186417,0.004086021333932877
YCR028C,YGL137W,0,-5.515268,0.7014925479888916,0.10107526928186417,0.004301075357943773
YBL102W,YJL029C,1,-5.515613,0.7058823704719543,0.10322580486536026,0.004301075357943773
YGL190C,YGR147C,0,-5.5158916,0.695652186870575,0.10322580486536026,0.004516128916293383
YLR310C,YHR205W,0,-5.522634,0.6857143044471741,0.10322580486536026,0.004731182940304279
YJR125C,YJR044C,1,-5.5238953,0.6901408433914185,0.10537634044885635,0.004731182940304279
YLR025W,YMR077C,1,-5.5321517,0.6944444179534912,0.10752688348293304,0.004731182940304279
YFR019W,YDR456W,1,-5.5326943,0.698630154132843,0.10967741906642914,0.004731182940304279
YJR033C,YPL045W,1,-5.534727,0.7027027010917664,0.11182795464992523,0.004731182940304279
YMR100W,YNL257C,0,-5.538203,0.6933333277702332,0.11182795464992523,0.004946236498653889
YLR028C,YLR100W,0,-5.552172,0.6842105388641357,0.11182795464992523,0.005161290522664785
YJR033C,YLR025W,1,-5.554309,0.6883116960525513,0.11397849768400192,0.005161290522664785
YNR006W,YJR044C,1,-5.5572624,0.692307710647583,0.11612903326749802,0.005161290522664785
YPL161C,YBR165W,0,-5.5663915,0.6835442781448364,0.11612903326749802,0.005376344081014395
YJL111W,YGL058W,0,-5.5676174,0.675000011920929,0.11612903326749802,0.005591397639364004
YFR019W,YOR069W,1,-5.579662,0.6790123581886292,0.11827956885099411,0.005591397639364004
YJR033C,YLR396C,1,-5.581821,0.6829268336296082,0.1204301044344902,0.005591397639364004
YLR148W,YJL029C,1,-5.5825567,0.6867470145225525,0.1225806474685669,0.005591397639364004
YLL019C,YDR328C,0,-5.5837135,0.6785714030265808,0.1225806474685669,0.005806451663374901
YLR148W,YLR396C,1,-5.5887594,0.6823529601097107,0.12473118305206299,0.005806451663374901
YJR125C,YHR012W,1,-5.5903645,0.6860465407371521,0.12688171863555908,0.005806451663374901
YLR025W,YNR006W,1,-5.5998178,0.6896551847457886,0.12903225421905518,0.005806451663374901
YBL102W,YLR181C,1,-5.6012416,0.6931818127632141,0.13118278980255127,0.005806451663374901
YOR231W,YOR160W,0,-5.6075234,0.6853932738304138,0.13118278980255127,0.00602150522172451
YDR456W,YPL045W,1,-5.610275,0.6888889074325562,0.13333334028720856,0.00602150522172451
YNL116W,YCL010C,0,-5.614584,0.6813187003135681,0.13333334028720856,0.006236559245735407
YLL040C,YOR069W,1,-5.618549,0.6847826242446899,0.13548387587070465,0.006236559245735407
YMR161W,YPL065W,0,-5.620031,0.6774193644523621,0.13548387587070465,0.006451612804085016
