Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDR507C,YER149C,1,-3.1028354,1.0,0.0010000000474974513,0.0
YNL188W,YPR141C,0,-3.1179094,0.5,0.0010000000474974513,9.999999747378752e-05
YNL271C,YLL021W,1,-3.4892123,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YPR032W,YML106W,0,-3.5023422,0.5,0.0020000000949949026,0.00019999999494757503
YGR030C,YER129W,0,-3.5255778,0.4000000059604645,0.0020000000949949026,0.0003000000142492354
YCL014W,YLL021W,1,-3.5737638,0.5,0.003000000026077032,0.0003000000142492354
YJL081C,YDR379W,0,-3.6481192,0.4285714328289032,0.003000000026077032,0.00039999998989515007
YGR014W,YCR044C,0,-3.6521363,0.375,0.003000000026077032,0.0005000000237487257
YBR112C,YMR288W,0,-3.6780639,0.3333333432674408,0.003000000026077032,0.0006000000284984708
YNL233W,YDR420W,1,-3.7130044,0.4000000059604645,0.004000000189989805,0.0006000000284984708
YER112W,YBR087W,0,-3.7194672,0.3636363744735718,0.004000000189989805,0.000699999975040555
YIL140W,YNL233W,1,-3.7203445,0.4166666567325592,0.004999999888241291,0.000699999975040555
YER155C,YLR386W,0,-3.7210796,0.38461539149284363,0.004999999888241291,0.0007999999797903001
YJR076C,YHR135C,1,-3.7338297,0.4285714328289032,0.006000000052154064,0.0007999999797903001
YDR174W,YDL064W,0,-3.7361445,0.4000000059604645,0.006000000052154064,0.0008999999845400453
YGR120C,YML064C,0,-3.7569602,0.375,0.006000000052154064,0.0010000000474974513
YNL329C,YGL112C,0,-3.75878,0.3529411852359772,0.006000000052154064,0.0010999999940395355
YKL048C,YDL225W,1,-3.760353,0.3888888955116272,0.007000000216066837,0.0010999999940395355
YNL166C,YIL159W,1,-3.770547,0.42105263471603394,0.00800000037997961,0.0010999999940395355
YDR507C,YDR245W,1,-3.779179,0.44999998807907104,0.008999999612569809,0.0010999999940395355
YBR042C,YER148W,0,-3.8011036,0.4285714328289032,0.008999999612569809,0.0012000000569969416
YOR241W,YGL044C,0,-3.8035746,0.40909090638160706,0.008999999612569809,0.0013000000035390258
YHR119W,YML109W,0,-3.8042445,0.3913043439388275,0.008999999612569809,0.00139999995008111
YFL048C,YOR115C,0,-3.8059235,0.375,0.008999999612569809,0.001500000013038516
YPR104C,YBR142W,0,-3.8063703,0.36000001430511475,0.008999999612569809,0.0015999999595806003
YNL271C,YNL154C,1,-3.8069794,0.38461539149284363,0.009999999776482582,0.0015999999595806003
YHR101C,YGR024C,0,-3.8077545,0.37037035822868347,0.009999999776482582,0.0017000000225380063
YJL124C,YDR468C,0,-3.8209233,0.3571428656578064,0.009999999776482582,0.0017999999690800905
YGR041W,YJR076C,1,-3.8382738,0.37931033968925476,0.010999999940395355,0.0017999999690800905
YNL020C,YHR023W,1,-3.8394897,0.4000000059604645,0.012000000104308128,0.0017999999690800905
YGR229C,YGR047C,0,-3.839997,0.3870967626571655,0.012000000104308128,0.0019000000320374966
YGR134W,YNL308C,0,-3.8400373,0.375,0.012000000104308128,0.0020000000949949026
YER032W,YLR386W,0,-3.8540087,0.3636363744735718,0.012000000104308128,0.002099999925121665
YER149C,YER008C,1,-3.856825,0.38235294818878174,0.013000000268220901,0.002099999925121665
YNL029C,YCL043C,0,-3.859893,0.37142857909202576,0.013000000268220901,0.002199999988079071
YLR314C,YNL192W,1,-3.867633,0.3888888955116272,0.014000000432133675,0.002199999988079071
YLR095C,YKL211C,0,-3.8689718,0.37837839126586914,0.014000000432133675,0.002300000051036477
YDR245W,YOR122C,1,-3.869738,0.3947368562221527,0.014999999664723873,0.002300000051036477
YBR215W,YJR132W,0,-3.8713982,0.38461539149284363,0.014999999664723873,0.002400000113993883
YJL006C,YKR019C,0,-3.8735242,0.375,0.014999999664723873,0.0024999999441206455
YGL233W,YNL154C,1,-3.8756752,0.39024388790130615,0.01600000075995922,0.0024999999441206455
YAL024C,YPR168W,0,-3.8864248,0.380952388048172,0.01600000075995922,0.0026000000070780516
YEL029C,YOR301W,1,-3.9066522,0.39534884691238403,0.017000000923871994,0.0026000000070780516
YNL233W,YKL048C,1,-3.9114666,0.40909090638160706,0.017999999225139618,0.0026000000070780516
YFR013W,YML097C,0,-3.9165387,0.4000000059604645,0.017999999225139618,0.0027000000700354576
YNL267W,YHL007C,1,-3.9194431,0.41304346919059753,0.01899999938905239,0.0027000000700354576
YDR052C,YJR075W,0,-3.9395938,0.40425533056259155,0.01899999938905239,0.00279999990016222
YNL192W,YDR507C,1,-3.9398334,0.4166666567325592,0.019999999552965164,0.00279999990016222
YML113W,YDL064W,0,-3.9488955,0.40816327929496765,0.019999999552965164,0.002899999963119626
YLR145W,YLR383W,0,-3.9686873,0.4000000059604645,0.019999999552965164,0.003000000026077032
YML107C,YPL129W,0,-3.977056,0.3921568691730499,0.019999999552965164,0.003100000089034438
YGL113W,YBR081C,0,-3.9848812,0.38461539149284363,0.019999999552965164,0.0031999999191612005
YPL267W,YNL001W,0,-3.9872031,0.37735849618911743,0.019999999552965164,0.0032999999821186066
YDR127W,YGR216C,0,-4.002415,0.37037035822868347,0.019999999552965164,0.0034000000450760126
YIR010W,YOR216C,0,-4.002591,0.3636363744735718,0.019999999552965164,0.0035000001080334187
YHR023W,YDL225W,1,-4.005553,0.375,0.020999999716877937,0.0035000001080334187
YOR115C,YML085C,0,-4.0103245,0.3684210479259491,0.020999999716877937,0.003599999938160181
YFL047W,YBR283C,0,-4.010665,0.36206895112991333,0.020999999716877937,0.003700000001117587
YDL116W,YGL014W,0,-4.0132694,0.35593220591545105,0.020999999716877937,0.003800000064074993
YIR006C,YBR143C,1,-4.014675,0.36666667461395264,0.02199999988079071,0.003800000064074993
YFR028C,YIL126W,0,-4.0176926,0.3606557250022888,0.02199999988079071,0.0038999998942017555
YNL233W,YGL233W,1,-4.0187645,0.3709677457809448,0.023000000044703484,0.0038999998942017555
YKL168C,YMR273C,0,-4.020524,0.3650793731212616,0.023000000044703484,0.004000000189989805
YBR227C,YDL217C,0,-4.0233917,0.359375,0.023000000044703484,0.004100000020116568
YOL031C,YBR283C,0,-4.024566,0.35384616255760193,0.023000000044703484,0.00419999985024333
YDR110W,YPL122C,0,-4.0251927,0.3484848439693451,0.023000000044703484,0.00430000014603138
YDL101C,YIL144W,0,-4.02848,0.34328359365463257,0.023000000044703484,0.004399999976158142
YMR288W,YDL148C,0,-4.0306554,0.3382352888584137,0.023000000044703484,0.0044999998062849045
YJR092W,YDR420W,1,-4.038045,0.3478260934352875,0.024000000208616257,0.0044999998062849045
YGL054C,YMR109W,1,-4.0384474,0.3571428656578064,0.02500000037252903,0.0044999998062849045
YFR041C,YNL070W,0,-4.041538,0.35211268067359924,0.02500000037252903,0.004600000102072954
YER129W,YPR032W,0,-4.0451283,0.3472222089767456,0.02500000037252903,0.004699999932199717
YBR023C,YDR420W,1,-4.0524426,0.3561643958091736,0.026000000536441803,0.004699999932199717
YNL287W,YMR054W,0,-4.0544763,0.3513513505458832,0.026000000536441803,0.004800000227987766
YJL006C,YIL016W,0,-4.0613956,0.3466666638851166,0.026000000536441803,0.004900000058114529
YDR264C,YMR218C,0,-4.0624785,0.34210526943206787,0.026000000536441803,0.004999999888241291
YJR092W,YPL242C,1,-4.0645905,0.350649356842041,0.027000000700354576,0.004999999888241291
YER149C,YLR313C,1,-4.069121,0.3589743673801422,0.02800000086426735,0.004999999888241291
YIR006C,YNL154C,1,-4.070139,0.3670886158943176,0.028999999165534973,0.004999999888241291
YNL233W,YPL242C,1,-4.0704107,0.375,0.029999999329447746,0.004999999888241291
YNL298W,YGL233W,1,-4.072889,0.3827160596847534,0.03099999949336052,0.004999999888241291
YNL271C,YFL023W,1,-4.07304,0.39024388790130615,0.03200000151991844,0.004999999888241291
YOR123C,YMR117C,0,-4.0755405,0.3855421543121338,0.03200000151991844,0.005100000184029341
YBR023C,YIR006C,1,-4.0775347,0.3928571343421936,0.032999999821186066,0.005100000184029341
YCL014W,YDR420W,1,-4.0923815,0.4000000059604645,0.03400000184774399,0.005100000184029341
YOR335C,YIL126W,0,-4.096925,0.39534884691238403,0.03400000184774399,0.005200000014156103
YDR420W,YNL267W,1,-4.0997863,0.40229883790016174,0.03500000014901161,0.005200000014156103
YOR061W,YKL179C,0,-4.101302,0.39772728085517883,0.03500000014901161,0.0052999998442828655
YDL056W,YGR222W,0,-4.1110187,0.3932584226131439,0.03500000014901161,0.005400000140070915
YNL308C,YGL094C,0,-4.112053,0.3888888955116272,0.03500000014901161,0.005499999970197678
YMR168C,YOR357C,0,-4.121668,0.38461539149284363,0.03500000014901161,0.00559999980032444
YDR245W,YHL007C,1,-4.125915,0.3913043439388275,0.035999998450279236,0.00559999980032444
YJL081C,YGL061C,0,-4.1283607,0.3870967626571655,0.035999998450279236,0.00570000009611249
YDL155W,YDR323C,0,-4.131304,0.38297873735427856,0.035999998450279236,0.005799999926239252
YLR195C,YLR026C,0,-4.134308,0.378947377204895,0.035999998450279236,0.005900000222027302
YJR092W,YJR076C,1,-4.134417,0.3854166567325592,0.03700000047683716,0.005900000222027302
YAL020C,YKR007W,0,-4.1399746,0.3814432919025421,0.03700000047683716,0.006000000052154064
YNL267W,YGL233W,1,-4.1402287,0.3877550959587097,0.03799999877810478,0.006000000052154064
YPR104C,YBR275C,0,-4.142718,0.38383838534355164,0.03799999877810478,0.006099999882280827
YBR155W,YKL089W,0,-4.1470838,0.3799999952316284,0.03799999877810478,0.006200000178068876
YPL242C,YDR245W,1,-4.1495256,0.3861386179924011,0.039000000804662704,0.006200000178068876
YGL174W,YOR301W,1,-4.1497326,0.3921568691730499,0.03999999910593033,0.006200000178068876
YNR011C,YMR247C,0,-4.1514945,0.3883495032787323,0.03999999910593033,0.006300000008195639
YHR005C,YPR179C,0,-4.1545486,0.38461539149284363,0.03999999910593033,0.006399999838322401
