Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YMR037C,YBL022C,1,-7.128002,1.0,0.007352941203862429,0.0
YHR166C,YER180C-A,0,-7.2047906,0.5,0.007352941203862429,0.000735294132027775
YJR017C,YER048W-A,0,-7.2668614,0.3333333432674408,0.007352941203862429,0.00147058826405555
YOR178C,YOR008C,1,-7.2851305,0.5,0.014705882407724857,0.00147058826405555
YJL101C,YML007W,1,-7.3689356,0.6000000238418579,0.022058824077248573,0.00147058826405555
YCL051W,YOR008C,1,-7.491391,0.6666666865348816,0.029411764815449715,0.00147058826405555
YLR397C,YLR035C-A,0,-7.5001125,0.5714285969734192,0.029411764815449715,0.002205882454290986
YBL045C,YGL046W,0,-7.5156536,0.5,0.029411764815449715,0.0029411765281111
YLR397C,YJL018W,0,-7.5216694,0.4444444477558136,0.029411764815449715,0.0036764706019312143
YDR164C,YOL072W,0,-7.5403166,0.4000000059604645,0.029411764815449715,0.004411764908581972
YMR285C,YLR227W-B,0,-7.5573764,0.3636363744735718,0.029411764815449715,0.005147058982402086
YER174C,YGR161C-D,0,-7.5574956,0.3333333432674408,0.029411764815449715,0.0058823530562222
YGL116W,YPR137C-A,0,-7.557892,0.3076923191547394,0.029411764815449715,0.0066176471300423145
YBR105C,YGR161W-B,0,-7.558227,0.2857142984867096,0.029411764815449715,0.007352941203862429
YLL009C,YGR161C-C,0,-7.558421,0.2666666805744171,0.029411764815449715,0.00808823574334383
YLR147C,YLR157C-A,0,-7.5590076,0.25,0.029411764815449715,0.008823529817163944
YIL061C,YLR157C-A,0,-7.5590076,0.23529411852359772,0.029411764815449715,0.009558823890984058
YLR148W,YER053C-A,0,-7.5590076,0.2222222238779068,0.029411764815449715,0.010294117964804173
YDR210W-D,YPR137C-A,0,-7.5590076,0.21052631735801697,0.029411764815449715,0.011029412038624287
YGL139W,YDR210W-C,0,-7.5590076,0.20000000298023224,0.029411764815449715,0.0117647061124444
YDR028C,YDR210W-D,0,-7.5590076,0.190476194024086,0.029411764815449715,0.012500000186264515
YPL020C,YDR365W-B,0,-7.559018,0.1818181872367859,0.029411764815449715,0.013235294260084629
YDL150W,YDR098C-A,0,-7.5590224,0.17391304671764374,0.029411764815449715,0.013970588333904743
YPL255W,YPR137C-B,0,-7.560993,0.1666666716337204,0.029411764815449715,0.014705882407724857
YGL213C,YER137C-A,0,-7.562746,0.1599999964237213,0.029411764815449715,0.015441176481544971
YDL245C,YHL009W-B,0,-7.5628767,0.1538461595773697,0.029411764815449715,0.01617647148668766
YLR037C,YDR316W-B,0,-7.5635324,0.14814814925193787,0.029411764815449715,0.016911765560507774
YHR216W,YGR161W-B,0,-7.5635386,0.1428571492433548,0.029411764815449715,0.01764705963432789
YLL052C,YNL054W-B,0,-7.564443,0.13793103396892548,0.029411764815449715,0.018382353708148003
YHL050C,YOR192C-B,0,-7.5659404,0.13333334028720856,0.029411764815449715,0.019117647781968117
YDL017W,YKR014C,0,-7.569061,0.12903225421905518,0.029411764815449715,0.01985294185578823
YDR122W,YPR137C-B,0,-7.5699363,0.125,0.029411764815449715,0.020588235929608345
YLR260W,YBL022C,1,-7.5798106,0.1515151560306549,0.036764707416296005,0.020588235929608345
YBL064C,YGR161C-C,0,-7.5813603,0.14705882966518402,0.036764707416296005,0.02132353000342846
YPL029W,YGR161W-A,0,-7.5853033,0.1428571492433548,0.036764707416296005,0.022058824077248573
YCL066W,YGR161C-C,0,-7.5935435,0.1388888955116272,0.036764707416296005,0.022794118151068687
YLL052C,YCR062W,0,-7.5962644,0.13513512909412384,0.036764707416296005,0.0235294122248888
YKL138C-A,YHR058C,0,-7.5970855,0.1315789520740509,0.036764707416296005,0.024264706298708916
YML043C,YOR396W,0,-7.598605,0.12820513546466827,0.036764707416296005,0.02500000037252903
YBR170C,YER178W,0,-7.607544,0.125,0.036764707416296005,0.025735294446349144
YDR452W,YLR312C-B,0,-7.6091323,0.12195122241973877,0.036764707416296005,0.026470588520169258
YJL044C,YDR261W-A,0,-7.612944,0.1190476194024086,0.036764707416296005,0.027205882593989372
YGR084C,YPR158W-B,0,-7.6159563,0.11627907305955887,0.036764707416296005,0.027941176667809486
YFR024C,YJR041C,0,-7.6166134,0.11363636702299118,0.036764707416296005,0.0286764707416296
YCL051W,YMR037C,1,-7.6226387,0.13333334028720856,0.04411764815449715,0.0286764707416296
YBR102C,YPR158W-B,0,-7.625816,0.1304347813129425,0.04411764815449715,0.029411764815449715
YER026C,YLR337W,0,-7.626205,0.12765957415103912,0.04411764815449715,0.03014705888926983
