Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDL003W,YKL089W,1,1.1932973,1.0,0.0010000000474974513,0.0
YEL061C,YOL115W,1,0.25129533,1.0,0.0020000000949949026,0.0
YEL061C,YLR210W,1,0.056840774,1.0,0.003000000026077032,0.0
YGR098C,YNL273W,1,0.04483306,1.0,0.004000000189989805,0.0
YLL003W,YMR227C,1,-0.050808076,1.0,0.004999999888241291,0.0
YPR141C,YDR113C,1,-0.12219179,1.0,0.006000000052154064,0.0
YPR120C,YJL047C,1,-0.35853517,1.0,0.007000000216066837,0.0
YNL225C,YHR115C,1,-0.4165169,1.0,0.00800000037997961,0.0
YNL126W,YLR272C,1,-0.44230705,1.0,0.008999999612569809,0.0
YPL209C,YKL089W,1,-0.46704936,1.0,0.009999999776482582,0.0
YDL155W,YLL003W,1,-0.47495234,1.0,0.010999999940395355,0.0
YDL155W,YGR109C,1,-0.5239868,1.0,0.012000000104308128,0.0
YBL009W,YOR326W,1,-0.5413821,1.0,0.013000000268220901,0.0
YJR089W,YPR120C,1,-0.5615581,1.0,0.014000000432133675,0.0
YGR225W,YOR242C,0,-0.5901426,0.9333333373069763,0.014000000432133675,9.999999747378752e-05
YGR188C,YIL131C,1,-0.60354495,0.9375,0.014999999664723873,9.999999747378752e-05
YEL061C,YGL240W,1,-0.6145936,0.9411764740943909,0.01600000075995922,9.999999747378752e-05
YLR131C,YPR120C,1,-0.65295076,0.9444444179534912,0.017000000923871994,9.999999747378752e-05
YHR129C,YPR141C,1,-0.69807553,0.9473684430122375,0.017999999225139618,9.999999747378752e-05
YMR048W,YKL089W,1,-0.7294611,0.949999988079071,0.01899999938905239,9.999999747378752e-05
YDR113C,YJL047C,1,-0.74069774,0.9523809552192688,0.019999999552965164,9.999999747378752e-05
YJL047C,YLR045C,1,-0.7919071,0.9545454382896423,0.020999999716877937,9.999999747378752e-05
YMR078C,YJL098W,1,-0.79357636,0.95652174949646,0.02199999988079071,9.999999747378752e-05
YNL164C,YOR195W,1,-0.8012423,0.9583333134651184,0.023000000044703484,9.999999747378752e-05
YDL028C,YLR272C,1,-0.8148074,0.9599999785423279,0.024000000208616257,9.999999747378752e-05
YBL009W,YPR120C,1,-0.8663919,0.9615384340286255,0.02500000037252903,9.999999747378752e-05
YDR118W,YGR238C,1,-0.8729812,0.9629629850387573,0.026000000536441803,9.999999747378752e-05
YBL009W,YLR127C,1,-0.88796973,0.9642857313156128,0.027000000700354576,9.999999747378752e-05
YHR124W,YBR250W,0,-0.911417,0.931034505367279,0.027000000700354576,0.00019999999494757503
YOL115W,YHR152W,1,-0.9166776,0.9333333373069763,0.02800000086426735,0.00019999999494757503
YER016W,YLR045C,1,-0.9338223,0.9354838728904724,0.028999999165534973,0.00019999999494757503
YGR109C,YHR115C,1,-0.9471265,0.9375,0.029999999329447746,0.00019999999494757503
YKL089W,YER171W,1,-0.95312476,0.939393937587738,0.03099999949336052,0.00019999999494757503
YPR120C,YIL106W,1,-0.96242666,0.9411764740943909,0.03200000151991844,0.00019999999494757503
YIL131C,YPR141C,1,-0.9700736,0.9428571462631226,0.032999999821186066,0.00019999999494757503
YCL024W,YKL166C,0,-0.9812168,0.9166666865348816,0.032999999821186066,0.0003000000142492354
YLR210W,YLR045C,1,-0.9823245,0.9189189076423645,0.03400000184774399,0.0003000000142492354
YMR048W,YLR045C,1,-0.99474394,0.9210526347160339,0.03500000014901161,0.0003000000142492354
YGR109C,YPL174C,1,-1.0031229,0.9230769276618958,0.035999998450279236,0.0003000000142492354
YHR129C,YDL003W,1,-1.0046638,0.925000011920929,0.03700000047683716,0.0003000000142492354
YIR023W,YLR386W,0,-1.0060946,0.9024389982223511,0.03700000047683716,0.00039999998989515007
YDR501W,YJL047C,1,-1.0124996,0.9047619104385376,0.03799999877810478,0.00039999998989515007
YGR098C,YPR141C,1,-1.0368103,0.9069767594337463,0.039000000804662704,0.00039999998989515007
YMR078C,YMR190C,1,-1.0423597,0.9090909361839294,0.03999999910593033,0.00039999998989515007
YEL061C,YHR061C,1,-1.0461438,0.9111111164093018,0.04100000113248825,0.00039999998989515007
YBL009W,YDR118W,1,-1.0793675,0.9130434989929199,0.041999999433755875,0.00039999998989515007
YOR119C,YOR195W,1,-1.0811177,0.914893627166748,0.0430000014603138,0.00039999998989515007
YPL242C,YML047C,0,-1.1154917,0.8958333134651184,0.0430000014603138,0.0005000000237487257
YMR048W,YFL008W,1,-1.1240258,0.8979591727256775,0.04399999976158142,0.0005000000237487257
YJR089W,YDR159W,1,-1.1274445,0.8999999761581421,0.04500000178813934,0.0005000000237487257
YOR026W,YPR135W,1,-1.1285628,0.9019607901573181,0.04600000008940697,0.0005000000237487257
YOL115W,YNL273W,1,-1.1331688,0.9038461446762085,0.04699999839067459,0.0005000000237487257
YMR048W,YDR325W,1,-1.1436727,0.9056603908538818,0.04800000041723251,0.0005000000237487257
YLR127C,YOR058C,1,-1.1474873,0.9074074029922485,0.04899999871850014,0.0005000000237487257
YLR226W,YMR048W,1,-1.1488365,0.9090909361839294,0.05000000074505806,0.0005000000237487257
YHR061C,YNL273W,1,-1.1504396,0.9107142686843872,0.050999999046325684,0.0005000000237487257
YHR084W,YLR386W,0,-1.1524482,0.8947368264198303,0.050999999046325684,0.0006000000284984708
YOR026W,YGL003C,1,-1.1531583,0.8965517282485962,0.052000001072883606,0.0006000000284984708
YFR028C,YPL155C,1,-1.155111,0.8983050584793091,0.05299999937415123,0.0006000000284984708
YEL061C,YOL006C,1,-1.1562967,0.8999999761581421,0.05400000140070915,0.0006000000284984708
YCR042C,YLR272C,1,-1.1683834,0.9016393423080444,0.054999999701976776,0.0006000000284984708
YKR083C,YPR141C,1,-1.1735338,0.9032257795333862,0.0560000017285347,0.0006000000284984708
YNL225C,YDL028C,1,-1.1736256,0.9047619104385376,0.05700000002980232,0.0006000000284984708
YLL003W,YDR146C,1,-1.1886249,0.90625,0.057999998331069946,0.0006000000284984708
YGL240W,YIL031W,1,-1.2007788,0.9076923131942749,0.05900000035762787,0.0006000000284984708
YKL089W,YJL098W,1,-1.2157265,0.9090909361839294,0.05999999865889549,0.0006000000284984708
YDR118W,YFR028C,1,-1.2178258,0.9104477763175964,0.061000000685453415,0.0006000000284984708
YGR036C,YHR079C,0,-1.2290679,0.8970588445663452,0.061000000685453415,0.000699999975040555
YNL172W,YDR146C,1,-1.2292516,0.8985507488250732,0.06199999898672104,0.000699999975040555
YJR112W,YLR376C,0,-1.2418997,0.8857142925262451,0.06199999898672104,0.0007999999797903001
YPL181W,YPL112C,0,-1.2475364,0.8732394576072693,0.06199999898672104,0.0008999999845400453
YMR198W,YFL008W,1,-1.248295,0.875,0.06300000101327896,0.0008999999845400453
YDR180W,YDR460W,1,-1.2487937,0.8767123222351074,0.06400000303983688,0.0008999999845400453
YMR048W,YOL006C,1,-1.2583967,0.8783783912658691,0.06499999761581421,0.0008999999845400453
YNL172W,YLR127C,1,-1.259243,0.8799999952316284,0.06599999964237213,0.0008999999845400453
YPR135W,YPR141C,1,-1.2593942,0.8815789222717285,0.06700000166893005,0.0008999999845400453
YLR045C,YFL037W,1,-1.2600738,0.8831169009208679,0.06800000369548798,0.0008999999845400453
YPR120C,YLR079W,1,-1.2608922,0.8846153616905212,0.0689999982714653,0.0008999999845400453
YGR108W,YLR045C,1,-1.2875037,0.8860759735107422,0.07000000029802322,0.0008999999845400453
YPL155C,YPL174C,1,-1.296932,0.887499988079071,0.07100000232458115,0.0008999999845400453
YOR058C,YPL204W,1,-1.3061907,0.8888888955116272,0.07199999690055847,0.0008999999845400453
YEL061C,YCR065W,1,-1.3110296,0.8902438879013062,0.0729999989271164,0.0008999999845400453
YMR198W,YIL031W,1,-1.3321387,0.891566276550293,0.07400000095367432,0.0008999999845400453
YDR180W,YMR227C,1,-1.3386127,0.8928571343421936,0.07500000298023224,0.0008999999845400453
YDR507C,YDR320C,0,-1.3408688,0.8823529481887817,0.07500000298023224,0.0010000000474974513
YLR131C,YJR089W,1,-1.3425051,0.8837209343910217,0.07599999755620956,0.0010000000474974513
YIL026C,YDL028C,1,-1.3434249,0.8850574493408203,0.07699999958276749,0.0010000000474974513
YKL089W,YLL003W,1,-1.3541777,0.8863636255264282,0.07800000160932541,0.0010000000474974513
YDL069C,YGL124C,0,-1.3615097,0.8764045238494873,0.07800000160932541,0.0010999999940395355
YJR031C,YLR442C,0,-1.3640852,0.8666666746139526,0.07800000160932541,0.0012000000569969416
YNL172W,YLR086W,1,-1.3641514,0.8681318759918213,0.07900000363588333,0.0012000000569969416
YHR152W,YDR146C,1,-1.3684391,0.8695651888847351,0.07999999821186066,0.0012000000569969416
YOL034W,YNL304W,0,-1.371615,0.8602150678634644,0.07999999821186066,0.0013000000035390258
YGR238C,YDR501W,1,-1.3853734,0.8617021441459656,0.08100000023841858,0.0013000000035390258
YJR089W,YKR083C,1,-1.3961531,0.8631578683853149,0.0820000022649765,0.0013000000035390258
YPL155C,YDR159W,1,-1.4096425,0.8645833134651184,0.08299999684095383,0.0013000000035390258
YPL267W,YAL047C,1,-1.4194269,0.8659793734550476,0.08399999886751175,0.0013000000035390258
YBL009W,YIL122W,1,-1.4203931,0.8673469424247742,0.08500000089406967,0.0013000000035390258
YNL172W,YIL131C,1,-1.4206628,0.868686854839325,0.0860000029206276,0.0013000000035390258
YOL012C,YHR167W,0,-1.4228715,0.8600000143051147,0.0860000029206276,0.00139999995008111
YKR083C,YHR115C,1,-1.4259574,0.8613861203193665,0.08699999749660492,0.00139999995008111
YMR048W,YAL047C,1,-1.4935278,0.8627451062202454,0.08799999952316284,0.00139999995008111
YCL016C,YFL008W,1,-1.5105406,0.8640776872634888,0.08900000154972076,0.00139999995008111
YDR180W,YPR056W,1,-1.5128028,0.8653846383094788,0.09000000357627869,0.00139999995008111
YLR210W,YDR325W,1,-1.5170646,0.8666666746139526,0.09099999815225601,0.00139999995008111
YJL013C,YLR182W,1,-1.517676,0.8679245114326477,0.09200000017881393,0.00139999995008111
YMR048W,YJR090C,1,-1.5203964,0.8691588640213013,0.09300000220537186,0.00139999995008111
YJR140C,YDR113C,1,-1.5212278,0.8703703880310059,0.09399999678134918,0.00139999995008111
YOR026W,YGR108W,1,-1.5213507,0.8715596199035645,0.0949999988079071,0.00139999995008111
YER016W,YGR098C,1,-1.5232738,0.8727272748947144,0.09600000083446503,0.00139999995008111
YMR032W,YLR096W,0,-1.5337183,0.8648648858070374,0.09600000083446503,0.001500000013038516
YDR146C,YMR227C,1,-1.536089,0.8660714030265808,0.09700000286102295,0.001500000013038516
YIL026C,YAL047C,1,-1.5481368,0.8672566413879395,0.09799999743700027,0.001500000013038516
YNL262W,YMR079W,0,-1.5583888,0.859649121761322,0.09799999743700027,0.0015999999595806003
YGL003C,YPL253C,1,-1.5609523,0.8608695864677429,0.0989999994635582,0.0015999999595806003
YDR118W,YPL174C,1,-1.5618708,0.8620689511299133,0.10000000149011612,0.0015999999595806003
YLR071C,YNL304W,0,-1.5644755,0.8547008633613586,0.10000000149011612,0.0017000000225380063
YER016W,YPL209C,1,-1.5676725,0.8559321761131287,0.10100000351667404,0.0017000000225380063
YEL061C,YDR310C,1,-1.5748315,0.8571428656578064,0.10199999809265137,0.0017000000225380063
YPL267W,YGL190C,1,-1.5761728,0.8583333492279053,0.10300000011920929,0.0017000000225380063
YNL172W,YLR272C,1,-1.580057,0.8595041036605835,0.10400000214576721,0.0017000000225380063
YNL172W,YBR198C,1,-1.5837826,0.8606557250022888,0.10499999672174454,0.0017000000225380063
YGR140W,YAL047C,1,-1.584977,0.8617886304855347,0.10599999874830246,0.0017000000225380063
YAL041W,YGR274C,1,-1.5864714,0.8629032373428345,0.10700000077486038,0.0017000000225380063
YJL047C,YFR031C,1,-1.6032687,0.8640000224113464,0.1080000028014183,0.0017000000225380063
YPR111W,YPL059W,0,-1.6033612,0.8571428656578064,0.1080000028014183,0.0017999999690800905
