Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YMR043W,YMR056C,0,3.864476,0.0,1.0,0.000100674522400368
YGR133W,YKL127W,0,3.7676327,0.0,1.0,0.000201349044800736
YER003C,YPL207W,0,3.5383122,0.0,1.0,0.00030202354537323117
YDR422C,YCL048W,0,3.5195484,0.0,1.0,0.000402698089601472
YLR006C,YNL076W,0,3.4929237,0.0,1.0,0.000503372575622052
YNL318C,YGL225W,0,3.432952,0.0,1.0,0.0006040470907464623
YER082C,YOL064C,0,3.3442383,0.0,1.0,0.0007047216058708727
YMR288W,YBR299W,0,3.2448854,0.0,1.0,0.000805396179202944
YGL253W,YGL209W,0,3.1977813,0.0,1.0,0.0009060706943273544
YML085C,YBR043C,0,3.195246,0.0,1.0,0.001006745151244104
YER036C,YMR214W,0,3.1245744,0.0,1.0,0.0011074197245761752
YJR109C,YGR188C,0,3.1121914,0.0,1.0,0.0012080941814929247
YDR040C,YDL239C,0,3.1121676,0.0,1.0,0.001308768754824996
YDR375C,YOL091W,0,3.081709,0.0,1.0,0.0014094432117417455
YCL040W,YLL043W,0,3.0789518,0.0,1.0,0.0015101177850738168
YMR231W,YBR279W,0,3.0141554,0.0,1.0,0.001610792358405888
YDR168W,YDL102W,0,2.9972477,0.0,1.0,0.0017114668153226376
YDL229W,YCR010C,0,2.9388978,0.0,1.0,0.0018121413886547089
YPL156C,YMR183C,0,2.7924988,0.0,1.0,0.0019128158455714583
YDL095W,YIR026C,0,2.7902348,0.0,1.0,0.002013490302488208
YJL138C,YGL029W,0,2.7893946,0.0,1.0,0.002114164875820279
YKL184W,YFR044C,0,2.7748926,0.0,1.0,0.0022148394491523504
YCR042C,YLR121C,0,2.7167797,0.0,1.0,0.0023155140224844217
YOR181W,YPL224C,0,2.6916623,0.0,1.0,0.0024161883629858494
YDL188C,YOR288C,0,2.6758385,0.0,1.0,0.0025168629363179207
YOR151C,YLR011W,0,2.6243448,0.0,1.0,0.002617537509649992
YDL153C,YBR295W,0,2.6221147,0.0,1.0,0.0027182120829820633
YLR185W,YHR136C,0,2.618305,0.0,1.0,0.002818886423483491
YDR536W,YDL138W,0,2.614961,0.0,1.0,0.0029195609968155622
YDL195W,YHR124W,0,2.5742939,0.0,1.0,0.0030202355701476336
YKL032C,YOR255W,0,2.5626206,0.0,1.0,0.003120910143479705
YGR061C,YNL128W,0,2.5565133,0.0,1.0,0.003221584716811776
YPL132W,YNL119W,0,2.5486712,0.0,1.0,0.003322259057313204
YHR096C,YJR158W,0,2.5472782,0.0,1.0,0.003422933630645275
YML113W,YML012W,0,2.5326805,0.0,1.0,0.0035236082039773464
YOL156W,YDL138W,0,2.5239596,0.0,1.0,0.0036242827773094177
YPL120W,YDR534C,0,2.5174406,0.0,1.0,0.0037249571178108454
YPL161C,YOL023W,0,2.5101693,0.0,1.0,0.0038256316911429167
YKL152C,YPL160W,0,2.455562,0.0,1.0,0.003926306031644344
YER005W,YIL125W,0,2.444703,0.0,1.0,0.004026980604976416
YDL153C,YOL033W,0,2.427444,0.0,1.0,0.004127655178308487
YFL011W,YFL029C,0,2.397811,0.0,1.0,0.004228329751640558
YJL158C,YCL054W,0,2.3765905,0.0,1.0,0.0043290043249726295
YIL023C,YER060W,0,2.375358,0.0,1.0,0.004429678898304701
YCL030C,YMR116C,0,2.364534,0.0,1.0,0.004530353471636772
YIR004W,YER177W,0,2.3636649,0.0,1.0,0.0046310280449688435
YJR145C,YGR284C,0,2.3633738,0.0,1.0,0.004731702618300915
YKR058W,YOL020W,0,2.3628457,0.0,1.0,0.004832376725971699
YGL224C,YDR292C,0,2.3423634,0.0,1.0,0.00493305129930377
YLR061W,YGR057C,0,2.3213658,0.0,1.0,0.005033725872635841
YML077W,YMR314W,0,2.3148174,0.0,1.0,0.005134400445967913
YOL061W,YIL014W,0,2.311956,0.0,1.0,0.005235075019299984
YBR092C,YHR118C,0,2.2920477,0.0,1.0,0.005335749592632055
YGR097W,YGL092W,0,2.2838655,0.0,1.0,0.005436424165964127
YPL189W,YLR081W,0,2.280119,0.0,1.0,0.005537098739296198
YMR067C,YLR238W,0,2.2636049,0.0,1.0,0.005637772846966982
YLR096W,YPR140W,0,2.2571383,0.0,1.0,0.005738447420299053
YNR072W,YLL043W,0,2.2481515,0.0,1.0,0.0058391219936311245
YGL253W,YHR094C,0,2.2401643,0.0,1.0,0.005939796566963196
YFR053C,YJR158W,0,2.2370524,0.0,1.0,0.006040471140295267
YNL220W,YBR188C,0,2.2264335,0.0,1.0,0.006141145713627338
YEL058W,YGR154C,0,2.2133226,0.0,1.0,0.00624182028695941
YCL039W,YEL006W,0,2.2098927,0.0,1.0,0.006342494860291481
YOL156W,YGR289C,0,2.198605,0.0,1.0,0.006443169433623552
YMR214W,YKL156W,0,2.1984806,0.0,1.0,0.006543843541294336
YDL195W,YJL162C,0,2.196429,0.0,1.0,0.006644518114626408
YCL055W,YHL033C,0,2.1939895,0.0,1.0,0.006745192687958479
YDL193W,YER040W,0,2.1904323,0.0,1.0,0.00684586726129055
YJL219W,YDL138W,0,2.189845,0.0,1.0,0.0069465418346226215
YFR007W,YPL266W,0,2.1520023,0.0,1.0,0.007047216407954693
YGR194C,YKR095W,0,2.1462479,0.0,1.0,0.007147890981286764
YOL076W,YJL047C,0,2.1408083,0.0,1.0,0.0072485655546188354
YMR105C,YPL179W,0,2.138885,0.0,1.0,0.007349240127950907
YKL129C,YDR200C,0,2.1264007,0.0,1.0,0.007449914235621691
YIL069C,YIL027C,0,2.124148,0.0,1.0,0.007550588808953762
YBR302C,YDR033W,0,2.1058984,0.0,1.0,0.007651263382285833
YBR020W,YDR536W,0,2.0682144,0.0,1.0,0.007751937955617905
YPL048W,YOR202W,0,2.0527554,0.0,1.0,0.007852612063288689
YAL002W,YEL005C,0,2.0487747,0.0,1.0,0.007953287102282047
YJL219W,YGR280C,0,2.0476525,0.0,1.0,0.008053961209952831
YGR097W,YLL053C,0,2.0447881,0.0,1.0,0.00815463624894619
YLR364W,YBR251W,0,2.0382938,0.0,1.0,0.008255310356616974
YKR079C,YGL232W,0,2.0355105,0.0,1.0,0.008355985395610332
YDR447C,YPR134W,0,2.0275142,0.0,1.0,0.008456659503281116
YHL007C,YDR018C,0,2.0249166,0.0,1.0,0.008557334542274475
YER131W,YIL065C,0,2.021744,0.0,1.0,0.008658008649945259
YHR070W,YLR367W,0,2.0032773,0.0,1.0,0.008758682757616043
YNL154C,YER180C,0,1.9901372,0.0,1.0,0.008859357796609402
YLR023C,YOR003W,0,1.9842365,0.0,1.0,0.008960031904280186
YOR236W,YNL188W,0,1.9596055,0.0,1.0,0.009060706943273544
YMR139W,YDR326C,0,1.9538156,0.0,1.0,0.009161381050944328
YMR202W,YPL190C,0,1.9527917,0.0,1.0,0.009262056089937687
YOR009W,YOL067C,0,1.9470536,0.0,1.0,0.009362730197608471
YML096W,YKR065C,0,1.9243362,0.0,1.0,0.00946340523660183
YOR167C,YDR033W,0,1.9131082,0.0,1.0,0.009564079344272614
YGR148C,YML130C,0,1.9072201,0.0,1.0,0.009664753451943398
YGL253W,YPL244C,0,1.8903826,0.0,1.0,0.009765428490936756
YAL042W,YDR328C,0,1.8820009,0.0,1.0,0.00986610259860754
YDR248C,YGR097W,0,1.8795488,0.0,1.0,0.009966777637600899
YGR058W,YDR506C,0,1.8753484,0.0,1.0,0.010067451745271683
YKL034W,YGL017W,0,1.866826,0.0,1.0,0.010168126784265041
YLR431C,YML072C,0,1.8634164,0.0,1.0,0.010268800891935825
YDR536W,YPL244C,0,1.8588923,0.0,1.0,0.010369475930929184
YLR035C,YBR135W,0,1.858017,0.0,1.0,0.010470150038599968
YGR289C,YDL138W,0,1.8525932,0.0,1.0,0.010570824146270752
YLR403W,YLR345W,0,1.8281782,0.0,1.0,0.01067149918526411
YFR031C-A,YJR044C,0,1.8267787,0.0,1.0,0.010772173292934895
YLR410W,YNR069C,0,1.8210006,0.0,1.0,0.010872848331928253
YDL220C,YAL062W,0,1.8160319,0.0,1.0,0.010973522439599037
YMR042W,YOR017W,0,1.8145785,0.0,1.0,0.011074197478592396
YBR298C,YJR158W,0,1.8138273,0.0,1.0,0.01117487158626318
YOR312C,YIL051C,0,1.8002738,0.0,1.0,0.011275545693933964
YDR313C,YKR064W,0,1.7989645,0.0,1.0,0.011376220732927322
YLL043W,YEL004W,0,1.795933,0.0,1.0,0.011476894840598106
YDL220C,YER033C,0,1.7860725,0.0,1.0,0.011577569879591465
YGL087C,YGL255W,0,1.7760494,0.0,1.0,0.011678243987262249
YBR298C,YLR355C,0,1.7735844,0.0,1.0,0.011778919026255608
YMR242C,YNL132W,0,1.7673361,0.0,1.0,0.011879593133926392
YER126C,YLR411W,0,1.7672961,0.0,1.0,0.01198026817291975
YOR344C,YDR308C,0,1.7657974,0.0,1.0,0.012080942280590534
YCR075C,YJL129C,0,1.7624531,0.0,1.0,0.012181616388261318
YIL075C,YMR131C,0,1.762165,0.0,1.0,0.012282291427254677
YDL156W,YJL210W,0,1.7583978,0.0,1.0,0.01238296553492546
YCL040W,YJR158W,0,1.7554111,0.0,1.0,0.01248364057391882
YDR425W,YOR244W,0,1.7524469,0.0,1.0,0.012584314681589603
YML104C,YNL129W,0,1.7461151,0.0,1.0,0.012684989720582962
YOR005C,YER040W,0,1.7385278,0.0,1.0,0.012785663828253746
YLR234W,YGR217W,0,1.7285876,0.0,1.0,0.012886338867247105
YLL043W,YEL069C,0,1.7279165,0.0,1.0,0.012987012974917889
