Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDL019C,YBR102C,0,2.1242802,0.0,0.0,9.091735410038382e-05
YLR193C,YPR026W,0,1.8697537,0.0,0.0,0.00018183470820076764
YBR054W,YLR007W,0,1.842759,0.0,0.0,0.0002727520768530667
YGL227W,YNL310C,0,1.7734911,0.0,0.0,0.00036366941640153527
YGL205W,YOR150W,0,1.7164898,0.0,0.0,0.0004545867850538343
YDR150W,YOR317W,0,1.7137817,0.0,0.0,0.0005455041537061334
YDR150W,YJR049C,0,1.6628455,0.0,0.0,0.000636421493254602
YFL014W,YBR169C,0,1.653712,0.0,0.0,0.0007273388328030705
YKL040C,YGL136C,0,1.6422443,0.0,0.0,0.0008182562305592
YPR191W,YBR230C,0,1.5531998,0.0,0.0,0.0009091735701076686
YHL047C,YOR297C,0,1.5491352,0.0,0.0,0.0010000909678637981
YDR178W,YKR006C,0,1.490967,0.0,0.0,0.0010910083074122667
YDR466W,YDR425W,0,1.4906151,0.0,0.0,0.0011819256469607353
YBR185C,YLR219W,0,1.423688,0.0,0.0,0.001272842986509204
YMR098C,YOR211C,0,1.4161084,0.0,0.0,0.0013637603260576725
YPR155C,YNL223W,0,1.3666332,0.0,0.0,0.001454677665606141
YML006C,YAL029C,0,1.3522547,0.0,0.0,0.0015455950051546097
YLR309C,YNL110C,0,1.3332154,0.0,0.0,0.0016365124611184
YBR296C,YPR100W,0,1.3165205,0.0,0.0,0.0017274298006668687
YOR226C,YHR148W,0,1.3128867,0.0,0.0,0.0018183471402153373
YBL008W,YGR030C,0,1.3113825,0.0,0.0,0.0019092644797638059
YDR069C,YOR353C,0,1.3051815,0.0,0.0,0.0020001819357275963
YAL056W,YDL130W-A,0,1.2804718,0.0,0.0,0.002091099275276065
YCL052C,YJL165C,0,1.2667524,0.0,0.0,0.0021820166148245335
YDR441C,YDR007W,0,1.260851,0.0,0.0,0.002272933954373002
YKL041W,YGL144C,0,1.2371833,0.0,0.0,0.0023638512939214706
YDL045W-A,YMR193W,0,1.2358823,0.0,0.0,0.0024547686334699392
YJL005W,YDL204W,0,1.1814063,0.0,0.0,0.002545685973018408
YOR304W,YGL163C,0,1.170489,0.0,0.0,0.0026366033125668764
YBR043C,YGL003C,0,1.1659927,0.0,0.0,0.002727520652115345
YBR102C,YDR363W-A,0,1.1643196,0.0,0.0,0.0028184379916638136
YLR025W,YOL026C,0,1.1586719,0.0,0.0,0.002909355331212282
YPL183W-A,YPR067W,0,1.1442375,0.0,0.0,0.0030002726707607508
YMR109W,YGR238C,0,1.1247556,0.0,0.0,0.0030911900103092194
YMR282C,YKL170W,0,1.1203935,0.0,0.0,0.003182107349857688
YDR164C,YBR102C,0,1.1157367,0.0,0.0,0.0032730249222368
YGR154C,YKL002W,0,1.1113625,0.0,0.0,0.003363942261785269
YKL034W,YBL008W,0,1.1066374,0.0,0.0,0.0034548596013337374
YMR169C,YOR113W,0,1.0984771,0.0,0.0,0.003545776940882206
YDL223C,YML129C,0,1.079071,0.0,0.0,0.0036366942804306746
YLR219W,YOR374W,0,1.0772761,0.0,0.0,0.003727611619979143
YDR121W,YDR494W,0,1.0724834,0.0,0.0,0.0038185289595276117
YCL052C,YGL205W,0,1.0601772,0.0,0.0,0.00390944629907608
YDR207C,YHR161C,0,1.0566798,0.0,0.0,0.0040003638714551926
YPR155C,YER143W,0,1.0380287,0.0,0.0,0.0040912809781730175
YPL159C,YDR464W,0,1.0159591,0.0,0.0,0.00418219855055213
YJL112W,YOL011W,0,1.0063763,0.0,0.0,0.004273115657269955
YJL102W,YBL064C,0,1.0062395,0.0,0.0,0.004364033229649067
YDR122W,YKL006C-A,0,1.0060587,0.0,0.0,0.004454950336366892
YKL026C,YNL159C,0,0.993516,0.0,0.0,0.004545867908746004
YDR323C,YDR164C,0,0.9625852,0.0,0.0,0.004636785015463829
YBR072W,YBR114W,0,0.9614555,0.0,0.0,0.004727702587842941
YDR122W,YDR425W,0,0.9413315,0.0,0.0,0.004818619694560766
YNL133C,YMR281W,0,0.9399148,0.0,0.0,0.0049095372669398785
YHR157W,YIR002C,0,0.9276134,0.0,0.0,0.005000454373657703
YGL095C,YNR049C,0,0.9254948,0.0,0.0,0.005091371946036816
YCL069W,YHR146W,0,0.9150731,0.0,0.0,0.005182289518415928
YOR039W,YKL145W,0,0.9118389,0.0,0.0,0.005273206625133753
YNL055C,YKL150W,0,0.8995937,0.0,0.0,0.005364124197512865
YJL035C,YOR226C,0,0.89949346,0.0,0.0,0.00545504130423069
YNL079C,YPL249C,0,0.8970335,0.0,0.0,0.005545958876609802
YBL075C,YMR256C,0,0.89403516,0.0,0.0,0.005636875983327627
YMR192W,YMR109W,0,0.89129674,0.0,0.0,0.005727793555706739
YDR175C,YDR173C,0,0.88969266,0.0,0.0,0.005818710662424564
YAL056W,YPL119C,0,0.88675815,0.0,0.0,0.005909628234803677
YGR080W,YIL167W,0,0.88396275,0.0,0.0,0.0060005453415215015
YMR304W,YOR353C,0,0.87635195,0.0,0.0,0.006091462913900614
YMR109W,YDR363W-A,0,0.8759607,0.0,0.0,0.006182380020618439
YDR079W,YDR256C,0,0.8733567,0.0,0.0,0.006273297592997551
YDR169C,YOL084W,0,0.8703473,0.0,0.0,0.006364214699715376
YGR134W,YKL001C,0,0.8586656,0.0,0.0,0.006455132272094488
YDR403W,YML076C,0,0.85796744,0.0,0.0,0.0065460498444736
YOR011W,YDR166C,0,0.8562505,0.0,0.0,0.006636966951191425
YMR098C,YDR030C,0,0.8559524,0.0,0.0,0.006727884523570538
YOL026C,YLL026W,0,0.8550809,0.0,0.0,0.0068188016302883625
YDL035C,YPR186C,0,0.847696,0.0,0.0,0.006909719202667475
YNL119W,YOL011W,0,0.84264684,0.0,0.0,0.0070006363093853
YKR031C,YFL005W,0,0.8424683,0.0,0.0,0.007091553881764412
YHR157W,YML076C,0,0.82606304,0.0,0.0,0.007182470988482237
YLR191W,YDL067C,0,0.8237592,0.0,0.0,0.007273388560861349
YML081C-A,YOR279C,0,0.8181166,0.0,0.0,0.007364305667579174
YGL163C,YHR085W,0,0.8165747,0.0,0.0,0.007455223239958286
YPL248C,YMR097C,0,0.81180984,0.0,0.0,0.007546140346676111
YNL023C,YOR026W,0,0.8094351,0.0,0.0,0.0076370579190552235
YNL293W,YDR166C,0,0.8075887,0.0,0.0,0.007727975491434336
YBR046C,YPL078C,0,0.8073647,0.0,0.0,0.00781889259815216
YGR081C,YNL199C,0,0.80513954,0.0,0.0,0.007909810170531273
YDL019C,YDR363W-A,0,0.8050815,0.0,0.0,0.008000727742910385
YDR164C,YDR363W-A,0,0.80294895,0.0,0.0,0.008091644383966923
YHR150W,YHR059W,0,0.7945382,0.0,0.0,0.008182561956346035
YDR323C,YDR166C,0,0.7917397,0.0,0.0,0.008273479528725147
YLR304C,YGR112W,0,0.78667325,0.0,0.0,0.00836439710110426
YPR134W,YNL039W,0,0.78411865,0.0,0.0,0.008455313742160797
YEL012W,YDR529C,0,0.77806246,0.0,0.0,0.00854623131453991
