Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YML114C,YAL001C,1,13.902032,1.0,0.25,0.0
YDR297W,YDR120C,0,13.817109,0.5,0.25,9.094215783989057e-05
YBL039C,YMR177W,0,11.590319,0.3333333432674408,0.25,0.00018188431567978114
YOR155C,YDR204W,0,11.433939,0.25,0.25,0.00027282649534754455
YKL191W,YMR312W,0,10.682676,0.20000000298023224,0.25,0.0003637686313595623
YLR192C,YDR110W,0,10.469252,0.1666666716337204,0.25,0.00045471079647541046
YNR012W,YMR290C,0,10.207142,0.1428571492433548,0.25,0.0005456529906950891
YJL125C,YPL146C,0,9.994827,0.125,0.25,0.0006365951267071068
YHR081W,YKL099C,0,9.798217,0.1111111119389534,0.25,0.0007275372627191246
YIL136W,YER003C,0,9.646299,0.10000000149011612,0.25,0.0008184794569388032
YJL051W,YGR186W,0,9.6147585,0.09090909361839294,0.25,0.0009094215929508209
YGL055W,YHR205W,0,9.53573,0.0833333358168602,0.25,0.0010003637289628386
YKR037C,YPL118W,0,9.434609,0.07692307978868484,0.25,0.0010913059813901782
YER061C,YPL055C,0,9.423122,0.0714285746216774,0.25,0.001182248117402196
YPR010C,YLR014C,0,9.410597,0.06666667014360428,0.25,0.0012731902534142137
YDL052C,YPL004C,0,9.260751,0.0625,0.25,0.0013641323894262314
YIL007C,YLR006C,0,9.26063,0.05882352963089943,0.25,0.0014550745254382491
YKR083C,YDR092W,0,8.982645,0.0555555559694767,0.25,0.0015460167778655887
YJR144W,YHR149C,0,8.950084,0.05263157933950424,0.25,0.0016369589138776064
YOR210W,YLR051C,0,8.928316,0.05000000074505806,0.25,0.0017279010498896241
YDR289C,YDR052C,0,8.864275,0.0476190485060215,0.25,0.0018188431859016418
YOR133W,YDR270W,0,8.818113,0.04545454680919647,0.25,0.0019097853219136596
YMR059W,YDR098C,0,8.73884,0.043478261679410934,0.25,0.0020007274579256773
YOR320C,YOR064C,0,8.726934,0.0416666679084301,0.25,0.002091669710353017
YOR064C,YJL145W,0,8.71186,0.03999999910593033,0.25,0.0021826119627803564
YHR176W,YHR043C,0,8.684149,0.03846153989434242,0.25,0.0022735539823770523
YOR119C,YNL243W,0,8.596851,0.03703703731298447,0.25,0.002364496234804392
YDR257C,YAR050W,0,8.590767,0.0357142873108387,0.25,0.0024554382544010878
YPL086C,YAR008W,0,8.55012,0.03448275849223137,0.25,0.0025463805068284273
YJR126C,YDL146W,0,8.411236,0.03333333507180214,0.25,0.002637322759255767
YEL055C,YHR204W,0,8.34766,0.032258063554763794,0.25,0.0027282647788524628
YDR460W,YDR311W,0,8.224849,0.03125,0.25,0.0028192070312798023
YBR290W,YPL089C,0,8.1017685,0.03030303120613098,0.25,0.0029101490508764982
YPR008W,YLR399C,0,8.065167,0.029411764815449715,0.25,0.0030010913033038378
YFL034C-A,YKL183W,0,8.020067,0.02857142873108387,0.25,0.0030920335557311773
YHR086W,YGR253C,0,8.01364,0.02777777798473835,0.25,0.0031829755753278732
YBL080C,YPR199C,0,7.985956,0.027027027681469917,0.25,0.003273917827755213
YLR131C,YDR198C,0,7.955101,0.02631578966975212,0.25,0.0033648598473519087
YPL011C,YPL082C,0,7.8631535,0.025641025975346565,0.25,0.0034558020997792482
YLR207W,YDR051C,0,7.8191137,0.02500000037252903,0.25,0.003546744352206588
YLL052C,YML085C,0,7.7577553,0.024390242993831635,0.25,0.0036376863718032837
YIL096C,YPR010C,0,7.724724,0.02380952425301075,0.25,0.0037286286242306232
YDL135C,YMR207C,0,7.681492,0.023255813866853714,0.25,0.003819570643827319
YLL001W,YPL005W,0,7.680705,0.022727273404598236,0.25,0.003910513129085302
YJL069C,YOL144W,0,7.5983067,0.02222222276031971,0.25,0.004001454915851355
YDL020C,YPL055C,0,7.595131,0.021739130839705467,0.25,0.004092397168278694
YPR188C,YDR510W,0,7.563818,0.021276595070958138,0.25,0.004183339420706034
YOL055C,YHR190W,0,7.547802,0.02083333395421505,0.25,0.004274281673133373
YMR081C,YBR158W,0,7.49637,0.020408162847161293,0.25,0.004365223925560713
YPL089C,YMR311C,0,7.489414,0.019999999552965164,0.25,0.004456165712326765
YMR305C,YOL140W,0,7.4858174,0.019607843831181526,0.25,0.004547107964754105
YPR048W,YLR221C,0,7.433283,0.01923076994717121,0.25,0.004638050217181444
YDR171W,YBR210W,0,7.411461,0.01886792480945587,0.25,0.004728992469608784
YIL107C,YOR059C,0,7.3467293,0.018518518656492233,0.25,0.004819934722036123
