Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YCR002C,YFR028C,1,13.597053,1.0,1.0,0.0
YBR065C,YER144C,0,13.0918865,0.5,1.0,0.00012933264952152967
YCR011C,YGL209W,0,12.495115,0.3333333432674408,1.0,0.00025866529904305935
YBR265W,YJR130C,0,12.494686,0.25,1.0,0.00038799791946075857
YBL004W,YCL035C,0,11.367134,0.20000000298023224,1.0,0.0005173305980861187
YKL144C,YLR270W,0,11.318279,0.1666666716337204,1.0,0.0006466631893999875
YDR017C,YDR039C,0,10.725448,0.1428571492433548,1.0,0.0007759958389215171
YIL042C,YMR309C,0,10.538174,0.125,1.0,0.0009053284884430468
YNL290W,YKL093W,0,10.205888,0.1111111119389534,1.0,0.0010346611961722374
YFL022C,YOR168W,0,9.899702,0.10000000149011612,1.0,0.001163993845693767
YDR273W,YIR013C,0,9.694624,0.09090909361839294,1.0,0.001293326378799975
YDL005C,YKL026C,0,9.595921,0.0833333358168602,1.0,0.0014226590283215046
YIR008C,YDR085C,0,9.397123,0.07692307978868484,1.0,0.0015519916778430343
YJL085W,YBR169C,0,9.344172,0.0714285746216774,1.0,0.001681324327364564
YMR177W,YNL312W,0,9.26068,0.06666667014360428,1.0,0.0018106569768860936
YCL036W,YGL125W,0,9.2069645,0.0625,1.0,0.0019399896264076233
YDR007W,YAL017W,0,8.475647,0.05882352963089943,1.0,0.002069322392344475
YAL054C,YPR061C,0,8.3953,0.0555555559694767,1.0,0.0021986549254506826
YBR046C,YOR038C,0,8.363939,0.05263157933950424,1.0,0.002327987691387534
YIL020C,YNR033W,0,8.299536,0.05000000074505806,1.0,0.002457320224493742
YKL196C,YGL171W,0,8.199398,0.0476190485060215,1.0,0.00258665275759995
YLR191W,YDR043C,0,7.8437467,0.04545454680919647,1.0,0.0027159855235368013
YOR064C,YDR461W,0,7.815647,0.043478261679410934,1.0,0.002845318056643009
YPL045W,YCR079W,0,7.7636986,0.0416666679084301,1.0,0.0029746508225798607
YDL207W,YIL040W,0,7.5100846,0.03999999910593033,1.0,0.0031039833556860685
YLR268W,YHR211W,0,7.4653974,0.03846153989434242,1.0,0.00323331612162292
YBR126C,YLR405W,0,7.387527,0.03703703731298447,1.0,0.003362648654729128
YPL230W,YDL197C,0,7.3299713,0.0357142873108387,1.0,0.0034919814206659794
YPR143W,YGL006W,0,7.2142816,0.03448275849223137,1.0,0.0036213139537721872
YBL046W,YFR033C,0,7.175378,0.03333333507180214,1.0,0.0037506467197090387
YML057W,YPL210C,0,7.1576653,0.032258063554763794,1.0,0.0038799792528152466
YKL114C,YMR322C,0,7.1512036,0.03125,1.0,0.004009312018752098
YDR414C,YBR276C,0,7.00571,0.03030303120613098,1.0,0.00413864478468895
YIL142W,YDR034C,0,6.8861184,0.029411764815449715,1.0,0.004267977084964514
YDR235W,YJR091C,0,6.8319526,0.02857142873108387,1.0,0.004397309850901365
YMR091C,YLR332W,0,6.803086,0.02777777798473835,1.0,0.004526642616838217
YPL104W,YJL179W,0,6.756396,0.027027027681469917,1.0,0.004655975382775068
YMR135C,YIL154C,0,6.7222705,0.02631578966975212,1.0,0.0047853076830506325
YDR037W,YOR264W,0,6.7162967,0.025641025975346565,1.0,0.004914640448987484
YLR003C,YDR216W,0,6.6746407,0.02500000037252903,1.0,0.0050439732149243355
YJR112W,YNL209W,0,6.632919,0.024390242993831635,1.0,0.0051733055151999
YLR145W,YCL008C,0,6.573609,0.02380952425301075,1.0,0.005302638281136751
YLR215C,YDL107W,0,6.5714526,0.023255813866853714,1.0,0.005431971047073603
YLR401C,YDL170W,0,6.4936943,0.022727273404598236,1.0,0.005561303813010454
YPL211W,YMR319C,0,6.478917,0.02222222276031971,1.0,0.005690636113286018
YOR210W,YNL267W,0,6.4442687,0.021739130839705467,1.0,0.00581996887922287
YJR035W,YHR001W-A,0,6.4437943,0.021276595070958138,1.0,0.005949301645159721
YDR353W,YKL015W,0,6.434375,0.02083333395421505,1.0,0.006078634411096573
YDR490C,YDR080W,0,6.3304152,0.020408162847161293,1.0,0.006207966711372137
YJR101W,YDR434W,0,6.323604,0.019999999552965164,1.0,0.006337299477308989
YDR006C,YPR165W,0,6.3226466,0.019607843831181526,1.0,0.00646663224324584
YDR170C,YBL067C,0,6.306088,0.01923076994717121,1.0,0.006595965009182692
YMR146C,YBR079C,0,6.290878,0.01886792480945587,1.0,0.006725297309458256
YDR273W,YNL224C,0,6.2775993,0.018518518656492233,1.0,0.006854630075395107
YER179W,YPL254W,0,6.2755094,0.0181818176060915,1.0,0.006983962841331959
YOR241W,YPR075C,0,6.2726326,0.01785714365541935,1.0,0.00711329560726881
YMR225C,YMR159C,0,6.2688527,0.017543859779834747,1.0,0.0072426279075443745
YIL075C,YGL145W,0,6.237119,0.017241379246115685,1.0,0.007371960673481226
YGR206W,YBR230C,0,6.234863,0.016949152573943138,1.0,0.0075012934394180775
YMR135C,YGL246C,0,6.2316203,0.01666666753590107,1.0,0.007630625739693642
YLR321C,YPR104C,0,6.1994987,0.016393441706895828,1.0,0.007759958505630493
YGR178C,YHR178W,0,6.1919513,0.016129031777381897,1.0,0.007889291271567345
YML046W,YPL196W,0,6.172422,0.01587301678955555,1.0,0.008018624037504196
YMR123W,YGR028W,0,6.1202807,0.015625,1.0,0.008147956803441048
YPL112C,YNL167C,0,6.0950637,0.015384615398943424,1.0,0.0082772895693779
YNL145W,YDR381W,0,6.077554,0.01515151560306549,1.0,0.008406621403992176
YPL053C,YBR004C,0,6.0762515,0.014925372786819935,1.0,0.008535954169929028
YDR485C,YER049W,0,6.066528,0.014705882407724857,1.0,0.008665286935865879
YOL008W,YJR050W,0,6.0623107,0.014492753893136978,1.0,0.00879461970180273
YKL203C,YLL055W,0,6.0588846,0.014285714365541935,1.0,0.008923952467739582
YML007W,YER069W,0,6.0561457,0.014084506779909134,1.0,0.009053285233676434
YBR171W,YLR324W,0,6.02084,0.013888888992369175,1.0,0.009182617999613285
YBR203W,YLL061W,0,5.9689994,0.013698630034923553,1.0,0.009311950765550137
YGL162W,YDR354W,0,5.968138,0.013513513840734959,1.0,0.009441282600164413
YDR339C,YGL019W,0,5.914497,0.013333333656191826,1.0,0.009570615366101265
YOL111C,YPR155C,0,5.8355193,0.01315789483487606,1.0,0.009699948132038116
YGR052W,YKL018W,0,5.81712,0.012987012974917889,1.0,0.009829280897974968
YJR002W,YHR175W,0,5.789866,0.012820512987673283,1.0,0.00995861366391182
YPL097W,YGR171C,0,5.7839255,0.012658228166401386,1.0,0.010087946429848671
YNL321W,YDR309C,0,5.7655306,0.012500000186264515,1.0,0.010217279195785522
YDR294C,YOL144W,0,5.735947,0.012345679104328156,1.0,0.0103466110303998
YCR024C,YLR382C,0,5.7339387,0.012195121496915817,1.0,0.01047594379633665
YNL014W,YGL107C,0,5.729493,0.012048192322254181,1.0,0.010605276562273502
YOL023W,YGR225W,0,5.721207,0.011904762126505375,1.0,0.010734609328210354
YLR025W,YIL022W,0,5.71112,0.0117647061124444,1.0,0.010863942094147205
YLR084C,YBL009W,0,5.7025876,0.011627906933426857,1.0,0.010993274860084057
YDL149W,YOR100C,0,5.6754146,0.01149425283074379,1.0,0.011122607626020908
YLR435W,YKR089C,0,5.6541257,0.011363636702299118,1.0,0.01125194039195776
YER149C,YCL008C,0,5.6522145,0.01123595517128706,1.0,0.011381272226572037
YKL020C,YEL022W,0,5.6494675,0.011111111380159855,1.0,0.011510604992508888
YDR485C,YML046W,0,5.6426225,0.010989011265337467,1.0,0.01163993775844574
YNL263C,YNR055C,0,5.639021,0.010869565419852734,1.0,0.011769270524382591
YGR221C,YDR419W,0,5.6186395,0.01075268816202879,1.0,0.011898603290319443
YDR309C,YHR190W,0,5.617501,0.010638297535479069,1.0,0.012027936056256294
YFL017W-A,YKL091C,0,5.6053185,0.010526316240429878,1.0,0.012157268822193146
YPR072W,YOL097C,0,5.5753093,0.010416666977107525,1.0,0.012286601588129997
YNL263C,YNR074C,0,5.5719905,0.010309278033673763,1.0,0.012415933422744274
YOR106W,YNR033W,0,5.5526376,0.010204081423580647,1.0,0.012545266188681126
YPL030W,YGR261C,0,5.5154023,0.010101010091602802,1.0,0.012674598954617977
YGR177C,YOR297C,0,5.4837785,0.009999999776482582,1.0,0.012803931720554829
YOR295W,YCR008W,0,5.472112,0.009900989942252636,1.0,0.01293326448649168
YBR268W,YER119C,0,5.4574327,0.009803921915590763,1.0,0.013062597252428532
YLL002W,YER169W,0,5.4532356,0.009708737954497337,1.0,0.013191930018365383
YDR453C,YLR205C,0,5.446381,0.009615384973585606,1.0,0.01332126185297966
YLL039C,YDL047W,0,5.348106,0.009523809887468815,1.0,0.013450594618916512
YPR033C,YOL097C,0,5.342881,0.009433962404727936,1.0,0.013579927384853363
YNL076W,YJR103W,0,5.321613,0.009345794096589088,1.0,0.013709260150790215
YOR083W,YNL312W,0,5.3057137,0.009259259328246117,1.0,0.013838592916727066
YPL252C,YBR080C,0,5.296415,0.00917431153357029,1.0,0.013967925682663918
