Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YIL103W,YBL071W-A,1,15.039871,1.0,0.10000000149011612,0.0
YIL103W,YKL191W,1,14.86157,1.0,0.20000000298023224,0.0
YKL191W,YBL071W-A,1,12.973354,1.0,0.30000001192092896,0.0
YBL071W-A,YLR172C,1,4.526309,1.0,0.4000000059604645,0.0
YBL071W-A,YJR097W,1,3.3990765,1.0,0.5,0.0
YKL191W,YJR097W,1,2.2602582,1.0,0.6000000238418579,0.0
YIL103W,YLR172C,1,2.1992378,1.0,0.699999988079071,0.0
YER006W,YPL086C,0,0.5330144,0.875,0.699999988079071,0.009999999776482582
YOR339C,YOL102C,0,-0.663515,0.7777777910232544,0.699999988079071,0.019999999552965164
YKL191W,YLR172C,1,-0.93221796,0.800000011920929,0.800000011920929,0.019999999552965164
YIL103W,YJR097W,1,-1.1392826,0.8181818127632141,0.8999999761581421,0.019999999552965164
YBR248C,YDR365W-A,0,-2.4510727,0.75,0.8999999761581421,0.029999999329447746
YOR284W,YKL045W,0,-2.8696446,0.692307710647583,0.8999999761581421,0.03999999910593033
YJL029C,YDR034C-D,0,-3.0108976,0.6428571343421936,0.8999999761581421,0.05000000074505806
YMR260C,YPL081W,0,-3.13519,0.6000000238418579,0.8999999761581421,0.05999999865889549
YJR097W,YLR172C,1,-3.2706797,0.625,1.0,0.05999999865889549
YPR002W,YCL003W,0,-3.6705225,0.5882353186607361,1.0,0.07000000029802322
YML097C,YJL050W,0,-4.581213,0.5555555820465088,1.0,0.07999999821186066
YML128C,YOR219C,0,-4.741432,0.5263158082962036,1.0,0.09000000357627869
YKL190W,YDR354W,0,-4.7973394,0.5,1.0,0.10000000149011612
YPL175W,YER100W,0,-4.809,0.4761904776096344,1.0,0.10999999940395355
YLR320W,YEL048C,0,-4.9925146,0.4545454680919647,1.0,0.11999999731779099
YDL140C,YFR013W,0,-5.079376,0.43478259444236755,1.0,0.12999999523162842
YML023C,YCR057C,0,-5.369235,0.4166666567325592,1.0,0.14000000059604645
YHR122W,YHR201C,0,-5.4867897,0.4000000059604645,1.0,0.15000000596046448
YJR093C,YKL063C,0,-5.4935703,0.38461539149284363,1.0,0.1599999964237213
YEL053C,YBR202W,0,-5.6452484,0.37037035822868347,1.0,0.17000000178813934
YKR075C,YKL015W,0,-5.6738605,0.3571428656578064,1.0,0.18000000715255737
YJR010W,YJL160C,0,-5.731238,0.3448275923728943,1.0,0.1899999976158142
YOR312C,YPL227C,0,-5.811734,0.3333333432674408,1.0,0.20000000298023224
YMR118C,YBR066C,0,-5.9407105,0.32258063554763794,1.0,0.20999999344348907
YJL028W,YIL030C,0,-6.0545444,0.3125,1.0,0.2199999988079071
YDL225W,YBL056W,0,-6.419599,0.3030303120613098,1.0,0.23000000417232513
YBR161W,YDL156W,0,-6.4934406,0.29411765933036804,1.0,0.23999999463558197
YLR442C,YHR006W,0,-6.5446754,0.2857142984867096,1.0,0.25
YPL120W,YML110C,0,-6.6105504,0.2777777910232544,1.0,0.25999999046325684
YBR167C,YDL155W,0,-6.839374,0.2702702581882477,1.0,0.27000001072883606
YGL006W,YOR338W,0,-6.9794083,0.2631579041481018,1.0,0.2800000011920929
YBR236C,YBR212W,0,-7.0457177,0.25641027092933655,1.0,0.28999999165534973
YOR081C,YMR133W,0,-7.1654954,0.25,1.0,0.30000001192092896
YMR136W,YOR338W,0,-7.1774225,0.24390244483947754,1.0,0.3100000023841858
YBL099W,YJR073C,0,-7.2036123,0.2380952388048172,1.0,0.3199999928474426
YGR089W,YBR253W,0,-7.2595053,0.23255814611911774,1.0,0.33000001311302185
YDR217C,YBR211C,0,-7.2750607,0.22727273404598236,1.0,0.3400000035762787
YKR068C,YGR207C,0,-7.305768,0.2222222238779068,1.0,0.3499999940395355
YOR206W,YFR016C,0,-7.9939747,0.21739129722118378,1.0,0.36000001430511475
YBR281C,YDR051C,0,-8.007071,0.21276596188545227,1.0,0.3700000047683716
YML121W,YDR472W,0,-8.058969,0.2083333283662796,1.0,0.3799999952316284
YDR021W,YER013W,0,-8.109987,0.20408163964748383,1.0,0.38999998569488525
YPR189W,YLR141W,0,-8.211961,0.20000000298023224,1.0,0.4000000059604645
YGR212W,YMR041C,0,-8.293987,0.19607843458652496,1.0,0.4099999964237213
YBR239C,YPL087W,0,-8.427207,0.19230769574642181,1.0,0.41999998688697815
