Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YHR081W,YML128C,1,34.540825,1.0,0.0009813542710617185,0.0
YMR190C,YOL068C,1,32.20579,1.0,0.001962708542123437,0.0
YPL017C,YHL024W,1,28.406477,1.0,0.0029440626967698336,0.0
YML128C,YDR440W,1,27.927523,1.0,0.003925417084246874,0.0
YER138C,YJR027W,1,27.575815,1.0,0.0049067712388932705,0.0
YJR027W,YBR012W-B,1,27.554604,1.0,0.005888125393539667,0.0
YDR540C,YML128C,1,27.262825,1.0,0.006869480013847351,0.0
YNL312W,YPR164W,1,26.932407,1.0,0.007850834168493748,0.0
YPL015C,YIR025W,1,26.38654,1.0,0.008832188323140144,0.0
YLR219W,YIR025W,1,26.109104,1.0,0.009813542477786541,0.0
YJR027W,YBL100W-B,1,25.715921,1.0,0.010794896632432938,0.0
YBR088C,YLR219W,1,25.36557,1.0,0.011776250787079334,0.0
YDL101C,YGL250W,1,24.50645,1.0,0.012757605873048306,0.0
YBR088C,YHL024W,1,24.363153,1.0,0.013738960027694702,0.0
YIR039C,YPR192W,0,24.112549,0.9333333373069763,0.013738960027694702,0.0001001903583528474
YHR167W,YDR113C,1,23.885906,0.9375,0.014720314182341099,0.0001001903583528474
YML128C,YLR263W,1,23.787785,0.9411764740943909,0.015701668336987495,0.0001001903583528474
YMR250W,YIR005W,0,23.75726,0.8888888955116272,0.015701668336987495,0.0002003807167056948
YJR027W,YML045W,1,23.52498,0.8947368264198303,0.016683023422956467,0.0002003807167056948
YDR288W,YJL051W,1,23.350357,0.8999999761581421,0.01766437664628029,0.0002003807167056948
YPL022W,YMR190C,1,22.54339,0.9047619104385376,0.01864573173224926,0.0002003807167056948
YDL164C,YNL210W,1,22.525766,0.9090909361839294,0.019627084955573082,0.0002003807167056948
YML128C,YPR104C,0,22.499954,0.8695651888847351,0.019627084955573082,0.0003005710896104574
YOR144C,YPL017C,1,22.496944,0.875,0.020608440041542053,0.0003005710896104574
