Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YKL012W,YLR323C,1,3.788943,1.0,0.0010000000474974513,0.0
YLR275W,YLR117C,1,3.7342584,1.0,0.0020000000949949026,0.0
YLR275W,YNR011C,1,3.5880303,1.0,0.003000000026077032,0.0
YHL013C,YLR319C,0,3.578781,0.75,0.003000000026077032,9.999999747378752e-05
YAR008W,YLR323C,1,3.3623073,0.800000011920929,0.004000000189989805,9.999999747378752e-05
YLR275W,YLR323C,1,3.3293965,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YNR024W,YPL074W,0,3.1745148,0.7142857313156128,0.004999999888241291,0.00019999999494757503
YLR298C,YNR011C,1,3.116844,0.75,0.006000000052154064,0.00019999999494757503
YGR129W,YLR323C,1,3.1045015,0.7777777910232544,0.007000000216066837,0.00019999999494757503
YDL175C,YHR167W,0,3.0719218,0.699999988079071,0.007000000216066837,0.0003000000142492354
YPL207W,YPR046W,0,3.0319371,0.6363636255264282,0.007000000216066837,0.00039999998989515007
YMR268C,YDL030W,1,3.0247996,0.6666666865348816,0.00800000037997961,0.00039999998989515007
YNL206C,YEL018W,0,3.0247915,0.6153846383094788,0.00800000037997961,0.0005000000237487257
YGR091W,YLR323C,1,3.0224884,0.6428571343421936,0.008999999612569809,0.0005000000237487257
YMR059W,YLR323C,1,3.0087702,0.6666666865348816,0.009999999776482582,0.0005000000237487257
YMR268C,YGR006W,1,2.9987025,0.6875,0.010999999940395355,0.0005000000237487257
YAR008W,YDR163W,1,2.9948566,0.7058823704719543,0.012000000104308128,0.0005000000237487257
YOR058C,YOR094W,0,2.9585996,0.6666666865348816,0.012000000104308128,0.0006000000284984708
YGR091W,YDR482C,1,2.951225,0.6842105388641357,0.013000000268220901,0.0006000000284984708
YBR055C,YDR163W,1,2.9284003,0.699999988079071,0.014000000432133675,0.0006000000284984708
YML107C,YBL057C,0,2.9232433,0.6666666865348816,0.014000000432133675,0.000699999975040555
YDR482C,YNL245C,1,2.9228766,0.6818181872367859,0.014999999664723873,0.000699999975040555
YGR245C,YPR025C,0,2.8765833,0.6521739363670349,0.014999999664723873,0.0007999999797903001
