Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YPR086W,YGR005C,1,8.445221,1.0,0.0010000000474974513,0.0
YCR042C,YMR005W,1,7.3861732,1.0,0.0020000000949949026,0.0
YPR025C,YGR246C,1,7.3167343,1.0,0.003000000026077032,0.0
YDR311W,YGR005C,1,7.233017,1.0,0.004000000189989805,0.0
YPL011C,YNL222W,1,7.2148695,1.0,0.004999999888241291,0.0
YGL172W,YGL096W,0,6.7546434,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YPL011C,YML069W,1,6.7478228,0.8571428656578064,0.006000000052154064,9.999999747378752e-05
YOR261C,YHR201C,0,6.7024803,0.75,0.006000000052154064,0.00019999999494757503
YMR236W,YFL021W,1,6.6619177,0.7777777910232544,0.007000000216066837,0.00019999999494757503
YPL007C,YGL043W,1,6.59943,0.800000011920929,0.00800000037997961,0.00019999999494757503
YGL244W,YMR227C,1,6.470441,0.8181818127632141,0.008999999612569809,0.00019999999494757503
YPL122C,YGR005C,1,6.459571,0.8333333134651184,0.009999999776482582,0.00019999999494757503
YDR167W,YDR460W,1,6.3855295,0.8461538553237915,0.010999999940395355,0.00019999999494757503
YMR005W,YGR005C,1,6.3854666,0.8571428656578064,0.012000000104308128,0.00019999999494757503
YMR005W,YDR460W,1,6.3071165,0.8666666746139526,0.013000000268220901,0.00019999999494757503
YFL021W,YNL222W,1,6.29848,0.875,0.014000000432133675,0.00019999999494757503
YPR025C,YML069W,1,6.182226,0.8823529481887817,0.014999999664723873,0.00019999999494757503
YPR025C,YPL011C,1,6.1811457,0.8888888955116272,0.01600000075995922,0.00019999999494757503
YPR025C,YKL144C,1,6.174859,0.8947368264198303,0.017000000923871994,0.00019999999494757503
YOL094C,YPR057W,0,6.1743183,0.8500000238418579,0.017000000923871994,0.0003000000142492354
YPL007C,YGR005C,1,6.1548147,0.8571428656578064,0.017999999225139618,0.0003000000142492354
YMR005W,YNL222W,1,6.148301,0.8636363744735718,0.01899999938905239,0.0003000000142492354
YPR025C,YGR005C,1,6.1415176,0.8695651888847351,0.019999999552965164,0.0003000000142492354
YPL122C,YPR086W,1,6.1349163,0.875,0.020999999716877937,0.0003000000142492354
YDR311W,YDR167W,1,6.117962,0.8799999952316284,0.02199999988079071,0.0003000000142492354
YDR167W,YGR005C,1,6.1065407,0.8846153616905212,0.023000000044703484,0.0003000000142492354
