Batch,Training Loss,Validation Loss
0,461.27932024002075,459.6953632831574
100,417.19734051007794,415.30231113433837
200,380.95762240700407,412.0186830282211
300,369.2076855522021,398.78621916770925
400,362.62008702281844,406.6115095138549
500,358.6135652217268,409.6372069954873
600,354.1968972869217,374.58805485963813
700,358.15888115748754,408.66080361306666
800,351.53234692290437,394.7687871277332
900,350.7711899099499,443.16424472332005
1000,350.79524760563856,407.99467372894287
1100,347.9549782726168,389.10881500244136
1200,341.62912008464343,394.6668575584888
1300,344.05771880842735,444.21768271923065
1400,344.6030544756352,480.49776258468626
1500,339.9096329976619,462.9561244249343
1600,342.81590157218284,453.7188526630402
1700,342.6365495628118,425.73750040233136
1800,342.17001808449646,431.30143822431563
1900,338.0800721633063,431.6630902528763
2000,340.7878153592348,449.60489724874503
2100,338.70524295896297,449.64885072708125
2200,337.70144029840833,471.2562445342541
2300,341.38287970200184,429.94642453193654
2400,337.5741194625197,418.8264265537262
2500,338.1987228344381,485.0776099562645
2600,340.9918969486654,502.53563884049646
2700,336.6826777599754,531.3474750995637
2800,332.8750380821528,429.9297612190247
2900,334.75783247761444,421.8242455244065
3000,341.9225266823545,465.5722972154618
3100,333.5354415266215,443.87183092832566
3200,333.2291232108325,445.30313909053797
3300,335.9671664819866,431.22141712903965
3400,339.4165679656341,432.71671710014346
3500,338.0872863434254,461.316823232174
3600,332.44346117302786,469.1133259773254
3700,341.0853552295268,442.646604245901
3800,334.12024369046094,391.9609161973
3900,334.6128622035683,445.89888889789586
4000,337.76929906859993,411.55890132188796
4100,339.3061735527962,430.44665899276737
4200,338.2426083885132,484.5278417825699
4300,335.18265691936017,480.8206504374743
4400,332.41204774335034,461.66646529436116
4500,336.5688481429219,486.9543180644513
4600,333.45487111431555,418.6178171277045
4700,337.6759376865999,443.2407053530216
4800,333.1332212541998,458.60060238242147
4900,336.8490222358705,524.1642082929611
5000,329.65070048660056,412.0383944153786
5100,332.40626022845504,441.93788173198703
5200,336.49297744166114,424.355552816391
5300,336.1078637604415,457.79922893047336
5400,333.505745979473,497.51064619869
5500,336.4197020624577,467.9931927621365
5600,334.34989525295805,447.23291620016096
5700,341.4824881303309,451.8176943182945
5800,333.6123162249849,402.2380489230156
5900,338.366555313021,453.06938753128054
6000,333.5180385365338,458.27914789319044
6100,331.87270229667433,505.69988190829747
6200,333.148444223404,450.9692182302475
6300,336.063577081561,427.82707778215405
6400,332.2531280516089,424.72964061498647
6500,336.64864403132356,442.36141664981847
6600,335.0978556238115,439.63380061984054
6700,333.6245009525493,517.7722673892974
6800,335.59251435466126,430.3509515345096
6900,335.98415694624185,432.13454403281213
7000,332.8473413531481,421.97039844989774
7100,333.5526207324863,462.57597397565837
7200,340.1031701016426,477.99764750003817
7300,331.5186070080101,525.4138841509819
7400,331.18062812853606,458.8398751556874
7500,337.8448210072517,479.5894377082587
7600,329.80342796385287,430.08940235972403
7700,335.5147990673036,435.05306859016423
7800,333.2447865524889,417.20699127912525
7900,330.306297956258,465.6168889388442
8000,333.8776594123246,460.46250350475316
8100,332.6277428464593,449.2535458087922
8200,334.4693818566201,439.6435502767563
8300,331.2911509364843,426.2272694557905
8400,334.120179735478,464.4624434769154
8500,332.43361048470257,468.6892905712128
8600,332.47355655789374,405.7223899662494
8700,337.25994908988474,396.2377046838403
8800,328.7278385309317,454.5662660837173
8900,332.4240860516579,404.6557912349701
9000,336.7286135575176,424.20127387046824
9100,336.4880267751217,475.71862337589266
9200,340.7221621003746,444.07524613142016
9300,336.69044973224396,425.43268960118303
9400,334.1162728278339,470.77224440574645
9500,327.192453714311,426.41578482389457
9600,334.6669696743041,450.37106851339337
9700,335.04715538978576,460.4818274140358
9800,340.94240260627106,505.18272197246546
9900,332.83812654931114,443.3329206228256
10000,336.82936214238407,417.0930208444596
10100,332.87271516159177,451.44114830493925
10200,337.26711920231594,504.6683667182923
10300,329.39073490388705,410.9263902664185
10400,336.60809845387934,420.06151101589205
10500,329.97494268551475,482.13554173707956
10600,335.5634331654012,442.46941437721256
10700,333.0246278570593,426.4632364749909
10800,334.9916847129168,467.28482853174205
