Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBR012W-A,YAR010C,1,5.864421,1.0,0.0010000000474974513,0.0
YMR045C,YER160C,1,5.656692,1.0,0.0020000000949949026,0.0
YML039W,YER138C,1,5.2501187,1.0,0.003000000026077032,0.0
YMR045C,YBR012W-A,1,5.1806173,1.0,0.004000000189989805,0.0
YJR028W,YMR046C,1,5.1344395,1.0,0.004999999888241291,0.0
YER138C,YBR012W-B,1,4.917752,1.0,0.006000000052154064,0.0
YML040W,YJR026W,1,4.7232757,1.0,0.007000000216066837,0.0
YML040W,YBR012W-A,1,4.684055,1.0,0.00800000037997961,0.0
YCL020W,YBR012W-A,1,4.669135,1.0,0.008999999612569809,0.0
YCL020W,YAR010C,1,4.6096272,1.0,0.009999999776482582,0.0
YFL002W-A,YHR214C-B,1,4.522648,1.0,0.010999999940395355,0.0
YBR012W-A,YBL100W-A,1,4.5039573,1.0,0.012000000104308128,0.0
YFL002W-A,YML039W,1,4.451369,1.0,0.013000000268220901,0.0
YPR137C-A,YPR158W-A,1,4.420727,1.0,0.014000000432133675,0.0
YJR026W,YBL005W-A,1,4.2657204,1.0,0.014999999664723873,0.0
YJR028W,YMR045C,1,4.1589184,1.0,0.01600000075995922,0.0
YJR026W,YHR214C-B,1,4.0980306,1.0,0.017000000923871994,0.0
YJR026W,YER160C,1,4.096029,1.0,0.017999999225139618,0.0
YGR027W-A,YER159C-A,1,3.9244046,1.0,0.01899999938905239,0.0
YJR029W,YER138C,1,3.9045062,1.0,0.019999999552965164,0.0
YBL005W-A,YDR170W-A,1,3.900559,1.0,0.020999999716877937,0.0
YMR046C,YBR012W-B,1,3.8741488,1.0,0.02199999988079071,0.0
YCL019W,YMR046C,1,3.8548129,1.0,0.023000000044703484,0.0
YER159C-A,YPR158W-A,1,3.81518,1.0,0.024000000208616257,0.0
YBR012W-A,YOR142W-A,1,3.7964573,1.0,0.02500000037252903,0.0
YPL257W-A,YOR142W-A,1,3.7551074,1.0,0.026000000536441803,0.0
YPL257W-B,YHR214C-B,1,3.6934378,1.0,0.027000000700354576,0.0
YGR038C-B,YOL103W-B,1,3.690312,1.0,0.02800000086426735,0.0
YMR045C,YJR029W,1,3.673521,1.0,0.028999999165534973,0.0
YGR038C-B,YER160C,1,3.6629474,1.0,0.029999999329447746,0.0
YCL020W,YLR410W-A,1,3.6527832,1.0,0.03099999949336052,0.0
YER160C,YDR034C-C,1,3.6218944,1.0,0.03200000151991844,0.0
YGR038C-B,YAR010C,1,3.6109319,1.0,0.032999999821186066,0.0
