Batch,Training Loss,Validation Loss
0,406.1111507415771,403.0918573379517
100,386.6661333209275,424.9415528416634
200,372.8629488718508,407.77110981345174
300,372.13331519320604,437.9125700473786
400,370.85815099567174,394.5147722482681
500,371.43810236915965,408.6023766040802
600,369.3230525813997,418.65537642240525
700,369.30952829748384,402.2952347397804
800,374.30405345603833,414.3582500696182
900,368.74851835012436,402.52561731338506
1000,373.48692607402796,368.7062136650085
1100,375.39205692708504,406.750923705101
1200,368.23300275355564,396.4365760058165
1300,367.19836263164876,401.73795917034147
1400,370.96192976802587,396.18491086959835
1500,368.27508766949177,386.2025585889816
1600,368.1635263437035,385.9851646780968
1700,370.3270894509554,397.39869897365566
1800,368.4167017799616,396.2284296512604
1900,369.3883577167987,411.9061132669449
2000,367.470522905886,372.0716092586517
2100,366.42528844185176,352.6879069566727
2200,367.9162509548664,373.2022273302078
2300,369.0428518252075,401.0782026767731
2400,366.3674909259381,397.2457260131836
2500,367.8431118182837,378.30925223827364
2600,369.5139992842078,414.3516558408738
2700,371.3807037886977,409.42163758277894
2800,368.65422292158013,400.97280907630926
2900,368.0689582267402,424.77136793136594
3000,372.83917468897994,437.419811797142
3100,369.7949092435836,387.73714435100555
3200,372.2846813116967,399.1764226078988
3300,368.7035536198318,422.19119150638574
3400,367.8777827374639,387.76502349376676
3500,368.6187054166199,401.99231231212616
3600,371.78085530832425,381.9939642548561
3700,365.9297299069164,411.9735556602478
3800,368.98483109161253,421.79192456007
3900,371.1403179724514,383.16418237686156
4000,366.52579284772287,376.0204308748245
4100,365.34374202311045,386.84964084625244
4200,361.96172594308837,376.5991635560989
4300,369.48610340759154,385.9931799530983
4400,365.09220942020403,392.9231543540954
4500,371.2011918446423,428.57645888328557
4600,368.37932997629036,381.7869153738022
4700,370.5039816713334,383.3481221914292
4800,369.1416243569552,391.78938815593716
4900,369.31219878479845,404.15254913568504
5000,370.42486377239226,371.0641374111176
5100,371.2532555034756,385.89829897880554
5200,368.21866822138435,376.8471417486667
5300,373.6304555399717,371.0397804021835
5400,371.7449145124853,384.13258644342426
5500,370.8305100685359,383.75151640176773
5600,363.91163472644973,360.558442234993
5700,371.28046245068305,389.7281153678893
5800,366.8464455550907,403.3676844000817
5900,367.13024300098414,384.0546002864838
6000,367.5692064875364,392.7491560280323
6100,368.3638921390473,396.8041605949402
6200,366.401632487327,377.2649859905243
6300,370.2976596358419,412.5354638338089
6400,372.1611167707294,382.9352359890937
6500,365.6698942393064,381.42160897254945
6600,364.5229995049537,376.27341423034665
6700,370.49548041149984,389.20545785427095
6800,371.4213480982929,382.7037100076676
6900,367.68657823741444,384.3458022236825
7000,369.9606742227078,419.30865125656123
7100,371.30683050781477,389.5499781370163
7200,366.72829351514565,411.0767324209214
7300,368.8016721585395,370.94302478432655
7400,368.217106834948,414.4739960193635
7500,368.5526097357273,390.9727672338486
7600,369.4563352374733,419.16061482429507
7700,366.0777984541654,386.3359337091446
7800,371.7006578688325,384.29823195934296
7900,373.180904868841,431.7026848554611
8000,371.7118786767125,378.7049512147903
8100,372.5522508427501,402.9228389501572
8200,369.47485142216095,404.0019779205321
8300,368.2205453218519,425.68144261837006
8400,371.3016417911648,392.29165043830875
8500,367.25336301766333,366.2591735839843
8600,367.34623065918674,361.2094503164291
8700,371.76622387826427,406.5012543797493
8800,368.89284105077394,394.4301464855671
8900,368.8988805916906,415.39146776199334
9000,370.2973522754759,384.9205610990524
9100,371.69585404410964,371.78487863540647
9200,368.87864759951816,355.8484390974045
9300,369.46342251583945,382.97317337989807
9400,367.94027199238536,389.0492545068264
9500,370.22224391803144,385.1504713058472
9600,370.82203110367067,396.37739274501797
9700,367.70012208595875,396.9700823783875
9800,367.31014400899414,361.4780413627625
9900,373.7480717095734,390.98766585588453
10000,369.9791233876349,425.928026008606
10100,368.2033114108441,403.2864734649658
10200,369.24226816177367,394.3554551362991
10300,365.396609801948,410.6857324361801
10400,370.9185642528532,410.9736405611038
10500,371.9393258188665,384.52317292690276
10600,372.1704591687024,381.3494223237038
10700,372.94311630666266,416.27247717380527
10800,368.3605664515496,364.34064922332766
10900,370.0347754810751,412.77222280502315
11000,371.9129132431746,416.12091729640963
11100,368.41223339855674,398.4510146737099
11200,366.3031339044869,386.25264830589293
11300,366.43997918427,392.30418771505356
11400,368.42847998946905,427.34669213294984
11500,368.5955237662792,387.0012646198273
11600,370.6497935816646,420.01217534542087
11700,369.74344835340975,407.2722256720066
11800,366.3515424856544,418.56963667869564
11900,367.4360622382165,438.15871262550354
12000,363.8349897874893,408.6002823114394
12100,368.3808736623451,377.19778442978856
12200,371.7776195636393,392.3705350041389
12300,371.31487661033856,452.466683292389
12400,370.57501845508824,398.872352695465
12500,367.80575041502726,402.2717949390412
12600,368.75867022983743,366.42767465114594
12700,370.2354488870502,408.850331568718
12800,372.01080853551633,353.8699189662933
12900,368.3817673557997,447.5779809951782
13000,369.97323092937467,392.75657906532297
13100,368.9951721398532,403.5319503545761
13200,371.4180352452398,400.3552455902099
13300,368.92746545411654,421.2536430239677
13400,368.2887883087993,382.09467432498934
13500,367.03782077625385,410.0205510914326
13600,368.66181776002054,386.9074426651
13700,368.8331713181734,376.2071975469589
13800,371.74587635308507,416.014514952898
13900,367.73768052965397,387.8290495872497
14000,367.5047719374299,390.9654175698757
14100,372.2492931641638,418.2490848779679
14200,371.8853259301187,370.591101193428
14300,369.266515530348,369.67355470657355
14400,368.203970540315,376.80246970653536
14500,370.57153259530673,410.67890007495873
14600,369.713881241679,385.2734844923019
14700,368.7624573075771,402.41197181940083
14800,375.10166126191626,401.116047000885
14900,366.769888291508,383.36086027622224
15000,370.97016518443843,417.2509422302245
15100,367.038364252746,379.51270928382877
15200,370.7439631679655,402.49183317422876
15300,368.7756780634821,419.81266012191776
15400,366.39561490952974,390.7552162647247
15500,372.2505857779085,405.54121320247646
15600,369.78892597317673,394.2932604789734
15700,369.3958744361995,439.6890611410141
15800,371.8246030408144,416.101395457983
15900,369.0736887680739,411.54687652587893
16000,366.421225553602,406.25621675252916
16100,373.1765792790054,340.50323448181143
16200,365.8622196672856,402.6226521492004
16300,370.16079044520876,401.44807913303373
16400,369.5327899971605,370.0039772510529
16500,372.68161783665425,389.58247970938686
16600,367.92549427390094,381.6365348339081
16700,370.15133333384983,402.1577676057816
16800,370.0049871896208,394.42536141872404
16900,367.8550051426144,384.842185807228
17000,365.1572518083453,426.584924674034
17100,373.0379850924017,365.8608396768569
17200,368.58474311664713,408.73268309831616
17300,365.6284233814479,374.4152112007142
17400,371.88893117025503,402.1076516985893
17500,368.9755699524282,399.5161972284316
17600,369.3705758091807,432.98814371824267
17700,369.4230355316401,415.1325113534927
17800,370.06900120526535,364.13375034332273
17900,369.88070421174166,394.75929210186007
18000,367.62513389334094,421.9942400217056
18100,371.8585096138716,378.6199010372162
18200,368.0313862496615,402.5696729600429
18300,367.76212018020425,377.82715156078336
18400,370.0201763221623,420.9806963086129
18500,367.476502175331,415.88107553720477
18600,376.21630470708016,405.60086321830744
18700,370.4035537460447,389.6979960680008
18800,368.73534936845306,405.32759218215944
18900,367.7873711639641,408.98700830936434
19000,365.52301539823407,408.20480363368983
19100,367.5937374125419,383.2317798018455
19200,369.75024593204256,411.8659342527389
