Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YKL129C,YFL014W,1,11.944603,1.0,0.0009970089886337519,0.0
YLR319C,YMR175W,1,10.716071,1.0,0.0019940179772675037,0.0
YKL129C,YPL230W,1,10.308287,1.0,0.0029910269659012556,0.0
YER118C,YPL230W,1,10.063047,1.0,0.0039880359545350075,0.0
YMR092C,YOR208W,1,9.651384,1.0,0.004985044710338116,0.0
YER118C,YER062C,1,9.616976,1.0,0.005982053931802511,0.0
YER118C,YMR175W,1,9.388741,1.0,0.006979062687605619,0.0
YDR129C,YJL184W,1,9.050535,1.0,0.007976071909070015,0.0
YER118C,YJL144W,1,8.9883995,1.0,0.008973080664873123,0.0
YMR092C,YMR175W,1,8.939573,1.0,0.009970089420676231,0.0
YDR129C,YPL223C,1,8.917637,1.0,0.010967099107801914,0.0
YPL152W,YPL230W,1,8.913647,1.0,0.011964107863605022,0.0
YDR129C,YKL143W,1,8.77568,1.0,0.01296111661940813,0.0
YHR114W,YML131W,1,8.711479,1.0,0.013958125375211239,0.0
YKL129C,YDL022W,1,8.644333,1.0,0.014955134131014347,0.0
YKL129C,YDR162C,1,8.632832,1.0,0.01595214381814003,0.0
YOR181W,YBR014C,1,8.592779,1.0,0.016949152573943138,0.0
YKL129C,YPL240C,1,8.489913,1.0,0.017946161329746246,0.0
YMR092C,YGR008C,1,8.473642,1.0,0.018943170085549355,0.0
YLR319C,YML131W,1,8.451847,1.0,0.019940178841352463,0.0
YLR337C,YJL144W,1,8.394571,1.0,0.02093718759715557,0.0
YLR319C,YBR014C,1,8.275566,1.0,0.02193419821560383,0.0
YGL233W,YIL033C,0,8.093775,0.95652174949646,0.02193419821560383,0.00010003001079894602
YOR008C,YPR005C,1,7.946647,0.9583333134651184,0.022931206971406937,0.00010003001079894602
YBR234C,YIL107C,0,7.9345384,0.9200000166893005,0.022931206971406937,0.00020006002159789205
YKL129C,YLR362W,1,7.9318233,0.9230769276618958,0.023928215727210045,0.00020006002159789205
YLR319C,YDL022W,1,7.9102025,0.9259259104728699,0.024925224483013153,0.00020006002159789205
YPR075C,YML131W,1,7.908262,0.9285714030265808,0.02592223323881626,0.00020006002159789205
YMR092C,YPL180W,1,7.860723,0.931034505367279,0.02691924199461937,0.00020006002159789205
YOL062C,YOR287C,0,7.829139,0.8999999761581421,0.02691924199461937,0.00030009003239683807
YDR129C,YDL022W,1,7.8283734,0.9032257795333862,0.027916250750422478,0.00030009003239683807
YLR337C,YLR332W,1,7.7715745,0.90625,0.028913259506225586,0.00030009003239683807
YOR208W,YGR008C,1,7.741841,0.9090909361839294,0.029910268262028694,0.00030009003239683807
YOR008C,YGR008C,1,7.7190547,0.9117646813392639,0.03090727888047695,0.00030009003239683807
YPR075C,YPL230W,1,7.7183337,0.9142857193946838,0.03190428763628006,0.00030009003239683807
YLR337C,YPL152W,1,7.6741095,0.9166666865348816,0.03290129452943802,0.00030009003239683807
YBR287W,YNL274C,0,7.5189433,0.8918918967247009,0.03290129452943802,0.0004001200431957841
YBR056W,YDL150W,0,7.5150213,0.8684210777282715,0.03290129452943802,0.0005001500248908997
YCR009C,YPL180W,1,7.492721,0.8717948794364929,0.033898305147886276,0.0005001500248908997
YGL233W,YNR037C,0,7.474195,0.8500000238418579,0.033898305147886276,0.0006001800647936761
YDL010W,YJL144W,1,7.474025,0.8536585569381714,0.034895315766334534,0.0006001800647936761
YDR129C,YBR086C,1,7.4325404,0.8571428656578064,0.03589232265949249,0.0006001800647936761
YML131W,YJL144W,1,7.419759,0.8604651093482971,0.03688933327794075,0.0006001800647936761
YPL152W,YOR208W,1,7.4171224,0.8636363744735718,0.03788634017109871,0.0006001800647936761
YCR030C,YGL043W,0,7.4077387,0.8444444537162781,0.03788634017109871,0.0007002100464887917
