Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBR024W,YER145C,1,29.428524,1.0,0.000994035741314292,0.0
YJL056C,YOR332W,1,24.692778,1.0,0.001988071482628584,0.0
YOL002C,YDL142C,1,24.505674,1.0,0.0029821074567735195,0.0
YDL198C,YBR024W,1,24.361748,1.0,0.003976142965257168,0.0
YEL065W,YDR436W,1,24.127863,1.0,0.004970178939402103,0.0
YGL006W,YOR061W,1,24.061943,1.0,0.005964214913547039,0.0
YMR021C,YOR332W,1,23.647484,1.0,0.006958250422030687,0.0
YGL020C,YPL177C,1,23.018486,1.0,0.007952285930514336,0.0
YMR058W,YML132W,1,22.49239,1.0,0.008946321904659271,0.0
YOL002C,YDL198C,1,22.122913,1.0,0.009940357878804207,0.0
YJL056C,YBR127C,1,21.901266,1.0,0.010934393852949142,0.0
YLL051C,YGL155W,1,21.781868,1.0,0.011928429827094078,0.0
YHL047C,YER174C,1,21.746864,1.0,0.012922464869916439,0.0
YDR151C,YGR124W,0,21.735601,0.9285714030265808,0.012922464869916439,0.00010006003867601976
YDR436W,YDR492W,1,21.660227,0.9333333373069763,0.013916500844061375,0.00010006003867601976
YPL143W,YKL085W,0,21.645096,0.875,0.013916500844061375,0.00020012007735203952
YKL190W,YGR029W,1,21.422703,0.8823529481887817,0.01491053681820631,0.00020012007735203952
YGR020C,YGR092W,1,21.07687,0.8888888955116272,0.01590457186102867,0.00020012007735203952
YER174C,YGL020C,1,20.989643,0.8947368264198303,0.016898607835173607,0.00020012007735203952
YMR058W,YDR376W,1,20.841942,0.8999999761581421,0.017892643809318542,0.00020012007735203952
YBR037C,YJL056C,1,20.58566,0.9047619104385376,0.018886679783463478,0.00020012007735203952
YHR026W,YDR205W,1,20.52642,0.9090909361839294,0.019880715757608414,0.00020012007735203952
YBR036C,YJR040W,1,20.443478,0.9130434989929199,0.02087475173175335,0.00020012007735203952
YGR092W,YHR026W,1,20.371807,0.9166666865348816,0.021868787705898285,0.00020012007735203952
YOR061W,YOR332W,1,19.976055,0.9200000166893005,0.02286282368004322,0.00020012007735203952
YNL110C,YJR033C,0,19.66848,0.8846153616905212,0.02286282368004322,0.00030018010875210166
YHR039C-A,YOR054C,1,19.630516,0.8888888955116272,0.023856859654188156,0.00030018010875210166
YER174C,YOR316C,1,19.590881,0.8928571343421936,0.024850893765687943,0.00030018010875210166
YDR202C,YIL035C,1,19.340841,0.8965517282485962,0.025844929739832878,0.00030018010875210166
YBR036C,YOL002C,1,19.281067,0.8999999761581421,0.026838965713977814,0.00030018010875210166
YKL119C,YMR058W,1,19.20044,0.9032257795333862,0.02783300168812275,0.00030018010875210166
YCR024C-A,YGR132C,0,19.139141,0.875,0.02783300168812275,0.00040024015470407903
YHR060W,YPR036W,1,19.029533,0.8787878751754761,0.028827037662267685,0.00040024015470407903
YOR061W,YDL198C,1,18.907444,0.8823529481887817,0.02982107363641262,0.00040024015470407903
YEL065W,YLR447C,1,18.88456,0.8857142925262451,0.030815109610557556,0.00040024015470407903
YJL149W,YFR055W,0,18.77288,0.8611111044883728,0.030815109610557556,0.0005003002006560564
YOL158C,YDL142C,1,18.75285,0.8648648858070374,0.03180914372205734,0.0005003002006560564
YHR026W,YLR136C,1,18.694092,0.8684210777282715,0.03280318155884743,0.0005003002006560564
YJR059W,YOR226C,1,18.693398,0.8717948794364929,0.033797215670347214,0.0005003002006560564
YGR020C,YOL060C,1,18.572357,0.875,0.0347912535071373,0.0005003002006560564
YOR039W,YBR036C,1,18.570972,0.8780487775802612,0.035785287618637085,0.0005003002006560564
YDR202C,YEL031W,1,18.564148,0.8809523582458496,0.03677932545542717,0.0005003002006560564
YHR026W,YDR376W,1,18.487011,0.8837209343910217,0.037773359566926956,0.0005003002006560564
YDR055W,YGL162W,0,18.428173,0.8636363744735718,0.037773359566926956,0.0006003602175042033
YKL190W,YCR008W,1,18.369364,0.8666666746139526,0.03876739740371704,0.0006003602175042033
YJL008C,YHR104W,0,18.268421,0.8478260636329651,0.03876739740371704,0.0007004202343523502
YGR020C,YPL202C,1,18.236837,0.8510638475418091,0.03976143151521683,0.0007004202343523502
YMR021C,YOR270C,1,18.158466,0.8541666865348816,0.040755465626716614,0.0007004202343523502
YJR033C,YOL101C,1,18.137077,0.8571428656578064,0.0417495034635067,0.0007004202343523502
YEL031W,YML132W,1,18.118587,0.8600000143051147,0.042743537575006485,0.0007004202343523502
