Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YCL027W,YMR065W,1,9.471334,1.0,0.0009930486558005214,0.0
YNL279W,YCL027W,1,8.901395,1.0,0.0019860973116010427,0.0
YNL279W,YMR065W,1,8.887745,1.0,0.002979146083816886,0.0
YGL053W,YNR044W,1,8.504419,1.0,0.0039721946232020855,0.0
YCL027W,YBL016W,1,8.461862,1.0,0.004965243395417929,0.0
YCL055W,YCR089W,1,8.008206,1.0,0.005958292167633772,0.0
YJL170C,YNR044W,1,7.7559004,1.0,0.006951340474188328,0.0
YFL026W,YNR044W,1,7.724959,1.0,0.007944389246404171,0.0
YIL117C,YNR044W,1,7.62125,1.0,0.008937438018620014,0.0
YGL053W,YMR198W,1,7.4945316,1.0,0.009930486790835857,0.0
YCR089W,YMR232W,1,7.4375954,1.0,0.0109235355630517,0.0
YML085C,YJR086W,1,7.435296,1.0,0.011916584335267544,0.0
YMR232W,YCL027W,1,7.353988,1.0,0.012909632176160812,0.0
YJR086W,YNR044W,1,7.3290644,1.0,0.013902680948376656,0.0
YML085C,YNL053W,1,7.2516756,1.0,0.014895729720592499,0.0
YCL027W,YJL170C,1,7.0580497,1.0,0.015888778492808342,0.0
YIL140W,YPL266W,0,7.024194,0.9411764740943909,0.015888778492808342,0.00010007005039369687
YJR086W,YIL015W,1,6.984008,0.9444444179534912,0.016881827265024185,0.00010007005039369687
YMR305C,YHR005C,1,6.8341436,0.9473684430122375,0.01787487603724003,0.00010007005039369687
YML085C,YCL032W,1,6.6914983,0.949999988079071,0.01886792480945587,0.00010007005039369687
YGL053W,YMR065W,1,6.6800747,0.9523809552192688,0.019860973581671715,0.00010007005039369687
YML085C,YPR141C,1,6.657625,0.9545454382896423,0.020854022353887558,0.00010007005039369687
YFL026W,YMR305C,1,6.6410055,0.95652174949646,0.0218470711261034,0.00010007005039369687
YML085C,YGL089C,1,6.34016,0.9583333134651184,0.022840119898319244,0.00010007005039369687
YML085C,YGR238C,1,6.316925,0.9599999785423279,0.023833168670535088,0.00010007005039369687
YPR141C,YNL053W,1,6.23442,0.9615384340286255,0.02482621558010578,0.00010007005039369687
YFR008W,YJL080C,1,6.229671,0.9629629850387573,0.025819264352321625,0.00010007005039369687
YDR179C,YNR044W,1,6.2082825,0.9642857313156128,0.026812313124537468,0.00010007005039369687
YLR183C,YJL170C,0,6.1469917,0.931034505367279,0.026812313124537468,0.00020014010078739375
YJR086W,YJL157C,1,6.1354628,0.9333333373069763,0.02780536189675331,0.00020014010078739375
YJR004C,YNR044W,1,6.08723,0.9354838728904724,0.028798410668969154,0.00020014010078739375
YBL016W,YNR044W,1,6.024529,0.9375,0.029791459441184998,0.00020014010078739375
YJL157C,YNR044W,1,6.001516,0.939393937587738,0.03078450821340084,0.00020014010078739375
