Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGL031C,YER074W,1,30.648249,1.0,0.0009718172950670123,0.0
YLR344W,YLR185W,1,29.219036,1.0,0.0019436345901340246,0.0
YGL031C,YDR025W,1,28.798496,1.0,0.0029154520016163588,0.0
YML024W,YER131W,1,28.012627,1.0,0.0038872691802680492,0.0
YGR148C,YLR448W,1,27.954536,1.0,0.004859086591750383,0.0
YNL069C,YBL092W,1,26.681091,1.0,0.0058309040032327175,0.0
YML026C,YDL075W,1,26.531677,1.0,0.006802720949053764,0.0
YLR185W,YLR287C-A,1,26.367626,1.0,0.0077745383605360985,0.0
YGR148C,YGL031C,1,26.36375,1.0,0.008746355772018433,0.0
YDL191W,YMR230W,1,25.349514,1.0,0.009718173183500767,0.0
YDL083C,YBR181C,1,24.798592,1.0,0.010689990594983101,0.0
YDR471W,YML073C,1,24.522707,1.0,0.011661808006465435,0.0
YLR344W,YKL006W,1,23.78318,1.0,0.012633624486625195,0.0
YLR344W,YBL087C,1,23.622711,1.0,0.013605441898107529,0.0
YFR032C-A,YMR194W,1,23.506657,1.0,0.014577259309589863,0.0
YBR189W,YIL133C,1,23.288961,1.0,0.015549076721072197,0.0
YNL162W,YLR448W,1,23.14952,1.0,0.016520893201231956,0.0
YBR191W,YNL096C,1,23.144743,1.0,0.017492711544036865,0.0
YGL076C,YIL133C,1,22.774052,1.0,0.018464528024196625,0.0
YKL006W,YGL031C,1,22.772766,1.0,0.019436346367001534,0.0
YGR027C,YMR230W,1,22.594822,1.0,0.020408162847161293,0.0
YNL302C,YDL083C,1,22.531183,1.0,0.021379981189966202,0.0
YML024W,YDR471W,1,22.493996,1.0,0.02235179767012596,0.0
YHL001W,YER117W,1,22.41368,1.0,0.02332361601293087,0.0
YER131W,YGL103W,1,22.019447,1.0,0.02429543249309063,0.0
YPL143W,YMR143W,1,21.955004,1.0,0.02526724897325039,0.0
YHR010W,YHR021C,1,21.777617,1.0,0.026239067316055298,0.0
YMR194W,YBR181C,1,21.730011,1.0,0.027210883796215057,0.0
YOR293W,YKL180W,1,21.60869,1.0,0.028182702139019966,0.0
YER131W,YDR500C,1,21.602549,1.0,0.029154518619179726,0.0
