Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLR185W,YJL177W,1,21.87505,1.0,0.0009842519648373127,0.0
YBR191W,YOR234C,1,21.213552,1.0,0.0019685039296746254,0.0
YDL083C,YLR448W,1,21.21085,1.0,0.002952755894511938,0.0
YER074W,YLR448W,1,21.1763,1.0,0.003937007859349251,0.0
YNL302C,YHL001W,1,21.079628,1.0,0.0049212598241865635,0.0
YLR344W,YER131W,1,20.92698,1.0,0.005905511789023876,0.0
YGL031C,YHR021C,1,20.03789,1.0,0.006889763753861189,0.0
YLR448W,YHL001W,1,19.385721,1.0,0.007874015718698502,0.0
YLR333C,YNL302C,1,19.293571,1.0,0.008858268149197102,0.0
YLR344W,YKR094C,1,19.05332,1.0,0.009842519648373127,0.0
YER131W,YHL001W,1,18.819508,1.0,0.010826772078871727,0.0
YDR471W,YHL001W,1,18.634651,1.0,0.011811023578047752,0.0
YML026C,YHR010W,1,18.634012,1.0,0.012795276008546352,0.0
YOL120C,YPL143W,1,18.502314,1.0,0.013779527507722378,0.0
YBL087C,YER117W,1,18.328716,1.0,0.014763779938220978,0.0
YKL006W,YOR234C,1,18.307644,1.0,0.015748031437397003,0.0
YIL018W,YGR148C,1,18.280157,1.0,0.01673228293657303,0.0
YLR185W,YML073C,1,18.185719,1.0,0.017716536298394203,0.0
YLR061W,YDL083C,1,18.156761,1.0,0.01870078779757023,0.0
YOR234C,YHL001W,1,18.069023,1.0,0.019685039296746254,0.0
YHR021C,YDL075W,1,18.026386,1.0,0.02066929079592228,0.0
YBL072C,YMR142C,1,17.987255,1.0,0.021653544157743454,0.0
YOR234C,YDR471W,1,17.881287,1.0,0.02263779565691948,0.0
YKL006W,YGL189C,1,17.839798,1.0,0.023622047156095505,0.0
YGR027C,YNL096C,1,17.793396,1.0,0.02460629865527153,0.0
YMR143W,YER131W,1,17.722136,1.0,0.025590552017092705,0.0
YBL087C,YOR182C,1,17.716133,1.0,0.02657480351626873,0.0
YBR191W,YDL191W,1,17.712715,1.0,0.027559055015444756,0.0
YNL069C,YHR010W,1,17.690283,1.0,0.02854330651462078,0.0
YPR043W,YER074W,1,17.640377,1.0,0.029527559876441956,0.0
YIL133C,YLR048W,1,17.46537,1.0,0.03051181137561798,0.0
YER131W,YMR230W,1,17.456001,1.0,0.031496062874794006,0.0
YML026C,YER074W,1,17.434061,1.0,0.03248031437397003,0.0
YBR191W,YER117W,1,17.394424,1.0,0.03346456587314606,0.0
YBR189W,YHL001W,1,17.37619,1.0,0.03444881737232208,0.0
YOL127W,YLR333C,1,17.281664,1.0,0.035433072596788406,0.0
YNL301C,YPL079W,1,17.216387,1.0,0.03641732409596443,0.0
YDR237W,YDL081C,1,17.198654,1.0,0.03740157559514046,0.0
YML073C,YDR471W,1,17.089655,1.0,0.03838582709431648,0.0
YPL143W,YER117W,1,17.074791,1.0,0.03937007859349251,0.0
YBR191W,YDR471W,1,17.043695,1.0,0.04035433009266853,0.0
YOR293W,YFR032C-A,1,17.025045,1.0,0.04133858159184456,0.0
YLR448W,YDL130W,1,16.942213,1.0,0.042322833091020584,0.0
YJL177W,YHR010W,1,16.937386,1.0,0.04330708831548691,0.0
YJL136C,YGR027C,1,16.898941,1.0,0.04429133981466293,0.0
YIL133C,YER074W,1,16.878727,1.0,0.04527559131383896,0.0
YGL068W,YLR264W,1,16.851746,1.0,0.046259842813014984,0.0
YML026C,YMR142C,1,16.837736,1.0,0.04724409431219101,0.0
YOR096W,YGR214W,1,16.688938,1.0,0.048228345811367035,0.0
YPR043W,YML073C,1,16.666496,1.0,0.04921259731054306,0.0
YGL031C,YNL301C,1,16.60843,1.0,0.050196848809719086,0.0
YJL189W,YML073C,1,16.548012,1.0,0.05118110403418541,0.0
YKL006W,YNL162W,1,16.446861,1.0,0.052165355533361435,0.0
YMR230W,YOR293W,1,16.410345,1.0,0.05314960703253746,0.0
YMR143W,YDR471W,1,16.192822,1.0,0.054133858531713486,0.0
YOR096W,YPR132W,1,16.155502,1.0,0.05511811003088951,0.0
YLR287C-A,YPL079W,1,16.129358,1.0,0.056102361530065536,0.0
YNL096C,YOR312C,1,16.038338,1.0,0.05708661302924156,0.0
YMR188C,YOR096W,1,16.014252,1.0,0.05807086452841759,0.0
YDL130W,YGL189C,1,15.994697,1.0,0.05905511975288391,0.0
YIL133C,YMR143W,1,15.991502,1.0,0.060039371252059937,0.0
YDR237W,YGR148C,1,15.991414,1.0,0.06102362275123596,0.0
YJL177W,YDL082W,1,15.944953,1.0,0.06200787425041199,0.0
YMR194W,YPL143W,1,15.895154,1.0,0.06299212574958801,0.0
YMR194W,YBR084C-A,1,15.815387,1.0,0.06397637724876404,0.0
YOR096W,YBL092W,1,15.812486,1.0,0.06496062874794006,0.0
YLR061W,YFR031C-A,1,15.748054,1.0,0.06594488024711609,0.0
YMR194W,YLR406C,1,15.731666,1.0,0.06692913174629211,0.0
YLR344W,YBR181C,1,15.72243,1.0,0.06791338324546814,0.0
YDR237W,YHL001W,1,15.687282,1.0,0.06889763474464417,0.0
YOR293W,YMR242C,1,15.669215,1.0,0.06988188624382019,0.0
YHR021C,YDL130W,1,15.645141,1.0,0.07086614519357681,0.0
YDR064W,YFL034C-A,1,15.624553,1.0,0.07185039669275284,0.0
YOL127W,YNL096C,1,15.562524,1.0,0.07283464819192886,0.0
YOR234C,YFR031C-A,1,15.515485,1.0,0.07381889969110489,0.0
YNL178W,YKL138C,1,15.512473,1.0,0.07480315119028091,0.0
YDR500C,YKR057W,1,15.4948,1.0,0.07578740268945694,0.0
YMR143W,YBL027W,1,15.486939,1.0,0.07677165418863297,0.0
YKL006W,YGR214W,1,15.485647,1.0,0.07775590568780899,0.0
YKL138C,YOR293W,1,15.473457,1.0,0.07874015718698502,0.0
YLR185W,YMR143W,1,15.4629965,1.0,0.07972440868616104,0.0
YJL189W,YKR057W,1,15.456363,1.0,0.08070866018533707,0.0
YBR048W,YKL156W,1,15.434103,1.0,0.08169291168451309,0.0
YBR181C,YML026C,1,15.413238,1.0,0.08267716318368912,0.0
YDR237W,YBL092W,1,15.3881035,1.0,0.08366141468286514,0.0
YOR234C,YLR441C,1,15.373569,1.0,0.08464566618204117,0.0
YOR293W,YPL090C,1,15.370504,1.0,0.0856299176812172,0.0
YPR132W,YER131W,1,15.368626,1.0,0.08661417663097382,0.0
YGR118W,YER117W,1,15.361081,1.0,0.08759842813014984,0.0
YOR158W,YDR418W,1,15.345849,1.0,0.08858267962932587,0.0
YBL087C,YDR447C,1,15.3395815,1.0,0.08956693112850189,0.0
YJR145C,YPR043W,1,15.306864,1.0,0.09055118262767792,0.0
YOL039W,YIL052C,1,15.298351,1.0,0.09153543412685394,0.0
YJL096W,YDL081C,1,15.269795,1.0,0.09251968562602997,0.0
YIL018W,YDL136W,1,15.248476,1.0,0.093503937125206,0.0
YOR096W,YNL185C,1,15.245677,1.0,0.09448818862438202,0.0
YIL052C,YER074W,1,15.242265,1.0,0.09547244012355804,0.0
YNL178W,YBL072C,1,15.234111,1.0,0.09645669162273407,0.0
YIL018W,YFR031C-A,1,15.21783,1.0,0.0974409431219101,0.0
YPR102C,YOR369C,1,15.210898,1.0,0.09842519462108612,0.0
YGL076C,YKL138C,1,15.166089,1.0,0.09940944612026215,0.0
YPL143W,YDR471W,1,15.161235,1.0,0.10039369761943817,0.0
YGL103W,YIL052C,1,15.155944,1.0,0.1013779491186142,0.0
YIL148W,YKR057W,1,15.137879,1.0,0.10236220806837082,0.0
YKL170W,YNL162W,1,15.0893545,1.0,0.10334645956754684,0.0
YLR448W,YCR046C,1,15.051708,1.0,0.10433071106672287,0.0
YNL178W,YOR293W,1,15.000411,1.0,0.1053149625658989,0.0
YLR185W,YDR064W,1,14.994374,1.0,0.10629921406507492,0.0
YEL050C,YMR242C,1,14.944472,1.0,0.10728346556425095,0.0
YKL138C,YLR264W,1,14.93863,1.0,0.10826771706342697,0.0
YJR145C,YPR102C,1,14.886675,1.0,0.109251968562603,0.0
YGR085C,YPR102C,1,14.869071,1.0,0.11023622006177902,0.0
YKL180W,YKR057W,1,14.845413,1.0,0.11122047156095505,0.0
YBR251W,YBL072C,1,14.770971,1.0,0.11220472306013107,0.0
YER131W,YPR102C,1,14.756722,1.0,0.1131889745593071,0.0
YDR237W,YOL120C,1,14.72408,1.0,0.11417322605848312,0.0
YHR141C,YOR234C,1,14.71627,1.0,0.11515747755765915,0.0
