Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YOR234C,YDR450W,0,2.9370959,0.0,0.0,0.00010024057701230049
YJR042W,YMR268C,1,2.6873868,0.5,0.0009765625,0.00010024057701230049
YKL156W,YKL006W,0,2.5637197,0.3333333432674408,0.0009765625,0.00020048115402460098
YLR048W,YER044C-A,0,2.3585505,0.25,0.0009765625,0.0003007217310369015
YOR312C,YDL082W,0,2.184627,0.20000000298023224,0.0009765625,0.00040096230804920197
YDR447C,YGL076C,0,2.1040087,0.1666666716337204,0.0009765625,0.0005012028850615025
YDL075W,YNL096C,0,2.052987,0.1428571492433548,0.0009765625,0.000601443462073803
YML093W,YDR091C,0,1.9194868,0.125,0.0009765625,0.0007016840390861034
YDR012W,YLR333C,0,1.9061327,0.1111111119389534,0.0009765625,0.0008019246160984039
YER056C-A,YOR312C,0,1.896713,0.10000000149011612,0.0009765625,0.0009021651931107044
YDR397C,YER044C-A,0,1.8412031,0.09090909361839294,0.0009765625,0.001002405770123005
YPL283C,YAL021C,0,1.8179018,0.0833333358168602,0.0009765625,0.0011026463471353054
YGL189C,YOR369C,0,1.7666173,0.07692307978868484,0.0009765625,0.001202886924147606
YPL212C,YDR120C,1,1.6180336,0.1428571492433548,0.001953125,0.001202886924147606
YIR019C,YCR024C-A,0,1.5964551,0.13333334028720856,0.001953125,0.0013031275011599064
YER126C,YGR245C,0,1.5948887,0.125,0.001953125,0.0014033680781722069
YMR217W,YDR037W,0,1.5611112,0.11764705926179886,0.001953125,0.0015036086551845074
YPL086C,YML080W,1,1.5391467,0.1666666716337204,0.0029296875,0.0015036086551845074
YMR221C,YIL038C,0,1.5124681,0.15789473056793213,0.0029296875,0.0016038492321968079
YPR108W,YCR088W,0,1.4968741,0.15000000596046448,0.0029296875,0.0017040898092091084
YJL110C,YOR241W,0,1.4854712,0.1428571492433548,0.0029296875,0.0018043303862214088
YDR380W,YKL100C,0,1.4851681,0.13636364042758942,0.0029296875,0.0019045709632337093
YPL037C,YOL120C,0,1.4782443,0.1304347813129425,0.0029296875,0.00200481154024601
YLR430W,YAR014C,1,1.4755868,0.1666666716337204,0.00390625,0.00200481154024601
YIL110W,YHR143W-A,0,1.4722426,0.1599999964237213,0.00390625,0.0021050521172583103
YHR193C,YML063W,0,1.4710293,0.1538461595773697,0.00390625,0.002205292694270611
YGL206C,YER089C,0,1.464935,0.14814814925193787,0.00390625,0.0023055332712829113
YGR094W,YBR024W,0,1.4343243,0.1428571492433548,0.00390625,0.002405773848295212
YPR005C,YLR174W,0,1.4321526,0.13793103396892548,0.00390625,0.0025060144253075123
YGR029W,YKL006C-A,0,1.4051763,0.13333334028720856,0.00390625,0.0026062550023198128
YMR297W,YCL035C,0,1.4045831,0.12903225421905518,0.00390625,0.0027064955793321133
YDR119W,YKL209C,0,1.404033,0.125,0.00390625,0.0028067361563444138
YKL027W,YBL018C,0,1.4014285,0.12121212482452393,0.00390625,0.0029069767333567142
YJL050W,YPL146C,0,1.3993351,0.11764705926179886,0.00390625,0.0030072173103690147
YLR409C,YOR056C,0,1.3983297,0.11428571492433548,0.00390625,0.0031074578873813152
YCL030C,YOR241W,0,1.3872966,0.1111111119389534,0.00390625,0.0032076984643936157
YER056C-A,YHL015W,0,1.3829165,0.10810811072587967,0.00390625,0.003307939041405916
YML023C,YOR251C,1,1.3825414,0.1315789520740509,0.0048828125,0.003307939041405916
YNL094W,YGL076C,0,1.3803816,0.12820513546466827,0.0048828125,0.0034081796184182167
YBR149W,YBL064C,0,1.3765272,0.125,0.0048828125,0.003508420195430517
YLR401C,YCR047C,1,1.3680339,0.1463414579629898,0.005859375,0.003508420195430517
YDL014W,YLR197W,1,1.3639556,0.1666666716337204,0.0068359375,0.003508420195430517
YIL052C,YLR175W,0,1.3555955,0.1627907007932663,0.0068359375,0.0036086607724428177
YER091C,YJL104W,0,1.354078,0.15909090638160706,0.0068359375,0.003708901349455118
YBR126C,YBR280C,0,1.3536513,0.15555556118488312,0.0068359375,0.0038091419264674187
YLR038C,YDR529C,0,1.3498065,0.15217390656471252,0.0068359375,0.003909382503479719
YML022W,YNL096C,0,1.3406833,0.1489361673593521,0.0068359375,0.00400962308049202
YGR106C,YML024W,0,1.3394561,0.1458333283662796,0.0068359375,0.00410986365750432
YKR058W,YKL150W,0,1.324332,0.1428571492433548,0.0068359375,0.004210104234516621
YLR276C,YER082C,0,1.3242218,0.14000000059604645,0.0068359375,0.004310344811528921
YIR010W,YOR307C,0,1.3226264,0.13725490868091583,0.0068359375,0.004410585388541222
YHR096C,YDR330W,0,1.3214021,0.13461539149284363,0.0068359375,0.004510825965553522
YNL136W,YLR340W,0,1.3119345,0.1320754736661911,0.0068359375,0.004611066542565823
YHR106W,YLR345W,0,1.3073072,0.12962962687015533,0.0068359375,0.004711307119578123
YIL078W,YBR079C,0,1.304125,0.12727272510528564,0.0068359375,0.004811547696590424
YML060W,YMR215W,0,1.3008587,0.125,0.0068359375,0.004911788273602724
YGL008C,YKL073W,0,1.2997093,0.12280701845884323,0.0068359375,0.005012028850615025
YBR087W,YIL056W,0,1.2968426,0.12068965286016464,0.0068359375,0.005112269427627325
YER072W,YEL027W,0,1.2954905,0.11864406615495682,0.0068359375,0.0052125100046396255
YBR089C-A,YKL141W,0,1.2933702,0.11666666716337204,0.0068359375,0.005312750581651926
YCR072C,YGL171W,0,1.2896858,0.1147540956735611,0.0068359375,0.0054129911586642265
YNR046W,YDL201W,1,1.2888519,0.12903225421905518,0.0078125,0.0054129911586642265
YML124C,YJR001W,0,1.2841625,0.1269841343164444,0.0078125,0.005513231735676527
YKR018C,YDR045C,0,1.2831776,0.125,0.0078125,0.0056134723126888275
YML080W,YBR061C,1,1.2791768,0.13846154510974884,0.0087890625,0.0056134723126888275
YER029C,YDR412W,0,1.2716565,0.13636364042758942,0.0087890625,0.005713712889701128
YBR079C,YER006W,0,1.2715895,0.13432836532592773,0.0087890625,0.0058139534667134285
YNL002C,YOR096W,0,1.2621976,0.13235294818878174,0.0087890625,0.005914194043725729
YFL001W,YNL095C,1,1.2589482,0.14492753148078918,0.009765625,0.005914194043725729
YIL099W,YMR135C,0,1.2559946,0.1428571492433548,0.009765625,0.0060144346207380295
YOR383C,YML022W,0,1.2555852,0.14084507524967194,0.009765625,0.00611467519775033
YNL094W,YPR016C,0,1.2521534,0.1388888955116272,0.009765625,0.0062149157747626305
YCL054W,YJL208C,0,1.2489369,0.13698630034923553,0.009765625,0.006315156351774931
YJL189W,YFL034C-A,0,1.2474821,0.13513512909412384,0.009765625,0.0064153969287872314
YOL139C,YHR141C,0,1.2457589,0.13333334028720856,0.009765625,0.006515637505799532
YDL112W,YDL030W,1,1.245359,0.14473684132099152,0.0107421875,0.006515637505799532
YOL126C,YDR025W,0,1.2416558,0.1428571492433548,0.0107421875,0.006615878082811832
YNL095C,YNR015W,1,1.2410939,0.1538461595773697,0.01171875,0.006615878082811832
YOL149W,YAL023C,0,1.2389927,0.15189872682094574,0.01171875,0.006716118659824133
YDL051W,YDR300C,0,1.236818,0.15000000596046448,0.01171875,0.006816359236836433
YMR215W,YHR167W,0,1.2322758,0.14814814925193787,0.01171875,0.006916599813848734
YDL184C,YNL162W,0,1.2296308,0.1463414579629898,0.01171875,0.007016840390861034
YER011W,YML063W,0,1.2289839,0.14457830786705017,0.01171875,0.007117080967873335
YGL032C,YBR283C,0,1.2269512,0.1428571492433548,0.01171875,0.007217321544885635
YOR116C,YAR019C,0,1.2252823,0.1411764770746231,0.01171875,0.007317562121897936
YPR137W,YLR197W,1,1.2239927,0.151162788271904,0.0126953125,0.007317562121897936
YDL075W,YEL026W,0,1.2187023,0.14942528307437897,0.0126953125,0.007417802698910236
YCL059C,YGL125W,0,1.2172724,0.14772726595401764,0.0126953125,0.007518043275922537
YPL049C,YPL048W,0,1.213512,0.14606741070747375,0.0126953125,0.007618283852934837
YDL014W,YCR047C,1,1.2134761,0.15555556118488312,0.013671875,0.007618283852934837
YGL095C,YBR121C,0,1.2134129,0.1538461595773697,0.013671875,0.007718524429947138
YPR137W,YCR054C,1,1.2091899,0.16304348409175873,0.0146484375,0.007718524429947138
YFL001W,YOL066C,1,1.2082386,0.17204301059246063,0.015625,0.007718524429947138
YDR324C,YJL198W,0,1.2044315,0.1702127605676651,0.015625,0.007818765006959438
YNR061C,YKL100C,0,1.202301,0.16842105984687805,0.015625,0.007919006049633026
YKL043W,YDR165W,0,1.2013534,0.1666666716337204,0.015625,0.00801924616098404
YJR015W,YKL112W,0,1.2010748,0.1649484485387802,0.015625,0.008119487203657627
YHR187W,YLR061W,0,1.2001699,0.16326530277729034,0.015625,0.00821972731500864
YBR175W,YER155C,0,1.1998605,0.16161616146564484,0.015625,0.008319968357682228
YLR384C,YLR175W,1,1.1930406,0.17000000178813934,0.0166015625,0.008319968357682228
YBR149W,YHL033C,0,1.192423,0.1683168262243271,0.0166015625,0.008420208469033241
YMR264W,YML031W,0,1.1898646,0.1666666716337204,0.0166015625,0.008520449511706829
YBR218C,YOR259C,0,1.1878399,0.1650485396385193,0.0166015625,0.008620689623057842
YPR098C,YIL038C,0,1.1872386,0.16346153616905212,0.0166015625,0.00872093066573143
YLR401C,YGR200C,1,1.1870387,0.17142857611179352,0.017578125,0.00872093066573143
YBR084W,YMR214W,0,1.1865085,0.16981132328510284,0.017578125,0.008821170777082443
YML106W,YMR230W,0,1.186049,0.1682243049144745,0.017578125,0.008921411819756031
YNL299W,YBR084W,0,1.1860417,0.1666666716337204,0.017578125,0.009021651931107044
YKL002W,YCR016W,0,1.1825727,0.1651376187801361,0.017578125,0.009121892973780632
YEL054C,YHR196W,0,1.1818264,0.16363635659217834,0.017578125,0.009222133085131645
YHL015W,YLR293C,0,1.1815567,0.1621621549129486,0.017578125,0.009322374127805233
YOR061W,YJL054W,1,1.1803381,0.1696428507566452,0.0185546875,0.009322374127805233
YNR001C,YDL124W,0,1.1803056,0.16814158856868744,0.0185546875,0.009422614239156246
YLR175W,YBR061C,1,1.1796491,0.17543859779834747,0.01953125,0.009422614239156246
YCL064C,YER102W,0,1.1787393,0.17391304671764374,0.01953125,0.009522855281829834
YMR165C,YIL148W,0,1.1755646,0.17241379618644714,0.01953125,0.009623095393180847
YOL125W,YJL125C,1,1.1733024,0.1794871836900711,0.0205078125,0.009623095393180847
YMR118C,YDL049C,0,1.1704738,0.17796610295772552,0.0205078125,0.009723336435854435
YGR106C,YNL113W,0,1.1688818,0.1764705926179886,0.0205078125,0.009823576547205448
YLL021W,YOL146W,0,1.168492,0.17499999701976776,0.0205078125,0.009923817589879036
YML113W,YDL201W,1,1.1658432,0.1818181872367859,0.021484375,0.009923817589879036
YDR516C,YNL134C,0,1.1610687,0.1803278625011444,0.021484375,0.01002405770123005
YJL196C,YNL310C,0,1.1608107,0.17886178195476532,0.021484375,0.010124298743903637
YGR200C,YBR248C,1,1.1605337,0.1854838728904724,0.0224609375,0.010124298743903637
YJL181W,YGR109C,0,1.159416,0.18400000035762787,0.0224609375,0.01022453885525465
YML058W,YBL024W,0,1.157375,0.1825396865606308,0.0224609375,0.010324779897928238
YDR087C,YPL004C,0,1.1545877,0.18110236525535583,0.0224609375,0.010425020009279251
YGR200C,YNR046W,1,1.1482587,0.1875,0.0234375,0.010425020009279251
YJR129C,YPR137W,1,1.1468334,0.19379845261573792,0.0244140625,0.010425020009279251
YNL094W,YDR382W,0,1.1466372,0.19230769574642181,0.0244140625,0.010525261051952839
YCR036W,YNL241C,0,1.1448339,0.19083969295024872,0.0244140625,0.010625501163303852
YDR060W,YLR405W,0,1.1442075,0.18939393758773804,0.0244140625,0.01072574220597744
YFR038W,YOR061W,1,1.1423576,0.19548872113227844,0.025390625,0.01072574220597744
YLR117C,YJR017C,0,1.1407505,0.19402985274791718,0.025390625,0.010825982317328453
YPR071W,YNL161W,0,1.1399226,0.192592591047287,0.025390625,0.01092622336000204
YBR283C,YER155C,0,1.1391519,0.19117647409439087,0.025390625,0.011026463471353054
YPL038W,YDL014W,1,1.1388417,0.19708029925823212,0.0263671875,0.011026463471353054
YKR086W,YNR024W,0,1.1356134,0.19565217196941376,0.0263671875,0.011126704514026642
YOR120W,YDL072C,0,1.1355245,0.1942446082830429,0.0263671875,0.011226944625377655
YPR137W,YBR061C,1,1.1330259,0.20000000298023224,0.02734375,0.011226944625377655
YDL082W,YMR100W,0,1.1300049,0.19858156144618988,0.02734375,0.011327185668051243
YDR037W,YPR141C,0,1.1282676,0.19718310236930847,0.02734375,0.011427425779402256
YML060W,YNR027W,0,1.1278694,0.1958041936159134,0.02734375,0.011527666822075844
YBR166C,YKL154W,0,1.126566,0.1944444477558136,0.02734375,0.011627906933426857
YIR010W,YNL256W,0,1.1259397,0.19310344755649567,0.02734375,0.011728147976100445
YGL192W,YHR089C,1,1.1249259,0.19863013923168182,0.0283203125,0.011728147976100445
YMR261C,YBR088C,0,1.1248347,0.1972789168357849,0.0283203125,0.011828388087451458
YNL002C,YPL126W,0,1.124773,0.19594594836235046,0.0283203125,0.011928629130125046
YDR101C,YNR043W,0,1.1245489,0.19463087618350983,0.0283203125,0.012028869241476059
YHR092C,YDR045C,0,1.1234298,0.19333332777023315,0.0283203125,0.012129110284149647
YER072W,YGR148C,0,1.1233081,0.19205297529697418,0.0283203125,0.01222935039550066
YMR014W,YGL195W,0,1.1211711,0.19078947603702545,0.0283203125,0.012329591438174248
YGL063W,YDR441C,1,1.1173885,0.19607843458652496,0.029296875,0.012329591438174248
YOR253W,YKL077W,0,1.1160167,0.19480518996715546,0.029296875,0.012429831549525261
YLR284C,YDL085W,0,1.1159984,0.19354838132858276,0.029296875,0.012530072592198849
YGL195W,YGL126W,0,1.1158009,0.19230769574642181,0.029296875,0.012630312703549862
YJL151C,YLR377C,0,1.1150548,0.19108280539512634,0.029296875,0.01273055374622345
YDR156W,YOL130W,1,1.1130381,0.19620253145694733,0.0302734375,0.01273055374622345
YGL064C,YPL207W,1,1.112555,0.2012578547000885,0.03125,0.01273055374622345
YML094W,YKL027W,0,1.111988,0.20000000298023224,0.03125,0.012830793857574463
YOL123W,YHR020W,0,1.1118431,0.19875776767730713,0.03125,0.01293103490024805
YDR148C,YCL033C,0,1.110698,0.1975308656692505,0.03125,0.013031275011599064
YOR130C,YBR166C,0,1.110687,0.19631901383399963,0.03125,0.013131516054272652
YMR192W,YOL012C,0,1.1057118,0.19512194395065308,0.03125,0.013231756165623665
YDR206W,YBR002C,1,1.1041962,0.20000000298023224,0.0322265625,0.013231756165623665
YGL029W,YLR413W,0,1.1038733,0.19879518449306488,0.0322265625,0.013331997208297253
YBR105C,YER086W,0,1.102952,0.19760479032993317,0.0322265625,0.013432237319648266
YJR065C,YOR210W,0,1.102774,0.1964285671710968,0.0322265625,0.013532478362321854
YDR265W,YOL012C,0,1.1027188,0.19526627659797668,0.0322265625,0.013632718473672867
YLR002C,YJR143C,0,1.1026913,0.19411765038967133,0.0322265625,0.013732959516346455
YLR003C,YDR382W,0,1.1011174,0.19298245012760162,0.0322265625,0.013833199627697468
YDR009W,YLR196W,0,1.1007631,0.19186046719551086,0.0322265625,0.013933440670371056
YML060W,YHR013C,0,1.1004138,0.19075144827365875,0.0322265625,0.014033680781722069
YMR292W,YDR300C,0,1.0978289,0.18965516984462738,0.0322265625,0.014133921824395657
YER115C,YDR364C,1,1.0977399,0.19428572058677673,0.033203125,0.014133921824395657
YDL112W,YJL035C,1,1.0974352,0.19886364042758942,0.0341796875,0.014133921824395657
YIL044C,YMR215W,0,1.0974345,0.1977401077747345,0.0341796875,0.01423416193574667
YIL138C,YBR009C,0,1.097007,0.19662921130657196,0.0341796875,0.014334402978420258
YLL021W,YOR094W,0,1.0956255,0.1955307275056839,0.0341796875,0.01443464308977127
YKL216W,YFL025C,0,1.0934396,0.1944444477558136,0.0341796875,0.014534884132444859
YGL139W,YDR122W,0,1.0922103,0.19337016344070435,0.0341796875,0.014635124243795872
YDR120C,YOL137W,1,1.0917574,0.19780220091342926,0.03515625,0.014635124243795872
YGR244C,YFR050C,0,1.0917165,0.19672131538391113,0.03515625,0.01473536528646946
YDR302W,YHR103W,0,1.0912085,0.19565217196941376,0.03515625,0.014835605397820473
YPL212C,YPL030W,1,1.0906175,0.20000000298023224,0.0361328125,0.014835605397820473
YCR047C,YOL093W,1,1.0897087,0.20430107414722443,0.037109375,0.014835605397820473
YLR175W,YOR306C,1,1.0879307,0.2085561454296112,0.0380859375,0.014835605397820473
YCL059C,YNL125C,0,1.0876648,0.20744681358337402,0.0380859375,0.01493584644049406
YOL125W,YDL201W,1,1.0867729,0.21164020895957947,0.0390625,0.01493584644049406
YHL031C,YBL037W,0,1.0863714,0.21052631735801697,0.0390625,0.015036086551845074
YDL082W,YPR057W,0,1.0830584,0.20942407846450806,0.0390625,0.015136327594518661
YJR088C,YHL015W,0,1.0824602,0.2083333283662796,0.0390625,0.015236567705869675
YPL226W,YKL073W,0,1.0818944,0.20725388824939728,0.0390625,0.015336808748543262
YOR005C,YLR367W,0,1.0814122,0.20618556439876556,0.0390625,0.015437048859894276
YJL091C,YDL212W,0,1.0812874,0.20512820780277252,0.0390625,0.015537289902567863
YOL117W,YLR186W,0,1.0811942,0.20408163964748383,0.0390625,0.015637530013918877
YDL130W,YDR028C,0,1.0807756,0.20304568111896515,0.0390625,0.01573777012526989
YLR430W,YBR079C,0,1.0797997,0.20202019810676575,0.0390625,0.015838012099266052
YER061C,YOR224C,0,1.0797572,0.2010050266981125,0.0390625,0.015938252210617065
YHR206W,YPL074W,0,1.0794277,0.20000000298023224,0.0390625,0.01603849232196808
YDL112W,YDL043C,1,1.0792273,0.20398010313510895,0.0400390625,0.01603849232196808
YGR098C,YJR042W,0,1.0787392,0.20297029614448547,0.0400390625,0.016138732433319092
YCR034W,YPL038W,0,1.0772351,0.2019704431295395,0.0400390625,0.016238974407315254
YDR298C,YML042W,0,1.0771155,0.20098039507865906,0.0400390625,0.016339214518666267
YIL127C,YKR014C,0,1.076745,0.20000000298023224,0.0400390625,0.01643945463001728
YBL017C,YPL217C,0,1.076152,0.1990291327238083,0.0400390625,0.016539694741368294
YDL134C,YML057W,0,1.0759019,0.19806763529777527,0.0400390625,0.016639936715364456
YER062C,YDR041W,0,1.0756675,0.19711539149284363,0.0400390625,0.01674017682671547
YJR089W,YMR153W,0,1.0752925,0.19617225229740143,0.0400390625,0.016840416938066483
YML046W,YDR190C,0,1.0744197,0.19523809850215912,0.0400390625,0.016940657049417496
YOR329C,YJR044C,0,1.0735714,0.19431279599666595,0.0400390625,0.017040899023413658
YHR143W-A,YOR229W,0,1.073473,0.19339622557163239,0.0400390625,0.01714113913476467
YPL063W,YAL003W,0,1.0728195,0.19248826801776886,0.0400390625,0.017241379246115685
YPR183W,YDR487C,0,1.0715222,0.19158878922462463,0.0400390625,0.017341619357466698
YOR375C,YJR045C,0,1.0714791,0.19069766998291016,0.0400390625,0.01744186133146286
YGL187C,YBR068C,0,1.070849,0.18981482088565826,0.0400390625,0.017542101442813873
YEL003W,YGL151W,0,1.0708467,0.18894009292125702,0.0400390625,0.017642341554164886
YBR154C,YBL018C,0,1.0697888,0.18807339668273926,0.0400390625,0.0177425816655159
YML026C,YLR293C,0,1.0697672,0.18721461296081543,0.0400390625,0.017842823639512062
YKL055C,YGL211W,0,1.0695755,0.18636363744735718,0.0400390625,0.017943063750863075
YCL030C,YPR133C,0,1.0689696,0.18552036583423615,0.0400390625,0.01804330386221409
YBL087C,YJL148W,0,1.0688375,0.18468467891216278,0.0400390625,0.0181435439735651
YHR170W,YBR092C,0,1.0683819,0.18385650217533112,0.0400390625,0.018243785947561264
YDR311W,YHR123W,0,1.0682329,0.1830357164144516,0.0400390625,0.018344026058912277
YHR014W,YPL161C,0,1.06797,0.18222221732139587,0.0400390625,0.01844426617026329
YFR036W,YNR046W,1,1.0665042,0.18584071099758148,0.041015625,0.01844426617026329
YKR049C,YLR201C,0,1.0664139,0.1850220263004303,0.041015625,0.018544506281614304
YKL143W,YDR045C,0,1.0661228,0.18421052396297455,0.041015625,0.018644748255610466
YDL014W,YOL140W,1,1.0658617,0.1877729296684265,0.0419921875,0.018644748255610466
YER127W,YBR214W,0,1.0647664,0.186956524848938,0.0419921875,0.01874498836696148
YDR037W,YMR156C,0,1.0646601,0.18614718317985535,0.0419921875,0.018845228478312492
YOR251C,YKR056W,1,1.0637263,0.18965516984462738,0.04296875,0.018845228478312492
YOR344C,YPL028W,0,1.0627455,0.18884120881557465,0.04296875,0.018945468589663506
YGL142C,YPL145C,0,1.0625846,0.18803419172763824,0.04296875,0.019045710563659668
YOR061W,YOR269W,1,1.0621592,0.19148936867713928,0.0439453125,0.019045710563659668
YFR024C-A,YDL147W,0,1.060082,0.1906779706478119,0.0439453125,0.01914595067501068
YOR014W,YDR322W,0,1.05976,0.18987341225147247,0.0439453125,0.019246190786361694
YKL216W,YGR271C-A,0,1.0582308,0.18907563388347626,0.0439453125,0.019346430897712708
YJL099W,YOL033W,0,1.0579753,0.1882845163345337,0.0439453125,0.01944667287170887
YML113W,YCR054C,1,1.0567443,0.19166666269302368,0.044921875,0.01944667287170887
YKL021C,YPL255W,0,1.0564089,0.19087137281894684,0.044921875,0.019546912983059883
YGL027C,YCR031C,0,1.0562097,0.1900826394557953,0.044921875,0.019647153094410896
YFR005C,YDL014W,0,1.0559617,0.18930041790008545,0.044921875,0.01974739320576191
YDL043C,YBR153W,1,1.0552026,0.19262294471263885,0.0458984375,0.01974739320576191
YMR285C,YNL046W,0,1.0549176,0.19183672964572906,0.0458984375,0.019847635179758072
YLR451W,YBL014C,0,1.0541027,0.19105690717697144,0.0458984375,0.019947875291109085
YHR063C,YJR064W,0,1.0540564,0.19028340280056,0.0458984375,0.0200481154024601
YBL006C,YGL173C,0,1.0539914,0.1895161271095276,0.0458984375,0.02014835551381111
YOR322C,YER124C,0,1.0539566,0.18875502049922943,0.0458984375,0.020248597487807274
YHR010W,YBR229C,0,1.0536256,0.18799999356269836,0.0458984375,0.020348837599158287
YLR038C,YOL061W,0,1.0534508,0.1872510015964508,0.0458984375,0.0204490777105093
YFR053C,YJL020C,0,1.0531669,0.1865079402923584,0.0458984375,0.020549317821860313
YKR025W,YHR108W,0,1.0519273,0.18577075004577637,0.0458984375,0.020649559795856476
YOL051W,YGL198W,0,1.0514436,0.18503937125205994,0.0458984375,0.02074979990720749
