Batch,Training Loss,Validation Loss
0,69.4251298904419,69.29629027843475
100,63.725877940654755,52.579646706581116
200,24.152406483888626,7.508389130234718
300,5.879712298512459,5.170516557991505
400,4.986595153808594,4.7777001187205315
500,4.635196108371019,4.784581623971462
600,4.463095806539059,4.294348619878292
700,4.40648690238595,5.016913823783398
800,4.14134830608964,3.836408443748951
900,4.110125612467527,3.8878660649061203
1000,4.140118729323149,4.011816084384918
1100,4.066870361566544,4.738425761461258
1200,4.061505775898695,4.130607061088085
1300,3.958562646061182,4.2085980251431465
1400,3.950867772102356,4.028185717761517
1500,3.9308009296655655,3.841067813336849
1600,3.8363710679113865,3.7871649861335754
1700,3.9582359082996845,3.80060363560915
1800,3.8509702160954475,3.975898325443268
1900,3.909984204918146,4.264950193464756
2000,3.8412269316613674,4.125578887760639
2100,3.812749322503805,3.6226195096969604
2200,3.8349846862256527,3.4583568572998047
2300,3.8033736310899258,3.7527399510145187
2400,3.7689729407429695,3.443894647061825
2500,3.8037882708013058,3.905297704041004
2600,3.776629999279976,3.846362829208374
2700,3.7760074511170387,3.7132567539811134
2800,3.7851298581808805,3.5789303109049797
2900,3.7748133651912212,3.5350144654512405
3000,3.6971372943371534,3.4373031184077263
3100,3.7228500489145517,3.725195825099945
3200,3.770625539124012,3.6264799907803535
3300,3.7362246941775084,3.609172962605953
3400,3.76292584836483,3.5600904002785683
3500,3.706337695941329,3.354453295469284
3600,3.7115245014429092,3.9992227405309677
3700,3.721050191670656,3.3109846338629723
3800,3.7351303566247225,4.192081540822983
3900,3.646526701748371,3.5466768220067024
4000,3.6789054926484823,3.5844534635543823
4100,3.6973276548087597,3.926687464118004
4200,3.658501146361232,3.575913645327091
4300,3.6428008191287518,3.9410655945539474
4400,3.670820305123925,3.5053620114922523
4500,3.668169055134058,3.852497562766075
4600,3.674898285418749,4.169094115495682
4700,3.661948285996914,3.548823595046997
4800,3.7053226456046104,4.161843955516815
4900,3.711427913978696,3.4910422936081886
5000,3.650549042969942,3.9347782358527184
5100,3.6914084255695343,3.9201629906892776
5200,3.70770107395947,3.795098215341568
5300,3.6362712867558002,3.6441561207175255
5400,3.604564579203725,3.6006060987710953
5500,3.623455995693803,3.86406984180212
5600,3.6540231220424175,3.8150890916585922
5700,3.6749268416315317,3.563941940665245
5800,3.66179645806551,3.8800665363669395
5900,3.64526479318738,3.404049649834633
