Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YHR001W,YHR016C,1,-1.8636633,1.0,0.0010000000474974513,0.0
YOR362C,YOL038W,0,-1.9220456,0.5,0.0010000000474974513,9.999999747378752e-05
YGR167W,YCR009C,1,-1.9826224,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YML004C,YBL058W,0,-2.2119727,0.5,0.0020000000949949026,0.00019999999494757503
YOR157C,YOR261C,0,-2.263204,0.4000000059604645,0.0020000000949949026,0.0003000000142492354
YDL019C,YBL007C,1,-2.3188396,0.5,0.003000000026077032,0.0003000000142492354
YBR059C,YDR490C,1,-2.3330727,0.5714285969734192,0.004000000189989805,0.0003000000142492354
YKL213C,YBL058W,0,-2.5707521,0.5,0.004000000189989805,0.00039999998989515007
YPR165W,YKR014C,1,-2.5716586,0.5555555820465088,0.004999999888241291,0.00039999998989515007
YJR125C,YHR001W,1,-2.6149855,0.6000000238418579,0.006000000052154064,0.00039999998989515007
YMR264W,YNL079C,0,-2.6470537,0.5454545617103577,0.006000000052154064,0.0005000000237487257
YGR167W,YBR109C,1,-2.693803,0.5833333134651184,0.007000000216066837,0.0005000000237487257
YDR490C,YKR014C,1,-2.7453992,0.6153846383094788,0.00800000037997961,0.0005000000237487257
YGR167W,YHR161C,1,-2.7588625,0.6428571343421936,0.008999999612569809,0.0005000000237487257
YGR231C,YOR035C,0,-2.7726603,0.6000000238418579,0.008999999612569809,0.0006000000284984708
YDL045C,YDL230W,0,-2.7801743,0.5625,0.008999999612569809,0.000699999975040555
YKL007W,YNL071W,0,-2.798524,0.529411792755127,0.008999999612569809,0.0007999999797903001
YGR167W,YDR177W,1,-2.8129396,0.5555555820465088,0.009999999776482582,0.0007999999797903001
YBR109C,YCR009C,1,-2.833768,0.5789473652839661,0.010999999940395355,0.0007999999797903001
YGR167W,YBL007C,1,-2.836113,0.6000000238418579,0.012000000104308128,0.0007999999797903001
YBR109C,YBL007C,1,-2.839402,0.6190476417541504,0.013000000268220901,0.0007999999797903001
YHR114W,YHR001W,1,-2.8471208,0.6363636255264282,0.014000000432133675,0.0007999999797903001
YBR059C,YGR167W,1,-2.8566604,0.6521739363670349,0.014999999664723873,0.0007999999797903001
YDR490C,YAL030W,1,-2.8845024,0.6666666865348816,0.01600000075995922,0.0007999999797903001
YDR375C,YJL104W,0,-2.8859499,0.6399999856948853,0.01600000075995922,0.0008999999845400453
YDL019C,YHR001W,1,-2.8927965,0.6538461446762085,0.017000000923871994,0.0008999999845400453
YBR059C,YIL002C,1,-2.8942811,0.6666666865348816,0.017999999225139618,0.0008999999845400453
YHR001W,YHR161C,1,-2.9042952,0.6785714030265808,0.01899999938905239,0.0008999999845400453
YDR490C,YOR329C,1,-2.93543,0.6896551847457886,0.019999999552965164,0.0008999999845400453
YPL270W,YBR193C,0,-2.9394636,0.6666666865348816,0.019999999552965164,0.0010000000474974513
YBR059C,YOR181W,1,-2.9501655,0.6774193644523621,0.020999999716877937,0.0010000000474974513
YBL047C,YGR241C,1,-2.9545646,0.6875,0.02199999988079071,0.0010000000474974513
YMR311C,YDR092W,0,-2.971216,0.6666666865348816,0.02199999988079071,0.0010999999940395355
YML132W,YDR486C,0,-2.9736924,0.6470588445663452,0.02199999988079071,0.0012000000569969416
YGR253C,YDR170C,0,-2.9736986,0.6285714507102966,0.02199999988079071,0.0013000000035390258
YJR125C,YCR009C,1,-2.9856083,0.6388888955116272,0.023000000044703484,0.0013000000035390258
YDL019C,YDR490C,1,-3.0032592,0.6486486196517944,0.024000000208616257,0.0013000000035390258
YDL019C,YGR086C,1,-3.004703,0.6578947305679321,0.02500000037252903,0.0013000000035390258
YPL084W,YHR004C,0,-3.0187001,0.6410256624221802,0.02500000037252903,0.00139999995008111
YLR206W,YHR001W,1,-3.0249457,0.6499999761581421,0.026000000536441803,0.00139999995008111
YDR005C,YCL017C,0,-3.0295045,0.6341463327407837,0.026000000536441803,0.001500000013038516
YGR167W,YDL019C,1,-3.0317852,0.6428571343421936,0.027000000700354576,0.001500000013038516
YHR114W,YBR109C,1,-3.0343513,0.6511628031730652,0.02800000086426735,0.001500000013038516
YCR009C,YAL030W,1,-3.0351434,0.6590909361839294,0.028999999165534973,0.001500000013038516
YDR177W,YOR089C,1,-3.0376747,0.6666666865348816,0.029999999329447746,0.001500000013038516
YCR009C,YNL093W,1,-3.0379214,0.6739130616188049,0.03099999949336052,0.001500000013038516
YNL020C,YDR490C,1,-3.042797,0.6808510422706604,0.03200000151991844,0.001500000013038516
YER125W,YGR241C,1,-3.0457544,0.6875,0.032999999821186066,0.001500000013038516
YKL190W,YPL059W,0,-3.0475893,0.6734693646430969,0.032999999821186066,0.0015999999595806003
YHR114W,YDR490C,1,-3.0550518,0.6800000071525574,0.03400000184774399,0.0015999999595806003
YDR036C,YDR177W,1,-3.0555916,0.686274528503418,0.03500000014901161,0.0015999999595806003
YNL106C,YMR109W,1,-3.0692642,0.692307710647583,0.035999998450279236,0.0015999999595806003
YBR059C,YGR241C,1,-3.0859385,0.698113203048706,0.03700000047683716,0.0015999999595806003
YBR059C,YHR073W,1,-3.0980272,0.7037037014961243,0.03799999877810478,0.0015999999595806003
YDR490C,YAR042W,1,-3.1036377,0.7090908885002136,0.039000000804662704,0.0015999999595806003
YBL047C,YKR014C,1,-3.1125145,0.7142857313156128,0.03999999910593033,0.0015999999595806003
YMR109W,YHR135C,1,-3.1179338,0.719298243522644,0.04100000113248825,0.0015999999595806003
YDR490C,YNL093W,1,-3.1192489,0.7241379022598267,0.041999999433755875,0.0015999999595806003
YDR490C,YOR089C,1,-3.1290796,0.7288135886192322,0.0430000014603138,0.0015999999595806003
YPR165W,YCR009C,1,-3.1303759,0.7333333492279053,0.04399999976158142,0.0015999999595806003
YIL124W,YOR122C,0,-3.1625113,0.7213114500045776,0.04399999976158142,0.0017000000225380063
YDL019C,YOR329C,1,-3.165548,0.725806474685669,0.04500000178813934,0.0017000000225380063
YKL213C,YDL076C,0,-3.1764255,0.7142857313156128,0.04500000178813934,0.0017999999690800905
YGR284C,YBR188C,0,-3.1830873,0.703125,0.04500000178813934,0.0019000000320374966
YER125W,YBL007C,1,-3.1986084,0.7076923251152039,0.04600000008940697,0.0019000000320374966
YDL019C,YCR009C,1,-3.224002,0.7121211886405945,0.04699999839067459,0.0019000000320374966
YBR059C,YDL019C,1,-3.227693,0.7164179086685181,0.04800000041723251,0.0019000000320374966
YDR036C,YIL002C,1,-3.2306154,0.720588207244873,0.04899999871850014,0.0019000000320374966
YCR009C,YKR014C,1,-3.233734,0.7246376872062683,0.05000000074505806,0.0019000000320374966
YIL068C,YDR328C,0,-3.2359688,0.7142857313156128,0.05000000074505806,0.0020000000949949026
YBR059C,YHR114W,1,-3.2448797,0.7183098793029785,0.050999999046325684,0.0020000000949949026
YLR109W,YOR157C,0,-3.2560017,0.7083333134651184,0.050999999046325684,0.002099999925121665
YBL047C,YJR125C,1,-3.2563293,0.7123287916183472,0.052000001072883606,0.002099999925121665
YPL127C,YPL179W,0,-3.2663238,0.7027027010917664,0.052000001072883606,0.002199999988079071
YBR059C,YNL020C,1,-3.2677007,0.7066666483879089,0.05299999937415123,0.002199999988079071
YHR001W,YCR009C,1,-3.270163,0.7105262875556946,0.05400000140070915,0.002199999988079071
YBR109C,YPR165W,1,-3.2771118,0.7142857313156128,0.054999999701976776,0.002199999988079071
YHR114W,YAR042W,1,-3.2852485,0.7179487347602844,0.0560000017285347,0.002199999988079071
YNL173C,YGL219C,0,-3.2864206,0.7088607549667358,0.0560000017285347,0.002300000051036477
YJR125C,YGR086C,1,-3.2930956,0.7124999761581421,0.05700000002980232,0.002300000051036477
YCR053W,YNL154C,1,-3.3062208,0.7160493731498718,0.057999998331069946,0.002300000051036477
YHR001W,YOR329C,1,-3.308233,0.7195122241973877,0.05900000035762787,0.002300000051036477
YLR206W,YER125W,1,-3.3084693,0.7228915691375732,0.05999999865889549,0.002300000051036477
YLR206W,YIL002C,1,-3.3121355,0.726190447807312,0.061000000685453415,0.002300000051036477
YNL084C,YAL030W,1,-3.3155692,0.729411780834198,0.06199999898672104,0.002300000051036477
YOL082W,YCL032W,0,-3.3215604,0.7209302186965942,0.06199999898672104,0.002400000113993883
YGR167W,YCL034W,1,-3.3290179,0.7241379022598267,0.06300000101327896,0.002400000113993883
YDL004W,YBL102W,0,-3.3295674,0.7159090638160706,0.06300000101327896,0.0024999999441206455
YNL020C,YHR161C,1,-3.3319764,0.7191011309623718,0.06400000303983688,0.0024999999441206455
YMR109W,YGR241C,1,-3.3354447,0.7222222089767456,0.06499999761581421,0.0024999999441206455
