Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGL031C,YKL180W,1,6.5739174,1.0,0.0010000000474974513,0.0
YGR148C,YLR441C,1,6.368213,1.0,0.0020000000949949026,0.0
YJL177W,YNL162W,1,6.242894,1.0,0.003000000026077032,0.0
YGL135W,YPL220W,1,6.10077,1.0,0.004000000189989805,0.0
YOL039W,YMR143W,1,6.01252,1.0,0.004999999888241291,0.0
YPL143W,YGL147C,1,5.9804554,1.0,0.006000000052154064,0.0
YLR185W,YNL162W,1,5.930284,1.0,0.007000000216066837,0.0
YJL177W,YDR471W,1,5.913368,1.0,0.00800000037997961,0.0
YGR085C,YLR333C,1,5.9130783,1.0,0.008999999612569809,0.0
YOL039W,YER131W,1,5.8906374,1.0,0.009999999776482582,0.0
YGR085C,YBR181C,1,5.8573675,1.0,0.010999999940395355,0.0
YML073C,YPL198W,1,5.8283834,1.0,0.012000000104308128,0.0
YDL061C,YMR142C,1,5.816845,1.0,0.013000000268220901,0.0
YBR048W,YOR369C,1,5.7555847,1.0,0.014000000432133675,0.0
YOL040C,YGL076C,1,5.744773,1.0,0.014999999664723873,0.0
YIL052C,YJR123W,1,5.696994,1.0,0.01600000075995922,0.0
YIL052C,YPL220W,1,5.680602,1.0,0.017000000923871994,0.0
YOL040C,YOR369C,1,5.619752,1.0,0.017999999225139618,0.0
YOR096W,YKL180W,1,5.6195183,1.0,0.01899999938905239,0.0
YJL190C,YGL076C,1,5.6089535,1.0,0.019999999552965164,0.0
YPL131W,YML073C,1,5.5845385,1.0,0.020999999716877937,0.0
YDL130W,YMR142C,1,5.5826087,1.0,0.02199999988079071,0.0
YGL103W,YJR123W,1,5.5666385,1.0,0.023000000044703484,0.0
YLR441C,YGR118W,1,5.5300407,1.0,0.024000000208616257,0.0
YDL083C,YNL162W,1,5.525398,1.0,0.02500000037252903,0.0
YHR010W,YML073C,1,5.419145,1.0,0.026000000536441803,0.0
YPL143W,YHR010W,1,5.401839,1.0,0.027000000700354576,0.0
YNL301C,YMR142C,1,5.335395,1.0,0.02800000086426735,0.0
YLR150W,YER131W,1,5.25625,1.0,0.028999999165534973,0.0
YIL133C,YGL031C,1,5.241827,1.0,0.029999999329447746,0.0
YGL123W,YGL147C,1,5.200623,1.0,0.03099999949336052,0.0
YJL136C,YPL198W,1,5.1517606,1.0,0.03200000151991844,0.0
YMR143W,YJR145C,1,4.9936295,1.0,0.032999999821186066,0.0
YDR471W,YKL006W,1,4.990507,1.0,0.03400000184774399,0.0
YBR048W,YLR344W,1,4.9400434,1.0,0.03500000014901161,0.0
YLR150W,YGR215W,1,4.9279084,1.0,0.035999998450279236,0.0
YPL143W,YJL096W,1,4.723524,1.0,0.03700000047683716,0.0
YLR150W,YGR085C,1,4.6564975,1.0,0.03799999877810478,0.0
YDL075W,YLR367W,1,4.6311874,1.0,0.039000000804662704,0.0
YJL190C,YJL138C,1,4.607664,1.0,0.03999999910593033,0.0
YMR242C,YER102W,1,4.60292,1.0,0.04100000113248825,0.0
YNL067W,YDR337W,1,4.5846815,1.0,0.041999999433755875,0.0
YJL191W,YKR057W,1,4.507734,1.0,0.0430000014603138,0.0
YMR230W,YBL072C,1,4.5053916,1.0,0.04399999976158142,0.0
YDL136W,YER102W,1,4.501422,1.0,0.04500000178813934,0.0
YDL191W,YBL087C,1,4.496467,1.0,0.04600000008940697,0.0
YDR471W,YMR142C,1,4.463506,1.0,0.04699999839067459,0.0
YNL301C,YLR325C,1,4.4589853,1.0,0.04800000041723251,0.0
YIL052C,YKL006W,1,4.449039,1.0,0.04899999871850014,0.0
YMR242C,YLR367W,1,4.3487525,1.0,0.05000000074505806,0.0
YKR057W,YKL006W,1,4.2768435,1.0,0.050999999046325684,0.0
YOR312C,YML073C,1,4.272626,1.0,0.052000001072883606,0.0
YNL067W,YLR439W,1,4.271176,1.0,0.05299999937415123,0.0
YJL190C,YIL093C,1,4.267244,1.0,0.05400000140070915,0.0
YGL103W,YPL131W,1,4.260967,1.0,0.054999999701976776,0.0
YMR242C,YKL003C,1,4.2537937,1.0,0.0560000017285347,0.0
YLR388W,YHL004W,1,4.2051854,1.0,0.05700000002980232,0.0
YJR123W,YLR333C,1,4.204191,1.0,0.057999998331069946,0.0
YNL067W,YNL162W,1,4.199896,1.0,0.05900000035762787,0.0
YLR333C,YER102W,1,4.143983,1.0,0.05999999865889549,0.0
YOR096W,YLR344W,1,4.1269403,1.0,0.061000000685453415,0.0
YBR031W,YLR344W,1,4.0967207,1.0,0.06199999898672104,0.0
YPL131W,YLR367W,1,4.091775,1.0,0.06300000101327896,0.0
YDR447C,YKL006W,1,4.0876074,1.0,0.06400000303983688,0.0
YIL133C,YDL061C,1,4.0749006,1.0,0.06499999761581421,0.0
YGL031C,YDR450W,1,4.052376,1.0,0.06599999964237213,0.0
YGL135W,YER131W,1,4.046435,1.0,0.06700000166893005,0.0
YBR191W,YMR142C,1,4.029068,1.0,0.06800000369548798,0.0
YHL001W,YOR312C,1,4.011978,1.0,0.0689999982714653,0.0
YDL191W,YCR071C,1,4.000606,1.0,0.07000000029802322,0.0
YNL178W,YGR118W,1,3.9952023,1.0,0.07100000232458115,0.0
YLR185W,YER102W,1,3.968414,1.0,0.07199999690055847,0.0
YIL148W,YLR340W,1,3.960522,1.0,0.0729999989271164,0.0
YGR118W,YKL081W,1,3.941313,1.0,0.07400000095367432,0.0
YLR150W,YML073C,1,3.932639,1.0,0.07500000298023224,0.0
YNL067W,YGL076C,1,3.9268043,1.0,0.07599999755620956,0.0
YER117W,YHL001W,1,3.9004562,1.0,0.07699999958276749,0.0
YER131W,YPR166C,1,3.879398,1.0,0.07800000160932541,0.0
YNL302C,YBL072C,1,3.8725684,1.0,0.07900000363588333,0.0
YJL190C,YLR150W,1,3.8672435,1.0,0.07999999821186066,0.0
YOR167C,YER102W,1,3.8653333,1.0,0.08100000023841858,0.0
YLR185W,YDR500C,1,3.865043,1.0,0.0820000022649765,0.0
YLR367W,YJR145C,1,3.8599164,1.0,0.08299999684095383,0.0
YDR500C,YPL090C,1,3.8378856,1.0,0.08399999886751175,0.0
YBL092W,YOL121C,1,3.8181665,1.0,0.08500000089406967,0.0
YKL006W,YML063W,1,3.782438,1.0,0.0860000029206276,0.0
YOR312C,YGL031C,1,3.740948,1.0,0.08699999749660492,0.0
YMR242C,YBR251W,1,3.7370298,1.0,0.08799999952316284,0.0
YJL177W,YOR167C,1,3.733713,1.0,0.08900000154972076,0.0
YER117W,YDL130W,1,3.7329214,1.0,0.09000000357627869,0.0
YML026C,YOR167C,1,3.7322843,1.0,0.09099999815225601,0.0
YKR094C,YJL063C,1,3.7308538,1.0,0.09200000017881393,0.0
YGR148C,YDR450W,1,3.7247694,1.0,0.09300000220537186,0.0
YBR189W,YDR500C,1,3.7170408,1.0,0.09399999678134918,0.0
YBR048W,YGL076C,1,3.6830752,1.0,0.0949999988079071,0.0
YJL096W,YLR325C,1,3.6697586,1.0,0.09600000083446503,0.0
YIL148W,YML063W,1,3.6612346,1.0,0.09700000286102295,0.0
YBL072C,YOR158W,1,3.6541107,1.0,0.09799999743700027,0.0
YGL123W,YLR340W,1,3.6405659,1.0,0.0989999994635582,0.0
YJL136C,YPL118W,1,3.629668,1.0,0.10000000149011612,0.0
YOL120C,YGR084C,1,3.6275938,1.0,0.10100000351667404,0.0
YGR034W,YBL072C,1,3.619353,1.0,0.10199999809265137,0.0
YDL083C,YMR193W,1,3.6076648,1.0,0.10300000011920929,0.0
YHR010W,YDR337W,1,3.5722935,1.0,0.10400000214576721,0.0
YBL092W,YHL004W,1,3.5408294,1.0,0.10499999672174454,0.0
YDL191W,YDR447C,1,3.53527,1.0,0.10599999874830246,0.0
YOR369C,YLR367W,1,3.5072358,1.0,0.10700000077486038,0.0
YGR118W,YOR167C,1,3.4930685,1.0,0.1080000028014183,0.0
YJL190C,YNL306W,1,3.4727428,1.0,0.10899999737739563,0.0
YNL067W,YPL118W,1,3.469083,1.0,0.10999999940395355,0.0
YMR242C,YNL177C,1,3.46784,1.0,0.11100000143051147,0.0
YCR003W,YJR145C,1,3.4552438,1.0,0.1120000034570694,0.0
YDR471W,YBR251W,1,3.4238234,1.0,0.11299999803304672,0.0
YGL068W,YJR145C,1,3.3794086,1.0,0.11400000005960464,0.0
YDR471W,YBR181C,1,3.3692718,1.0,0.11500000208616257,0.0
YNL306W,YOL040C,1,3.3649528,1.0,0.11599999666213989,0.0
YNL067W,YNL137C,1,3.3631692,1.0,0.11699999868869781,0.0
YER117W,YLR333C,1,3.3502338,1.0,0.11800000071525574,0.0
YDL081C,YPL037C,1,3.3484232,1.0,0.11900000274181366,0.0
YKR006C,YMR242C,1,3.3472052,1.0,0.11999999731779099,0.0
YBR084C-A,YPL090C,1,3.295564,1.0,0.12099999934434891,0.0
YGL147C,YPL118W,1,3.2801461,1.0,0.12200000137090683,0.0
YNL069C,YKL081W,1,3.2784307,1.0,0.12300000339746475,0.0
YJL190C,YJL063C,1,3.2646253,1.0,0.12399999797344208,0.0
YJR123W,YPL037C,1,3.2452564,1.0,0.125,0.0
YDL184C,YML073C,1,3.239683,1.0,0.12600000202655792,0.0
YDL083C,YKL003C,1,3.2313368,1.0,0.12700000405311584,0.0
YNL067W,YKL003C,1,3.2255888,1.0,0.12800000607967377,0.0
YMR193W,YNL301C,1,3.2229707,1.0,0.1289999932050705,0.0
YGL030W,YLR344W,1,3.2169967,1.0,0.12999999523162842,0.0
YLR185W,YER117W,1,3.2112362,1.0,0.13099999725818634,0.0
YIL018W,YHL015W,1,3.1975002,1.0,0.13199999928474426,0.0
YDL075W,YOL121C,1,3.1937559,1.0,0.13300000131130219,0.0
YBL092W,YBR181C,1,3.1935415,1.0,0.1340000033378601,0.0
YGL068W,YLR249W,1,3.1883588,1.0,0.13500000536441803,0.0
YBR048W,YKL081W,1,3.1454332,1.0,0.13600000739097595,0.0
YBL072C,YGR076C,1,3.1436908,1.0,0.13699999451637268,0.0
YDR471W,YOR312C,1,3.1392503,1.0,0.1379999965429306,0.0
YBR181C,YPL090C,1,3.13893,1.0,0.13899999856948853,0.0
YGL135W,YLR061W,1,3.1007066,1.0,0.14000000059604645,0.0
YJL190C,YDL081C,1,3.0982041,1.0,0.14100000262260437,0.0
YIL018W,YDR382W,1,3.084078,1.0,0.1420000046491623,0.0
YNL069C,YER102W,1,3.0729933,1.0,0.14300000667572021,0.0
YBL092W,YBR191W,1,3.0659254,1.0,0.14399999380111694,0.0
YBR084C-A,YNL178W,1,3.0477521,1.0,0.14499999582767487,0.0
YOL121C,YOR312C,1,3.0443928,1.0,0.1459999978542328,0.0
YFR031C-A,YJL138C,1,3.0277994,1.0,0.1469999998807907,0.0
YDL191W,YLR439W,1,3.0271654,1.0,0.14800000190734863,0.0
YML026C,YLR344W,1,3.015572,1.0,0.14900000393390656,0.0
YKR057W,YDL136W,1,3.01003,1.0,0.15000000596046448,0.0
YLR048W,YDR447C,1,2.9960132,1.0,0.1509999930858612,0.0
YMR242C,YEL050C,1,2.9817307,1.0,0.15199999511241913,0.0
YIL052C,YGR076C,1,2.9395802,1.0,0.15299999713897705,0.0
YDL130W,YOR312C,1,2.937599,1.0,0.15399999916553497,0.0
YIL052C,YGR165W,1,2.9292457,1.0,0.1550000011920929,0.0
YNL306W,YHL015W,1,2.9089534,1.0,0.15600000321865082,0.0
YNL252C,YBR048W,1,2.8989935,1.0,0.15700000524520874,0.0
YIL093C,YDL191W,1,2.8934388,1.0,0.15800000727176666,0.0
YLR439W,YPL090C,1,2.8768597,1.0,0.1589999943971634,0.0
YGR165W,YNL162W,1,2.8685567,1.0,0.1599999964237213,0.0
YOR133W,YJL096W,1,2.847547,1.0,0.16099999845027924,0.0
YDL081C,YBR251W,1,2.8470757,1.0,0.16200000047683716,0.0
YOL120C,YNL081C,1,2.810559,1.0,0.16300000250339508,0.0
YLR185W,YGL147C,1,2.806113,1.0,0.164000004529953,0.0
YBR191W,YGL031C,1,2.7956147,1.0,0.16500000655651093,0.0
YJR101W,YDL082W,1,2.793721,1.0,0.16599999368190765,0.0
YGL147C,YPL132W,1,2.7900553,1.0,0.16699999570846558,0.0
YJL138C,YIL148W,1,2.782564,1.0,0.1679999977350235,0.0
YHL001W,YLR333C,1,2.7799015,1.0,0.16899999976158142,0.0
YBR031W,YJL191W,1,2.7793868,1.0,0.17000000178813934,0.0
YIL133C,YOR167C,1,2.7782247,1.0,0.17100000381469727,0.0
YJR123W,YGR084C,1,2.7667708,1.0,0.1720000058412552,0.0
YLR061W,YPL118W,1,2.7589285,1.0,0.17299999296665192,0.0
YDR500C,YLR287C-A,1,2.6984246,1.0,0.17399999499320984,0.0
YJL191W,YOR167C,1,2.682346,1.0,0.17499999701976776,0.0
YCR003W,YIL133C,1,2.6807592,1.0,0.17599999904632568,0.0
YKR006C,YKR057W,1,2.6748836,1.0,0.1770000010728836,0.0
YOL127W,YGL147C,1,2.67415,1.0,0.17800000309944153,0.0
YIL148W,YJR113C,1,2.6668558,1.0,0.17900000512599945,0.0
YMR242C,YLR029C,1,2.652555,1.0,0.18000000715255737,0.0
YNL069C,YDR175C,1,2.6488059,1.0,0.1809999942779541,0.0
YFL034C-A,YDL075W,1,2.6390302,1.0,0.18199999630451202,0.0
YKR006C,YIL133C,1,2.6119084,1.0,0.18299999833106995,0.0
