Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YOR023C,YIL112W,1,-1.418304,1.0,0.0010000000474974513,0.0
YMR263W,YBR279W,1,-1.6527007,1.0,0.0020000000949949026,0.0
YMR263W,YBR095C,1,-1.6871552,1.0,0.003000000026077032,0.0
YDR167W,YGR002C,1,-1.7889488,1.0,0.004000000189989805,0.0
YGL066W,YMR236W,1,-1.8240659,1.0,0.004999999888241291,0.0
YFL024C,YDL074C,1,-1.9043748,1.0,0.006000000052154064,0.0
YHR090C,YBR279W,1,-1.924798,1.0,0.007000000216066837,0.0
YDL175C,YDR478W,0,-1.9489541,0.875,0.007000000216066837,9.999999747378752e-05
YOR274W,YDR181C,0,-1.9773815,0.7777777910232544,0.007000000216066837,0.00019999999494757503
YCL010C,YOR023C,1,-1.98838,0.800000011920929,0.00800000037997961,0.00019999999494757503
YCL010C,YNL136W,1,-1.9966514,0.8181818127632141,0.008999999612569809,0.00019999999494757503
YDL074C,YPL181W,1,-2.0202017,0.8333333134651184,0.009999999776482582,0.00019999999494757503
YBR279W,YPL139C,1,-2.024352,0.8461538553237915,0.010999999940395355,0.00019999999494757503
YMR263W,YAL013W,1,-2.0368564,0.8571428656578064,0.012000000104308128,0.00019999999494757503
YDL076C,YBR279W,1,-2.0938416,0.8666666746139526,0.013000000268220901,0.00019999999494757503
YBR081C,YGL058W,1,-2.1207645,0.875,0.014000000432133675,0.00019999999494757503
YBR081C,YDL076C,1,-2.1398947,0.8823529481887817,0.014999999664723873,0.00019999999494757503
YKL018W,YDR448W,1,-2.1525471,0.8888888955116272,0.01600000075995922,0.00019999999494757503
YNL097C,YGR002C,1,-2.1669004,0.8947368264198303,0.017000000923871994,0.00019999999494757503
YDL076C,YGL066W,1,-2.170229,0.8999999761581421,0.017999999225139618,0.00019999999494757503
YNL014W,YJL006C,0,-2.1735537,0.8571428656578064,0.017999999225139618,0.0003000000142492354
YJL036W,YOR226C,0,-2.1872923,0.8181818127632141,0.017999999225139618,0.00039999998989515007
YOL148C,YDR448W,1,-2.1907854,0.8260869383811951,0.01899999938905239,0.00039999998989515007
YIL084C,YDR145W,1,-2.1965904,0.8333333134651184,0.019999999552965164,0.00039999998989515007
YCR042C,YKL002W,0,-2.2399228,0.800000011920929,0.019999999552965164,0.0005000000237487257
YFL024C,YBR258C,1,-2.253388,0.807692289352417,0.020999999716877937,0.0005000000237487257
YDL076C,YOR023C,1,-2.2626216,0.8148148059844971,0.02199999988079071,0.0005000000237487257
YNL136W,YIL112W,1,-2.2690148,0.8214285969734192,0.023000000044703484,0.0005000000237487257
YBR103W,YMR236W,1,-2.2839944,0.8275862336158752,0.024000000208616257,0.0005000000237487257
YGL058W,YDR207C,1,-2.2840173,0.8333333134651184,0.02500000037252903,0.0005000000237487257
YBR103W,YOR064C,1,-2.2860138,0.8387096524238586,0.026000000536441803,0.0005000000237487257
YFL024C,YDR145W,1,-2.31527,0.84375,0.027000000700354576,0.0005000000237487257
YBR279W,YBR095C,1,-2.3195093,0.8484848737716675,0.02800000086426735,0.0005000000237487257
YBR198C,YOR023C,1,-2.3397992,0.8529411554336548,0.028999999165534973,0.0005000000237487257
YDR167W,YFL024C,1,-2.3425643,0.8571428656578064,0.029999999329447746,0.0005000000237487257
YHR090C,YDL074C,1,-2.3434277,0.8611111044883728,0.03099999949336052,0.0005000000237487257
YBR279W,YPL181W,1,-2.3531435,0.8648648858070374,0.03200000151991844,0.0005000000237487257
YOR123C,YGL058W,1,-2.3542955,0.8684210777282715,0.032999999821186066,0.0005000000237487257
YCL010C,YDR145W,1,-2.373766,0.8717948794364929,0.03400000184774399,0.0005000000237487257
YDL076C,YJL168C,1,-2.3842857,0.875,0.03500000014901161,0.0005000000237487257
