Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YER126C,YEL054C,1,-0.19559836,1.0,0.0010000000474974513,0.0
YGR103W,YGL078C,1,-0.37714195,1.0,0.0020000000949949026,0.0
YEL054C,YGR103W,1,-0.38921618,1.0,0.003000000026077032,0.0
YEL054C,YOL077C,1,-0.47129178,1.0,0.004000000189989805,0.0
YHR066W,YGR103W,1,-0.58640265,1.0,0.004999999888241291,0.0
YHR197W,YGL078C,1,-0.58934367,1.0,0.006000000052154064,0.0
YNL110C,YOL077C,1,-0.6238241,1.0,0.007000000216066837,0.0
YEL054C,YGL078C,1,-0.62823594,1.0,0.00800000037997961,0.0
YML073C,YEL054C,1,-0.6655117,1.0,0.008999999612569809,0.0
YAL025C,YOR272W,1,-0.69942224,1.0,0.009999999776482582,0.0
YPL211W,YOR272W,1,-0.7062632,1.0,0.010999999940395355,0.0
YJL122W,YIR012W,1,-0.73475987,1.0,0.012000000104308128,0.0
YGR103W,YOR272W,1,-0.7765875,1.0,0.013000000268220901,0.0
YJL122W,YHR066W,1,-0.8178352,1.0,0.014000000432133675,0.0
YIR012W,YGR103W,1,-0.8185065,1.0,0.014999999664723873,0.0
YDR091C,YDL014W,1,-0.81920373,1.0,0.01600000075995922,0.0
YDL014W,YOL077C,1,-0.87514687,1.0,0.017000000923871994,0.0
YPL211W,YHR052W,1,-0.89935243,1.0,0.017999999225139618,0.0
YGL120C,YER126C,1,-0.90500236,1.0,0.01899999938905239,0.0
YML073C,YOL077C,1,-0.9090065,1.0,0.019999999552965164,0.0
YHR066W,YOL077C,1,-0.91647154,1.0,0.020999999716877937,0.0
YNL110C,YEL054C,1,-0.9243686,1.0,0.02199999988079071,0.0
YJL122W,YEL054C,1,-0.9266195,1.0,0.023000000044703484,0.0
YOL144W,YDR091C,1,-0.9310115,1.0,0.024000000208616257,0.0
YOL144W,YOL077C,1,-0.93103504,1.0,0.02500000037252903,0.0
YHR197W,YOR272W,1,-0.94085515,1.0,0.026000000536441803,0.0
YDR091C,YOL077C,1,-0.9600272,1.0,0.027000000700354576,0.0
YHR197W,YHR052W,1,-0.96390784,1.0,0.02800000086426735,0.0
YER126C,YDR091C,1,-0.96671295,1.0,0.028999999165534973,0.0
YJL122W,YOR272W,1,-0.98399603,1.0,0.029999999329447746,0.0
YHR052W,YOL077C,1,-0.9869189,1.0,0.03099999949336052,0.0
YJL122W,YDL014W,1,-1.0072496,1.0,0.03200000151991844,0.0
YJL122W,YOL077C,1,-1.0159798,1.0,0.032999999821186066,0.0
YIR012W,YNL110C,1,-1.0213041,1.0,0.03400000184774399,0.0
YDR091C,YEL054C,1,-1.0440109,1.0,0.03500000014901161,0.0
YDR091C,YGR103W,1,-1.0440719,1.0,0.035999998450279236,0.0
YJL122W,YHR197W,1,-1.047404,1.0,0.03700000047683716,0.0
YJL122W,YDR091C,1,-1.0570964,1.0,0.03799999877810478,0.0
YHR197W,YDR091C,1,-1.0619545,1.0,0.039000000804662704,0.0
YER126C,YGL078C,1,-1.064742,1.0,0.03999999910593033,0.0
YGL078C,YOL077C,1,-1.0804981,1.0,0.04100000113248825,0.0
YGR103W,YDR418W,1,-1.0958056,1.0,0.041999999433755875,0.0
YJL122W,YAL025C,1,-1.0981404,1.0,0.0430000014603138,0.0
YIR012W,YHR066W,1,-1.1075181,1.0,0.04399999976158142,0.0
YOR004W,YMR309C,0,-1.1234376,0.9777777791023254,0.04399999976158142,9.999999747378752e-05
YGR103W,YOL077C,1,-1.1274433,0.97826087474823,0.04500000178813934,9.999999747378752e-05
YGL120C,YGR103W,1,-1.1420598,0.978723406791687,0.04600000008940697,9.999999747378752e-05
YGL120C,YEL054C,1,-1.1422697,0.9791666865348816,0.04699999839067459,9.999999747378752e-05
YOR272W,YGL078C,1,-1.166286,0.9795918464660645,0.04800000041723251,9.999999747378752e-05
YML093W,YDL208W,0,-1.1709889,0.9599999785423279,0.04800000041723251,0.00019999999494757503
YJL122W,YNL182C,1,-1.176332,0.9607843160629272,0.04899999871850014,0.00019999999494757503
YPL131W,YOL077C,1,-1.1856419,0.9615384340286255,0.05000000074505806,0.00019999999494757503
YJL122W,YGL078C,1,-1.187837,0.9622641801834106,0.050999999046325684,0.00019999999494757503
YOL144W,YIR012W,1,-1.1920574,0.9629629850387573,0.052000001072883606,0.00019999999494757503
YHR066W,YHR197W,1,-1.193703,0.9636363387107849,0.05299999937415123,0.00019999999494757503
YGR103W,YFL002C,1,-1.2039707,0.9642857313156128,0.05400000140070915,0.00019999999494757503
YHR066W,YDR091C,1,-1.2098055,0.9649122953414917,0.054999999701976776,0.00019999999494757503
YHR066W,YNL110C,1,-1.2115774,0.9655172228813171,0.0560000017285347,0.00019999999494757503
YDL014W,YAL025C,1,-1.2211955,0.9661017060279846,0.05700000002980232,0.00019999999494757503
YNL110C,YGR103W,1,-1.2278205,0.9666666388511658,0.057999998331069946,0.00019999999494757503
YER126C,YDL014W,1,-1.2416124,0.9672130942344666,0.05900000035762787,0.00019999999494757503
YER126C,YDR418W,1,-1.2456312,0.9677419066429138,0.05999999865889549,0.00019999999494757503
YNL110C,YHR052W,1,-1.2479424,0.9682539701461792,0.061000000685453415,0.00019999999494757503
YOL127W,YGR103W,1,-1.2490795,0.96875,0.06199999898672104,0.00019999999494757503
YGL120C,YOR272W,1,-1.2508692,0.9692307710647583,0.06300000101327896,0.00019999999494757503
YEL054C,YDL031W,1,-1.2536757,0.9696969985961914,0.06400000303983688,0.00019999999494757503
YEL054C,YHR052W,1,-1.254405,0.9701492786407471,0.06499999761581421,0.00019999999494757503
YHR197W,YOL077C,1,-1.258666,0.970588207244873,0.06599999964237213,0.00019999999494757503
YNL182C,YGR103W,1,-1.2600496,0.9710144996643066,0.06700000166893005,0.00019999999494757503
YPL093W,YDL014W,1,-1.2689204,0.9714285731315613,0.06800000369548798,0.00019999999494757503
YHR066W,YAL025C,1,-1.2782551,0.9718309640884399,0.0689999982714653,0.00019999999494757503
YOL144W,YGL078C,1,-1.2824782,0.9722222089767456,0.07000000029802322,0.00019999999494757503
YHR197W,YPL211W,1,-1.2837157,0.9726027250289917,0.07100000232458115,0.00019999999494757503
YDL014W,YNL110C,1,-1.2840257,0.9729729890823364,0.07199999690055847,0.00019999999494757503
YOL144W,YHR197W,1,-1.2872026,0.9733333587646484,0.0729999989271164,0.00019999999494757503
YAL025C,YGL078C,1,-1.2879106,0.9736841917037964,0.07400000095367432,0.00019999999494757503
YDR091C,YHR052W,1,-1.2897873,0.9740259647369385,0.07500000298023224,0.00019999999494757503
YHR197W,YPL093W,1,-1.3033338,0.9743589758872986,0.07599999755620956,0.00019999999494757503
YHR066W,YHR052W,1,-1.3195984,0.9746835231781006,0.07699999958276749,0.00019999999494757503
YNL182C,YDL014W,1,-1.3223675,0.9750000238418579,0.07800000160932541,0.00019999999494757503
YER126C,YOR272W,1,-1.3246382,0.9753086566925049,0.07900000363588333,0.00019999999494757503
YHR066W,YFR001W,1,-1.3300987,0.9756097793579102,0.07999999821186066,0.00019999999494757503
YPL211W,YEL054C,1,-1.3338034,0.9759036302566528,0.08100000023841858,0.00019999999494757503
YGL120C,YOL077C,1,-1.336901,0.976190447807312,0.0820000022649765,0.00019999999494757503
YER126C,YML073C,1,-1.3383219,0.9764705896377563,0.08299999684095383,0.00019999999494757503
YDR091C,YAL025C,1,-1.3422102,0.9767441749572754,0.08399999886751175,0.00019999999494757503
YDR091C,YOR272W,1,-1.3509618,0.977011501789093,0.08500000089406967,0.00019999999494757503
YML073C,YGL078C,1,-1.3518934,0.9772727489471436,0.0860000029206276,0.00019999999494757503
YIR012W,YGL078C,1,-1.3527049,0.9775280952453613,0.08699999749660492,0.00019999999494757503
YOL144W,YEL054C,1,-1.3614969,0.9777777791023254,0.08799999952316284,0.00019999999494757503
YOL144W,YOR272W,1,-1.3644848,0.9780219793319702,0.08900000154972076,0.00019999999494757503
YPL211W,YGR103W,1,-1.3657247,0.97826087474823,0.09000000357627869,0.00019999999494757503
YML073C,YGR103W,1,-1.3691348,0.9784946441650391,0.09099999815225601,0.00019999999494757503
YHR197W,YAL025C,1,-1.3711808,0.978723406791687,0.09200000017881393,0.00019999999494757503
YPL211W,YAL025C,1,-1.372854,0.9789473414421082,0.09300000220537186,0.00019999999494757503
YHR085W,YGR103W,1,-1.3741832,0.9791666865348816,0.09399999678134918,0.00019999999494757503
YAL025C,YEL054C,1,-1.3765175,0.9793814420700073,0.0949999988079071,0.00019999999494757503
YJL122W,YKR024C,1,-1.3792545,0.9795918464660645,0.09600000083446503,0.00019999999494757503
YIR012W,YHR052W,1,-1.3976328,0.9797979593276978,0.09700000286102295,0.00019999999494757503
YOR294W,YKL056C,0,-1.399134,0.9700000286102295,0.09700000286102295,0.0003000000142492354
YHR197W,YNL110C,1,-1.4049301,0.9702970385551453,0.09799999743700027,0.0003000000142492354
YHR088W,YGR103W,1,-1.4173422,0.970588207244873,0.0989999994635582,0.0003000000142492354
YOL144W,YAL025C,1,-1.42406,0.9708737730979919,0.10000000149011612,0.0003000000142492354
YJL122W,YPL211W,1,-1.4247942,0.9711538553237915,0.10100000351667404,0.0003000000142492354
YER126C,YPR016C,1,-1.4284866,0.9714285731315613,0.10199999809265137,0.0003000000142492354
YHR066W,YGL120C,1,-1.4325739,0.9716981053352356,0.10300000011920929,0.0003000000142492354
YHR066W,YDR312W,1,-1.4333831,0.9719626307487488,0.10400000214576721,0.0003000000142492354
YOL144W,YNL110C,1,-1.4335511,0.9722222089767456,0.10499999672174454,0.0003000000142492354
YHR052W,YOR272W,1,-1.4391687,0.9724770784378052,0.10599999874830246,0.0003000000142492354
YNL110C,YKL021C,1,-1.4396421,0.9727272987365723,0.10700000077486038,0.0003000000142492354
YFR001W,YGL078C,1,-1.4426217,0.9729729890823364,0.1080000028014183,0.0003000000142492354
YGL120C,YFR001W,1,-1.451213,0.9732142686843872,0.10899999737739563,0.0003000000142492354
YER126C,YAL025C,1,-1.4534068,0.9734513163566589,0.10999999940395355,0.0003000000142492354
YOR063W,YOL077C,1,-1.4609245,0.9736841917037964,0.11100000143051147,0.0003000000142492354
YHR066W,YEL054C,1,-1.4649056,0.9739130139350891,0.1120000034570694,0.0003000000142492354
YHR197W,YEL054C,1,-1.4669676,0.9741379022598267,0.11299999803304672,0.0003000000142492354
YAL025C,YHR052W,1,-1.4721782,0.9743589758872986,0.11400000005960464,0.0003000000142492354
YNL182C,YAL025C,1,-1.4741876,0.9745762944221497,0.11500000208616257,0.0003000000142492354
YJL122W,YHR052W,1,-1.4768462,0.9747899174690247,0.11599999666213989,0.0003000000142492354
YHR066W,YOR272W,1,-1.4829054,0.9750000238418579,0.11699999868869781,0.0003000000142492354
YOR272W,YOL077C,1,-1.4832573,0.9752066135406494,0.11800000071525574,0.0003000000142492354
YHR066W,YDL014W,1,-1.4837849,0.9754098653793335,0.11900000274181366,0.0003000000142492354
YDL014W,YML073C,1,-1.4848561,0.9756097793579102,0.11999999731779099,0.0003000000142492354
YDL031W,YOR272W,1,-1.4868116,0.975806474685669,0.12099999934434891,0.0003000000142492354
YHR088W,YOR272W,1,-1.487366,0.9760000109672546,0.12200000137090683,0.0003000000142492354
YBR267W,YKL021C,1,-1.4932367,0.976190447807312,0.12300000339746475,0.0003000000142492354
YGL120C,YDR418W,1,-1.4961708,0.9763779640197754,0.12399999797344208,0.0003000000142492354
YNL182C,YGL120C,1,-1.4970772,0.9765625,0.125,0.0003000000142492354
YDR091C,YNL110C,1,-1.5004601,0.9767441749572754,0.12600000202655792,0.0003000000142492354
YNL182C,YKR024C,1,-1.5054258,0.9769230484962463,0.12700000405311584,0.0003000000142492354
YDL031W,YOL077C,1,-1.5093763,0.9770992398262024,0.12800000607967377,0.0003000000142492354
YDR418W,YGL078C,1,-1.5097809,0.9772727489471436,0.1289999932050705,0.0003000000142492354
YAL025C,YGR103W,1,-1.5131404,0.9774436354637146,0.12999999523162842,0.0003000000142492354
YHR197W,YFR001W,1,-1.5142585,0.9776119589805603,0.13099999725818634,0.0003000000142492354
YDL014W,YGR103W,1,-1.5157691,0.9777777791023254,0.13199999928474426,0.0003000000142492354
YOL127W,YGL078C,1,-1.5169626,0.9779411554336548,0.13300000131130219,0.0003000000142492354
YHR197W,YML073C,1,-1.5250666,0.9781022071838379,0.1340000033378601,0.0003000000142492354
YAL025C,YKL021C,1,-1.5261958,0.97826087474823,0.13500000536441803,0.0003000000142492354
YDL014W,YEL054C,1,-1.5285246,0.9784172773361206,0.13600000739097595,0.0003000000142492354
YGL120C,YDL014W,1,-1.5312539,0.9785714149475098,0.13699999451637268,0.0003000000142492354
YJL122W,YER002W,1,-1.5318134,0.978723406791687,0.1379999965429306,0.0003000000142492354
YER126C,YOL077C,1,-1.5395323,0.9788732528686523,0.13899999856948853,0.0003000000142492354
YDR091C,YGL078C,1,-1.5410151,0.9790209531784058,0.14000000059604645,0.0003000000142492354
YGL120C,YML073C,1,-1.5412927,0.9791666865348816,0.14100000262260437,0.0003000000142492354
YHR066W,YGL078C,1,-1.5419146,0.9793103337287903,0.1420000046491623,0.0003000000142492354
YER126C,YPL211W,1,-1.5485989,0.9794520735740662,0.14300000667572021,0.0003000000142492354
YJL122W,YGR103W,1,-1.5506133,0.9795918464660645,0.14399999380111694,0.0003000000142492354
YDR091C,YPR016C,1,-1.5541332,0.9797297120094299,0.14499999582767487,0.0003000000142492354
YFR001W,YAL025C,1,-1.5571793,0.9798657894134521,0.1459999978542328,0.0003000000142492354
YLL008W,YPL211W,1,-1.5581601,0.9800000190734863,0.1469999998807907,0.0003000000142492354
YJL122W,YML073C,1,-1.5598307,0.9801324605941772,0.14800000190734863,0.0003000000142492354
YFR001W,YGR103W,1,-1.5666617,0.9802631735801697,0.14900000393390656,0.0003000000142492354
YPL211W,YER002W,1,-1.5709866,0.9803921580314636,0.15000000596046448,0.0003000000142492354
YHR052W,YGL078C,1,-1.5718809,0.9805194735527039,0.1509999930858612,0.0003000000142492354
YAL025C,YER002W,1,-1.5753174,0.9806451797485352,0.15199999511241913,0.0003000000142492354
YDR091C,YPL093W,1,-1.5817578,0.9807692170143127,0.15299999713897705,0.0003000000142492354
YPL093W,YHR052W,1,-1.5923295,0.9808917045593262,0.15399999916553497,0.0003000000142492354
YHR197W,YGL111W,1,-1.5941169,0.9810126423835754,0.1550000011920929,0.0003000000142492354
YJL122W,YOL144W,1,-1.5943742,0.9811320900917053,0.15600000321865082,0.0003000000142492354
YER126C,YHR052W,1,-1.5957906,0.981249988079071,0.15700000524520874,0.0003000000142492354
YER126C,YPL131W,1,-1.600613,0.9813664555549622,0.15800000727176666,0.0003000000142492354
YOL144W,YGL120C,1,-1.6017909,0.9814814925193787,0.1589999943971634,0.0003000000142492354
YNL110C,YOR272W,1,-1.6030174,0.9815950989723206,0.1599999964237213,0.0003000000142492354
YOR272W,YNR038W,1,-1.6060815,0.9817073345184326,0.16099999845027924,0.0003000000142492354
YNL182C,YEL054C,1,-1.6088479,0.9818181991577148,0.16200000047683716,0.0003000000142492354
YNL182C,YNL110C,1,-1.6093838,0.9819276928901672,0.16300000250339508,0.0003000000142492354
YML073C,YHR052W,1,-1.6109583,0.9820359349250793,0.164000004529953,0.0003000000142492354
YJL122W,YLL008W,1,-1.611625,0.9821428656578064,0.16500000655651093,0.0003000000142492354
YPL211W,YKL021C,1,-1.612924,0.9822485446929932,0.16599999368190765,0.0003000000142492354
YFR001W,YER002W,1,-1.613045,0.9823529124259949,0.16699999570846558,0.0003000000142492354
YDR091C,YKL021C,1,-1.616597,0.9824561476707458,0.1679999977350235,0.0003000000142492354
YDL014W,YGL078C,1,-1.6178849,0.9825581312179565,0.16899999976158142,0.0003000000142492354
YIR012W,YHR085W,1,-1.6202177,0.9826589822769165,0.17000000178813934,0.0003000000142492354
YFR001W,YKL021C,1,-1.6255302,0.982758641242981,0.17100000381469727,0.0003000000142492354
YKR024C,YPL211W,1,-1.6321771,0.9828571677207947,0.1720000058412552,0.0003000000142492354
YNL110C,YGL078C,1,-1.6326762,0.9829545617103577,0.17299999296665192,0.0003000000142492354
YIR012W,YAL025C,1,-1.6341319,0.9830508232116699,0.17399999499320984,0.0003000000142492354
YOL127W,YHR052W,1,-1.6430341,0.983146071434021,0.17499999701976776,0.0003000000142492354
YHR197W,YDL014W,1,-1.6453805,0.9832402467727661,0.17599999904632568,0.0003000000142492354
YFR001W,YHR052W,1,-1.6476662,0.9833333492279053,0.1770000010728836,0.0003000000142492354
YGR103W,YPR016C,1,-1.6526396,0.9834254384040833,0.17800000309944153,0.0003000000142492354
YIR012W,YHR197W,1,-1.6527044,0.9835164546966553,0.17900000512599945,0.0003000000142492354
YFR001W,YOL077C,1,-1.6529367,0.9836065769195557,0.18000000715255737,0.0003000000142492354
YPL211W,YDR091C,1,-1.6630313,0.9836956262588501,0.1809999942779541,0.0003000000142492354
YML073C,YNL110C,1,-1.6633859,0.9837837815284729,0.18199999630451202,0.0003000000142492354
YIR012W,YOL077C,1,-1.6651864,0.9838709831237793,0.18299999833106995,0.0003000000142492354
YHR088W,YHR066W,1,-1.66574,0.9839572310447693,0.18400000035762787,0.0003000000142492354
YHR052W,YDR418W,1,-1.669515,0.9840425252914429,0.1850000023841858,0.0003000000142492354
YHR197W,YDR312W,1,-1.6754911,0.9841269850730896,0.1860000044107437,0.0003000000142492354
YPL211W,YGL078C,1,-1.675611,0.9842105507850647,0.18700000643730164,0.0003000000142492354
YHR088W,YDR091C,1,-1.6756415,0.9842932224273682,0.18799999356269836,0.0003000000142492354
YNL182C,YOL144W,1,-1.6769408,0.984375,0.1889999955892563,0.0003000000142492354
YDR312W,YGR103W,1,-1.6802222,0.984455943107605,0.1899999976158142,0.0003000000142492354
YPL211W,YOL077C,1,-1.6811309,0.9845361113548279,0.19099999964237213,0.0003000000142492354
YOR272W,YNL163C,1,-1.6822894,0.9846153855323792,0.19200000166893005,0.0003000000142492354
YGR103W,YKL021C,1,-1.6843591,0.9846938848495483,0.19300000369548798,0.0003000000142492354
YKR024C,YHR052W,1,-1.6861558,0.9847715497016907,0.1940000057220459,0.0003000000142492354
YKL021C,YOR272W,1,-1.687504,0.9848484992980957,0.19499999284744263,0.0003000000142492354
YKR024C,YOR272W,1,-1.6881258,0.9849246144294739,0.19599999487400055,0.0003000000142492354
YGL111W,YGL078C,1,-1.6903733,0.9850000143051147,0.19699999690055847,0.0003000000142492354
YHR066W,YER002W,1,-1.6903977,0.9850746393203735,0.1979999989271164,0.0003000000142492354
YPL093W,YEL054C,1,-1.6914538,0.9851484894752502,0.19900000095367432,0.0003000000142492354
YOL144W,YDL014W,1,-1.6924585,0.9852216839790344,0.20000000298023224,0.0003000000142492354
YKR024C,YNL110C,1,-1.697149,0.9852941036224365,0.20100000500679016,0.0003000000142492354
YJL122W,YDR312W,1,-1.6992638,0.9853658676147461,0.20200000703334808,0.0003000000142492354
YHR197W,YGL120C,1,-1.7017214,0.9854369163513184,0.2029999941587448,0.0003000000142492354
YHR066W,YNR038W,1,-1.7033954,0.9855072498321533,0.20399999618530273,0.0003000000142492354
YNL182C,YHR052W,1,-1.7051575,0.9855769276618958,0.20499999821186066,0.0003000000142492354
YOL144W,YPL211W,1,-1.7052399,0.9856459498405457,0.20600000023841858,0.0003000000142492354
YDL014W,YOR063W,1,-1.7107229,0.9857142567634583,0.2070000022649765,0.0003000000142492354
YOL144W,YML073C,1,-1.7121804,0.9857819676399231,0.20800000429153442,0.0003000000142492354
YOL144W,YKR024C,1,-1.7202995,0.9858490824699402,0.20900000631809235,0.0003000000142492354
YNL182C,YHR197W,1,-1.7209423,0.98591548204422,0.20999999344348907,0.0003000000142492354
YKL082C,YAL025C,1,-1.7231497,0.985981285572052,0.210999995470047,0.0003000000142492354
YHR085W,YHR052W,1,-1.73015,0.9860464930534363,0.21199999749660492,0.0003000000142492354
YPL093W,YNL110C,1,-1.7313073,0.9861111044883728,0.21299999952316284,0.0003000000142492354
YKR024C,YGL078C,1,-1.7326827,0.9861751198768616,0.21400000154972076,0.0003000000142492354
YJL033W,YHR062C,0,-1.7327507,0.9816513657569885,0.21400000154972076,0.00039999998989515007
YLL008W,YHR197W,1,-1.7345783,0.9817351698875427,0.2150000035762787,0.00039999998989515007
YGL120C,YPL131W,1,-1.7349176,0.9818181991577148,0.2160000056028366,0.00039999998989515007
YGR103W,YNR038W,1,-1.7389879,0.9819004535675049,0.21699999272823334,0.00039999998989515007
YLL008W,YEL054C,1,-1.7409513,0.9819819927215576,0.21799999475479126,0.00039999998989515007
YGL120C,YGL078C,1,-1.7430733,0.9820627570152283,0.21899999678134918,0.00039999998989515007
YPL093W,YKL021C,1,-1.7453002,0.9821428656578064,0.2199999988079071,0.00039999998989515007
YHR052W,YPL131W,1,-1.7481596,0.9822221994400024,0.22100000083446503,0.00039999998989515007
YAL025C,YNL163C,1,-1.7540236,0.982300877571106,0.22200000286102295,0.00039999998989515007
YHR197W,YDL031W,1,-1.7567308,0.9823788404464722,0.22300000488758087,0.00039999998989515007
YOL144W,YPL131W,1,-1.7598768,0.9824561476707458,0.2240000069141388,0.00039999998989515007
YHR052W,YKL021C,1,-1.7625641,0.9825327396392822,0.22499999403953552,0.00039999998989515007
YNL182C,YOL077C,1,-1.762729,0.9826086759567261,0.22599999606609344,0.00039999998989515007
YHR052W,YDL031W,1,-1.7643255,0.9826839566230774,0.22699999809265137,0.00039999998989515007
YHR197W,YER126C,1,-1.7659739,0.982758641242981,0.2280000001192093,0.00039999998989515007
YPL211W,YNL110C,1,-1.7690407,0.9828326106071472,0.2290000021457672,0.00039999998989515007
YOL144W,YKL021C,1,-1.7720484,0.9829059839248657,0.23000000417232513,0.00039999998989515007
YHR052W,YFL002C,1,-1.7794489,0.9829787015914917,0.23100000619888306,0.00039999998989515007
YGL120C,YDL031W,1,-1.7797041,0.9830508232116699,0.23199999332427979,0.00039999998989515007
YDR091C,YML073C,1,-1.7844545,0.9831223487854004,0.2329999953508377,0.00039999998989515007
YPL211W,YPL093W,1,-1.7853967,0.9831932783126831,0.23399999737739563,0.00039999998989515007
YHR066W,YKL021C,1,-1.7857487,0.9832636117935181,0.23499999940395355,0.00039999998989515007
YGL120C,YAL025C,1,-1.7867441,0.9833333492279053,0.23600000143051147,0.00039999998989515007
YDL014W,YHR052W,1,-1.7882864,0.9834024906158447,0.2370000034570694,0.00039999998989515007
YDR091C,YGL111W,1,-1.7908063,0.9834710955619812,0.23800000548362732,0.00039999998989515007
YKR024C,YGL111W,1,-1.7909726,0.9835391044616699,0.23899999260902405,0.00039999998989515007
YML073C,YAL025C,1,-1.79639,0.9836065769195557,0.23999999463558197,0.00039999998989515007
YHR066W,YHR085W,1,-1.7992032,0.9836734533309937,0.2409999966621399,0.00039999998989515007
YGR162W,YNL178W,0,-1.7999169,0.9796748161315918,0.2409999966621399,0.0005000000237487257
