Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YOR030W,YOR032C,1,-3.4720225,1.0,0.0010000000474974513,0.0
YLR313C,YLR312C-B,1,-3.4736722,1.0,0.0020000000949949026,0.0
YGL190C,YOR032C,1,-3.5146909,1.0,0.003000000026077032,0.0
YOR032C,YBR083W,1,-3.6306915,1.0,0.004000000189989805,0.0
YOL065C,YPL171C,0,-3.868335,0.800000011920929,0.004000000189989805,9.999999747378752e-05
YKL185W,YHR011W,1,-3.9139245,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YKL149C,YBR083W,1,-3.9549682,0.8571428656578064,0.006000000052154064,9.999999747378752e-05
YNL271C,YOR032C,1,-3.9655313,0.875,0.007000000216066837,9.999999747378752e-05
YBL099W,YJR022W,0,-3.9903083,0.7777777910232544,0.007000000216066837,0.00019999999494757503
YIL049W,YOR030W,1,-3.9978743,0.800000011920929,0.00800000037997961,0.00019999999494757503
YLL031C,YGL251C,0,-4.064797,0.7272727489471436,0.00800000037997961,0.0003000000142492354
YNR016C,YPL112C,0,-4.0778875,0.6666666865348816,0.00800000037997961,0.00039999998989515007
YNL271C,YIR019C,1,-4.0820055,0.692307710647583,0.008999999612569809,0.00039999998989515007
YJL019W,YBL079W,0,-4.095888,0.6428571343421936,0.008999999612569809,0.0005000000237487257
YPL161C,YFR034C,0,-4.10211,0.6000000238418579,0.008999999612569809,0.0006000000284984708
YHR061C,YIL121W,0,-4.1043425,0.5625,0.008999999612569809,0.000699999975040555
YIR019C,YNL197C,1,-4.1333704,0.5882353186607361,0.009999999776482582,0.000699999975040555
YOR030W,YIR019C,1,-4.133764,0.6111111044883728,0.010999999940395355,0.000699999975040555
YJR147W,YIR019C,1,-4.1340976,0.6315789222717285,0.012000000104308128,0.000699999975040555
YOR315W,YNL197C,1,-4.187621,0.6499999761581421,0.013000000268220901,0.000699999975040555
YIL131C,YER109C,1,-4.2205033,0.6666666865348816,0.014000000432133675,0.000699999975040555
YNR008W,YDR501W,0,-4.2249174,0.6363636255264282,0.014000000432133675,0.0007999999797903001
YOR032C,YLL021W,1,-4.2290106,0.6521739363670349,0.014999999664723873,0.0007999999797903001
YCL026C-A,YDR419W,0,-4.230155,0.625,0.014999999664723873,0.0008999999845400453
YDR457W,YIL056W,0,-4.2413697,0.6000000238418579,0.014999999664723873,0.0010000000474974513
YKL073W,YHR015W,0,-4.257055,0.5769230723381042,0.014999999664723873,0.0010999999940395355
YFL010W-A,YLR154C,0,-4.26221,0.5555555820465088,0.014999999664723873,0.0012000000569969416
YJR147W,YOR127W,1,-4.272028,0.5714285969734192,0.01600000075995922,0.0012000000569969416
YIL131C,YOR032C,1,-4.2731895,0.5862069129943848,0.017000000923871994,0.0012000000569969416
YBR020W,YPL022W,0,-4.2802234,0.5666666626930237,0.017000000923871994,0.0013000000035390258
YDR176W,YDR255C,0,-4.2839108,0.5483871102333069,0.017000000923871994,0.00139999995008111
YLR032W,YJR066W,0,-4.285532,0.53125,0.017000000923871994,0.001500000013038516
YLL001W,YLR417W,0,-4.2943907,0.5151515007019043,0.017000000923871994,0.0015999999595806003
YPL268W,YBR083W,1,-4.3052654,0.529411792755127,0.017999999225139618,0.0015999999595806003
YCR038C,YNL098C,1,-4.3065786,0.5428571701049805,0.01899999938905239,0.0015999999595806003
YPL127C,YDR318W,0,-4.312873,0.5277777910232544,0.01899999938905239,0.0017000000225380063
YDL024C,YLR313C,1,-4.336351,0.5405405163764954,0.019999999552965164,0.0017000000225380063
YGL090W,YGL172W,0,-4.33805,0.5263158082962036,0.019999999552965164,0.0017999999690800905
YGR003W,YMR179W,0,-4.352459,0.5128205418586731,0.019999999552965164,0.0019000000320374966
YGL190C,YBR083W,1,-4.3653793,0.5249999761581421,0.020999999716877937,0.0019000000320374966
YAL023C,YLR182W,0,-4.3660154,0.5121951103210449,0.020999999716877937,0.0020000000949949026
YGL190C,YIR019C,1,-4.366671,0.523809552192688,0.02199999988079071,0.0020000000949949026
YLR081W,YIL070C,0,-4.377134,0.5116279125213623,0.02199999988079071,0.002099999925121665
YGL190C,YNL098C,1,-4.3848677,0.5227272510528564,0.023000000044703484,0.002099999925121665
YOR032C,YKL166C,1,-4.3862047,0.5333333611488342,0.024000000208616257,0.002099999925121665
YFR034C,YOL113W,0,-4.387521,0.52173912525177,0.024000000208616257,0.002199999988079071
YLL038C,YOR361C,0,-4.389,0.5106382966041565,0.024000000208616257,0.002300000051036477
YER109C,YPL268W,1,-4.3939896,0.5208333134651184,0.02500000037252903,0.002300000051036477
YJL108C,YMR293C,0,-4.3956738,0.5102040767669678,0.02500000037252903,0.002400000113993883
YLR353W,YER109C,1,-4.4112835,0.5199999809265137,0.026000000536441803,0.002400000113993883
YKL185W,YIL033C,1,-4.4139423,0.529411792755127,0.027000000700354576,0.002400000113993883
YJR047C,YCL024W,0,-4.41953,0.5192307829856873,0.027000000700354576,0.0024999999441206455
YAL041W,YJR153W,1,-4.427062,0.5283018946647644,0.02800000086426735,0.0024999999441206455
YNL271C,YAL041W,1,-4.4353356,0.5370370149612427,0.028999999165534973,0.0024999999441206455
YJL184W,YBR228W,0,-4.4404554,0.5272727012634277,0.028999999165534973,0.0026000000070780516
YKL032C,YMR241W,0,-4.4425535,0.5178571343421936,0.028999999165534973,0.0027000000700354576
YDR384C,YLR328W,0,-4.446757,0.5087719559669495,0.028999999165534973,0.00279999990016222
YGL122C,YJR043C,0,-4.4474044,0.5,0.028999999165534973,0.002899999963119626
YGL190C,YOR315W,1,-4.449664,0.508474588394165,0.029999999329447746,0.002899999963119626
YMR052W,YPL127C,0,-4.4549685,0.5,0.029999999329447746,0.003000000026077032
YNR007C,YPL007C,0,-4.4556246,0.49180328845977783,0.029999999329447746,0.003100000089034438
YNR059W,YGR274C,0,-4.45571,0.4838709533214569,0.029999999329447746,0.0031999999191612005
YHR074W,YMR125W,0,-4.4586215,0.4761904776096344,0.029999999329447746,0.0032999999821186066
YFR034C,YGR091W,0,-4.461947,0.46875,0.029999999329447746,0.0034000000450760126
YJL128C,YBR152W,0,-4.464292,0.4615384638309479,0.029999999329447746,0.0035000001080334187
YNL059C,YGL251C,0,-4.464412,0.4545454680919647,0.029999999329447746,0.003599999938160181
YBL063W,YML104C,0,-4.465153,0.447761207818985,0.029999999329447746,0.003700000001117587
YNL068C,YOR032C,1,-4.4687347,0.45588234066963196,0.03099999949336052,0.003700000001117587
YIL131C,YDR392W,1,-4.4705005,0.4637681245803833,0.03200000151991844,0.003700000001117587
YPR134W,YHR163W,0,-4.4820657,0.4571428596973419,0.03200000151991844,0.003800000064074993
YOR054C,YBR216C,0,-4.482188,0.4507042169570923,0.03200000151991844,0.0038999998942017555
YFR009W,YJL056C,0,-4.482538,0.4444444477558136,0.03200000151991844,0.004000000189989805
YNL080C,YJL179W,0,-4.4849005,0.4383561611175537,0.03200000151991844,0.004100000020116568
YER120W,YGR013W,0,-4.4887476,0.4324324429035187,0.03200000151991844,0.00419999985024333
YCR038C,YHR011W,1,-4.495116,0.4399999976158142,0.032999999821186066,0.00419999985024333
YJR001W,YPL269W,0,-4.495318,0.43421053886413574,0.032999999821186066,0.00430000014603138
YPR046W,YDR488C,0,-4.497168,0.4285714328289032,0.032999999821186066,0.004399999976158142
