Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YIL155C,YFR004W,0,2.6221526,0.0,0.0,9.999999747378752e-05
YPL240C,YMR214W,1,2.541921,0.5,0.0010000000474974513,9.999999747378752e-05
YPL240C,YKR086W,1,2.3786323,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YEL003W,YBR072W,1,2.0150201,0.75,0.003000000026077032,9.999999747378752e-05
YPL240C,YOR027W,1,1.9758378,0.800000011920929,0.004000000189989805,9.999999747378752e-05
YJL008C,YBR072W,1,1.9106978,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YPL240C,YDR088C,1,1.6143035,0.8571428656578064,0.006000000052154064,9.999999747378752e-05
YOR020C,YFL016C,1,1.6070336,0.875,0.007000000216066837,9.999999747378752e-05
YDR258C,YPL106C,1,1.4337059,0.8888888955116272,0.00800000037997961,9.999999747378752e-05
YKR086W,YBR169C,1,1.1900995,0.8999999761581421,0.008999999612569809,9.999999747378752e-05
YPL240C,YDR212W,1,1.0888692,0.9090909361839294,0.009999999776482582,9.999999747378752e-05
YMR214W,YBR169C,1,1.0587689,0.9166666865348816,0.010999999940395355,9.999999747378752e-05
YFL016C,YJR045C,1,0.9824133,0.9230769276618958,0.012000000104308128,9.999999747378752e-05
YEL003W,YPL240C,1,0.9525701,0.9285714030265808,0.013000000268220901,9.999999747378752e-05
YIL142W,YBR072W,1,0.8323747,0.9333333373069763,0.014000000432133675,9.999999747378752e-05
YLL026W,YKR086W,1,0.7772269,0.9375,0.014999999664723873,9.999999747378752e-05
YMR189W,YGL219C,0,0.764006,0.8823529481887817,0.014999999664723873,0.00019999999494757503
YDL143W,YPL240C,1,0.69121325,0.8888888955116272,0.01600000075995922,0.00019999999494757503
YDR214W,YPL240C,1,0.68295634,0.8947368264198303,0.017000000923871994,0.00019999999494757503
YMR186W,YLR259C,1,0.656227,0.8999999761581421,0.017999999225139618,0.00019999999494757503
YDR214W,YPL037C,1,0.6293297,0.9047619104385376,0.01899999938905239,0.00019999999494757503
YML078W,YOR027W,1,0.5870551,0.9090909361839294,0.019999999552965164,0.00019999999494757503
YLL026W,YPL106C,1,0.48419642,0.9130434989929199,0.020999999716877937,0.00019999999494757503
YBR072W,YKL173W,1,0.44289625,0.9166666865348816,0.02199999988079071,0.00019999999494757503
YMR186W,YOR027W,1,0.40504062,0.9200000166893005,0.023000000044703484,0.00019999999494757503
YLL026W,YNL310C,1,0.39700663,0.9230769276618958,0.024000000208616257,0.00019999999494757503
YOR020C,YOR027W,1,0.38516867,0.9259259104728699,0.02500000037252903,0.00019999999494757503
YDL143W,YDR258C,1,0.3575554,0.9285714030265808,0.026000000536441803,0.00019999999494757503
YPL240C,YGR132C,1,0.33387518,0.931034505367279,0.027000000700354576,0.00019999999494757503
YKL117W,YDR212W,1,0.32439435,0.9333333373069763,0.02800000086426735,0.00019999999494757503
YOR020C,YLL026W,1,0.25157338,0.9354838728904724,0.028999999165534973,0.00019999999494757503
YDR214W,YLR259C,1,0.21202864,0.9375,0.029999999329447746,0.00019999999494757503
YIL142W,YAL005C,1,0.20471253,0.939393937587738,0.03099999949336052,0.00019999999494757503
YPL106C,YBR169C,1,0.1930876,0.9411764740943909,0.03200000151991844,0.00019999999494757503
YMR186W,YLL026W,1,0.15808083,0.9428571462631226,0.032999999821186066,0.00019999999494757503
YGR132C,YDR212W,1,0.1571473,0.9444444179534912,0.03400000184774399,0.00019999999494757503
YAL005C,YPL106C,1,0.15389647,0.9459459185600281,0.03500000014901161,0.00019999999494757503
YBR072W,YKL117W,1,0.14380564,0.9473684430122375,0.035999998450279236,0.00019999999494757503
YPL240C,YJR045C,1,0.0995207,0.9487179517745972,0.03700000047683716,0.00019999999494757503
YOR020C,YBR169C,1,0.08628596,0.949999988079071,0.03799999877810478,0.00019999999494757503
YDR516C,YER029C,0,0.07709946,0.9268292784690857,0.03799999877810478,0.0003000000142492354
YNL281W,YPL240C,1,0.07289626,0.9285714030265808,0.039000000804662704,0.0003000000142492354
