Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDR411C,YPL265W,0,-1.0631479,0.0,0.0,9.999999747378752e-05
YBR205W,YPR138C,0,-1.212344,0.0,0.0,0.00019999999494757503
YOR188W,YPR055W,1,-1.2208399,0.3333333432674408,0.0010000000474974513,0.00019999999494757503
YPL242C,YKL126W,0,-1.2632102,0.25,0.0010000000474974513,0.0003000000142492354
YNL314W,YOR297C,0,-1.3132154,0.20000000298023224,0.0010000000474974513,0.00039999998989515007
YBR218C,YER100W,0,-1.3213371,0.1666666716337204,0.0010000000474974513,0.0005000000237487257
YOR260W,YLR266C,0,-1.3317679,0.1428571492433548,0.0010000000474974513,0.0006000000284984708
YEL030W,YCR020C-A,0,-1.3374606,0.125,0.0010000000474974513,0.000699999975040555
YLL026W,YDL056W,0,-1.3513087,0.1111111119389534,0.0010000000474974513,0.0007999999797903001
YDR216W,YKL176C,0,-1.3955245,0.10000000149011612,0.0010000000474974513,0.0008999999845400453
YMR109W,YPL268W,1,-1.3990829,0.1818181872367859,0.0020000000949949026,0.0008999999845400453
YGL190C,YBR083W,1,-1.4028796,0.25,0.003000000026077032,0.0008999999845400453
YFL030W,YAL034W-A,0,-1.4212902,0.23076923191547394,0.003000000026077032,0.0010000000474974513
YJL019W,YLR203C,0,-1.4258293,0.2142857164144516,0.003000000026077032,0.0010999999940395355
YBR149W,YFR028C,0,-1.4258927,0.20000000298023224,0.003000000026077032,0.0012000000569969416
YKL204W,YGR002C,0,-1.4326138,0.1875,0.003000000026077032,0.0013000000035390258
YJL061W,YIL013C,0,-1.4372987,0.1764705926179886,0.003000000026077032,0.00139999995008111
YGR014W,YLR337C,1,-1.4404577,0.2222222238779068,0.004000000189989805,0.00139999995008111
YOR194C,YER024W,0,-1.4408501,0.21052631735801697,0.004000000189989805,0.001500000013038516
YMR225C,YDR488C,0,-1.4439591,0.20000000298023224,0.004000000189989805,0.0015999999595806003
YHR088W,YER024W,0,-1.4576137,0.190476194024086,0.004000000189989805,0.0017000000225380063
YDR256C,YOR123C,0,-1.4604328,0.1818181872367859,0.004000000189989805,0.0017999999690800905
YDR141C,YKR090W,1,-1.4645702,0.21739129722118378,0.004999999888241291,0.0017999999690800905
YOR301W,YER008C,1,-1.4682499,0.25,0.006000000052154064,0.0017999999690800905
YOR030W,YPL049C,1,-1.4692606,0.2800000011920929,0.007000000216066837,0.0017999999690800905
YPL048W,YDR325W,0,-1.4694303,0.26923078298568726,0.007000000216066837,0.0019000000320374966
YOR232W,YGR144W,0,-1.4892132,0.25925925374031067,0.007000000216066837,0.0020000000949949026
YFL030W,YJR090C,0,-1.49115,0.25,0.007000000216066837,0.002099999925121665
YPL125W,YPL188W,0,-1.4983674,0.24137930572032928,0.007000000216066837,0.002199999988079071
YBR066C,YOR315W,1,-1.4987272,0.2666666805744171,0.00800000037997961,0.002199999988079071
YER125W,YMR005W,0,-1.5060898,0.25806450843811035,0.00800000037997961,0.002300000051036477
YLR342W,YHR186C,1,-1.5076166,0.28125,0.008999999612569809,0.002300000051036477
YER114C,YDL035C,1,-1.5090308,0.3030303120613098,0.009999999776482582,0.002300000051036477
YKL052C,YLR248W,0,-1.5116535,0.29411765933036804,0.009999999776482582,0.002400000113993883
YOL059W,YNR052C,0,-1.5164204,0.2857142984867096,0.009999999776482582,0.0024999999441206455
YGL209W,YOL004W,0,-1.5222617,0.2777777910232544,0.009999999776482582,0.0026000000070780516
YPR184W,YLR096W,0,-1.5295845,0.2702702581882477,0.009999999776482582,0.0027000000700354576
YFR034C,YDR330W,0,-1.5325164,0.2631579041481018,0.009999999776482582,0.00279999990016222
YIR006C,YPR055W,1,-1.5326492,0.28205129504203796,0.010999999940395355,0.00279999990016222
YAL040C,YFL005W,1,-1.5332011,0.30000001192092896,0.012000000104308128,0.00279999990016222
YJR093C,YML010W,0,-1.5332297,0.2926829159259796,0.012000000104308128,0.002899999963119626
YPL242C,YGL006W,0,-1.5374948,0.2857142984867096,0.012000000104308128,0.003000000026077032
YOR140W,YGR002C,0,-1.5387497,0.27906978130340576,0.012000000104308128,0.003100000089034438
