Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGR129W,YJL087C,1,-1.0747478,1.0,0.0010000000474974513,0.0
YDR364C,YKL173W,1,-1.211311,1.0,0.0020000000949949026,0.0
YDR163W,YDL098C,1,-1.2327243,1.0,0.003000000026077032,0.0
YDL165W,YDR478W,1,-1.275278,1.0,0.004000000189989805,0.0
YBR167C,YLR147C,1,-1.3095727,1.0,0.004999999888241291,0.0
YGL174W,YLR147C,1,-1.3783802,1.0,0.006000000052154064,0.0
YHR058C,YDR181C,0,-1.4627237,0.8571428656578064,0.006000000052154064,9.999999747378752e-05
YBR055C,YFL017W-A,1,-1.4627534,0.875,0.007000000216066837,9.999999747378752e-05
YDL165W,YJL203W,1,-1.465271,0.8888888955116272,0.00800000037997961,9.999999747378752e-05
YKR086W,YKL173W,1,-1.4726163,0.8999999761581421,0.008999999612569809,9.999999747378752e-05
YLR226W,YPL055C,0,-1.500942,0.8181818127632141,0.008999999612569809,0.00019999999494757503
YFL017W-A,YIL061C,1,-1.5088634,0.8333333134651184,0.009999999776482582,0.00019999999494757503
YLR147C,YKL173W,1,-1.5950024,0.8461538553237915,0.010999999940395355,0.00019999999494757503
YLR147C,YJL087C,1,-1.6104999,0.8571428656578064,0.012000000104308128,0.00019999999494757503
YAL032C,YFL017W-A,1,-1.6146365,0.8666666746139526,0.013000000268220901,0.00019999999494757503
YGL061C,YDR075W,0,-1.6267868,0.8125,0.013000000268220901,0.0003000000142492354
YLR275W,YLR147C,1,-1.6494703,0.8235294222831726,0.014000000432133675,0.0003000000142492354
YLR147C,YLR277C,1,-1.6705134,0.8333333134651184,0.014999999664723873,0.0003000000142492354
YDR311W,YOL125W,0,-1.6938989,0.7894737124443054,0.014999999664723873,0.00039999998989515007
YDR364C,YDL209C,1,-1.74016,0.800000011920929,0.01600000075995922,0.00039999998989515007
YMR268C,YGR129W,1,-1.7426327,0.8095238208770752,0.017000000923871994,0.00039999998989515007
YPR057W,YNL147W,1,-1.7450383,0.8181818127632141,0.017999999225139618,0.00039999998989515007
YBR167C,YLR275W,1,-1.747911,0.8260869383811951,0.01899999938905239,0.00039999998989515007
YMR268C,YKL012W,1,-1.7490313,0.8333333134651184,0.019999999552965164,0.00039999998989515007
YPR057W,YIR005W,1,-1.7500315,0.8399999737739563,0.020999999716877937,0.00039999998989515007
YBR258C,YDR325W,0,-1.7691789,0.807692289352417,0.020999999716877937,0.0005000000237487257
YMR059W,YPR009W,0,-1.7879992,0.7777777910232544,0.020999999716877937,0.0006000000284984708
YLR319C,YMR138W,0,-1.7927105,0.75,0.020999999716877937,0.000699999975040555
YDR478W,YIL061C,1,-1.8011947,0.7586206793785095,0.02199999988079071,0.000699999975040555
YKL012W,YDR235W,1,-1.8147446,0.7666666507720947,0.023000000044703484,0.000699999975040555
YNL147W,YBR055C,1,-1.8318175,0.774193525314331,0.024000000208616257,0.000699999975040555
YIR005W,YBR119W,1,-1.8352469,0.78125,0.02500000037252903,0.000699999975040555
YMR213W,YLR147C,1,-1.8447945,0.7878788113594055,0.026000000536441803,0.000699999975040555
YKL012W,YBR055C,1,-1.8626578,0.7941176295280457,0.027000000700354576,0.000699999975040555
YIR009W,YLR275W,1,-1.8773689,0.800000011920929,0.02800000086426735,0.000699999975040555
YKL012W,YJL087C,1,-1.8780003,0.8055555820465088,0.028999999165534973,0.000699999975040555
YOR319W,YML049C,1,-1.8796532,0.8108108043670654,0.029999999329447746,0.000699999975040555
YDR235W,YGR048W,1,-1.8903087,0.8157894611358643,0.03099999949336052,0.000699999975040555
YDR364C,YOR319W,1,-1.9008601,0.8205128312110901,0.03200000151991844,0.000699999975040555
YKL139W,YLR147C,1,-1.9260081,0.824999988079071,0.032999999821186066,0.000699999975040555
YGL174W,YBL026W,1,-1.9394858,0.8292682766914368,0.03400000184774399,0.000699999975040555
YGR275W,YPL011C,0,-1.9427621,0.8095238208770752,0.03400000184774399,0.0007999999797903001
YMR078C,YDR339C,0,-1.9523642,0.7906976938247681,0.03400000184774399,0.0008999999845400453
YER068W,YKL173W,1,-1.9526708,0.7954545617103577,0.03500000014901161,0.0008999999845400453
YIL128W,YJL025W,0,-1.9664152,0.7777777910232544,0.03500000014901161,0.0010000000474974513
YKL173W,YMR125W,1,-1.9685645,0.782608687877655,0.035999998450279236,0.0010000000474974513
YNL216W,YOR064C,0,-1.977968,0.7659574747085571,0.035999998450279236,0.0010999999940395355
YAL032C,YDR240C,1,-1.9938723,0.7708333134651184,0.03700000047683716,0.0010999999940395355
YBR188C,YBR055C,1,-1.995184,0.7755101919174194,0.03799999877810478,0.0010999999940395355
YIR009W,YKL018W,1,-1.9960306,0.7799999713897705,0.039000000804662704,0.0010999999940395355
YAL032C,YBR055C,1,-2.0162964,0.7843137383460999,0.03999999910593033,0.0010999999940395355
YGR056W,YFL002C,0,-2.0163736,0.7692307829856873,0.03999999910593033,0.0012000000569969416
YGL174W,YKR086W,1,-2.0183847,0.7735849022865295,0.04100000113248825,0.0012000000569969416
YML107C,YNL236W,0,-2.0195935,0.7592592835426331,0.04100000113248825,0.0013000000035390258
YCR092C,YPL138C,0,-2.0240295,0.7454545497894287,0.04100000113248825,0.00139999995008111
YGR158C,YPL047W,0,-2.0300076,0.7321428656578064,0.04100000113248825,0.001500000013038516
YEL016C,YGL226C-A,0,-2.036501,0.719298243522644,0.04100000113248825,0.0015999999595806003
YDL209C,YBR167C,1,-2.0388238,0.7241379022598267,0.041999999433755875,0.0015999999595806003
YDR195W,YKL173W,1,-2.0496953,0.7288135886192322,0.0430000014603138,0.0015999999595806003
YBR188C,YDR240C,1,-2.0524395,0.7333333492279053,0.04399999976158142,0.0015999999595806003
YIR005W,YFL017W-A,1,-2.0641353,0.7377049326896667,0.04500000178813934,0.0015999999595806003
YJR093C,YDR478W,1,-2.074,0.7419354915618896,0.04600000008940697,0.0015999999595806003
YPL178W,YNL245C,1,-2.0872953,0.7460317611694336,0.04699999839067459,0.0015999999595806003
YPR082C,YKL012W,1,-2.0880773,0.75,0.04800000041723251,0.0015999999595806003
YDR228C,YGR129W,1,-2.096048,0.7538461685180664,0.04899999871850014,0.0015999999595806003
YIR009W,YDR235W,1,-2.1046999,0.7575757503509521,0.05000000074505806,0.0015999999595806003
YDL209C,YOR319W,1,-2.105387,0.7611940503120422,0.050999999046325684,0.0015999999595806003
YNL245C,YFL017W-A,1,-2.1188328,0.7647058963775635,0.052000001072883606,0.0015999999595806003
YJL125C,YML005W,0,-2.1210194,0.7536231875419617,0.052000001072883606,0.0017000000225380063
YNR052C,YKL173W,1,-2.1238203,0.7571428418159485,0.05299999937415123,0.0017000000225380063
YDR240C,YGR129W,1,-2.1243718,0.7605633735656738,0.05400000140070915,0.0017000000225380063
YOR038C,YOR327C,0,-2.127205,0.75,0.05400000140070915,0.0017999999690800905
YMR127C,YBR081C,0,-2.14564,0.7397260069847107,0.05400000140070915,0.0019000000320374966
YOR048C,YDR311W,0,-2.1485343,0.7297297120094299,0.05400000140070915,0.0020000000949949026
YKL012W,YAL032C,1,-2.160996,0.7333333492279053,0.054999999701976776,0.0020000000949949026
YDR195W,YGR129W,1,-2.1666918,0.7368420958518982,0.0560000017285347,0.0020000000949949026
YDR365C,YDL005C,0,-2.1667485,0.7272727489471436,0.0560000017285347,0.002099999925121665
YDL043C,YGR074W,1,-2.1677396,0.7307692170143127,0.05700000002980232,0.002099999925121665
YNL317W,YPL151C,1,-2.1717303,0.7341772317886353,0.057999998331069946,0.002099999925121665
YHR166C,YDR162C,0,-2.174958,0.7250000238418579,0.057999998331069946,0.002199999988079071
YLR275W,YPR101W,1,-2.1913555,0.7283950448036194,0.05900000035762787,0.002199999988079071
YML102W,YDR198C,0,-2.192853,0.7195122241973877,0.05900000035762787,0.002300000051036477
YDR013W,YDL006W,0,-2.1979468,0.7108433842658997,0.05900000035762787,0.002400000113993883
YNL147W,YMR061W,1,-2.2077405,0.7142857313156128,0.05999999865889549,0.002400000113993883
YML112W,YNL207W,0,-2.2147548,0.7058823704719543,0.05999999865889549,0.0024999999441206455
YDR364C,YNL282W,1,-2.2147982,0.7093023061752319,0.061000000685453415,0.0024999999441206455
YGR074W,YIL061C,1,-2.2160876,0.7126436829566956,0.06199999898672104,0.0024999999441206455
YBR065C,YAL043C,1,-2.220043,0.7159090638160706,0.06300000101327896,0.0024999999441206455
YBR167C,YHR062C,1,-2.2216897,0.7191011309623718,0.06400000303983688,0.0024999999441206455
YLR298C,YKL095W,1,-2.2218244,0.7222222089767456,0.06499999761581421,0.0024999999441206455
YMR213W,YGR074W,1,-2.2236483,0.7252747416496277,0.06599999964237213,0.0024999999441206455
YKR002W,YKL173W,1,-2.2254322,0.72826087474823,0.06700000166893005,0.0024999999441206455
YDR163W,YMR268C,1,-2.227264,0.7311828136444092,0.06800000369548798,0.0024999999441206455
YNL317W,YJL087C,1,-2.2280645,0.7340425252914429,0.0689999982714653,0.0024999999441206455
YKL012W,YLR424W,1,-2.230925,0.7368420958518982,0.07000000029802322,0.0024999999441206455
YML046W,YLR147C,1,-2.231688,0.7395833134651184,0.07100000232458115,0.0024999999441206455
YNL199C,YER173W,0,-2.2323825,0.7319587469100952,0.07100000232458115,0.0026000000070780516
YNL317W,YLR147C,1,-2.2332013,0.7346938848495483,0.07199999690055847,0.0026000000070780516
YML049C,YGR074W,1,-2.2370245,0.7373737096786499,0.0729999989271164,0.0026000000070780516
YPL254W,YER147C,0,-2.2370653,0.7300000190734863,0.0729999989271164,0.0027000000700354576
YPL178W,YKL173W,1,-2.2379189,0.7326732873916626,0.07400000095367432,0.0027000000700354576
YKL012W,YFR005C,1,-2.2420175,0.7352941036224365,0.07500000298023224,0.0027000000700354576
YIR005W,YER029C,1,-2.2426634,0.737864077091217,0.07599999755620956,0.0027000000700354576
YGR074W,YLR275W,1,-2.2455552,0.7403846383094788,0.07699999958276749,0.0027000000700354576
YIR005W,YPR094W,1,-2.2507603,0.7428571581840515,0.07800000160932541,0.0027000000700354576
YKL139W,YKL012W,1,-2.250792,0.7452830076217651,0.07900000363588333,0.0027000000700354576
YJR084W,YKR083C,0,-2.2527366,0.7383177280426025,0.07900000363588333,0.00279999990016222
YBR188C,YDR478W,1,-2.2543554,0.7407407164573669,0.07999999821186066,0.00279999990016222
YLR418C,YBR258C,0,-2.2587297,0.7339449524879456,0.07999999821186066,0.002899999963119626
YLR033W,YOL072W,0,-2.2607143,0.7272727489471436,0.07999999821186066,0.003000000026077032
