Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YKL043W,YGL096W,1,5.4070277,1.0,0.0010000000474974513,0.0
YMR037C,YIL101C,1,5.123665,1.0,0.0020000000949949026,0.0
YMR136W,YIL101C,1,5.0770392,1.0,0.003000000026077032,0.0
YDL020C,YIL101C,1,4.785113,1.0,0.004000000189989805,0.0
YIL101C,YML007W,1,4.685571,1.0,0.004999999888241291,0.0
YKL062W,YGL096W,1,4.566113,1.0,0.006000000052154064,0.0
YKR034W,YGL096W,1,4.543678,1.0,0.007000000216066837,0.0
YBR182C,YGL096W,1,4.4775968,1.0,0.00800000037997961,0.0
YER040W,YKL062W,1,4.4427457,1.0,0.008999999612569809,0.0
YER040W,YGL096W,1,4.381043,1.0,0.009999999776482582,0.0
YKR034W,YMR136W,1,4.3600745,1.0,0.010999999940395355,0.0
YDR171W,YGL045W,0,4.1798873,0.9166666865348816,0.010999999940395355,9.999999747378752e-05
YLR403W,YGL096W,1,4.104436,0.9230769276618958,0.012000000104308128,9.999999747378752e-05
YDR463W,YIL101C,1,3.9719515,0.9285714030265808,0.013000000268220901,9.999999747378752e-05
YDR463W,YGL096W,1,3.964767,0.9333333373069763,0.014000000432133675,9.999999747378752e-05
YMR136W,YDR096W,1,3.8168492,0.9375,0.014999999664723873,9.999999747378752e-05
YBR297W,YGL096W,1,3.6785011,0.9411764740943909,0.01600000075995922,9.999999747378752e-05
YHR178W,YGL096W,1,3.6690712,0.9444444179534912,0.017000000923871994,9.999999747378752e-05
YDR151C,YBR182C,1,3.5647025,0.9473684430122375,0.017999999225139618,9.999999747378752e-05
YMR136W,YKL062W,1,3.5639648,0.949999988079071,0.01899999938905239,9.999999747378752e-05
YMR136W,YER040W,1,3.4748578,0.9523809552192688,0.019999999552965164,9.999999747378752e-05
YDR096W,YGL096W,1,3.439664,0.9545454382896423,0.020999999716877937,9.999999747378752e-05
YKR034W,YIL101C,1,3.4083223,0.95652174949646,0.02199999988079071,9.999999747378752e-05
YMR037C,YGL096W,1,3.3818183,0.9583333134651184,0.023000000044703484,9.999999747378752e-05
YER040W,YOR032C,1,3.381113,0.9599999785423279,0.024000000208616257,9.999999747378752e-05
YMR136W,YDR463W,1,3.344005,0.9615384340286255,0.02500000037252903,9.999999747378752e-05
YKL062W,YIL101C,1,3.3330455,0.9629629850387573,0.026000000536441803,9.999999747378752e-05
YJR127C,YDR463W,1,3.3032627,0.9642857313156128,0.027000000700354576,9.999999747378752e-05
YOR032C,YBR297W,1,3.214192,0.9655172228813171,0.02800000086426735,9.999999747378752e-05
YER040W,YIL101C,1,3.0952115,0.9666666388511658,0.028999999165534973,9.999999747378752e-05
YLR403W,YIL101C,1,3.086484,0.9677419066429138,0.029999999329447746,9.999999747378752e-05
YOR032C,YGL096W,1,3.0698729,0.96875,0.03099999949336052,9.999999747378752e-05
YAR019C,YLR284C,0,3.06421,0.939393937587738,0.03099999949336052,0.00019999999494757503
YDR096W,YER040W,1,3.0297952,0.9411764740943909,0.03200000151991844,0.00019999999494757503
YOR028C,YML128C,0,3.0083704,0.9142857193946838,0.03200000151991844,0.0003000000142492354
YDR151C,YDR096W,1,2.9711013,0.9166666865348816,0.032999999821186066,0.0003000000142492354
YMR136W,YBR182C,1,2.948257,0.9189189076423645,0.03400000184774399,0.0003000000142492354
YGR288W,YIL101C,1,2.9035115,0.9210526347160339,0.03500000014901161,0.0003000000142492354
YKL043W,YHR178W,1,2.805686,0.9230769276618958,0.035999998450279236,0.0003000000142492354
YMR280C,YBR114W,0,2.7954178,0.8999999761581421,0.035999998450279236,0.00039999998989515007
YJR077C,YOL011W,0,2.7629948,0.8780487775802612,0.035999998450279236,0.0005000000237487257
YJR127C,YGL096W,1,2.7500281,0.8809523582458496,0.03700000047683716,0.0005000000237487257
YLR201C,YKL188C,0,2.7429023,0.8604651093482971,0.03700000047683716,0.0006000000284984708
YPR201W,YOR100C,0,2.6956553,0.8409090638160706,0.03700000047683716,0.000699999975040555
YMR136W,YDL020C,1,2.6558385,0.8444444537162781,0.03799999877810478,0.000699999975040555
YNR058W,YJL060W,0,2.6448455,0.8260869383811951,0.03799999877810478,0.0007999999797903001
YHR178W,YIL101C,1,2.624055,0.8297872543334961,0.039000000804662704,0.0007999999797903001
YDR216W,YGL096W,1,2.6086287,0.8333333134651184,0.03999999910593033,0.0007999999797903001
YOR380W,YIL101C,1,2.5842628,0.8367347121238708,0.04100000113248825,0.0007999999797903001
YOR380W,YGL096W,1,2.5762277,0.8399999737739563,0.041999999433755875,0.0007999999797903001
YOR173W,YFR048W,0,2.5688772,0.8235294222831726,0.041999999433755875,0.0008999999845400453
YJR127C,YHR178W,1,2.4177804,0.8269230723381042,0.0430000014603138,0.0008999999845400453
YNL023C,YGL096W,1,2.3945332,0.8301886916160583,0.04399999976158142,0.0008999999845400453
YMR136W,YGL096W,1,2.375874,0.8333333134651184,0.04500000178813934,0.0008999999845400453
YML076C,YIL101C,1,2.349308,0.8363636136054993,0.04600000008940697,0.0008999999845400453
