Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YMR316W,YML027W,0,15.722837,0.0,0.0,9.999999747378752e-05
YJR002W,YLR266C,0,8.875527,0.0,0.0,0.00019999999494757503
YDR479C,YMR137C,0,7.7426105,0.0,0.0,0.0003000000142492354
YCR034W,YOR297C,0,7.4986854,0.0,0.0,0.00039999998989515007
YNL111C,YDR202C,0,6.0055428,0.0,0.0,0.0005000000237487257
YNR056C,YBL075C,0,5.450412,0.0,0.0,0.0006000000284984708
YML071C,YGR248W,0,5.38238,0.0,0.0,0.000699999975040555
YDL079C,YPL026C,1,5.2348013,0.125,0.0010000000474974513,0.000699999975040555
YNL225C,YIL123W,0,5.0429263,0.1111111119389534,0.0010000000474974513,0.0007999999797903001
YLL019C,YMR104C,1,5.0236425,0.20000000298023224,0.0020000000949949026,0.0007999999797903001
YDR283C,YMR104C,1,4.8446,0.27272728085517883,0.003000000026077032,0.0007999999797903001
YDR343C,YHR160C,0,4.7133174,0.25,0.003000000026077032,0.0008999999845400453
YNR002C,YGR060W,0,4.594027,0.23076923191547394,0.003000000026077032,0.0010000000474974513
YPL046C,YJL102W,0,4.5765834,0.2142857164144516,0.003000000026077032,0.0010999999940395355
YNL307C,YMR104C,1,4.5581512,0.2666666805744171,0.004000000189989805,0.0010999999940395355
YLR205C,YPL135W,0,4.380194,0.25,0.004000000189989805,0.0012000000569969416
YGR108W,YNL160W,0,4.2786374,0.23529411852359772,0.004000000189989805,0.0013000000035390258
YGR109C,YIL154C,0,4.2767534,0.2222222238779068,0.004000000189989805,0.00139999995008111
YDR256C,YEL034W,0,4.232933,0.21052631735801697,0.004000000189989805,0.001500000013038516
YBL009W,YMR104C,1,4.062521,0.25,0.004999999888241291,0.001500000013038516
YLR214W,YDL081C,0,4.0597644,0.2380952388048172,0.004999999888241291,0.0015999999595806003
YGR199W,YJL203W,0,3.9812818,0.22727273404598236,0.004999999888241291,0.0017000000225380063
YBR145W,YCL027W,0,3.9359243,0.21739129722118378,0.004999999888241291,0.0017999999690800905
YNL070W,YGL098W,0,3.9198508,0.2083333283662796,0.004999999888241291,0.0019000000320374966
YPL060W,YCR012W,0,3.8856993,0.20000000298023224,0.004999999888241291,0.0020000000949949026
YNR053C,YDR435C,0,3.8500047,0.19230769574642181,0.004999999888241291,0.002099999925121665
YOR233W,YDR453C,0,3.7384348,0.18518517911434174,0.004999999888241291,0.002199999988079071
YEL034W,YKL194C,0,3.645654,0.1785714328289032,0.004999999888241291,0.002300000051036477
YPR111W,YDL079C,1,3.6300387,0.2068965584039688,0.006000000052154064,0.002300000051036477
YDL055C,YOR048C,0,3.6172986,0.20000000298023224,0.006000000052154064,0.002400000113993883
YNR053C,YFR040W,0,3.4958282,0.19354838132858276,0.006000000052154064,0.0024999999441206455
YLL026W,YOL117W,0,3.4889414,0.1875,0.006000000052154064,0.0026000000070780516
YGR113W,YCR061W,0,3.4887824,0.1818181872367859,0.006000000052154064,0.0027000000700354576
YGR088W,YDR386W,0,3.4881833,0.1764705926179886,0.006000000052154064,0.00279999990016222
YCL010C,YJL074C,0,3.4796298,0.17142857611179352,0.006000000052154064,0.002899999963119626
YBL009W,YPL203W,1,3.4730406,0.1944444477558136,0.007000000216066837,0.002899999963119626
YCL039W,YHR200W,0,3.4671886,0.18918919563293457,0.007000000216066837,0.003000000026077032
YDR022C,YFL014W,0,3.4176319,0.18421052396297455,0.007000000216066837,0.003100000089034438
YNL270C,YLL061W,0,3.3627152,0.1794871836900711,0.007000000216066837,0.0031999999191612005
YGR121C,YJR073C,0,3.2712054,0.17499999701976776,0.007000000216066837,0.0032999999821186066
YPR111W,YMR104C,1,3.2525108,0.19512194395065308,0.00800000037997961,0.0032999999821186066
YOL113W,YMR104C,1,3.2408257,0.2142857164144516,0.008999999612569809,0.0032999999821186066
YDR263C,YIL076W,0,3.2325802,0.20930232107639313,0.008999999612569809,0.0034000000450760126
YOR127W,YFR003C,0,3.2271092,0.20454545319080353,0.008999999612569809,0.0035000001080334187
YAL040C,YNR008W,0,3.2018023,0.20000000298023224,0.008999999612569809,0.003599999938160181
YDL069C,YKR079C,0,3.1891034,0.19565217196941376,0.008999999612569809,0.003700000001117587
YNL094W,YEL041W,0,3.181061,0.19148936867713928,0.008999999612569809,0.003800000064074993
YMR229C,YHR048W,0,3.1600692,0.1875,0.008999999612569809,0.0038999998942017555
YJL102W,YGL210W,0,3.145297,0.18367347121238708,0.008999999612569809,0.004000000189989805
YPR017C,YIL097W,0,3.132494,0.18000000715255737,0.008999999612569809,0.004100000020116568
YIL124W,YBR223C,0,3.111723,0.1764705926179886,0.008999999612569809,0.00419999985024333
YCL039W,YIL160C,0,3.1112614,0.17307692766189575,0.008999999612569809,0.00430000014603138
YCR073C,YMR104C,1,3.106738,0.18867924809455872,0.009999999776482582,0.00430000014603138
YMR250W,YKL064W,0,3.1054478,0.18518517911434174,0.009999999776482582,0.004399999976158142
YDL132W,YDR013W,0,3.0674765,0.1818181872367859,0.009999999776482582,0.0044999998062849045
