Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBR085W,YGR244C,1,82.26752,1.0,0.0009891196386888623,0.0
YBR085W,YLL041C,1,76.89743,1.0,0.0019782392773777246,0.0
YGL191W,YBR085W,1,73.68551,1.0,0.002967359032481909,0.0
YLR256W,YJR048W,1,71.83246,1.0,0.003956478554755449,0.0
YBR085W,YGL187C,1,71.21509,1.0,0.004945598542690277,0.0
YBR085W,YBR185C,1,68.03862,1.0,0.005934718064963818,0.0
YBR026C,YMR145C,1,65.740814,1.0,0.006923837587237358,0.0
YMR145C,YEL024W,1,62.17485,1.0,0.007912957109510899,0.0
YBR085W,YFR033C,1,57.275383,1.0,0.008902077563107014,0.0
YJL026W,YGR183C,1,56.510513,1.0,0.009891197085380554,0.0
YJR048W,YNL009W,1,53.78843,1.0,0.010880316607654095,0.0
YEL039C,YML025C,1,53.761593,1.0,0.011869436129927635,0.0
YPR001W,YLR174W,1,52.42492,1.0,0.012858555652201176,0.0
YIL125W,YJR048W,1,52.33866,1.0,0.013847675174474716,0.0
YBR039W,YJR073C,0,51.358616,0.9333333373069763,0.013847675174474716,0.00010011011909227818
YER062C,YJL051W,0,50.206028,0.875,0.013847675174474716,0.00020022023818455637
YKL085W,YLR256W,1,49.906136,0.8823529481887817,0.014836795628070831,0.00020022023818455637
YKR046C,YOR355W,1,49.32295,0.8888888955116272,0.015825914219021797,0.00020022023818455637
YER065C,YBL030C,1,49.13157,0.8947368264198303,0.016815034672617912,0.00020022023818455637
YER065C,YGR244C,1,49.097504,0.8999999761581421,0.017804155126214027,0.00020022023818455637
YGL169W,YCR005C,1,48.417553,0.9047619104385376,0.018793273717164993,0.00020022023818455637
YKR046C,YOR297C,1,47.448425,0.9090909361839294,0.01978239417076111,0.00020022023818455637
YJR048W,YBR026C,1,47.41147,0.9130434989929199,0.020771512761712074,0.00020022023818455637
YPR100W,YLR174W,1,47.32554,0.9166666865348816,0.02176063321530819,0.00020022023818455637
YMR056C,YEL039C,1,47.198494,0.9200000166893005,0.022749751806259155,0.00020022023818455637
YKL093W,YBL030C,1,47.061203,0.9230769276618958,0.02373887225985527,0.00020022023818455637
YJL103C,YJR077C,1,47.046295,0.9259259104728699,0.024727992713451385,0.00020022023818455637
YNL117W,YOR065W,1,46.817406,0.9285714030265808,0.02571711130440235,0.00020022023818455637
YKL055C,YEL039C,1,46.581444,0.931034505367279,0.026706231757998466,0.00020022023818455637
YDR178W,YLR256W,1,46.447212,0.9333333373069763,0.027695350348949432,0.00020022023818455637
YGR244C,YGL187C,1,46.28495,0.9354838728904724,0.028684470802545547,0.00020022023818455637
YKL093W,YLR174W,1,46.210846,0.9375,0.029673591256141663,0.00020022023818455637
YEL039C,YGL187C,1,45.217888,0.939393937587738,0.03066270984709263,0.00020022023818455637
YCR005C,YPR100W,1,45.209686,0.9411764740943909,0.031651828438043594,0.00020022023818455637
YNR001C,YFR033C,1,45.108017,0.9428571462631226,0.03264094889163971,0.00020022023818455637
YGL191W,YGR244C,1,44.950264,0.9444444179534912,0.033630069345235825,0.00020022023818455637
YJL103C,YJL026W,1,44.677757,0.9459459185600281,0.03461918979883194,0.00020022023818455637
YBR079C,YEL012W,0,44.234035,0.9210526347160339,0.03461918979883194,0.0003003303718287498
YDL014W,YML128C,0,44.182198,0.8974359035491943,0.03461918979883194,0.00040044047636911273
YOR355W,YML120C,1,44.10488,0.8999999761581421,0.035608310252428055,0.00040044047636911273
YPL061W,YJL089W,0,43.832504,0.8780487775802612,0.035608310252428055,0.0005005506100133061
YNL117W,YOR142W,1,43.617245,0.8809523582458496,0.03659742698073387,0.0005005506100133061
YGR244C,YHR051W,1,43.599037,0.8837209343910217,0.03758654743432999,0.0005005506100133061
YKR024C,YOR173W,0,43.549286,0.8636363744735718,0.03758654743432999,0.0006006607436574996
YNL117W,YBR185C,1,43.15628,0.8666666746139526,0.0385756678879261,0.0006006607436574996
YKR046C,YOL101C,0,42.867622,0.8478260636329651,0.0385756678879261,0.000700770819094032
YJL209W,YLL041C,1,42.74076,0.8510638475418091,0.03956478834152222,0.000700770819094032
YJL103C,YGL187C,1,42.563187,0.8541666865348816,0.04055390879511833,0.000700770819094032
YKL093W,YGR244C,1,42.47412,0.8571428656578064,0.04154302552342415,0.000700770819094032
YBR085W,YPL132W,1,42.030922,0.8600000143051147,0.042532145977020264,0.000700770819094032
YBR169C,YOL040C,0,42.012985,0.843137264251709,0.042532145977020264,0.0008008809527382255
YLR256W,YDR322W,1,42.002808,0.8461538553237915,0.04352126643061638,0.0008008809527382255
YDR079W,YPR191W,1,41.997925,0.849056601524353,0.044510386884212494,0.0008008809527382255
YLR153C,YJL089W,0,41.819702,0.8333333134651184,0.044510386884212494,0.0009009910863824189
YNL052W,YML120C,1,41.72397,0.8363636136054993,0.04549950361251831,0.0009009910863824189
YOR065W,YOL126C,1,41.6613,0.8392857313156128,0.046488624066114426,0.0009009910863824189
YGL169W,YDR178W,1,41.57277,0.8421052694320679,0.04747774451971054,0.0009009910863824189
YKL093W,YEL024W,1,41.46886,0.8448275923728943,0.048466864973306656,0.0009009910863824189
YJL103C,YPL061W,1,41.080624,0.8474576473236084,0.04945598542690277,0.0009009910863824189
YBL038W,YLR174W,0,40.799522,0.8333333134651184,0.04945598542690277,0.0010011012200266123
YGL169W,YBR026C,1,40.640163,0.8360655903816223,0.05044510215520859,0.0010011012200266123
YCR005C,YDR375C,1,40.29207,0.8387096524238586,0.0514342226088047,0.0010011012200266123
YLR027C,YGR256W,0,40.180965,0.8253968358039856,0.0514342226088047,0.0011012112954631448
YDL181W,YKL180W,0,39.99974,0.8125,0.0514342226088047,0.001201321487314999
YIR039C,YGL111W,0,39.79966,0.800000011920929,0.0514342226088047,0.0013014315627515316
