Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGL050W,YPR125W,1,420.62033,1.0,0.0009813542710617185,0.0
YPR125W,YHR046C,1,49.967617,1.0,0.001962708542123437,0.0
YBR061C,YGR024C,1,44.34314,1.0,0.0029440626967698336,0.0
YBR195C,YBR261C,1,42.175804,1.0,0.003925417084246874,0.0
YHR072W-A,YHR046C,1,40.492172,1.0,0.0049067712388932705,0.0
YKL178C,YGL170C,0,40.2815,0.8333333134651184,0.0049067712388932705,0.0001001903583528474
YDL036C,YPL252C,1,39.679497,0.8571428656578064,0.005888125393539667,0.0001001903583528474
YBR002C,YHR046C,1,36.83209,0.875,0.006869480013847351,0.0001001903583528474
YBR195C,YHR046C,1,36.14007,0.8888888955116272,0.007850834168493748,0.0001001903583528474
YGR035C,YHR046C,1,35.33549,0.8999999761581421,0.008832188323140144,0.0001001903583528474
YAR014C,YNL191W,1,35.21304,0.9090909361839294,0.009813542477786541,0.0001001903583528474
YML042W,YPL252C,0,34.24411,0.8333333134651184,0.009813542477786541,0.0002003807167056948
YOL141W,YHR046C,1,32.80668,0.8461538553237915,0.010794896632432938,0.0002003807167056948
YHR046C,YOR127W,0,32.61995,0.7857142686843872,0.010794896632432938,0.0003005710896104574
YMR288W,YOR251C,1,32.511436,0.800000011920929,0.011776250787079334,0.0003005710896104574
YHR046C,YGR001C,0,31.165482,0.75,0.011776250787079334,0.0004007614334113896
YHR031C,YLR014C,1,30.50677,0.7647058963775635,0.012757605873048306,0.0004007614334113896
YDL217C,YDR364C,1,30.103222,0.7777777910232544,0.013738960027694702,0.0004007614334113896
YIL047C,YHR046C,1,29.553593,0.7894737124443054,0.014720314182341099,0.0004007614334113896
YGR035C,YKR038C,1,29.10582,0.800000011920929,0.015701668336987495,0.0004007614334113896
YEL036C,YPL252C,1,29.01775,0.8095238208770752,0.016683023422956467,0.0004007614334113896
YNR027W,YPR125W,1,28.680094,0.8181818127632141,0.01766437664628029,0.0004007614334113896
YNR070W,YLR226W,0,27.990091,0.782608687877655,0.01766437664628029,0.0005009518354199827
