Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YER125W,YHR073W,1,17.11725,1.0,0.0009960159659385681,0.0
YOR109W,YNL227C,1,16.485065,1.0,0.0019920319318771362,0.0
YOR043W,YKR014C,1,16.406082,1.0,0.0029880478978157043,0.0
YOR034C,YDR388W,1,15.046672,1.0,0.0039840638637542725,0.0
YNL032W,YLR056W,1,14.401045,1.0,0.004980079829692841,0.0
YLR337C,YCR009C,1,14.313389,1.0,0.005976095795631409,0.0
YBL047C,YDR129C,1,14.137844,1.0,0.006972111761569977,0.0
YBL047C,YGR086C,1,13.903205,1.0,0.007968127727508545,0.0
YLR337C,YHR135C,1,13.743681,1.0,0.008964143693447113,0.0
YAL026C,YBR109C,1,13.540863,1.0,0.009960159659385681,0.0
YDR177W,YAL030W,1,13.462513,1.0,0.01095617562532425,0.0
YLR337C,YFL039C,1,13.175743,1.0,0.011952191591262817,0.0
YOR034C,YNL243W,1,13.095501,1.0,0.012948207557201385,0.0
YBR059C,YLL038C,1,13.017872,1.0,0.013944223523139954,0.0
YKL203C,YLL038C,1,12.957053,1.0,0.014940239489078522,0.0
YNL032W,YBR207W,1,12.950356,1.0,0.01593625545501709,0.0
YLR056W,YNL297C,1,12.730248,1.0,0.016932271420955658,0.0
YIL095W,YNL020C,1,12.660633,1.0,0.017928287386894226,0.0
YCR028C,YIL048W,1,12.485331,1.0,0.018924303352832794,0.0
YNL032W,YOR034C,1,12.418278,1.0,0.019920319318771362,0.0
YNL084C,YGR167W,1,12.397169,1.0,0.02091633528470993,0.0
YER125W,YGL206C,1,12.289856,1.0,0.0219123512506485,0.0
YCL034W,YGR086C,1,12.279468,1.0,0.022908367216587067,0.0
YDL019C,YOR089C,1,12.205137,1.0,0.023904383182525635,0.0
YIR006C,YNL297C,1,12.186623,1.0,0.024900399148464203,0.0
YDL231C,YGL206C,1,12.104816,1.0,0.02589641511440277,0.0
YML052W,YPR171W,1,12.086686,1.0,0.02689243108034134,0.0
YOR109W,YPR171W,1,12.049572,1.0,0.027888447046279907,0.0
YNL297C,YNL243W,1,11.984951,1.0,0.028884463012218475,0.0
YBR214W,YKR014C,1,11.966194,1.0,0.029880478978157043,0.0
YLL038C,YEL027W,1,11.95992,1.0,0.03087649494409561,0.0
YDL019C,YLL038C,1,11.928241,1.0,0.03187251091003418,0.0
YGR241C,YPL004C,1,11.916832,1.0,0.03286852687597275,0.0
YML052W,YDL019C,1,11.90515,1.0,0.033864542841911316,0.0
YIL095W,YBR059C,1,11.900302,1.0,0.034860558807849884,0.0
YHR073W,YOR322C,1,11.899916,1.0,0.03585657477378845,0.0
YBL007C,YNL297C,1,11.870665,1.0,0.03685259073972702,0.0
YML052W,YDR059C,1,11.834618,1.0,0.03784860670566559,0.0
YOR109W,YKR014C,1,11.832292,1.0,0.038844622671604156,0.0
YCR094W,YBR109C,1,11.715603,1.0,0.039840638637542725,0.0
YDR177W,YDL231C,1,11.630448,1.0,0.04083665460348129,0.0
YOR327C,YGL206C,1,11.621325,1.0,0.04183267056941986,0.0
YLR056W,YKR014C,1,11.594439,1.0,0.04282868653535843,0.0
YGR167W,YPL145C,1,11.554686,1.0,0.043824702501297,0.0
YLR337W,YOR322C,1,11.512255,1.0,0.044820718467235565,0.0
YAL026C,YKL126W,1,11.485062,1.0,0.04581673443317413,0.0
YBR214W,YPL145C,1,11.434813,1.0,0.0468127503991127,0.0
YLR337W,YMR109W,1,11.421751,1.0,0.04780876636505127,0.0
YBR207W,YGR241C,1,11.390139,1.0,0.04880478233098984,0.0
YIL095W,YEL027W,1,11.368202,1.0,0.049800798296928406,0.0
YCL034W,YHR135C,1,11.343502,1.0,0.050796814262866974,0.0
YPL004C,YHR135C,1,11.279827,1.0,0.05179283022880554,0.0
YDL231C,YDR093W,1,11.256055,1.0,0.05278884619474411,0.0
YDR490C,YOR322C,1,11.103783,1.0,0.05378486216068268,0.0
YOR109W,YOR237W,1,11.100813,1.0,0.054780878126621246,0.0
YDR059C,YBR109C,1,11.100189,1.0,0.055776894092559814,0.0
YIR006C,YHR114W,1,11.092712,1.0,0.05677291005849838,0.0
YKL126W,YGR086C,1,11.022568,1.0,0.05776892602443695,0.0
YBR207W,YOR089C,1,10.995348,1.0,0.05876494199037552,0.0
YAR044W,YAL030W,1,10.983063,1.0,0.05976095795631409,0.0
YBR207W,YNL243W,1,10.97636,1.0,0.060756973922252655,0.0
YAR044W,YGL206C,1,10.964264,1.0,0.06175298988819122,0.0
YNL227C,YFL039C,1,10.906337,1.0,0.06274900585412979,0.0
YIR006C,YBR109C,1,10.877405,1.0,0.06374502182006836,0.0
YDL231C,YCR053W,1,10.869919,1.0,0.06474103778600693,0.0
YPL004C,YAL030W,1,10.833676,1.0,0.0657370537519455,0.0
YOR089C,YPL145C,1,10.797216,1.0,0.06673306971788406,0.0
YGR241C,YDR490C,1,10.796624,1.0,0.06772908568382263,0.0
YML052W,YNL243W,1,10.787201,1.0,0.0687251016497612,0.0
YBR059C,YFL039C,1,10.771174,1.0,0.06972111761569977,0.0
YLR337W,YNL032W,1,10.757019,1.0,0.07071713358163834,0.0
