,Name,+/-,Folds,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
0,YOR317W YNL113W,0.0,NA,2.2747004039731548e-33,703,7029,1,0,0.09103840682788052,0.09092084842214175,1.0,0.9998577524893314,0.0001422475106685633
1,YDR504C YIL079C,0.0,NA,6.710126500708492e-30,703,7028,2,0,0.09116772274667012,0.09093260897684646,1.0,0.9997155049786629,0.0002844950213371266
2,YLL008W YBR072W,0.0,NA,9.286638589575274e-30,703,7027,3,0,0.09129703866545971,0.0909443725743855,1.0,0.9995732574679943,0.0004267425320056899
3,YJL060W YKR026C,0.0,NA,6.206826237607314e-29,703,7026,4,0,0.09142635458424932,0.09095613921593997,1.0,0.9994310099573257,0.0005689900426742532
4,YIL088C YLR286C,0.0,NA,7.335785787630831e-28,703,7025,5,0,0.09155567050303892,0.0909679089026915,1.0,0.9992887624466572,0.0007112375533428165
5,YPL183C YDR284C,0.0,NA,1.0790262291707565e-27,703,7024,6,0,0.09168498642182853,0.09097968163582244,1.0,0.9991465149359886,0.0008534850640113798
6,YER015W YHR092C,0.0,NA,2.211409769671778e-27,703,7023,7,0,0.09181430234061813,0.09099145741651567,1.0,0.99900426742532,0.000995732574679943
7,YOR106W YER103W,0.0,NA,4.388478282505187e-27,703,7022,8,0,0.09194361825940774,0.09100323624595469,1.0,0.9988620199146515,0.0011379800853485065
8,YPL154C YIL079C,0.0,NA,1.3235960630223474e-25,703,7021,9,0,0.09207293417819734,0.09101501812532367,1.0,0.9987197724039829,0.0012802275960170698
9,YJR072C YHR096C,0.0,NA,2.3219908738812204e-25,703,7020,10,0,0.09220225009698695,0.09102680305580733,1.0,0.9985775248933144,0.001422475106685633
10,YKL188C YLR286C,0.0,NA,2.7007074637787567e-25,703,7019,11,0,0.09233156601577654,0.09103859103859104,1.0,0.9984352773826458,0.0015647226173541964
11,YHR001W-A YMR302C,0.0,NA,4.286905338128347e-25,703,7018,12,0,0.09246088193456614,0.09105038207486077,1.0,0.9982930298719772,0.0017069701280227596
12,YML086C YOL077C,0.0,NA,5.162067133342472e-25,703,7017,13,0,0.09259019785335575,0.0910621761658031,1.0,0.9981507823613087,0.001849217638691323
13,YOR185C YEL015W,0.0,NA,1.0909643593834215e-24,703,7016,14,0,0.09271951377214535,0.09107397331260526,1.0,0.9980085348506401,0.001991465149359886
14,YPR154W YMR233W,0.0,NA,1.3731709665791205e-24,703,7015,15,0,0.09284882969093496,0.09108577351645504,1.0,0.9978662873399715,0.0021337126600284497
15,YJL153C YDR384C,0.0,NA,1.737566723514694e-24,703,7014,16,0,0.09297814560972456,0.09109757677854088,1.0,0.997724039829303,0.002275960170697013
16,YMR202W YBR261C,0.0,NA,1.9928673559931807e-24,703,7013,17,0,0.09310746152851417,0.09110938310005184,1.0,0.9975817923186344,0.0024182076813655763
17,YJL189W YOR348C,0.0,NA,2.0499562336278938e-24,703,7012,18,0,0.09323677744730376,0.09112119248217758,1.0,0.9974395448079658,0.0025604551920341396
18,YGR285C YDR001C,0.0,NA,2.2141227239545913e-24,703,7011,19,0,0.09336609336609336,0.09113300492610837,1.0,0.9972972972972973,0.002702702702702703
19,YDR511W YLR203C,0.0,NA,2.5661160097382803e-24,703,7010,20,0,0.09349540928488297,0.09114482043303514,1.0,0.9971550497866287,0.002844950213371266
20,YBR260C YDR490C,0.0,NA,4.087444915079222e-24,703,7009,21,0,0.09362472520367257,0.09115663900414937,1.0,0.9970128022759601,0.0029871977240398294
21,YLR043C YOR120W,0.0,NA,4.492572321564525e-24,703,7008,22,0,0.09375404112246218,0.09116846064064324,1.0,0.9968705547652916,0.0031294452347083927
