,Name,+/-,Folds,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
0,YBR089C-A YBR090C-A,0.0,NA,2.421172151656492e-09,12,10877,1,0,0.0011937557392102847,0.0011020295711268253,1.0,0.9999080713366427,9.192866335723479e-05
1,YGR043C YOL097C,0.0,NA,2.3268967197509483e-08,12,10876,2,0,0.0012855831037649219,0.0011021307861866275,1.0,0.9998161426732856,0.00018385732671446958
2,YLR051C YDR074W,0.0,NA,2.9108056764926005e-07,12,10875,3,0,0.0013774104683195593,0.0011022320198401765,1.0,0.9997242140099283,0.0002757859900717044
3,YLL008W YGL095C,0.0,NA,3.2007474715101125e-07,12,10874,4,0,0.0014692378328741965,0.001102333272092596,1.0,0.9996322853465711,0.00036771465342893915
4,YNL151C YPL007C,0.0,NA,3.328901527765993e-07,12,10873,5,0,0.0015610651974288339,0.0011024345429490124,1.0,0.9995403566832138,0.00045964331678617393
5,YBR267W YOL032W,0.0,NA,3.4258277992194053e-07,12,10872,6,0,0.001652892561983471,0.0011025358324145535,1.0,0.9994484280198566,0.0005515719801434088
6,YPL119C YBR182C,0.0,NA,3.570722526546888e-07,12,10871,7,0,0.0017447199265381084,0.001102637140494349,1.0,0.9993564993564994,0.0006435006435006435
7,YHR087W YNL061W,0.0,NA,3.869094484798552e-07,12,10870,8,0,0.0018365472910927456,0.0011027384671935306,1.0,0.9992645706931421,0.0007354293068578783
8,YDR023W YFL020C,0.0,NA,6.116335953265661e-07,12,10869,9,0,0.001928374655647383,0.0011028398125172319,1.0,0.9991726420297848,0.000827357970215113
9,YBR001C YDL201W,0.0,NA,6.433713224396342e-07,12,10868,10,0,0.00202020202020202,0.0011029411764705882,1.0,0.9990807133664277,0.0009192866335723479
10,YPR190C YKL144C,0.0,NA,6.997088917159999e-07,12,10867,11,0,0.0021120293847566576,0.001103042559058737,1.0,0.9989887847030704,0.0010112152969295827
11,YDL083C YOR173W,0.0,NA,7.834491384528519e-07,12,10866,12,0,0.0022038567493112946,0.0011031439602868175,1.0,0.9988968560397132,0.0011031439602868175
12,YCL052C YNL132W,0.0,NA,8.186355557882052e-07,12,10865,13,0,0.002295684113865932,0.0011032453801599707,1.0,0.998804927376356,0.0011950726236440521
13,YBR104W YOL117W,0.0,NA,8.56126291637338e-07,12,10864,14,0,0.0023875114784205694,0.0011033468186833395,1.0,0.9987129987129987,0.001287001287001287
14,YPL152W YOR101W,0.0,NA,9.930678288583294e-07,12,10863,15,0,0.0024793388429752068,0.001103448275862069,1.0,0.9986210700496415,0.0013789299503585218
15,YAR027W YLR276C,0.0,NA,1.050580408445967e-06,12,10862,16,0,0.0025711662075298437,0.001103549751701306,1.0,0.9985291413862842,0.0014708586137157566
16,YMR290C YGL111W,0.0,NA,1.0657821576387505e-06,12,10861,17,0,0.002662993572084481,0.0011036512462061989,1.0,0.998437212722927,0.0015627872770729914
17,YDR001C YDR087C,0.0,NA,1.1282847935945028e-06,12,10860,18,0,0.0027548209366391185,0.0011037527593818985,1.0,0.9983452840595698,0.001654715940430226
18,YML056C YGL148W,0.0,NA,1.1339446928104735e-06,12,10859,19,0,0.002846648301193756,0.0011038542912335573,1.0,0.9982533553962125,0.0017466446037874609
19,YBR018C YJR110W,0.0,NA,1.1402190693843295e-06,12,10858,20,0,0.002938475665748393,0.0011039558417663294,1.0,0.9981614267328554,0.0018385732671446957
20,YPL119C YHL033C,0.0,NA,1.1693979331539595e-06,12,10857,21,0,0.0030303030303030303,0.0011040574109853713,1.0,0.9980694980694981,0.0019305019305019305
21,YNL151C YKL144C,0.0,NA,1.2214613889227621e-06,12,10856,22,0,0.0031221303948576677,0.001104158998895841,1.0,0.9979775694061408,0.0020224305938591654
22,YGR285C YLR299W,0.0,NA,1.2729758509522071e-06,12,10855,23,0,0.0032139577594123047,0.0011042606055028986,1.0,0.9978856407427836,0.0021143592572164
23,YJL148W YKL034W,0.0,NA,1.2988928119739285e-06,12,10854,24,0,0.003305785123966942,0.0011043622308117063,1.0,0.9977937120794264,0.002206287920573635
24,YKL099C YBL102W,0.0,NA,1.3370666920309304e-06,12,10853,25,0,0.0033976124885215795,0.0011044638748274275,1.0,0.9977017834160691,0.0022982165839308694
25,YMR225C YKL224C,0.0,NA,1.4116460533841746e-06,12,10852,26,0,0.003489439853076217,0.0011045655375552283,1.0,0.9976098547527119,0.0023901452472881043
26,YGR285C YMR136W,0.0,NA,1.4377745856108959e-06,12,10851,27,0,0.003581267217630854,0.0011046672190002762,1.0,0.9975179260893546,0.002482073910645339
27,YDR045C YJL011C,0.0,NA,1.441716676708893e-06,12,10850,28,0,0.0036730945821854912,0.0011047689191677407,1.0,0.9974259974259975,0.002574002574002574
28,YER150W YNL162W,0.0,NA,1.441938024981937e-06,12,10849,29,0,0.0037649219467401286,0.0011048706380627936,1.0,0.9973340687626402,0.0026659312373598087
29,YBR169C YDR382W,0.0,NA,1.4647486068497528e-06,12,10848,30,0,0.003856749311294766,0.0011049723756906078,1.0,0.9972421400992829,0.0027578599007170436
