Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YKR056W,YJL098W,1,6.9645243,1.0,0.0009900990407913923,0.0
YML080W,YNR046W,1,6.50684,1.0,0.0019801980815827847,0.0
YGL111W,YGR145W,0,6.502978,0.6666666865348816,0.0019801980815827847,0.00010010010009864345
YOL077C,YGR145W,0,6.497227,0.5,0.0019801980815827847,0.0002002002001972869
YGL050W,YBR061C,1,6.448061,0.6000000238418579,0.002970297122374177,0.0002002002001972869
YML014W,YDR120C,1,6.363339,0.6666666865348816,0.003960396163165569,0.0002002002001972869
YJL098W,YNR015W,1,6.005668,0.7142857313156128,0.004950494971126318,0.0002002002001972869
YOL093W,YKR056W,1,5.9664555,0.75,0.005940594244748354,0.0002002002001972869
YDR280W,YLR221C,0,5.9458146,0.6666666865348816,0.005940594244748354,0.00030030030757188797
YLL011W,YLR051C,0,5.8053102,0.6000000238418579,0.005940594244748354,0.0004004004003945738
YGL232W,YDL201W,1,5.765933,0.6363636255264282,0.006930693052709103,0.0004004004003945738
YFL001W,YNL282W,1,5.745936,0.6666666865348816,0.007920792326331139,0.0004004004003945738
YDR120C,YOR243C,1,5.68172,0.692307710647583,0.0089108906686306,0.0004004004003945738
YDR165W,YKL078W,0,5.6641054,0.6428571343421936,0.0089108906686306,0.0005005004932172596
YNR003C,YNL227C,0,5.6196513,0.6000000238418579,0.0089108906686306,0.0006006006151437759
YOR145C,YKR060W,0,5.475862,0.5625,0.0089108906686306,0.0007007006788626313
YPL086C,YNL062C,1,5.4669485,0.5882353186607361,0.009900989942252636,0.0007007006788626313
YLR401C,YKR056W,1,5.410374,0.6111111044883728,0.010891089215874672,0.0007007006788626313
YNR054C,YPL193W,0,5.408012,0.5789473652839661,0.010891089215874672,0.0008008008007891476
YMR239C,YGR280C,0,5.3086567,0.550000011920929,0.010891089215874672,0.0009009009227156639
YPL086C,YDR165W,1,5.300496,0.5714285969734192,0.011881188489496708,0.0009009009227156639
YDR120C,YMR269W,0,5.2033153,0.5454545617103577,0.011881188489496708,0.0010010009864345193
YHR070W,YBR257W,1,5.1644783,0.5652173757553101,0.01287128683179617,0.0010010009864345193
YLR384C,YJL098W,1,5.146212,0.5833333134651184,0.013861386105418205,0.0010010009864345193
YIL079C,YER002W,0,5.1318364,0.5600000023841858,0.013861386105418205,0.0011011010501533747
YPL212C,YDL112W,1,5.124452,0.5769230723381042,0.014851485379040241,0.0011011010501533747
YLR438C-A,YDR120C,1,5.104916,0.5925925970077515,0.015841584652662277,0.0011011010501533747
YDL002C,YLR222C,0,5.103613,0.5714285969734192,0.015841584652662277,0.0012012012302875519
YNL175C,YDR460W,0,5.082924,0.5517241358757019,0.015841584652662277,0.0013013012940064073
YDR120C,YGL122C,0,5.0764985,0.5333333611488342,0.015841584652662277,0.0014014013577252626
YDL201W,YJL098W,1,5.0759625,0.5483871102333069,0.01683168299496174,0.0014014013577252626
YER112W,YOL125W,1,5.0711985,0.5625,0.0178217813372612,0.0014014013577252626
YNR015W,YDR120C,1,5.050683,0.5757575631141663,0.01881188154220581,0.0014014013577252626
YNR046W,YDL201W,1,5.04037,0.5882353186607361,0.019801979884505272,0.0014014013577252626
YNL232W,YDL167C,0,5.0351415,0.5714285969734192,0.019801979884505272,0.0015015015378594398
YOL093W,YBL024W,1,5.031465,0.5833333134651184,0.020792080089449883,0.0015015015378594398
YLR438C-A,YNL002C,0,5.0260186,0.5675675868988037,0.020792080089449883,0.0016016016015782952
YER127W,YAL036C,0,5.0259,0.5526315569877625,0.020792080089449883,0.0017017016652971506
YBR247C,YEL015W,0,5.013326,0.5384615659713745,0.020792080089449883,0.0018018018454313278
YKR025W,YKL090W,0,4.974782,0.5249999761581421,0.020792080089449883,0.0019019019091501832
YKL172W,YHR058C,0,4.942333,0.5121951103210449,0.020792080089449883,0.0020020019728690386
YPL157W,YKR056W,1,4.907519,0.523809552192688,0.021782178431749344,0.0020020019728690386
YPL212C,YOR243C,1,4.906683,0.5348837375640869,0.022772276774048805,0.0020020019728690386
YMR146C,YMR239C,0,4.905075,0.5227272510528564,0.022772276774048805,0.002102102153003216
YGL169W,YDR120C,1,4.903396,0.5333333611488342,0.023762376978993416,0.002102102153003216
YGL232W,YNL292W,1,4.899326,0.54347825050354,0.024752475321292877,0.002102102153003216
YPL038W,YJR002W,0,4.8553576,0.5319148898124695,0.024752475321292877,0.0022022021003067493
YPL183C,YNL132W,1,4.848239,0.5416666865348816,0.02574257366359234,0.0022022021003067493
YOL093W,YOL125W,1,4.8352733,0.5510203838348389,0.02673267386853695,0.0022022021003067493
YBR155W,YGR128C,0,4.826365,0.5400000214576721,0.02673267386853695,0.0023023022804409266
YLR298C,YGR280C,0,4.8232055,0.529411792755127,0.02673267386853695,0.0024024024605751038
YPL212C,YNL062C,1,4.8202996,0.5384615659713745,0.02772277221083641,0.0024024024605751038
YJL023C,YPL030W,1,4.8202014,0.5471698045730591,0.028712870553135872,0.0024024024605751038
YML014W,YLR401C,1,4.81278,0.5555555820465088,0.029702970758080482,0.0024024024605751038
YJL033W,YER159C,0,4.7628665,0.5454545617103577,0.029702970758080482,0.0025025024078786373
YOL093W,YNL062C,1,4.7400074,0.5535714030265808,0.030693069100379944,0.0025025024078786373
YMR014W,YKL130C,0,4.72685,0.5438596606254578,0.030693069100379944,0.0026026025880128145
YGR123C,YNL119W,0,4.7150197,0.5344827771186829,0.030693069100379944,0.0027027027681469917
YGL099W,YJR063W,0,4.707371,0.5254237055778503,0.030693069100379944,0.0028028027154505253
YDL044C,YGR158C,0,4.6966248,0.5166666507720947,0.030693069100379944,0.0029029028955847025
YNR046W,YBL024W,1,4.6946025,0.5245901346206665,0.031683169305324554,0.0029029028955847025
YIR015W,YDR120C,1,4.692847,0.5322580933570862,0.03267326578497887,0.0029029028955847025
YBR271W,YAL025C,0,4.6804147,0.523809552192688,0.03267326578497887,0.0030030030757188797
YDL112W,YGL050W,1,4.6746607,0.53125,0.03366336598992348,0.0030030030757188797
YLR384C,YMR059W,1,4.672976,0.5384615659713745,0.03465346619486809,0.0030030030757188797
YJL014W,YOR078W,0,4.6600485,0.5303030014038086,0.03465346619486809,0.0031031030230224133
YNR003C,YNL298W,0,4.658377,0.5223880410194397,0.03465346619486809,0.0032032032031565905
YPL217C,YKR081C,0,4.6364,0.5147058963775635,0.03465346619486809,0.0033033033832907677
YKL172W,YMR123W,0,4.6243653,0.5072463750839233,0.03465346619486809,0.0034034033305943012
YDL051W,YLR430W,1,4.6106253,0.5142857432365417,0.0356435626745224,0.0034034033305943012
YMR290C,YML065W,0,4.6020317,0.5070422291755676,0.0356435626745224,0.0035035035107284784
YDL201W,YIR015W,1,4.598617,0.5138888955116272,0.03663366287946701,0.0035035035107284784
YGL050W,YOL115W,1,4.588737,0.5205479264259338,0.03762376308441162,0.0035035035107284784
YPL146C,YOL115W,0,4.5725036,0.5135135054588318,0.03762376308441162,0.0036036036908626556
YJL087C,YGL169W,1,4.5554385,0.5199999809265137,0.03861385956406593,0.0036036036908626556
YNR015W,YOR061W,0,4.5247073,0.5131579041481018,0.03861385956406593,0.003703703638166189
YOL093W,YKL186C,1,4.523993,0.5194805264472961,0.039603959769010544,0.003703703638166189
YKR038C,YDR120C,1,4.4842267,0.5256410241127014,0.040594059973955154,0.003703703638166189
YBL024W,YFL001W,1,4.4713078,0.5316455960273743,0.041584160178899765,0.003703703638166189
YBR079C,YPL183C,0,4.4619637,0.5249999761581421,0.041584160178899765,0.0038038038183003664
YDL201W,YML005W,1,4.461355,0.5308641791343689,0.04257425665855408,0.0038038038183003664
YNL182C,YOL120C,0,4.438048,0.5243902206420898,0.04257425665855408,0.0039039039984345436
YLR405W,YML080W,1,4.4372854,0.5301204919815063,0.04356435686349869,0.0039039039984345436
YJL087C,YLR384C,1,4.4346757,0.5357142686843872,0.0445544570684433,0.0039039039984345436
YDL201W,YDL051W,1,4.4296174,0.5411764979362488,0.04554455354809761,0.0039039039984345436
YNL119W,YOR243C,1,4.4258466,0.5465116500854492,0.04653465375304222,0.0039039039984345436
YML080W,YAR008W,1,4.420426,0.5517241358757019,0.04752475395798683,0.0039039039984345436
YNL112W,YHR088W,0,4.414932,0.5454545617103577,0.04752475395798683,0.004004003945738077
YJL035C,YNR046W,1,4.403132,0.550561785697937,0.048514850437641144,0.004004003945738077
YLL011W,YLL034C,0,4.3748426,0.5444444417953491,0.048514850437641144,0.004104103893041611
YJL087C,YNL282W,1,4.35953,0.5494505763053894,0.049504950642585754,0.004104103893041611
YPL212C,YPL101W,1,4.357185,0.554347813129425,0.050495050847530365,0.004104103893041611
YJL087C,YDL201W,1,4.356579,0.5591397881507874,0.05148514732718468,0.004104103893041611
YDR165W,YBR257W,1,4.3552914,0.563829779624939,0.05247524753212929,0.004104103893041611
YNL227C,YGR158C,0,4.354617,0.557894766330719,0.05247524753212929,0.004204204306006432
YPL030W,YKR038C,1,4.351441,0.5625,0.0534653477370739,0.004204204306006432
YHR062C,YNR046W,1,4.3391004,0.5670102834701538,0.05445544421672821,0.004204204306006432
YOL010W,YKL183W,0,4.328588,0.5612244606018066,0.05445544421672821,0.004304304253309965
YKL186C,YFL001W,1,4.322316,0.5656565427780151,0.05544554442167282,0.004304304253309965
YFR002W,YDR339C,0,4.3170385,0.5600000023841858,0.05544554442167282,0.004404404200613499
YDR280W,YDR312W,0,4.307858,0.5544554591178894,0.05544554442167282,0.0045045046135783195
YGL106W,YOL041C,0,4.2900863,0.5490196347236633,0.05544554442167282,0.004604604560881853
YPL086C,YNL119W,1,4.284658,0.553398072719574,0.05643564462661743,0.004604604560881853
YOL125W,YHR081W,0,4.2824054,0.5480769276618958,0.05643564462661743,0.004704704508185387
YPR137W,YDL030W,0,4.2784266,0.5428571701049805,0.05643564462661743,0.0048048049211502075
YOL141W,YGL050W,1,4.2702107,0.5471698045730591,0.057425741106271744,0.0048048049211502075
YPL183C,YGL246C,0,4.2649727,0.5420560836791992,0.057425741106271744,0.004904904868453741
YKL110C,YNL132W,1,4.2533717,0.5462962985038757,0.058415841311216354,0.004904904868453741
YGR200C,YDL051W,1,4.252134,0.5504587292671204,0.059405941516160965,0.004904904868453741
YDR478W,YNL132W,1,4.247927,0.5545454621315002,0.06039603799581528,0.004904904868453741
YGR276C,YOR243C,1,4.240681,0.5585585832595825,0.06138613820075989,0.004904904868453741
YPL086C,YER112W,1,4.2354674,0.5625,0.0623762384057045,0.004904904868453741
YPL086C,YHR187W,1,4.2098765,0.5663716793060303,0.06336633861064911,0.004904904868453741
YGR200C,YGL169W,1,4.202662,0.5701754093170166,0.06435643881559372,0.004904904868453741
YKL149C,YDL201W,0,4.2023435,0.5652173757553101,0.06435643881559372,0.005005004815757275
YDR165W,YHR187W,1,4.1994143,0.568965494632721,0.06534653156995773,0.005005004815757275
YOL093W,YBL026W,1,4.196115,0.5726495981216431,0.06633663177490234,0.005005004815757275
YNL119W,YBR257W,1,4.1885705,0.5762711763381958,0.06732673197984695,0.005005004815757275
YDR045C,YML005W,1,4.1805463,0.5798319578170776,0.06831683218479156,0.005005004815757275
YPL237W,YGL169W,0,4.168738,0.574999988079071,0.06831683218479156,0.0051051052287220955
YDL051W,YDL002C,0,4.167117,0.5702479481697083,0.06831683218479156,0.005205205176025629
YBR094W,YPL043W,0,4.155086,0.5655737519264221,0.06831683218479156,0.005305305123329163
YLR223C,YNL188W,0,4.1542764,0.5609756112098694,0.06831683218479156,0.0054054055362939835
YPR186C,YJR063W,0,4.1446624,0.5564516186714172,0.06831683218479156,0.005505505483597517
YNL221C,YOL115W,1,4.1388283,0.5600000023841858,0.06930693238973618,0.005505505483597517
YDR299W,YDR337W,0,4.138299,0.5555555820465088,0.06930693238973618,0.005605605430901051
YOL093W,YBL018C,1,4.130201,0.5590550899505615,0.07029703259468079,0.005605605430901051
YBR257W,YNR015W,1,4.1271644,0.5625,0.0712871253490448,0.005605605430901051
YHR070W,YPL183C,1,4.126209,0.565891444683075,0.07227722555398941,0.005605605430901051
YML080W,YIL008W,1,4.119712,0.5692307949066162,0.07326732575893402,0.005605605430901051
YMR277W,YOR148C,0,4.108073,0.5648854970932007,0.07326732575893402,0.005705705843865871
YPL183C,YNL292W,1,4.103534,0.5681818127632141,0.07425742596387863,0.005705705843865871
YNL182C,YNR023W,0,4.0943856,0.5639097690582275,0.07425742596387863,0.005805805791169405
YGL243W,YLR384C,1,4.0932736,0.5671641826629639,0.07524752616882324,0.005805805791169405
YDL112W,YLR384C,1,4.0909142,0.5703703761100769,0.07623762637376785,0.005805805791169405
YDR496C,YOR353C,0,4.0864005,0.5661764740943909,0.07623762637376785,0.0059059057384729385
YGL243W,YGL211W,1,4.086303,0.569343090057373,0.07722771912813187,0.0059059057384729385
YDR083W,YDR429C,0,4.0823555,0.5652173757553101,0.07722771912813187,0.006006006151437759
YOR154W,YDL081C,0,4.064382,0.5611510872840881,0.07722771912813187,0.006106106098741293
YPR112C,YMR310C,0,4.0545955,0.5571428537368774,0.07722771912813187,0.0062062060460448265
YAL003W,YMR268C,0,4.036306,0.5531914830207825,0.07722771912813187,0.006306306459009647
YAL003W,YIL126W,0,4.034581,0.5492957830429077,0.07722771912813187,0.006406406406313181
YER112W,YNL221C,1,4.0217347,0.5524475574493408,0.07821781933307648,0.006406406406313181
YLL022C,YKR081C,0,4.019646,0.5486111044883728,0.07821781933307648,0.0065065063536167145
YBL024W,YDL201W,1,4.016583,0.5517241358757019,0.07920791953802109,0.0065065063536167145
YNL132W,YNR046W,1,4.0163946,0.5547945499420166,0.0801980197429657,0.0065065063536167145
YNL132W,YOR335C,1,3.980945,0.557823121547699,0.08118811994791031,0.0065065063536167145
YKR056W,YNR015W,1,3.9748192,0.5608108043670654,0.08217822015285492,0.0065065063536167145
YNL132W,YOL115W,1,3.966795,0.563758373260498,0.08316832035779953,0.0065065063536167145
YML080W,YML036W,1,3.962983,0.5666666626930237,0.08415841311216354,0.0065065063536167145
YDR165W,YDL036C,1,3.9616778,0.5695364475250244,0.08514851331710815,0.0065065063536167145
YOR276W,YDR339C,0,3.9555473,0.5657894611358643,0.08514851331710815,0.006606606766581535
YDL175C,YKR056W,1,3.9534059,0.5686274766921997,0.08613861352205276,0.006606606766581535
YOR250C,YDR120C,1,3.9470022,0.5714285969734192,0.08712871372699738,0.006606606766581535
YLR449W,YDL150W,0,3.9358406,0.5677419304847717,0.08712871372699738,0.006706706713885069
YKL110C,YJL098W,1,3.92389,0.5705128312110901,0.08811881393194199,0.006706706713885069
YGR030C,YGR200C,1,3.9183838,0.5732483863830566,0.0891089141368866,0.006706706713885069
YPL030W,YPL157W,1,3.904767,0.5759493708610535,0.09009900689125061,0.006706706713885069
YOL077C,YOR106W,0,3.9021459,0.5723270177841187,0.09009900689125061,0.0068068066611886024
YKR038C,YDL036C,1,3.893304,0.574999988079071,0.09108910709619522,0.0068068066611886024
YPL030W,YNL282W,1,3.878484,0.5776397585868835,0.09207920730113983,0.0068068066611886024
YGR082W,YPL211W,0,3.8763046,0.5740740895271301,0.09207920730113983,0.006906907074153423
YDR045C,YOL124C,1,3.8706884,0.5766870975494385,0.09306930750608444,0.006906907074153423
YGL063W,YDL201W,1,3.8649154,0.5792682766914368,0.09405940771102905,0.006906907074153423
YNL119W,YKR079C,1,3.8576567,0.581818163394928,0.09504950791597366,0.006906907074153423
YKL186C,YMR283C,1,3.8446805,0.5843373537063599,0.09603960067033768,0.006906907074153423
YBR257W,YLR319C,0,3.827802,0.5808383226394653,0.09603960067033768,0.007007007021456957
YPL030W,YDL047W,1,3.8250084,0.5833333134651184,0.09702970087528229,0.007007007021456957
YNL119W,YMR059W,1,3.8234966,0.5857987999916077,0.0980198010802269,0.007007007021456957
YOL125W,YOR243C,1,3.8155305,0.5882353186607361,0.09900990128517151,0.007007007021456957
YIL104C,YKL214C,0,3.798887,0.5847952961921692,0.09900990128517151,0.00710710696876049
YNL112W,YJR093C,0,3.7889392,0.5813953280448914,0.09900990128517151,0.007207207381725311
YPL212C,YPL157W,1,3.786733,0.5838150382041931,0.10000000149011612,0.007207207381725311
YJL098W,YGL169W,1,3.7817535,0.5862069129943848,0.10099010169506073,0.007207207381725311
YJL098W,YGL236C,1,3.7766745,0.5885714292526245,0.10198019444942474,0.007207207381725311
YKL172W,YBL026W,0,3.7609015,0.5852272510528564,0.10198019444942474,0.007307307329028845
YGR245C,YJL041W,0,3.7544377,0.5819209218025208,0.10198019444942474,0.007407407276332378
YNR015W,YOL115W,1,3.753804,0.584269642829895,0.10297029465436935,0.007407407276332378
YHR062C,YNL292W,1,3.742625,0.5865921974182129,0.10396039485931396,0.007407407276332378
YOL141W,YKL186C,1,3.7420588,0.5888888835906982,0.10495049506425858,0.007407407276332378
YGL211W,YAR008W,1,3.7417989,0.591160237789154,0.10594059526920319,0.007407407276332378
YGR200C,YIR015W,1,3.7373836,0.593406617641449,0.1069306954741478,0.007407407276332378
YJL125C,YHR062C,1,3.7349277,0.5956284403800964,0.10792079567909241,0.007407407276332378
YKL186C,YNR046W,1,3.7249722,0.5978260636329651,0.10891088843345642,0.007407407276332378
YAL033W,YBL018C,1,3.7210944,0.6000000238418579,0.10990098863840103,0.007407407276332378
YNL132W,YGL169W,1,3.7136412,0.602150559425354,0.11089108884334564,0.007407407276332378
YLR449W,YOR304W,0,3.7128963,0.5989304780960083,0.11089108884334564,0.007507507689297199
YPL101W,YDL036C,1,3.7096226,0.6010638475418091,0.11188118904829025,0.007507507689297199
YJR050W,YKR081C,0,3.7026339,0.5978835821151733,0.11188118904829025,0.007607607636600733
YGL243W,YNL221C,1,3.6960711,0.6000000238418579,0.11287128925323486,0.007607607636600733
YLR147C,YOR272W,0,3.6934967,0.5968586206436157,0.11287128925323486,0.007707707583904266
YLR430W,YOL124C,1,3.6903503,0.5989583134651184,0.11386138945817947,0.007707707583904266
YER112W,YGR200C,1,3.686511,0.6010362505912781,0.11485148221254349,0.007707707583904266
YDR060W,YOL023W,0,3.6829653,0.5979381203651428,0.11485148221254349,0.007807807996869087
YBR172C,YLR002C,0,3.682312,0.5948718190193176,0.11485148221254349,0.007907907478511333
YDL112W,YBL024W,1,3.6712005,0.5969387888908386,0.1158415824174881,0.007907907478511333
YJL111W,YHR148W,0,3.665923,0.5939086079597473,0.1158415824174881,0.008008007891476154
YGR200C,YOL124C,1,3.6523392,0.5959596037864685,0.11683168262243271,0.008008007891476154
YDR120C,YMR270C,0,3.6507533,0.5929648280143738,0.11683168262243271,0.008108108304440975
YMR012W,YPL146C,0,3.6439013,0.5899999737739563,0.11683168262243271,0.008208207786083221
YNL112W,YGR030C,0,3.6374679,0.5870646834373474,0.11683168262243271,0.008308308199048042
